date,annualCashAndCashEquivalents,annualBasicEPS,annualNetOtherFinancingCharges,annualTaxProvision,annualCurrentDebt,annualCurrentAccruedExpenses,annualCapitalExpenditure,annualNetIncomeContinuousOperations,annualOperatingExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,annualDeferredIncomeTax,annualChangesInAccountReceivables,annualInterestExpense,annualOtherShortTermInvestments,annualCommonStockIssuance,annualAccumulatedDepreciation,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualCurrentAssets,annualChangeInWorkingCapital,annualNetIncomeCommonStockholders,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualBeginningCashPosition,annualRetainedEarnings,annualDilutedAverageShares,annualAccountsReceivable,annualDilutedEPS,annualCostOfRevenue,annualLongTermDebt,annualCashDividendsPaid,annualFreeCashFlow,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualOtherCurrentAssets,annualTotalNonCurrentAssets,annualDepreciationAndAmortization,annualPurchaseOfBusiness,annualStockholdersEquity,annualStockBasedCompensation,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualOperatingCashFlow,annualCapitalStock,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualInventory,annualGrossProfit,annualCurrentLiabilities,annualNetPPE,annualEbitda,annualGrossPPE,annualNetOtherInvestingChanges,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,annualGoodwill,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualGainsLossesNotAffectingRetainedEarnings,annualPurchaseOfInvestment,annualAccountsPayable,annualOperatingIncome,annualInvestingCashFlow,annualEndCashPosition,annualPretaxIncome,annualBasicAverageShares,annualIncomeTaxPayable,annualOtherIncomeExpense,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,annualChangeInAccountPayable,annualResearchAndDevelopment,annualCurrentDeferredRevenue
1989-06-30,3200000,0.45,0.0,13200000,45600000.0,,-18300000.0,21900000,111700000,59100000,492200000,100000.0,,8800000.0,,,-109000000,-9900000.0,19600000,172400000,-6800000.0,21900000,289700000,152100000,21900000,4000000,104000000,48666667,,0.45,337600000,45300000.0,-8600000.0,15400000,93900000,200000.0,1000000,117300000,17800000.0,,137600000,,-5000000.0,-17600000.0,33700000,,,3200000,,13900000.0,98900000,154600000,93000000,97700000,60700000,206700000,-1400000.0,-100000,47400000.0,,,-900000.0,,,,42900000,-16900000,0,35100000,48666667,,900000,,,,,
1990-06-30,700000,0.34,-9100000.0,11600000,46000000.0,,-23900000.0,16100000,116800000,72800000,504900000,-3500000.0,,9400000.0,,1500000.0,-115600000,-8600000.0,24400000,182700000,3300000.0,16100000,308500000,179600000,16100000,3200000,111200000,31632653,,0.34,344700000,60200000.0,-8800000.0,11000000,98000000,,3900000,125800000,18800000.0,,128900000,,-9800000.0,-12300000.0,34900000,,,700000,,12600000.0,109500000,160200000,106800000,101400000,62200000,217000000,-1400000.0,0,27900000.0,,,-2500000.0,,,32900000.0,43400000,-25100000,0,27700000,31632653,,-6400000,,,,,
1991-06-30,5300000,0.46,0.0,12600000,29400000.0,,-13500000.0,21200000,128200000,72800000,500500000,900000.0,,8700000.0,,1300000.0,-127600000,-2100000.0,20500000,168400000,4800000.0,21200000,287000000,147600000,21200000,700000,122300000,46086957,,0.46,330300000,57200000.0,-9100000.0,36100000,108400000,-100000.0,5300000,118600000,19800000.0,,139400000,,14600000.0,-29500000.0,49600000,,,5300000,,7700000.0,95000000,170200000,74800000,98100000,61800000,225700000,-2300000.0,7900000,21500000.0,,,4600000.0,,,23900000.0,42000000,-15600000,0,33800000,46086957,,500000,,,,,
1992-06-30,7400000,0.71,0.0,21500000,15600000.0,,-17000000.0,32400000,136700000,55400000,555800000,-2000000.0,,5600000.0,,3400000.0,-139500000,-7000000.0,18300000,172200000,13500000.0,32400000,290000000,130600000,32400000,5300000,144900000,45633803,,0.71,359400000,40000000.0,-9900000.0,50300000,115500000,,7300000,117800000,21200000.0,,159400000,,3500000.0,-43200000.0,67300000,,,7400000,,6900000.0,92700000,196400000,75200000,99500000,80900000,239000000,-400000.0,8500000,33100000.0,,,2100000.0,,-5100000.0,26500000.0,59700000,-21900000,0,53900000,45633803,,-200000,,,,,
1993-06-30,16500000,1.01,0.0,28100000,1800000.0,,-18900000.0,46200000,146900000,48600000,630600000,400000.0,,3600000.0,,500000.0,-151200000,-3900000.0,15300000,188200000,-8800000.0,46200000,302100000,110100000,46200000,7400000,179800000,45742574,,1.01,405700000,34600000.0,-11300000.0,42800000,125100000,100000.0,8500000,113900000,21800000.0,,192000000,,-2500000.0,-32600000.0,61700000,,,16500000,,5100000.0,95200000,224900000,61500000,98600000,99800000,249800000,-1000000.0,8900000,33400000.0,,,9100000.0,,,26300000.0,78000000,-19900000,0,74300000,45742574,,-100000,,,,,
1994-06-30,30400000,1.313333,-100000.0,38200000,1300000.0,,-28900000.0,59900000,153800000,44300000,721700000,-400000.0,,2800000.0,,4900000.0,-163100000,-7700000.0,16000000,237800000,-22100000.0,59900000,355400000,118600000,59900000,16500000,226400000,45476167,,1.313333,467200000,32900000.0,-13400000.0,32200000,131400000,,9100000,117600000,22400000.0,,236800000,,-20800000.0,-17100000.0,61100000,,,30400000,,3300000.0,117600000,254500000,74300000,101600000,123100000,264700000,-1600000.0,8100000,41900000.0,,,13900000.0,,,31100000.0,100700000,-30100000,0,98100000,45476167,,300000,,,,,
1995-06-30,8200000,1.566667,100000.0,44300000,1000000.0,,-36800000.0,70500000,154100000,42300000,795100000,-2100000.0,,2700000.0,,2600000.0,-169300000,-17800000.0,16900000,249800000,-45400000.0,70500000,379900000,102800000,70500000,30400000,280500000,45057000,,1.566667,524500000,31800000.0,-16500000.0,9900000,131400000,200000.0,11300000,130100000,22700000.0,,277100000,,-23500000.0,-31700000.0,46700000,,,8200000,,2200000.0,141900000,270600000,60500000,113200000,139200000,282500000,-1400000.0,8300000,33200000.0,,,-22200000.0,,,26300000.0,116500000,-37200000,0,114800000,45057000,,1000000,,,,,
1996-06-30,4700000,1.706667,0.0,47100000,600000.0,,-50200000.0,76100000,162600000,42400000,855900000,-200000.0,,2900000.0,,1800000.0,-177800000,-21500000.0,2300000,273300000,-18300000.0,76100000,435400000,111800000,76100000,8200000,337200000,44623500,,1.706667,567600000,31200000.0,-19600000.0,34300000,138200000,200000.0,11600000,162100000,24400000.0,,323600000,,-9000000.0,-39000000.0,84500000,,20700000.0,4700000,,3500000.0,151600000,288300000,69400000,139100000,150100000,316900000,-700000.0,7700000,34500000.0,,,-3600000.0,,,34300000.0,125700000,-49100000,0,123200000,44623500,,400000,,,,,
1997-06-30,32100000,2.013333,0.0,53800000,500000.0,,-37500000.0,88700000,173400000,42700000,922800000,-700000.0,,2600000.0,,5100000.0,-186000000,-29600000.0,4500000,308800000,-4000000.0,88700000,484400000,116400000,88700000,4700000,404800000,44315068,,2.013333,605100000,30700000.0,-21100000.0,76000000,146400000,200000.0,12900000,175600000,27000000.0,,368000000,,-9700000.0,-44900000.0,113500000,,19800000.0,32100000,,4100000.0,161300000,317700000,73700000,151300000,171300000,337300000,-3700000.0,7900000,40000000.0,,,27400000.0,,,33200000.0,144300000,-41100000,0,142500000,44107500,,700000,,,,,
1998-06-30,23200000,2.22,0.0,59200000,500000.0,,-64600000.0,96100000,201100000,42300000,1008800000,900000.0,,2600000.0,,6800000.0,-203300000,-37100000.0,10100000,311500000,-9200000.0,96100000,529400000,118800000,96100000,32100000,477600000,43364000,,2.22,651800000,29100000.0,-23300000.0,55400000,168500000,-100000.0,13200000,217900000,32600000.0,,410600000,,-12600000.0,-58700000.0,120000000,,37000000.0,23200000,,5900000.0,175200000,357000000,76500000,170800000,188500000,374100000,-9200000.0,7300000,34200000.0,,,-8900000.0,,,41800000.0,155900000,-70200000,0,155300000,43271000,,2100000,,,,,
1999-06-30,18900000,2.28,0.0,58300000,25500000.0,,-35900000.0,95100000,201800000,18900000,1045700000,-1200000.0,,2700000.0,,500000.0,-218400000,-66800000.0,10200000,328400000,-4600000.0,95100000,550000000,135100000,95100000,23200000,548100000,41799000,,2.28,688200000,3600000.0,-24600000.0,90600000,166200000,,16800000,221600000,35600000.0,,414900000,,6400000.0,-91400000.0,126500000,50900000.0,35800000.0,18900000,,8300000.0,169400000,357500000,116200000,175600000,191300000,394000000,-4200000.0,7000000,45000000.0,,,-4400000.0,100000.0,,45700000.0,155700000,-39500000,18900000,153400000,41759000,,-100000,,,,,
2000-06-30,2656000,2.51,0.0,60925000,8785000.0,,-24564000.0,99264000,207789000,19886000,1104258000,-121000.0,,1588000.0,,1203000.0,-240799000,-75101000.0,9012000,315895000,-10208000.0,99264000,531844000,116361000,99264000,18860000,622660000,39554000,,2.51,734520000,3040000.0,-24747000.0,103881000,173449000,,18768000,215949000,34340000.0,,415483000,,-6059000.0,-115915000.0,128445000,52115000.0,34553000.0,2656000,,10046000.0,175480000,369738000,96475000,172384000,196289000,413183000,-3857000.0,6800000,44000000.0,,,-16204000.0,115000.0,,43690000.0,161949000,-28743000,2656000,160189000,39498000,,-172000,,,,,
2001-06-30,4873000,2.37,0.0,55649000,6445000.0,44284000.0,-22632000.0,90236000,113858000,19742000,1098464000,160000.0,,1239000.0,,3061000.0,-263969000,-22742000.0,7766000,317605000,-332000.0,89238000,571937000,112036000,89238000,2656000,686722000,37636000,107895000.0,2.37,836932000,1095000.0,-25176000.0,103580000,113858000,,0,254332000,35528000.0,,459901000,,-7232000.0,-49443000.0,126212000,55229000.0,,4873000,,11301000.0,184387000,261532000,92294000,173169000,183202000,437138000,-2839000.0,7346000,0.0,73397000.0,,2217000.0,99000.0,,41565000.0,147674000,-74536000,4873000,145885000,37618000,,-550000,,,,,
2002-06-30,83378000,2.49,0.0,57402000,,46046000.0,-22546000.0,91940000,119196000,28124000,1129687000,-1754000.0,,54000.0,,6265000.0,-287728000,-28275000.0,13985000,366100000,18303000.0,91940000,618705000,117428000,91940000,4873000,752534000,36910000,109350000.0,2.49,876122000,,-26128000.0,137779000,119196000,,0,252605000,35287000.0,,501277000,,36136000.0,-55678000.0,160325000,61919000.0,72677000.0,83378000,,12234000.0,148251000,253565000,89304000,165943000,169656000,453671000,-1699000.0,15890000,0.0,,,78505000.0,-2752000.0,,43258000.0,134369000,-26159000,83378000,149342000,36850000,,0,,,,,
2003-06-30,142847000,3.11,0.0,68255000,,42940000.0,-29941000.0,112546000,99032000,35128000,1106800000,2810000.0,,,,4340000.0,-300765000,-35552000.0,16573000,414385000,4448000.0,112546000,667716000,120051000,112546000,83378000,836928000,36243000,88583000.0,3.11,862940000,,-28152000.0,126044000,99032000,,0,253331000,31669000.0,,547665000,,-11161000.0,-59364000.0,155985000,65864000.0,75647000.0,142847000,,7317000.0,159412000,243860000,84923000,161111000,176497000,461876000,-5771000.0,27811000,0.0,,,59469000.0,-9151000.0,,41983000.0,144828000,-37162000,142847000,180801000,36184000,,34292000,,,,,
2004-06-30,178503000,2.24,0.0,48462000,,45348000.0,-18172000.0,80002000,97885000,33371000,1096953000,3683000.0,,,,3634000.0,-313311000,-16667000.0,17742000,451005000,5818000.0,80002000,712887000,126102000,80002000,142847000,885161000,35778000,94623000.0,2.24,873267000,,-31769000.0,101521000,97885000,,0,261882000,31267000.0,,586785000,,5431000.0,-42026000.0,119693000,69809000.0,84646000.0,178503000,,11795000.0,155076000,223686000,92731000,159494000,157068000,472805000,-4632000.0,21576000,0.0,,,35656000.0,-5542000.0,,47383000.0,125801000,-42031000,178503000,128464000,35708000,,929000,,,,,
2005-06-30,113265000,2.67,0.0,54933000,,52832000.0,-22683000.0,93088000,99421000,39706000,1131466000,884000.0,,,71315000.0,3785000.0,-332148000,-56721000.0,18570000,474405000,-11132000.0,93088000,731278000,143552000,93088000,113233000,944194000,34925000,100351000.0,2.67,912003000,,-34055000.0,93994000,99421000,,0,256873000,33262000.0,,587726000,,-9352000.0,-82467000.0,116677000,73801000.0,84156000.0,184580000,46650000.0,9214000.0,164365000,219463000,103846000,154147000,153304000,486295000,-5601000.0,30492000,0.0,,,32000.0,-10905000.0,-52695000.0,51014000.0,120042000,-34161000,113265000,148021000,34868000,,24097000,,,,,
2006-06-30,6050000,2.48,0.0,45847000,,55816000.0,-61965000.0,82954000,100313000,30100000,1175260000,-1114000.0,,,35765000.0,3835000.0,-349875000,-84343000.0,18331000,338783000,-13929000.0,82954000,628021000,133600000,82954000,113265000,925388000,33502000,108987000.0,2.476091,960857000,,-101760000.0,35050000,100313000,551000.0,0,289238000,32341000.0,,494421000,,-439000.0,-178849000.0,97015000,78017000.0,4416000.0,41815000,66900000.0,8366000.0,161949000,214403000,103500000,187272000,146431000,537147000,-1073000.0,21734000,0.0,79219000.0,,-107215000.0,-5277000.0,-31350000.0,47684000.0,114090000,-25395000,6050000,128801000,33471000,,10741000,,,,,
2007-06-30,8318000,1.45,-5332000.0,37322000,42500000.0,50867000.0,-55823000.0,64681000,90979000,12398000,1091162000,-4207000.0,,150000.0,,3515000.0,-304202000,-65858000.0,8454000,278911000,-2852000.0,45684000,598497000,154188000,45684000,6050000,937376000,31603000,92635000.0,1.45,897602000,,-33696000.0,38335000,90979000,-485000.0,0,319586000,28766000.0,,444309000,,-1345000.0,-58871000.0,94158000,81665000.0,13111000.0,8318000,40765000.0,1696000.0,149717000,193560000,141790000,208431000,131347000,512633000,-2413000.0,10702000,0.0,89590000.0,,2268000.0,-5167000.0,-5000000.0,48423000.0,102581000,-33007000,8318000,102003000,31576000,,-1427000,,,,,
2008-06-30,19417000,1.28,-604000.0,27229000,,42785000.0,-16832000.0,48439000,80751000,72211000,980915000,4593000.0,,3076000.0,,648000.0,-199688000,-89338000.0,5250000,233674000,-14858000.0,37620000,520178000,160960000,37620000,8316000,941244000,29499000,59409000.0,1.28,823574000,55000000.0,-32578000.0,76485000,80751000,774000.0,0,286504000,24138000.0,,359218000,,-7487000.0,-109372000.0,93317000,82652000.0,11841000.0,19417000,,,120303000,157341000,88749000,179573000,100728000,379261000,-2251000.0,17211000,0.0,89840000.0,,11101000.0,-5775000.0,,45964000.0,76590000,27154000,19417000,75668000,29494000,,-1253000,,,,,
2009-06-30,38484000,3.18,0.0,47920000,,33399000.0,-11336000.0,89086000,84238000,21346000,1051491000,3767000.0,,1217000.0,,,-199163000,-16894000.0,104769000,222812000,22839000.0,89086000,498481000,95925000,89086000,19417000,998476000,28051000,,3.18,835999000,0.0,-31854000.0,121828000,84238000,0.0,0,275669000,21870000.0,,402556000,,17780000.0,-103123000.0,133164000,88962000.0,10678000.0,38484000,0.0,4627000.0,102523000,215492000,74579000,170900000,138223000,370063000,-1638000.0,21346000,0.0,89840000.0,-84782000.0,19067000.0,-9085000.0,,41180000.0,131254000,-10974000,38484000,137006000,28033000,,-1606000,,,,,
2010-06-30,100890000,4.08,0.0,60169000,,36049000.0,-12833000.0,114969000,93821000,23592000,1056608000,3415000.0,,0.0,,,-205674000,-4398000.0,102957000,317399000,-31574000.0,114969000,586453000,101545000,114969000,38484000,1080015000,28174000,,4.07,786276000,,-33430000.0,94858000,93821000,677000.0,0,269054000,20533000.0,,484908000,,-19166000.0,-31185000.0,107691000,94885000.0,9514000.0,100890000,,23592000.0,121509000,270332000,77953000,166097000,175138000,371771000,-1336000.0,19138000,0.0,89840000.0,0.0,62406000.0,-9797000.0,,41904000.0,176511000,-14100000,100890000,175138000,28144000,,-2312000,,,,,
2011-06-30,132266000,3.84,-2000000.0,55142000,,33586000.0,-35343000.0,106364000,95425000,28394000,1089946000,10977000.0,,0.0,,,-219342000,-43103000.0,103611000,333196000,12485000.0,106364000,622089000,104550000,106364000,100890000,1150683000,27689000,64332000.0,3.84,847517000,,-35696000.0,112111000,95425000,106364000.0,0,288893000,,,517539000,,9624000.0,-80320000.0,147454000,97197000.0,8350000.0,132266000,,14748000.0,111885000,242429000,76156000,185282000,147004000,404624000,-434000.0,13646000,0.0,89840000.0,0.0,31376000.0,-7043000.0,,42570000.0,147004000,-35758000,132266000,161506000,27664000,1490000.0,14502000,,,,,
2012-06-30,191636000,3.51,0.0,50223000,,31963000.0,-16347000.0,95808000,96824000,45697000,1131359000,5147000.0,,,,,-233158000,-8315000.0,106766000,391739000,-482000.0,95808000,682635000,118368000,95808000,132266000,1208027000,27265000,74004000.0,3.51,891248000,,-38464000.0,106100000,96824000,95808000.0,0,290896000,,,564267000,2922000.0,2181000.0,-46478000.0,122447000,0.0,7267000.0,191636000,,14070000.0,109704000,240111000,72671000,184130000,143287000,417288000,-1147000.0,31627000,0.0,89840000.0,,59370000.0,-12162000.0,,40708000.0,143287000,-16599000,191636000,146031000,27233000,,2701000,,,,,
2013-06-30,123386000,4.0,794000.0,52734000,,35287000.0,-24147000.0,109249000,105203000,41565000,1165909000,1278000.0,1522000.0,,,,-243562000,-609000.0,104211000,326058000,-2552000.0,109249000,619964000,118742000,109249000,191636000,1139213000,27285000,70398000.0,3.99,898800000,,-178063000.0,107535000,105203000,1278000.0,23123000,293906000,20114000.0,,501222000,2901000.0,-1321000.0,-177554000.0,131682000,0.0,6322000.0,123386000,,19186000.0,109151000,267109000,77177000,189695000,161906000,433257000,-1067000.0,41565000,0.0,89840000.0,0.0,-68250000.0,-8391000.0,,41890000.0,161906000,-22378000,123386000,161983000,27252000,,293000,,,,,
2014-06-30,211539000,2.75,1020000.0,52293000,,31165000.0,-15961000.0,100986000,94801000,40961000,1041075000,2720000.0,-6881000.0,,,,-177807000,-3120000.0,102665000,367291000,-15278000.0,74986000,638630000,110033000,74986000,123385000,1167211000,27308000,57808000.0,2.74,792507000,,-46988000.0,113130000,94801000,2472000.0,0,271339000,20407000.0,,528597000,2472000.0,1122000.0,-49412000.0,129091000,0.0,5376000.0,211539000,,19716000.0,74516000,248568000,69072000,168674000,153767000,346481000,-1180000.0,40961000,0.0,89840000.0,-324000.0,88154000.0,-8061000.0,,37907000.0,153767000,8475000,211539000,153279000,27264000,,0,,,,,
2015-06-30,182202000,3.72,563000.0,52866000,,35821000.0,-18298000.0,101686000,102831000,59382000,1104514000,306000.0,-1900000.0,,,,-194676000,-569000.0,199635000,342998000,7783000.0,101686000,714944000,134026000,101686000,211539000,1219119000,27327000,62437000.0,3.72,846822000,,-49778000.0,114474000,102831000,2477000.0,0,371946000,21111000.0,-92217000.0,580918000,3040000.0,366000.0,-49784000.0,132772000,0.0,47771000.0,182202000,,37215000.0,77899000,257692000,74644000,172311000,154861000,366987000,-1810000.0,59382000,0.0,143788000.0,,-29337000.0,-10057000.0,,38823000.0,154861000,-112325000,182202000,154552000,27300000,,0,,,,,
2016-06-30,118080000,4.45,1417000.0,62869000,,33072000.0,-16671000.0,121764000,115059000,48131000,1191109000,-525000.0,-3547000.0,,,,-210599000,-155000.0,197310000,267827000,-4414000.0,121764000,634732000,121134000,121764000,182202000,1150337000,27373000,66006000.0,4.44,891480000,,-190546000.0,125914000,115059000,1909000.0,7644000,366905000,24147000.0,-12000.0,513598000,3326000.0,1802000.0,-189284000.0,142585000,0.0,44866000.0,118080000,,23032000.0,76097000,299629000,73003000,169595000,184570000,380194000,-740000.0,48131000,0.0,143788000.0,,-64122000.0,-11350000.0,,39931000.0,184570000,-17423000,118080000,184633000,27336000,,63000,,,,,
2017-06-30,143104000,4.21,1123000.0,60202000,,35270000.0,-27005000.0,115314000,144016000,63805000,1201842000,2347000.0,-2598000.0,,,,-216584000,-866000.0,234588000,301146000,-1620000.0,115314000,716405000,140428000,115314000,118080000,1206671000,27440000,69922000.0,4.2,883078000,,-58980000.0,117350000,144016000,1156000.0,11744000,415259000,24906000.0,-35169000.0,575977000,4248000.0,150000.0,-58723000.0,144355000,0.0,60162000.0,143104000,,26448000.0,76376000,318764000,76623000,180671000,174748000,397255000,91000.0,63805000,0.0,168030000.0,,25024000.0,-8936000.0,,41353000.0,174748000,-60608000,143104000,175516000,27376000,,768000,,,,,
2018-06-30,205752000,4.93,-981000.0,38889000,,35789000.0,-31025000.0,135314000,131406000,58442000,1222925000,-8502000.0,-3040000.0,,,,-234914000,-1102000.0,234801000,378877000,359000.0,135314000,804491000,152209000,135314000,143104000,1279343000,27459000,72960000.0,4.92,919412000,,-64531000.0,129689000,131406000,2052000.0,9304000,425614000,26896000.0,-318000.0,652282000,5039000.0,-14485000.0,-66614000.0,160714000,0.0,56176000.0,205752000,,18102000.0,90861000,303513000,93767000,190813000,172107000,425727000,-147000.0,58442000,,168030000.0,,62648000.0,-8259000.0,,57978000.0,172107000,-31452000,205752000,174203000,27403000,,2096000,,,,,
2019-06-30,196288000,5.48,-2680000.0,44993000,,43036000.0,-70880000.0,150549000,149811000,58820000,1307787000,7336000.0,,,,,-256282000,-7411000.0,289786000,368569000,17192000.0,150549000,905399000,178526000,150549000,205752000,1359782000,27537000,75691000.0,5.46,981589000,,-70110000.0,126718000,149811000,-14537000.0,10518000,536830000,31848000.0,-55364000.0,726873000,5972000.0,6282000.0,-80201000.0,197598000,0.0,70277000.0,196288000,,23824000.0,86072000,326198000,119706000,247044000,176387000,503326000,-786000.0,58820000,,208371000.0,,-9464000.0,-10308000.0,,76670000.0,176387000,-126861000,196288000,195542000,27438000,,19155000,,,,,
