date,annualOperatingCashFlow,annualCapitalStock,annualDilutedEPS,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualInventory,annualGrossProfit,annualCurrentLiabilities,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualNetPPE,annualEbitda,annualGrossPPE,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualChangeInInventory,annualBasicAverageShares,annualBeginningCashPosition,annualInvestingCashFlow,annualChangesInAccountReceivables,annualInterestExpense,annualNonCurrentDeferredTaxesLiabilities,annualPretaxIncome,annualIncomeTaxPayable,annualAccumulatedDepreciation,annualDilutedAverageShares,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,annualGoodwill,annualCashFlowFromContinuingFinancingActivities,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualPurchaseOfInvestment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualCostOfRevenue,annualAccountsPayable,annualTotalRevenue,annualOperatingIncome,annualOtherShortTermInvestments,annualFreeCashFlow,annualEndCashPosition,annualCommonStockIssuance,annualOtherCurrentAssets,annualChangeInWorkingCapital,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualInvestmentsAndAdvances,annualTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,annualNetIncome,annualCurrentDeferredRevenue,annualNetIncomeContinuousOperations,annualGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,annualLongTermDebt,annualCashDividendsPaid,annualSaleOfInvestment,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualCurrentAssets,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualBasicEPS,annualDepreciationAndAmortization,annualNetIncomeCommonStockholders,annualStockholdersEquity,annualTotalAssets,annualTaxProvision,annualRetainedEarnings,annualAccountsReceivable,annualCurrentAccruedExpenses,annualResearchAndDevelopment,annualStockBasedCompensation,annualNonCurrentDeferredRevenue,annualDeferredIncomeTax
2008-12-31,159330850000.0,0,750.0,163785000.0,129252690000.0,31227350000.0,376650584000.0,133402931000.0,-2915821000.0,346414382000.0,227193981000.0,193666107000.0,730091595000.0,-1139982000.0,16201084000.0,1113953000.0,126712333,132173790000.0,-75465571000.0,-16600742000.0,27576509000.0,11502194000.0,120068509000.0,3937065000.0,-502897614000.0,126716667,24762451000.0,0.0,65269071000.0,-79292844000.0,-89663567000.0,-2921100000.0,-67074398000.0,-9069083000.0,121919156000.0,-1703237000.0,470650678000.0,81591762000.0,847301262000.0,138676600000.0,108002588000.0,92256452000.0,129252690000.0,,6936682000.0,26075293000.0,21250102000.0,0.0,53732964000.0,255322087000.0,8803775000.0,94835957000.0,29455000.0,94820434000.0,,237973984000.0,77453417000.0,-73505825000.0,1060242000.0,,0.0,256542173000.0,237973984000.0,8640209000.0,750.0,46021089000.0,94835957000.0,346248602000.0,602956555000.0,25248075000.0,100865732000.0,49694086000.0,3785264000.0,,,,
2009-12-31,122051640000.0,0,685.92,477231000.0,138316949000.0,36222020000.0,329759509000.0,127283547000.0,-8296503000.0,314277043000.0,204497255000.0,164144208000.0,666098583000.0,0.0,13839654000.0,-10035573000.0,126712424,126246838000.0,-72136450000.0,2062623000.0,7897359000.0,18487127000.0,119286186000.0,5421349000.0,-461601328000.0,126712424,26536006000.0,0.0,46093855000.0,-67531694000.0,-23461666000.0,-13801829000.0,-49762563000.0,-22809451000.0,121380007000.0,-2548066000.0,413356479000.0,76969589000.0,743115988000.0,130061281000.0,118099705000.0,72289077000.0,112445009000.0,,6895543000.0,-5836771000.0,20217244000.0,-238665000.0,57351037000.0,248663554000.0,3733066000.0,86918333000.0,4316000.0,86920282000.0,,199698228000.0,73684830000.0,-62146430000.0,239381000.0,,25877145000.0,270975449000.0,199698228000.0,-5856693000.0,685.92,36960663000.0,86918333000.0,336578506000.0,585252492000.0,32365904000.0,123197178000.0,54749665000.0,3323356000.0,,,,
2010-12-31,125847709000.0,0,817.56,1365595000.0,97177814000.0,49939194000.0,384198314000.0,167552311000.0,1475665000.0,437584969000.0,291482180000.0,147342135000.0,718140138000.0,,8322781000.0,,126712424,62791221000.0,-80504178000.0,,7401831000.0,42492348000.0,139940304000.0,4009389000.0,-426657958000.0,126712424,33814496000.0,37124000.0,57770335000.0,-62547739000.0,-26083393000.0,-14528141000.0,-95461555000.0,-15229291000.0,132788797000.0,,504515568000.0,105282335000.0,888713882000.0,142490332000.0,48914734000.0,30386154000.0,48263080000.0,,8525960000.0,,48263080000.0,29596594000.0,50754168000.0,300341108000.0,10061870000.0,103597372000.0,,103600064000.0,-16146887000.0,241707982000.0,70449459000.0,-66524747000.0,,,19327721000.0,257620735000.0,238741130000.0,,817.56,,103597372000.0,394856266000.0,695205704000.0,36340240000.0,180110975000.0,82154687000.0,,,,,
2011-12-31,138950496000.0,0,765.72,1138857000.0,46959105000.0,57486658000.0,404283233000.0,196643904000.0,1887257000.0,506427124000.0,350064467000.0,138947261000.0,737702740000.0,-1278000000.0,436742000.0,,126712424,48263080000.0,-89621198000.0,,7235176000.0,35245490000.0,131712085000.0,3821247000.0,-387638273000.0,126712424,41318289000.0,-2987333000.0,57552178000.0,-67159385000.0,-111722342000.0,-16965158000.0,-126930944000.0,-44463129000.0,123336519000.0,,578581184000.0,112963542000.0,982864417000.0,133877570000.0,15661183000.0,12019552000.0,31297922000.0,,11749684000.0,,31297922000.0,-2372559000.0,60290966000.0,319980423000.0,12116592000.0,97024405000.0,,97027424000.0,-17024341000.0,270405663000.0,74641403000.0,-70905803000.0,81958070000.0,,21388737000.0,235532219000.0,267331330000.0,138950496000.0,765.72,,97024405000.0,421969905000.0,741959343000.0,34684661000.0,208102068000.0,94055195000.0,,,,,
2012-12-31,188856800000.0,0,655.92,464582273000.0,55650836000.0,89319826000.0,473337602000.0,345370820000.0,-13807038000.0,1212664164000.0,576550725000.0,137946561000.0,987760331000.0,-35877240000.0,175603000.0,,133603127,31297922000.0,-156170203000.0,,11172753000.0,111414626000.0,126773808000.0,1114810000.0,-411209606000.0,133603127,34615611000.0,-4075171000.0,64792741000.0,-3550984000.0,-188709976000.0,24224333000.0,-143763670000.0,-2816228000.0,300860590000.0,,698955215000.0,191938660000.0,1172292817000.0,149025540000.0,128581000.0,45093130000.0,55522255000.0,,14507308000.0,,55522255000.0,8778615000.0,73080061000.0,646231410000.0,91655261000.0,87636961000.0,,88269172000.0,363581513000.0,324312062000.0,172709798000.0,-69766002000.0,16896686000.0,-21725000.0,6409365000.0,327172167000.0,319824853000.0,,655.92,,87636961000.0,874163749000.0,1539836331000.0,38504636000.0,239844662000.0,138338215000.0,,,,,
2013-12-31,172084725000.0,0,564.06,700606492000.0,113105591000.0,125853991000.0,606863587000.0,402144139000.0,-24664302000.0,1622377224000.0,692949808000.0,142177511000.0,1217009719000.0,-261244818000.0,922498000.0,,157761767,55522255000.0,-447549521000.0,,28944023000.0,105537484000.0,113233488000.0,3679057000.0,-524059911000.0,157761767,53061381000.0,-1959307000.0,115779067000.0,303105856000.0,-273136666000.0,24453871000.0,-183697386000.0,-52950290000.0,799384583000.0,,914817748000.0,206406120000.0,1521681335000.0,161868501000.0,33129465000.0,-11612661000.0,79976126000.0,,4624016000.0,,79976126000.0,9137035000.0,68673399000.0,1201528722000.0,85945994000.0,88982678000.0,,90267224000.0,346738667000.0,444995086000.0,600462733000.0,-73041053000.0,30639778000.0,0.0,3371218000.0,460584086000.0,435579123000.0,,564.06,,88982678000.0,860669042000.0,2082961310000.0,22966264000.0,243192801000.0,164103045000.0,,,,,
2014-12-31,215514431000.0,0,328.8,728181279000.0,183220143000.0,149727618000.0,715956469000.0,410212427000.0,-28238821000.0,1715437090000.0,713075285000.0,162469958000.0,1308585749000.0,0.0,432490000.0,,157761767,79976126000.0,-166775736000.0,,65081431000.0,126126147000.0,97388527000.0,2931206000.0,-595510464000.0,157761767,59781445000.0,61485087000.0,116924199000.0,-46920241000.0,-174384106000.0,-461692000.0,-114216855000.0,-186717244000.0,939963131000.0,,1081243408000.0,227256656000.0,1797199877000.0,182053156000.0,103705709000.0,101297576000.0,79514434000.0,,1545570000.0,,79514434000.0,-63721392000.0,66050213000.0,1350175558000.0,59299816000.0,51875084000.0,,52034092000.0,378738982000.0,533903313000.0,703635019000.0,-52268909000.0,127268370000.0,0.0,4714849000.0,553736201000.0,529183775000.0,,328.8,,51875084000.0,897294495000.0,2269173291000.0,45354435000.0,247817939000.0,167123594000.0,,,,,
2015-12-31,264909230000.0,0,556.92,665666655000.0,216652870000.0,133333253000.0,770688110000.0,380574210000.0,-32086096000.0,1661951168000.0,640529872000.0,185409705000.0,1224943255000.0,-915069000.0,242491000.0,,157761767,79514434000.0,-103131070000.0,,55669217000.0,130201701000.0,129740488000.0,7494832000.0,-584413383000.0,157761767,33920097000.0,-10689484000.0,95835936000.0,-98560377000.0,-133663764000.0,49646505000.0,-112399528000.0,-98396200000.0,977252514000.0,,1106706146000.0,261179195000.0,1877394256000.0,207377426000.0,87491931000.0,152509702000.0,129160939000.0,,1327182000.0,,129160939000.0,7298580000.0,54190546000.0,1357826724000.0,43227563000.0,87863484000.0,,88097926000.0,284980830000.0,563310684000.0,748242140000.0,-54319681000.0,106609849000.0,,3753150000.0,547409856000.0,555091638000.0,,556.92,,87863484000.0,830473835000.0,2209361024000.0,41642562000.0,274755431000.0,150276158000.0,31790759000.0,,,,
2016-12-31,223446560000.0,0,573.84,680996062000.0,196738164000.0,144709348000.0,743549293000.0,419534854000.0,-25127899000.0,1646367350000.0,666150885000.0,192231175000.0,1320866879000.0,-17586575000.0,158790000.0,,157761767,129160939000.0,-113916317000.0,,51374971000.0,125608802000.0,140856204000.0,10828593000.0,-654715994000.0,157761767,35288222000.0,-11424035000.0,102919505000.0,-98224525000.0,-52821316000.0,12102941000.0,-128217485000.0,-78006986000.0,937404866000.0,,1033910027000.0,286956691000.0,1777459320000.0,207697382000.0,55474284000.0,95229075000.0,141263880000.0,,2900423000.0,,141263880000.0,14230737000.0,77197781000.0,1356939720000.0,47339715000.0,90525991000.0,,92049111000.0,254159496000.0,535851911000.0,703420881000.0,-67591930000.0,109824298000.0,,3345894000.0,552742397000.0,529879690000.0,,573.84,,90525991000.0,820605582000.0,2199109747000.0,48807093000.0,295708512000.0,159441030000.0,35653431000.0,,,,
2017-12-31,247960348000.0,0,746.94,663272878000.0,150380277000.0,131363000000.0,779853655000.0,428287322000.0,-16232872000.0,1630849417000.0,659750499000.0,226018728000.0,1337303175000.0,-15570161000.0,1132926000.0,,157761767,141263880000.0,-168831410000.0,,55220369000.0,125204566000.0,170798359000.0,3184965000.0,-677552676000.0,157761767,19622837000.0,-18286457000.0,93598217000.0,-78345770000.0,-75179336000.0,-5021764000.0,-180781129000.0,-53837967000.0,873338796000.0,,1069024964000.0,291480914000.0,1848878619000.0,231057225000.0,14138161000.0,67179219000.0,136242116000.0,,596668000.0,,136242116000.0,26045821000.0,99169321000.0,1301626118000.0,51626298000.0,117835790000.0,,119000725000.0,185049228000.0,548796430000.0,661286096000.0,-74968175000.0,81258426000.0,,3617744000.0,484010050000.0,541127196000.0,,746.94,,117835790000.0,791310056000.0,2114859467000.0,51797634000.0,335523254000.0,160407431000.0,35955643000.0,,,,
2018-12-31,,0,612.36,668822553000.0,137552653000.0,151319709000.0,704888025000.0,419862101000.0,-16858359000.0,1732918235000.0,710770968000.0,208030261000.0,1680023825000.0,-15615466000.0,-100000000.0,,157761767,136242116000.0,-118085648000.0,,55014660000.0,145245948000.0,153015601000.0,9338612000.0,-969252857000.0,157761767,24563193000.0,-10319483000.0,117229173000.0,-114635278000.0,-46630825000.0,1296497000.0,-121063273000.0,-1953309000.0,930927845000.0,,968027774000.0,283937706000.0,1672915799000.0,220948376000.0,14040000.0,114216089000.0,137538613000.0,,960633000.0,,137538613000.0,,112326578000.0,1350789946000.0,42207217000.0,96603371000.0,,97450746000.0,110854089000.0,483939649000.0,702766310000.0,-87535698000.0,20286284000.0,,15576005000.0,481586454000.0,479518337000.0,,612.36,,96603371000.0,843813126000.0,2214504689000.0,55564855000.0,462221463000.0,158168526000.0,,,,,
