date,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,annualNetOtherFinancingCharges,annualTaxProvision,annualDilutedAverageShares,annualInvestmentsAndAdvances,annualCurrentDebt,annualNetIncomeContinuousOperations,annualOperatingExpense,annualTotalRevenue,annualCostOfRevenue,annualDeferredIncomeTax,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualDilutedEPS,annualCommonStockIssuance,annualOtherShortTermInvestments,annualTotalLiabilitiesNetMinorityInterest,annualChangesInAccountReceivables,annualBasicAverageShares,annualChangeInWorkingCapital,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualNetIncomeCommonStockholders,annualRetainedEarnings,annualTotalAssets,annualNetIncome,annualCashDividendsPaid,annualBeginningCashPosition,annualAccountsReceivable,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualFreeCashFlow,annualStockholdersEquity,annualOtherCurrentAssets,annualOtherNonCashItems,annualLongTermDebt,annualStockBasedCompensation,annualCurrentLiabilities,annualInventory,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,annualDepreciationAndAmortization,annualCapitalStock,annualPurchaseOfBusiness,annualNetPPE,annualGrossProfit,annualOperatingCashFlow,annualCashCashEquivalentsAndMarketableSecurities,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,annualOtherIntangibleAssets,annualEbitda,annualNetOtherInvestingChanges,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualGrossPPE,annualGoodwill,annualBasicEPS,annualPretaxIncome,annualRepaymentOfDebt,annualInterestExpense,annualOtherNonCurrentLiabilities,annualPurchaseOfInvestment,annualCapitalExpenditure,annualOtherIncomeExpense,annualInvestingCashFlow,annualOperatingIncome,annualAccountsPayable,annualEndCashPosition,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualCurrentDeferredRevenue,annualIncomeTaxPayable
1993-03-31,,66600000,2000000.0,20400000,86153846,,3100000,33600000,75000000,1966500000,1832500000,-6600000.0,,38900000,,186800000,-22000000,0.39,2300000.0,,400900000,,80000000,68400000.0,-700000.0,578600000,33600000,93600000,656500000,33600000,-1600000.0,3700000,,77900000,67800000,101200000,255600000,49400000.0,,185300000,,214100000,318700000,-2100000.0,27800000.0,7200000.0,,,39000000,134000000,106500000,66600000,1400000.0,294100000.0,,66200000,0.0,42600000.0,63000000.0,61000000,,0.42,54000000,,13400000.0,100000.0,-330400000.0,-5300000.0,8300000,-41500000,59000000,168400000.0,0,,,,
1994-06-30,,54900000,0.0,35600000,166543593,,27900000,35100000,286200000,5790400000,5418200000,-11400000.0,,48500000,,211100000,-59300000,0.203852,5300000.0,,1027100000,,166185000,-146900000.0,-20700000.0,1287100000,33900000,120400000,1395600000,35100000,-4000000.0,61200000,,108500000,269200000,-86200000,368500000,23100000.0,21500000.0,210100000,,816000000,868200000,6800000.0,-232200000.0,17000000.0,,,60000000,372200000,-74900000,54900000,,187200000.0,,103000000,1100000.0,82400000.0,-6300000.0,119300000,,0.203852,70700000,,18100000.0,1000000.0,-115200000.0,-11300000.0,2900000,61800000,86000000,705700000.0,0,,,,
1995-06-30,,40600000,100000.0,61500000,142495875,,5100000,85000000,322000000,7806100000,7320400000,24300000.0,,71900000,,220200000,-82100000,0.595556,18100000.0,,1293600000,,142340625,-137300000.0,-600000.0,1674700000,85000000,209800000,1841800000,85000000,-4900000.0,54900000,,167100000,300800000,-32500000,548200000,46000000.0,6400000.0,209300000,,1073400000,1071800000,57200000.0,-159000000.0,21200000.0,,,95200000,485700000,10500000,40600000,,124100000.0,,184900000,-16600000.0,118300000.0,-14300000.0,177300000,,0.595556,146500000,,19300000.0,10900000.0,-146600000.0,-43000000.0,2200000,-82000000,163700000,950000000.0,0,,,,
1996-06-30,,287800000,-100000.0,90200000,218507625,,106000000,111900000,465800000,8862400000,8114600000,20500000.0,,195400000,,364700000,-112100000,0.512593,28600000.0,,1750400000,,218257875,-31200000.0,-1100000.0,2239800000,111900000,455700000,2681100000,111900000,-7600000.0,64600000,,441300000,433300000,49100000,930700000,148900000.0,-21000000.0,265100000,,1385700000,1238200000,155200000.0,-148400000.0,32500000.0,,,153500000,747800000,122200000,287800000,99600000.0,218000000.0,92400000.0,314500000,-36200000.0,153600000.0,223200000.0,265600000,,0.512593,202100000,,23900000.0,0.0,-163700000.0,-73100000.0,-56100000,-54200000,282000000,1126100000.0,0,,,,
1997-06-30,,243100000,18600000.0,131200000,245637000,,28300000,181100000,564900000,10968000000,10011800000,15900000.0,,206000000,,367500000,-199900000,0.737778,41200000.0,,1776300000,,245515500,-215400000.0,-2000000.0,2503700000,181100000,699400000,3108500000,181100000,-9100000.0,304300000,,604800000,513600000,-36000000,1332200000,135300000.0,-1800000.0,277800000,,1408800000,1453100000,-82500000.0,-169400000.0,51300000.0,,,276700000,956200000,39200000,243100000,89800000.0,57700000.0,122100000.0,442600000,0.0,244500000.0,-61200000.0,476600000,,0.737778,312300000,,28000000.0,-100000.0,-3400000.0,-75200000.0,-51100000,-17900000,391300000,1136000000.0,0,,,,
1998-06-30,,305000000,0.0,155400000,250755750,,30700000,247100000,632100000,15918100000,14812300000,95500000.0,,275900000,,491800000,-217000000,0.986667,50900000.0,,2335900000,,246953250,-184400000.0,-3100000.0,3228700000,247100000,928200000,3961100000,247100000,-11500000.0,243100000,,732400000,567800000,28400000,1625200000,202000000.0,-93900000.0,272600000,,1844100000,1895500000,31000000.0,-459300000.0,64300000.0,,,331400000,1105800000,143100000,305000000,219200000.0,,125100000.0,538000000,0.0,191000000.0,61900000.0,548400000,,1.0,402500000,,23000000.0,0.0,,-114700000.0,-48300000,-112200000,473700000,1622400000.0,0,,,,
1999-06-30,,165200000,-4800000.0,302900000,418500000,,40200000,456300000,1798300000,25033600000,22211700000,132400000.0,-48900000.0,659800000,,1867000000,-1207800000,1.093333,62000000.0,,4826000000,,407400000,-506000000.0,-40100000.0,5146600000,456300000,2439100000,8289000000,456300000,-56700000.0,373300000,,3142400000,1564800000,-121700000,3463000000,459700000.0,,1223900000,,2959000000,2931400000,-141800000.0,-318500000.0,233500000.0,1090000000.0,,1540500000,2821900000,345700000,165200000,643100000.0,,942100000.0,1257100000,0.0,558000000.0,-208100000.0,2748300000,,1.12,759200000,,99400000.0,0.0,,-467400000.0,-165000000,-409600000,1023600000,2360800000.0,165200000,,,,
2000-06-30,,504600000,0.0,398100000,426600000,,28400000,679700000,1873300000,29870600000,26737600000,127600000.0,-91000000.0,805700000,,2022200000,-1310900000,1.593333,87200000.0,,6283700000,,418650000,-449400000.0,-334200000.0,6870600000,679700000,3173400000,10264900000,679700000,-28000000.0,185400000,,3394300000,1627400000,330400000,3981200000,823700000.0,,1485800000,,4261500000,3865300000,-31700000.0,-926300000.0,245900000.0,1227900000.0,,1626900000,3133000000,638200000,504600000,536400000.0,56000000.0,961700000.0,1505600000,0.0,1202200000.0,319200000.0,2937800000,,1.626667,1077800000,,117200000.0,0.0,-7700000.0,-307800000.0,-64700000,-287300000,1259700000,3030900000.0,504600000,,,,
2001-06-30,1240700000.0,934100000,0.0,474800000,455500000,,14200000,857400000,2124500000,47947600000,44336000000,149100000.0,-144800000.0,912400000,,2630500000,-1507600000,1.88,252100000.0,,9205300000,,443200000,-456800000.0,-139400000.0,10716300000,857400000,4146000000,14642400000,857400000,-36600000.0,587100000,2408700000.0,3926100000,1999600000,530500000,5437100000,236300000.0,,1871000000,,6574800000,6286100000,108700000.0,-1517800000.0,280600000.0,1893100000.0,,1838300000,3611600000,871700000,934100000,759500000.0,,,1767700000,0.0,0.0,347000000.0,3345900000,1175400000.0,1.93,1332200000,,154900000.0,0.0,,-341200000.0,-124900000,-633400000,1487100000,5319900000.0,934100000,,,,
2002-06-30,1287700000.0,1382000000,-4800000.0,575000000,459900000,,18200000,1126300000,2212400000,51135700000,47089500000,239700000.0,-131300000.0,1092900000,,3234600000,-1614900000,2.3,140000000.0,,10045000000,,450100000,-668200000.0,-308300000.0,11906600000,1056200000,5156100000,16438000000,1056200000,-45000000.0,934100000,2295400000.0,4531400000,2073800000,698500000,6393000000,218300000.0,,2207000000,,6810400000,7361000000,114900000.0,-1071100000.0,243500000.0,2105200000.0,,1894400000,4046200000,983900000,1382000000,1027600000.0,,1544100000.0,2077300000,0.0,0.0,447900000.0,3509300000,,2.34,1701300000,,132500000.0,0.0,,-285400000.0,-138600000,-650900000,1833800000,5504500000.0,1382000000,,,,
2003-06-30,1733000000.0,1724000000,0.0,714700000,453600000,,228700000,1411900000,2193700000,56737000000,52227000000,215200000.0,-27100000.0,850000000,,3448900000,-1665800000,3.1,197300000.0,,10763300000,,446000000,-512100000.0,-1191700000.0,13249600000,1405800000,6517300000,18521400000,1405800000,-44800000.0,1382000000,2784400000.0,5271800000,2228200000,974800000,7758100000,341900000.0,,2471900000,,7314400000,7623300000,-712300000.0,-234400000.0,265800000.0,2403700000.0,,2089500000,4510000000,1398000000,1724000000,977000000.0,,2332300000.0,2582100000,0.0,64300000.0,342000000.0,3755300000,,3.15,2126600000,,115300000.0,0.0,,-423200000.0,-39900000,-343700000,2316300000,5288400000.0,1724000000,,,,
2004-06-30,2021300000.0,1096000000,0.0,713700000,440000000,,860600000,1524700000,2359200000,65053500000,60312300000,105100000.0,22600000.0,1008400000,,4023400000,-1936100000,3.35,216700000.0,,13392800000,,434400000,694200000.0,-1500000000.0,13057900000,1474500000,7888000000,21369100000,1474500000,-52300000.0,1724000000,3432700000.0,8311200000,2346500000,2214500000,7976300000,262500000.0,,2834700000,,9369400000,7471300000,-815700000.0,245500000.0,299200000.0,2653800000.0,,2364000000,4741200000,2624700000,1096000000,1188700000.0,,4938800000.0,2681200000,0.0,55100000.0,-628000000.0,4300100000,,3.39,2238400000,,98900000.0,0.0,,-410200000.0,-57400000,-2437000000,2382000000,6432400000.0,1096000000,,,,
2005-06-30,2178700000.0,1411700000,0.0,582600000,435700000,,307900000,1046700000,2991800000,74910700000,69904200000,53200000.0,-3100000.0,1035100000,,3361200000,-2184600000,2.41,110500000.0,99800000.0,13466200000,,430500000,1107900000.0,-500300000.0,13442700000,1050700000,8874200000,22059200000,1050700000,-51700000.0,1096000000,3451000000.0,8616500000,2861500000,2278500000,8593000000,238200000.0,,2319900000,,10105000000,7380000000,-1657100000.0,90100000.0,409700000.0,2765500000.0,,2484000000,5006500000,2850200000,1511500000,1041300000.0,,5097400000.0,2424400000,47400000.0,0.0,315700000.0,4668600000,,2.44,1629300000,,133500000.0,0.0,-99800000.0,-571700000.0,-382200000,-877400000,2014700000,7618400000.0,1411700000,,,,
2006-06-30,2053900000.0,1320900000,48600000.0,590300000,428500000,,229200000,1244700000,3227000000,81363600000,76082700000,31600000.0,33900000.0,1021000000,,3510600000,-2476600000,2.33,240800000.0,498400000.0,14883400000,,421200000,203500000.0,-1499900000.0,14776700000,1000100000,9760500000,23374100000,1000100000,-101800000.0,1400000000,4111600000.0,8597400000,3199300000,1697100000,8490700000,502700000.0,290100000.0,2599700000,,11372800000,7714200000,-1050000000.0,-368200000.0,392700000.0,3195500000.0,,2584000000,5280900000,2140300000,1819300000,910900000.0,,,2446600000,0.0,80400000.0,-79100000.0,5060600000,4992400000.0,2.38,1835000000,,131700000.0,0.0,-398600000.0,-443200000.0,-114900000,-1187200000,2053900000,9009300000.0,1320900000,,,,
2007-06-30,2247300000.0,1308800000,29900000.0,412600000,404700000,,16000000,839700000,3730000000,86852000000,81606700000,11700000.0,121000000.0,1101400000,,4317200000,-1890200000,4.77,552600000.0,132000000.0,15776900000,,394900000,-436300000.0,-3662000000.0,14544500000,1931100000,11539900000,23153800000,1931100000,-144400000.0,1187300000,4714400000.0,8609300000,3082300000,865700000,7376900000,354800000.0,181300000.0,3457300000,,11459700000,7383200000,-2593400000.0,217400000.0,322100000.0,0.0,,1647000000,5245300000,1223100000,1440800000,859900000.0,366500000.0,,1837400000,0.0,34200000.0,121500000.0,3537200000,5860900000.0,4.89,1252300000,,121400000.0,0.0,,-357400000.0,-789300000,1537200000,1515300000,9162200000.0,1308800000,,,,
2008-06-30,1889700000.0,1291300000,42100000.0,633900000,364000000,,159000000,1315900000,3447200000,91091400000,85457300000,26900000.0,210800000.0,1300900000,,5324800000,-1995600000,3.57,227900000.0,383700000.0,15700700000,,358200000,-300000000.0,-1181600000.0,14184200000,1300600000,5016200000,23448200000,1300600000,-173100000.0,1308800000,5006900000.0,9264000000,3414800000,1136000000,7747500000,140400000.0,135000000.0,3687400000,,10375900000,6768800000,-803200000.0,613100000.0,381300000.0,0.0,,1737200000,5634100000,1512100000,1675000000,1637400000.0,132000000.0,,2568200000,0.0,15400000.0,-17500000.0,3732800000,6225900000.0,3.63,1949800000,,171400000.0,0.0,,-376100000.0,-98100000,-726400000,2186900000,8311800000.0,1291300000,,,,
2009-06-30,1868200000.0,1847500000,-2900000.0,524200000,361500000,929800000.0,367300000,1142800000,3438300000,99512400000,93986000000,69500000.0,82200000.0,421100000,749000000.0,4994300000,-2010800000,3.18,39300000.0,398900000.0,16394100000,-648800000.0,357600000,-260600000.0,0.0,15799000000,1151600000,5953900000,25118800000,1151600000,-200400000.0,1291300000,5643600000.0,9319800000,3438300000,1033900000,8724700000,174700000.0,59400000.0,3280000000,122800000.0,11399800000,7145500000,-468200000.0,-341800000.0,399400000.0,0.0,-5300000.0,1873000000,5526400000,1567300000,2246400000,1714300000.0,0.0,,2285100000,0.0,26300000.0,556200000.0,3883800000,,3.22,1667000000,-304600000.0,218700000.0,0.0,,-533400000.0,-202400000,-542900000,2088100000,9138000000.0,1847500000,,,,
2010-06-30,1809500000.0,2755300000,-16100000.0,624600000,361400000,691500000.0,233200000,587000000,2345600000,98502800000,94722100000,120200000.0,70000000.0,657800000,451000000.0,3176500000,-1624900000,1.77,40000000.0,,14714100000,20600000.0,358800000,874400000.0,-230200000.0,14918900000,642200000,2647200000,19990200000,642200000,-253100000.0,1221600000,5170600000.0,5071300000,2345600000,1878300000,5276100000,0.0,26800000.0,1896100000,99500000.0,11537600000,6355900000,-2011300000.0,477400000.0,254400000.0,0.0,-32000000.0,1468800000,3780700000,2134100000,2755300000,1280400000.0,270700000.0,2253200000.0,1689500000,154100000.0,0.0,1533700000.0,3093700000,,1.79,1211600000,-1551900000.0,,1896100000.0,,-255800000.0,-114700000,127100000,1435100000,9494900000.0,2755300000,,,,
2011-06-30,1711300000.0,1929300000,-23900000.0,552100000,352500000,0.0,326700000,966200000,2594800000,102644200000,98482200000,128000000.0,76700000.0,758800000,1356500000.0,3627800000,-1762000000,2.72,63000000.0,,16997300000,-457200000.0,348600000,-52400000.0,-269800000.0,16315900000,959000000,3331400000,22845900000,959000000,-274200000.0,2755300000,6155700000.0,6530000000,2594800000,1103300000,5848600000,0.0,88100000.0,2175300000,79500000.0,13369500000,7334200000,-192600000.0,-664700000.0,313300000.0,0.0,-2299500000.0,1512200000,4162000000,1394600000,1929300000,1452500000.0,715400000.0,4259000000.0,1924400000,0.0,0.0,-826000000.0,3274200000,,2.75,1518300000,-228600000.0,92800000.0,0.0,-155600000.0,-291300000.0,43900000,-2028000000,1567200000,11331500000.0,1929300000,,,,
2012-06-30,1972000000.0,2274000000,-4000000.0,628000000,349000000,,476000000,1070000000,2710000000,107552000000,103011000000,158000000.0,37000000.0,807000000,319000000.0,3842000000,-1986000000,3.06,42000000.0,,18016000000,-129000000.0,345000000,-434000000.0,-450000000.0,17510000000,1069000000,4093000000,24260000000,1069000000,-300000000.0,1929000000,6355000000.0,6750000000,2677000000,913000000,6244000000,0.0,-71000000.0,2418000000,85000000.0,14174000000,7864000000,-454000000.0,-495000000.0,325000000.0,0.0,-174000000.0,1551000000,4541000000,1176000000,2274000000,1424000000.0,92000000.0,414000000.0,2156000000,0.0,0.0,345000000.0,3537000000,3978000000.0,3.1,1698000000,-251000000.0,95000000.0,0.0,-35000000.0,-263000000.0,-38000000,-377000000,1831000000,11726000000.0,2274000000,,,,
2013-06-30,2127000000.0,1901000000,-23000000.0,553000000,344000000,,168000000,335000000,3033000000,101093000000,96172000000,,68000000.0,986000000,426000000.0,5254000000,-2180000000,0.97,121000000.0,,19844000000,216000000.0,341000000,-9000000.0,-450000000.0,17770000000,334000000,4038000000,25819000000,334000000,-353000000.0,2274000000,6304000000.0,8049000000,2875000000,1532000000,5975000000,0.0,952000000.0,3686000000,93000000.0,14590000000,8373000000,275000000.0,-370000000.0,397000000.0,0.0,-2239000000.0,1489000000,4921000000,1727000000,1901000000,1568000000.0,71000000.0,973000000.0,2285000000,0.0,0.0,-373000000.0,3669000000,4601000000.0,0.98,888000000,-305000000.0,,0.0,-12000000.0,-195000000.0,-877000000,-2375000000,1888000000,12295000000.0,1901000000,,,,
2014-06-30,2165000000.0,2865000000,39000000.0,635000000,345000000,,801000000,1163000000,3251000000,91084000000,85923000000,,70000000.0,765000000,-196000000.0,4517000000,-2411000000,3.38,227000000.0,,19632000000,925000000.0,341000000,755000000.0,-673000000.0,17939000000,1166000000,4774000000,26033000000,1166000000,-415000000.0,1901000000,5380000000.0,8094000000,3028000000,2275000000,6401000000,0.0,111000000.0,3171000000,96000000.0,15115000000,8266000000,-710000000.0,142000000.0,459000000.0,0.0,-519000000.0,1459000000,5161000000,2524000000,2865000000,1346000000.0,47000000.0,992000000.0,2369000000,0.0,0.0,964000000.0,3870000000,4878000000.0,3.42,1798000000,-2000000.0,133000000.0,0.0,-129000000.0,-249000000.0,21000000,-850000000,1910000000,12149000000.0,2865000000,,,,
2015-06-30,2594000000.0,4616000000,45000000.0,755000000,335000000,,281000000,1212000000,3521000000,102531000000,96819000000,,-23000000.0,866000000,1948000000.0,6643000000,-2528000000,3.62,72000000.0,,23886000000,-870000000.0,332000000,452000000.0,-1036000000.0,21752000000,1215000000,5521000000,30142000000,1215000000,-460000000.0,2865000000,6523000000.0,8390000000,3240000000,2240000000,6256000000,0.0,8000000.0,5211000000,110000000.0,17243000000,9211000000,60000000.0,-779000000.0,451000000.0,0.0,-503000000.0,1506000000,5712000000,2540000000,4616000000,1432000000.0,243000000.0,948000000.0,2642000000,53000000.0,0.0,1751000000.0,4034000000,5070000000.0,3.66,1967000000,-1221000000.0,,0.0,-342000000.0,-300000000.0,-83000000,-849000000,2191000000,14368000000.0,4616000000,,,,
2016-06-30,1808000000.0,2356000000,4000000.0,845000000,330000000,,587000000,1431000000,4107000000,121546000000,115003000000,,-116000000.0,944000000,2815000000.0,7850000000,-2680000000,4.32,,,27551000000,-866000000.0,327000000,623000000.0,-651000000.0,21956000000,1427000000,6419000000,34122000000,1427000000,-512000000.0,4616000000,7405000000.0,12166000000,3648000000,2506000000,6554000000,0.0,-16000000.0,4952000000,111000000.0,19701000000,10615000000,-1139000000.0,-1179000000.0,641000000.0,0.0,-3614000000.0,1796000000,6543000000,2971000000,2356000000,2781000000.0,186000000.0,2259000000.0,3077000000,0.0,0.0,-2260000000.0,4476000000,7167000000.0,4.36,2276000000,-6000000.0,,117000000.0,-200000000.0,-465000000.0,18000000,-4080000000,2436000000,17306000000.0,2356000000,,,,
2017-06-30,1988000000.0,6879000000,59000000.0,630000000,320000000,,1327000000,1294000000,4302000000,129976000000,123432000000,,-125000000.0,681000000,564000000.0,12063000000,-2748000000,4.03,,,33284000000,-665000000.0,317000000,-1294000000.0,-600000000.0,28345000000,1288000000,4967000000,40112000000,1288000000,-577000000.0,2356000000,8048000000.0,11767000000,3775000000,797000000,6808000000,0.0,-5000000.0,9068000000,96000000.0,21221000000,11301000000,3746000000.0,-673000000.0,717000000.0,0.0,-132000000.0,1879000000,6544000000,1184000000,6879000000,2877000000.0,305000000.0,1986000000.0,2959000000,0.0,0.0,4523000000.0,4627000000,7221000000.0,4.06,1924000000,-310000000.0,,118000000.0,-194000000.0,-387000000.0,-117000000,-405000000,2242000000,17906000000.0,6879000000,,,,
2018-06-30,2002000000.0,1763000000,-144000000.0,-487000000,315000000,,1001000000,259000000,5303000000,136809000000,129628000000,,-92000000.0,682000000,2574000000.0,10999000000,-2773000000,0.81,,,33892000000,-871000000.0,313000000,870000000.0,-550000000.0,24553000000,256000000,4645000000,39951000000,256000000,-581000000.0,6879000000,7800000000.0,15398000000,4596000000,2384000000,6059000000,,-2000000.0,8012000000,85000000.0,22893000000,12308000000,-2276000000.0,-1211000000.0,1032000000.0,0.0,-6142000000.0,2487000000,7181000000,2768000000,1763000000,2975000000.0,65000000.0,3913000000.0,2910000000,,213000000.0,-5116000000.0,5260000000,8316000000.0,0.82,-228000000,-954000000.0,,12000000.0,-9000000.0,-384000000.0,-1777000000,-5608000000,1878000000,19677000000.0,1763000000,,,,
