date,annualChangeInCashSupplementalAsReported,annualCurrentAssets,annualGrossPPE,annualDilutedEPS,annualOtherNonCurrentLiabilities,annualDeferredIncomeTax,annualBeginningCashPosition,annualNetIncomeCommonStockholders,annualInterestExpense,annualBasicAverageShares,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualCapitalExpenditure,annualRepaymentOfDebt,annualOtherCurrentLiabilities,annualInventory,annualCashFlowFromContinuingFinancingActivities,annualCurrentDeferredRevenue,annualCostOfRevenue,annualTotalRevenue,annualPurchaseOfBusiness,annualCapitalStock,annualNetOtherFinancingCharges,annualCurrentDebt,annualFreeCashFlow,annualStockBasedCompensation,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualGrossProfit,annualDilutedAverageShares,annualNetIncomeContinuousOperations,annualChangeInWorkingCapital,annualOperatingExpense,annualChangeInInventory,annualNetIncome,annualRetainedEarnings,annualPurchaseOfInvestment,annualAccountsReceivable,annualCashDividendsPaid,annualGoodwill,annualPretaxIncome,annualIncomeTaxPayable,annualOtherNonCashItems,annualDepreciationAndAmortization,annualOtherCurrentAssets,annualInvestingCashFlow,annualLongTermDebt,annualOperatingIncome,annualStockholdersEquity,annualEndCashPosition,annualTotalAssets,annualTaxProvision,annualCurrentLiabilities,annualCurrentAccruedExpenses,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccountsPayable,annualBasicEPS,annualOtherShortTermInvestments,annualCommonStockIssuance,annualSaleOfInvestment,annualOtherIntangibleAssets,annualRepurchaseOfCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,annualEbitda,annualOtherNonCurrentAssets,annualNetPPE,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,annualChangesInAccountReceivables,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances
2004-01-31,-766000000.0,6689000000,6979000000,1.09,581000000.0,103000000.0,3027000000,1030000000,234000000.0,892554538,0.0,3654000000,0.0,-272000000.0,,0,1704000000,-636000000.0,,9886000000,15854000000,,49000000.0,0.0,283000000.0,1899000000,,,5560000000,-3611000000,5968000000,988177828,1030000000,297000000.0,4089000000,385000000.0,1030000000,6241000000,-1202000000.0,,-79000000.0,,1683000000,,,664000000.0,300000000,-1026000000,2487000000.0,1879000000,4783000000,2261000000,10343000000,653000000,2492000000,1031000000.0,2171000000,3068000000,,1178000000.0,1.15,,111000000.0,442000000.0,286000000.0,,22000000.0,2543000000,0,3368000000,2261000000,0.0,2261000000,,,,
2005-01-31,-16000000.0,6304000000,7169000000,1.21,984000000.0,-80000000.0,2261000000,1150000000,167000000.0,893356815,0.0,3744000000,-105000000.0,-442000000.0,,78000000,1814000000,-1796000000.0,,9886000000,16267000000,,49000000.0,0.0,,1178000000,,,5112000000,-3793000000,6381000000,991121573,1150000000,-122000000.0,4296000000,-90000000.0,1150000000,7181000000,-1813000000.0,,-79000000.0,,1872000000,,,620000000.0,413000000,160000000,1886000000.0,2085000000,4936000000,2245000000,10048000000,722000000,2242000000,924000000.0,1620000000,2870000000,,1240000000.0,1.29,817000000.0,130000000.0,2072000000.0,,-976000000.0,40000000.0,2705000000,368000000,3376000000,2245000000,343000000.0,3062000000,,,,
2006-01-31,-210000000.0,5239000000,6958000000,1.24,941000000.0,-46000000.0,2245000000,1113000000,45000000.0,881058000,0.0,3582000000,0.0,-600000000.0,,85000000,1696000000,-2040000000.0,,10154000000,16023000000,,54000000.0,0.0,,951000000,,,3396000000,-3712000000,5869000000,902306000,1113000000,-113000000.0,4124000000,114000000.0,1113000000,8133000000,-1868000000.0,,-179000000.0,,1793000000,,,625000000.0,501000000,286000000,513000000.0,1745000000,5425000000,2035000000,8821000000,680000000,1942000000,725000000.0,1551000000,1454000000,,1132000000.0,1.26,952000000.0,110000000.0,1745000000.0,,-1971000000.0,46000000.0,2370000000,336000000,3246000000,2035000000,982000000.0,2987000000,,,,
2007-01-31,-5000000.0,5029000000,7135000000,0.93,910000000.0,-41000000.0,2035000000,778000000,41000000.0,831087000,0.0,3515000000,0.0,-572000000.0,,16000000,1796000000,-1102000000.0,,10294000000,15943000000,,55000000.0,213000000.0,325000000.0,678000000,,,3370000000,-3938000000,5649000000,835973000,778000000,-84000000.0,4475000000,-97000000.0,778000000,8646000000,-1460000000.0,,-265000000.0,,1264000000,,67000000.0,530000000.0,589000000,-150000000,188000000.0,1174000000,5174000000,2030000000,8544000000,486000000,2272000000,822000000.0,1250000000,1098000000,,1109000000.0,0.94,570000000.0,,1841000000.0,,-1050000000.0,77000000.0,1704000000,318000000,3197000000,2030000000,19000000.0,2600000000,,,,
2008-01-31,-306000000.0,4086000000,7320000000,1.05,1081000000.0,-51000000.0,2030000000,833000000,26000000.0,791000000,0.0,3752000000,0.0,-682000000.0,,879000000,1575000000,-2146000000.0,,10071000000,15763000000,,55000000.0,132000000.0,138000000.0,1399000000,,,3564000000,-4053000000,5692000000,794000000,867000000,645000000.0,4377000000,252000000.0,833000000,9223000000,-894000000.0,,-252000000.0,,1406000000,,107000000.0,547000000.0,572000000,-274000000,50000000.0,1315000000,4274000000,1724000000,7838000000,539000000,2433000000,410000000.0,2081000000,1131000000,,1006000000.0,1.05,177000000.0,,1287000000.0,,-1700000000.0,125000000.0,1862000000,485000000,3267000000,1724000000,4000000.0,1901000000,,,,
2009-01-31,-9000000.0,4005000000,7245000000,1.34,,10000000.0,1724000000,967000000,1000000.0,716000000,0.0,3559000000,0.0,-431000000.0,,57000000,1506000000,-1005000000.0,,9079000000,14526000000,,55000000.0,81000000.0,50000000.0,981000000,,,3177000000,-4312000000,5447000000,719000000,967000000,-248000000.0,3899000000,51000000.0,967000000,9947000000,-75000000.0,,-243000000.0,,1584000000,,115000000.0,568000000.0,743000000,-398000000,,1548000000,4387000000,1715000000,7564000000,617000000,2158000000,1076000000.0,1412000000,1019000000,,975000000.0,1.35,,,251000000.0,,-705000000.0,123000000.0,2116000000,626000000,2933000000,1715000000,-2000000.0,1715000000,,,,
2010-01-31,633000000.0,4664000000,7427000000,1.58,,-50000000.0,1715000000,1102000000,1000000.0,694000000,,3321000000,2000000.0,-334000000.0,-50000000.0,0,1477000000,-771000000.0,,8473000000,14197000000,0.0,55000000.0,4000000.0,0.0,1594000000,64000000.0,,3094000000,-4799000000,5724000000,699000000,1102000000,43000000.0,3909000000,43000000.0,1102000000,10815000000,-350000000.0,,-234000000.0,99000000.0,1816000000,41000000.0,210000000.0,573000000.0,596000000,-537000000,,1815000000,4891000000,2348000000,7985000000,714000000,2131000000,1063000000.0,1928000000,963000000,40000000.0,1027000000.0,1.59,225000000.0,,125000000.0,61000000.0,-547000000.0,155000000.0,2390000000,693000000,2628000000,2348000000,21000000.0,2573000000,,,,
2011-01-31,-787000000.0,3926000000,7573000000,1.88,0.0,93000000.0,2348000000,1204000000,14000000.0,636000000,,3139000000,28000000.0,-557000000.0,0.0,0,1620000000,-2127000000.0,,8775000000,14664000000,0.0,55000000.0,8000000.0,,1187000000,77000000.0,,2985000000,-5010000000,5889000000,641000000,1204000000,-127000000.0,3921000000,-127000000.0,1204000000,11767000000,-475000000.0,205000000.0,-252000000.0,99000000.0,1982000000,50000000.0,105000000.0,562000000.0,645000000,-429000000,890000000.0,1968000000,4080000000,1561000000,7065000000,778000000,2095000000,996000000.0,1744000000,890000000,-7000000.0,1049000000.0,1.89,100000000.0,,600000000.0,57000000.0,-1959000000.0,185000000.0,2558000000,576000000,2563000000,1561000000,3000000.0,1661000000,,,,
2012-01-31,324000000.0,4309000000,7783000000,1.56,26000000.0,-1000000.0,1561000000,833000000,74000000.0,529000000,,3113000000,0.0,-548000000.0,0.0,275000000,1615000000,-602000000.0,228000000.0,9275000000,14549000000,,55000000.0,2000000.0,59000000.0,815000000,58000000.0,,4667000000,-5260000000,5274000000,533000000,833000000,4000000.0,3836000000,4000000.0,833000000,12364000000,-50000000.0,297000000.0,-236000000.0,99000000.0,1369000000,5000000.0,853000000.0,506000000.0,809000000,-454000000,1606000000.0,1438000000,2755000000,1885000000,7422000000,536000000,2128000000,998000000.0,1363000000,2539000000,11000000.0,1066000000.0,1.57,0.0,62000000.0,150000000.0,77000000.0,-2092000000.0,229000000.0,1944000000,590000000,2523000000,1885000000,-6000000.0,1885000000,,,,
2013-01-31,-425000000.0,4132000000,7910000000,2.33,986000000.0,-4000000.0,1885000000,1135000000,81000000.0,482000000,,3338000000,0.0,-659000000.0,-419000000.0,334000000,1758000000,-1481000000.0,232000000.0,9480000000,15651000000,-129000000.0,55000000.0,34000000.0,0.0,1277000000,113000000.0,,4576000000,-5291000000,6171000000,488000000,1135000000,-143000000.0,4229000000,-143000000.0,1135000000,13259000000,-200000000.0,331000000.0,-240000000.0,184000000.0,1861000000,108000000.0,461000000.0,483000000.0,864000000,-844000000,1246000000.0,1942000000,2894000000,1460000000,7470000000,726000000,2344000000,1092000000.0,1936000000,2232000000,91000000.0,1144000000.0,2.35,50000000.0,174000000.0,150000000.0,132000000.0,-1030000000.0,181000000.0,2425000000,719000000,2619000000,1510000000,-6000000.0,1510000000,,,,
2014-01-31,50000000.0,4430000000,8159000000,2.74,973000000.0,119000000.0,1460000000,1280000000,56000000.0,461000000,,3419000000,0.0,-670000000.0,0.0,408000000,1928000000,-1004000000.0,238000000.0,9855000000,16148000000,0.0,55000000.0,55000000.0,25000000.0,1035000000,116000000.0,,4787000000,-5401000000,6293000000,467000000,1280000000,-193000000.0,4144000000,-193000000.0,1280000000,14218000000,0.0,462000000.0,-321000000.0,180000000.0,2093000000,36000000.0,148000000.0,470000000.0,992000000,-624000000,1369000000.0,2149000000,3062000000,1510000000,7849000000,813000000,2445000000,1142000000.0,1705000000,2342000000,105000000.0,1242000000.0,2.78,0.0,97000000.0,50000000.0,131000000.0,-979000000.0,135000000.0,2619000000,661000000,2758000000,1510000000,-4000000.0,1510000000,,,,
2015-01-31,5000000.0,4317000000,8305000000,2.87,1141000000.0,112000000.0,1510000000,1262000000,70000000.0,435000000,,3373000000,-140000000.0,-714000000.0,-21000000.0,389000000,1889000000,-1507000000.0,251000000.0,10146000000,16435000000,0.0,21000000.0,38000000.0,21000000.0,1415000000,100000000.0,,4707000000,-5532000000,6289000000,440000000,1262000000,-9000000.0,4206000000,-9000000.0,1262000000,2797000000,0.0,275000000.0,-383000000.0,180000000.0,2013000000,20000000.0,376000000.0,500000000.0,913000000,-596000000,1332000000.0,2083000000,2983000000,1515000000,7690000000,751000000,2234000000,1020000000.0,2129000000,2473000000,-41000000.0,1173000000.0,2.9,,38000000.0,0.0,92000000.0,-1179000000.0,165000000.0,2583000000,600000000,2773000000,1515000000,-3000000.0,1515000000,,,,
2016-01-31,-145000000.0,3985000000,8494000000,2.23,1083000000.0,127000000.0,1515000000,920000000,53000000.0,411000000,,3488000000,0.0,-726000000.0,-21000000.0,395000000,1873000000,-990000000.0,254000000.0,10077000000,15797000000,,20000000.0,27000000.0,421000000.0,868000000,76000000.0,,4928000000,-5644000000,5720000000,413000000,920000000,-6000000.0,4196000000,-6000000.0,920000000,2440000000,,282000000.0,-377000000.0,180000000.0,1471000000,23000000.0,153000000.0,527000000.0,742000000,-730000000,1310000000.0,1524000000,2545000000,1370000000,7473000000,551000000,2535000000,979000000.0,1594000000,2393000000,-47000000.0,1112000000.0,2.24,,-4000000.0,0.0,92000000.0,-1015000000.0,85000000.0,2051000000,638000000,2850000000,1370000000,-4000000.0,1370000000,,,,
2017-01-31,413000000.0,4315000000,8429000000,1.69,1005000000.0,-58000000.0,1370000000,676000000,67000000.0,399000000,4449000000.0,3295000000,-134000000.0,-524000000.0,-421000000.0,400000000,1830000000,-777000000.0,256000000.0,9876000000,15516000000,,20000000.0,-18000000.0,65000000.0,1195000000,76000000.0,,4706000000,-5813000000,5640000000,400000000,676000000,46000000.0,4449000000,46000000.0,676000000,2749000000,,335000000.0,-367000000.0,109000000.0,1124000000,32000000.0,466000000.0,531000000.0,702000000,-529000000,1248000000.0,1191000000,2904000000,1783000000,7610000000,448000000,2453000000,1113000000.0,1719000000,2253000000,146000000.0,1243000000.0,1.69,,29000000.0,,95000000.0,0.0,54000000.0,1722000000,679000000,2616000000,1783000000,-5000000.0,1783000000,,,,
