date,annualNetOtherInvestingChanges,annualRetainedEarnings,annualGoodwill,annualTotalAssets,annualPretaxIncome,annualNetIncome,annualPurchaseOfInvestment,annualAccountsReceivable,annualOperatingIncome,annualInvestingCashFlow,annualAccountsPayable,annualFreeCashFlow,annualIncomeTaxPayable,annualEndCashPosition,annualStockholdersEquity,annualOtherNonCashItems,annualOtherCurrentAssets,annualLongTermDebt,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualCashAndCashEquivalents,annualTaxProvision,annualDepreciationAndAmortization,annualInvestmentsAndAdvances,annualNetPPE,annualChangeInAccountPayable,annualGainsLossesNotAffectingRetainedEarnings,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCashCashEquivalentsAndMarketableSecurities,annualCommonStockIssuance,annualOtherShortTermInvestments,annualSaleOfInvestment,annualOtherIntangibleAssets,annualRepurchaseOfCapitalStock,annualEbitda,annualBasicAverageShares,annualCurrentAssets,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,annualGrossPPE,annualBasicEPS,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualTotalNonCurrentAssets,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualOtherIncomeExpense,annualStockBasedCompensation,annualInventory,annualNetOtherFinancingCharges,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,annualDilutedEPS,annualCurrentDebt,annualDilutedAverageShares,annualCapitalStock,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualOperatingExpense,annualCurrentDeferredRevenue,annualCostOfRevenue,annualTotalRevenue,annualDeferredIncomeTax,annualResearchAndDevelopment,annualGrossProfit,annualAccumulatedDepreciation,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualChangesInAccountReceivables,annualChangeInWorkingCapital,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,annualInterestExpense
1997-03-31,0.0,-22014912,,18546590,,735264,-35554.0,4816500.0,200160,-1630038,1289024.0,-1831376,,1616696,15225063,,0.0,,2032506.0,3321530,1616696,,429612.0,,1889778,,,-236892,484997,-3.0,9361360,545294.0,7744664.0,,,,629772,14324694,16171815,0.0,735264,-1321636.0,4508381,0.05,,,2938332,2374775,-1594484.0,7068403,,,1820783,0.0,545294.0,-167271.0,0.05,,14324694,70082.0,,735264,10901321,,5360449,16461930,,3832918.0,11101481,-2618603,3321527,,,-1401768.0,,,
1998-03-31,-2540168.0,-24522676,,38615204,,-2507764,,5356348.0,-995115,-18510145,2057473.0,-16657331,,2683151,33017977,,0.0,,2872288.0,4929761,2683151,,876939.0,,3687059,,,-687354,638176,667466.0,26397792,20300678.0,23714641.0,,,,-118176,16148300,34289969,0.0,-2507764,1103179.0,6411501,-0.155,,,1579972,4325235,-15969977.0,9054095,,,2327442,0.0,20300678.0,-858704.0,-0.155,,16148300,86670.0,,-995115,16938295,,6502256,22445436,,9090517.0,15943180,-2724442,5597227,,,943471.0,,,
1999-03-31,0.0,-31234877,,32981621,,-6712201,-25548051.0,6437225.0,-7904365,13260717,874648.0,-8982312,,9279210,27071537,,0.0,,,5705268,9279210,,1385988.0,,3863359,,,-7430419,1268536,204816.0,18181241,765761.0,8902031.0,40360661.0,,,-6518377,17238200,27849726,4830620.0,-6712201,6596059.0,7747447,-0.39,,,2683151,5131895,-1551893.0,9772292,,,2895857,0.0,765761.0,-568415.0,-0.39,,17238200,86508.0,,-6712201,23221837,,6772132,22089604,,13449545.0,15317472,-3884088,5910084,,,-2104206.0,,,
2000-03-31,0.0,-41689000,,121788000,,-10454000,-8313000.0,6691000.0,-11560000,3077000,1553000.0,-8664000,,101917000,112924000,,0.0,,6360000.0,8149000,101917000,,1685000.0,,3951000,,,-7306000,690000,715000.0,106384000,96306000.0,4467000.0,12748000.0,,,-9875000,17578522,117147000,0.0,-10454000,92638000.0,9326000,-0.595,,,9279000,4641000,-1358000.0,12562000,,,3546000,0.0,96867000.0,-650000.0,-0.595,236000.0,17578522,102000.0,,-10454000,28195000,,5882000,22517000,,15633000.0,16635000,-5375000,8864000,,,1463000.0,,,
2001-03-31,0.0,-53090000,,118013000,,-11401000,-26991000.0,10028000.0,-17561000,-124000,2129000.0,-14514000,,90462000,108678000,,0.0,,5600000.0,8967000,90462000,,2968000.0,,4752000,,3145000.0,-11959000,6295000,368000.0,92498000,864000.0,2036000.0,29422000.0,,,-14593000,20583363,106966000,0.0,-11401000,-11455000.0,11881000,-0.55,,,101917000,11047000,-2555000.0,12411000,,,3674000,0.0,628000.0,-128000.0,-0.55,242000.0,20583363,208000.0,,-11401000,35082000,996000.0,7375000,24896000,,22671000.0,17521000,-7129000,9335000,,,-3526000.0,,,
2002-03-31,0.0,-84443000,,89524000,,-21676000,-38009000.0,7341000.0,-24621000,-25242000,1975000.0,-21692000,,45667000,79325000,,0.0,,5564000.0,10199000,45667000,,1771000.0,,4707000,,3145000.0,-20068000,1097000,,71321000,1007000.0,25654000.0,14391000.0,,,-22850000,20869160,83720000,0.0,-21676000,-44795000.0,11753000,-1.04,,,90462000,5804000,-1624000.0,16196000,,,4233000,0.0,515000.0,-689000.0,-1.04,54000.0,20869160,210000.0,,-21676000,43564000,2606000.0,7915000,26858000,,27368000.0,18943000,-7046000,10199000,,,-436000.0,,,
2003-03-31,-153000.0,-102071000,,68337000,,-18171000,-14648000.0,5394000.0,-19491000,14810000,1050000.0,-17024000,,44572000,62090000,,0.0,,4152000.0,6247000,44572000,,1704000.0,,4008000,,,-16184000,0,,54449000,333000.0,9877000.0,30425000.0,746000.0,,-17787000,20993598,63583000,0.0,-18171000,-1095000.0,12558000,-0.87,,,45667000,4754000,-840000.0,14748000,173000.0,,2856000,0.0,279000.0,1377000.0,-0.87,,20993598,210000.0,,-18171000,35300000,1045000.0,7501000,23310000,,20552000.0,15809000,-8550000,6247000,,,-195000.0,,,
2004-03-31,-41000.0,-111517000,,59161000,,-9446000,-38968000.0,5972000.0,-10252000,-29229000,1368000.0,-10565000,,6893000,54336000,-156000.0,0.0,,3267000.0,4825000,6893000,,1388000.0,,3201000,,-57000.0,-10136000,18216000,,27325000,1589000.0,20432000.0,10197000.0,765000.0,,-8864000,21153014,36979000,0.0,-9446000,-37679000.0,12975000,-0.45,,,44572000,22182000,-429000.0,14101000,172000.0,,2695000,0.0,1589000.0,198000.0,-0.45,,21153014,214000.0,,-9446000,28400000,190000.0,7591000,25739000,,14299000.0,18148000,-9774000,4825000,,,-2115000.0,,,
2005-03-31,-36000.0,-113859000,,61061000,,-2342000,-39520000.0,8635000.0,-3253000,1916000,1132000.0,-5861000,,7618000,56179000,,0.0,,3623000.0,4882000,7618000,,1240000.0,,2804000,,-278000.0,-5164000,2112000,,41505000,4087000.0,33887000.0,42169000.0,921000.0,,-2013000,21844759,55224000,0.0,-2342000,783000.0,13671000,-0.11,,,6835000,5837000,-697000.0,18606000,110000.0,,3877000,0.0,4087000.0,-1166000.0,-0.11,,21844759,221000.0,,-2342000,32103000,127000.0,9366000,38216000,,13497000.0,28850000,-10867000,4882000,,,-4142000.0,,,
2006-03-31,0.0,-143308000,19106000.0,78537000,-29093000.0,-29449000,-29021000.0,8880000.0,-30291000,7369000,3070000.0,-12403000,,7832000,69488000,371000.0,0.0,,5185000.0,8739000,7832000,356000.0,2742000.0,,4824000,,-2069000.0,-9339000,0,310000.0,30835000,2159000.0,23003000.0,42016000.0,8164000.0,-66000.0,-27549000,25649038,46443000,0.0,-29449000,214000.0,16902000,-1.15,,0.0,7618000,32094000,-3064000.0,30923000,4000.0,,4868000,0.0,2093000.0,-177000.0,-1.15,,25649038,265000.0,,-29449000,62276000,484000.0,11685000,43670000,310000.0,30045000.0,31985000,-12078000,9049000,310000.0,,2765000.0,,,
2007-03-31,0.0,-171189000,26708000.0,136183000,-27406000.0,-27881000,-17663000.0,10932000.0,-27711000,15095000,5185000.0,-22240000,,69646000,122095000,6137000.0,0.0,,7017000.0,12897000,69646000,475000.0,3915000.0,,5764000,,610000.0,-19820000,0,1191000.0,75125000,66607000.0,5479000.0,35187000.0,7329000.0,-50000.0,-23796000,27124000,96382000,0.0,-27881000,61814000.0,20056000,-1.03,,0.0,7832000,39801000,-2420000.0,42448000,305000.0,,8567000,0.0,66557000.0,-4095000.0,-1.03,,27124000,323000.0,,-27881000,66348000,695000.0,12012000,50649000,475000.0,22292000.0,38637000,-14292000,14088000,1191000.0,,-2466000.0,,,
2008-03-31,-5140000.0,-212394000,31563000.0,118031000,-40403000.0,-40930000,-66390000.0,14071000.0,-36487000,-40905000,9024000.0,-32703000,,2042000,93594000,11544000.0,0.0,,9290000.0,19476000,2042000,527000.0,6124000.0,,7551000,,4989000.0,-28874000,493000,4961000.0,38299000,3938000.0,36257000.0,34454000.0,6921000.0,-1868000.0,-30363000,32465000,71503000,0.0,-40930000,-67604000.0,18489000,-1.26,,221000.0,69646000,46528000,-3829000.0,52658000,-5122000.0,,17428000,0.0,2070000.0,-11078000.0,-1.26,,32465000,328000.0,,-40930000,80363000,1162000.0,15065000,58941000,527000.0,24917000.0,43876000,-10938000,24437000,4740000.0,,-8025000.0,,,
2009-03-31,0.0,-243991000,31295000.0,135958000,-30845000.0,-31597000,-60180000.0,15724000.0,-29518000,-26805000,5550000.0,-22056000,,1785000,115983000,1882000.0,0.0,,10818000.0,17579000,1785000,752000.0,5016000.0,3721000.0,7792000,-2402000.0,-1663000.0,-18305000,302000,2396000.0,57179000,42233000.0,55394000.0,37126000.0,4359000.0,,-24502000,34882000,88489000,0.0,-31597000,-257000.0,16060000,-0.91,,310000.0,2042000,47469000,-3751000.0,55357000,-1327000.0,8834000.0,14777000,-711000.0,46230000.0,-1598000.0,-0.91,,34882000,367000.0,,-31597000,82291000,1211000.0,20437000,73210000,721000.0,25328000.0,52773000,-8268000,19975000,2086000.0,-2539000.0,-3523000.0,,,
2010-03-31,0.0,-263797000,37170000.0,129570000,-19135000.0,-19806000,-11869000.0,13516000.0,-25858000,8818000,3764000.0,-9162000,,4788000,107014000,3558000.0,0.0,,13953000.0,19006000,4788000,671000.0,4898000.0,0.0,6753000,-1387000.0,-993000.0,-7362000,0,3550000.0,58265000,340000.0,53477000.0,17848000.0,2979000.0,,-24389000,36875000,82668000,0.0,-19806000,3003000.0,13021000,-0.52,,510000.0,1785000,46902000,-1800000.0,61682000,6723000.0,5365000.0,9211000,0.0,979000.0,927000.0,-0.52,,36875000,375000.0,-1750000.0,-19806000,89042000,1289000.0,22529000,85713000,954000.0,25891000.0,63184000,-6268000,22556000,3040000.0,2210000.0,3564000.0,,,
2011-03-31,456000.0,-274770000,38946000.0,131588000,-10863000.0,-11755000,-8004000.0,15376000.0,-11185000,-2352000,6283000.0,-230000,,5831000,104743000,2920000.0,0.0,,14078000.0,22343000,5831000,892000.0,3948000.0,,6273000,2480000.0,745000.0,1574000,0,4502000.0,60312000,313000.0,54481000.0,7000000.0,1632000.0,,-9790000,37167000,84737000,0.0,-11755000,1043000.0,14322000,-0.32,,492000.0,4788000,46851000,-1804000.0,62287000,322000.0,5421000.0,7505000,1061000.0,1374000.0,-1508000.0,-0.32,,37167000,377000.0,0.0,-11755000,90359000,1982000.0,21977000,101151000,970000.0,26677000.0,79174000,-8049000,26845000,4010000.0,-1923000.0,497000.0,,,
2012-03-31,0.0,-273275000,36846000.0,153911000,2543000.0,1495000,-24502000.0,20458000.0,1520000,-17480000,6910000.0,1889000,,5990000,126297000,3328000.0,0.0,,12480000.0,22415000,5990000,1048000.0,4336000.0,,6378000,287000.0,-1765000.0,3634000,33000,5199000.0,77223000,423000.0,71233000.0,8767000.0,115000.0,,2998000,38374000,110539000,0.0,1495000,159000.0,16273000,0.04,,400000.0,5831000,43372000,-1745000.0,71711000,1023000.0,7773000.0,11142000,0.0,14680000.0,-6229000.0,0.04,,40172000,393000.0,0.0,1495000,100348000,3025000.0,24507000,126375000,789000.0,27159000.0,101868000,-9895000,27614000,4799000.0,-5284000.0,-11745000.0,,,
2013-03-31,0.0,-258261000,35410000.0,169999000,16862000.0,15014000,-49429000.0,22946000.0,16543000,-10265000,7696000.0,23563000,2107000.0,9451000,137080000,9501000.0,0.0,,15162000.0,27056000,9451000,1848000.0,2723000.0,11406000.0,6549000,1183000.0,-3737000.0,26399000,29000,5863000.0,76707000,555000.0,67256000.0,42000000.0,,-15302000.0,16654000,39113000,116605000,558000.0,15014000,3461000.0,18745000,0.38,,308000.0,5990000,53394000,-2836000.0,84227000,319000.0,9501000.0,14930000,0.0,-11811000.0,-5315000.0,0.37,,41052000,397000.0,,15014000,109985000,4198000.0,31596000,158124000,755000.0,25647000.0,126528000,-12196000,32919000,5555000.0,-2586000.0,-2809000.0,,,
2014-03-31,0.0,-250910000,37990000.0,205407000,8530000.0,7351000,-87776000.0,24357000.0,8363000,-22272000,7746000.0,20705000,1445000.0,20916000,168353000,11218000.0,0.0,,17899000.0,30411000,20916000,1179000.0,2508000.0,41761000.0,6889000,-54000.0,-730000.0,23466000,801000,6643000.0,76579000,697000.0,55663000.0,68265000.0,,-425000.0,8363000,39334000,117966000,802000.0,7351000,11465000.0,20867000,0.19,,228000.0,9451000,87441000,-2761000.0,107251000,167000.0,11218000.0,13948000,0.0,9632000.0,-622000.0,0.18,,41606000,411000.0,,7351000,137958000,4766000.0,37322000,183643000,860000.0,30707000.0,146321000,-13978000,37054000,6415000.0,-1312000.0,-530000.0,,,
2015-03-31,0.0,-137222000,31534000.0,338367000,28765000.0,113688000,-100508000.0,31828000.0,28666000,-49863000,10389000.0,38102000,1506000.0,22401000,291560000,510000.0,0.0,,21894000.0,39319000,22401000,-84923000.0,2770000.0,13996000.0,9127000,3372000.0,-17330000.0,43290000,3654000,7488000.0,131958000,795000.0,109557000.0,71530000.0,14711000.0,0.0,28666000,40632000,220139000,853000.0,113688000,1485000.0,24894000,2.8,,6693000.0,20916000,118228000,-5188000.0,125727000,99000.0,16520000.0,16774000,-2199000.0,9523000.0,-6967000.0,2.65,,42858000,413000.0,-15697000.0,113688000,161700000,7036000.0,39945000,230311000,-87094000.0,35973000.0,190366000,-15767000,46807000,795000.0,-7970000.0,-4724000.0,,,
2016-03-31,0.0,-99075000,33003000.0,423931000,65838000.0,38147000,-261725000.0,42821000.0,65104000,-57710000,9381000.0,61171000,2527000.0,48231000,368775000,1053000.0,0.0,,28382000.0,46541000,48231000,27691000.0,3277000.0,1000000.0,23184000,-2645000.0,-14540000.0,76795000,4422000,8615000.0,212053000,1135000.0,163822000.0,219639000.0,15396000.0,,65104000,42204000,288392000,2001000.0,38147000,25830000.0,42266000,0.9,,7783000.0,22401000,135539000,-15624000.0,164261000,734000.0,29053000.0,26740000,-3746000.0,7160000.0,-11473000.0,0.85,,44895000,426000.0,0.0,38147000,214020000,8778000.0,50419000,329543000,22296000.0,49759000.0,279124000,-19082000,55156000,832000.0,-10930000.0,-15600000.0,,,
2017-03-31,0.0,-46959000,31045000.0,550414000,91343000.0,52116000,-281400000.0,54055000.0,90138000,-126333000,20620000.0,64701000,3180000.0,39040000,452071000,1590000.0,0.0,15539000.0,37703000.0,69617000,39040000,39227000.0,6202000.0,47143000.0,87777000,7565000.0,-20606000.0,115116000,8286000,28726000.0,229948000,1720000.0,190908000.0,205482000.0,14482000.0,,90138000,43238000,326958000,2021000.0,52116000,-9191000.0,107729000,1.21,-446000.0,12404000.0,48231000,223456000,-50415000.0,218153000,1205000.0,32866000.0,34931000,-8067000.0,3867000.0,-12284000.0,1.17,,44658000,437000.0,0.0,52116000,284539000,10495000.0,70627000,445304000,25803000.0,66386000.0,374677000,-19952000,98343000,783000.0,-11550000.0,5333000.0,,,
2018-03-31,,140457000,35808000.0,786375000,160437000.0,112170000,-331808000.0,70010000.0,157137000,-180762000,23565000.0,136683000,,42975000,689524000,1337000.0,,,46147000.0,84682000,42975000,48267000.0,11005000.0,37502000.0,117167000,4412000.0,-4204000.0,192546000,14176000,12169000.0,362249000,,319274000.0,206909000.0,16705000.0,,157137000,44153000,494271000,2587000.0,112170000,3935000.0,145026000,2.54,-517000.0,11266000.0,39040000,292104000,-55863000.0,262734000,3300000.0,40353000.0,50204000,-20317000.0,-9137000.0,-15686000.0,2.45,,45849000,444000.0,,112170000,338031000,14970000.0,98581000,593749000,42624000.0,75297000.0,495168000,-27859000,96851000,903000.0,-15289000.0,-18927000.0,,,
2019-03-31,,399473000,32601000.0,1054346000,263360000.0,259016000,-404337000.0,90809000.0,224812000,-116455000,32185000.0,208193000,,121021000,936890000,-915000.0,,,57420000.0,105998000,121021000,4344000.0,14121000.0,21718000.0,145005000,7976000.0,-14689000.0,252197000,85115000,11458000.0,491698000,,370677000.0,331886000.0,15208000.0,,224812000,44911000,677197000,,259016000,78046000.0,184705000,5.77,0.0,10636000.0,42975000,377149000,-44004000.0,321550000,38548000.0,54494000.0,80942000,-71776000.0,-55775000.0,-37181000.0,5.61,,46151000,451000.0,,259016000,415053000,16393000.0,129567000,769432000,-7745000.0,93503000.0,639865000,-39700000,117456000,822000.0,-22023000.0,-38841000.0,,,
