date,annualOtherShortTermInvestments,annualFreeCashFlow,annualCommonStockIssuance,annualTotalLiabilitiesNetMinorityInterest,annualBasicEPS,annualGainsLossesNotAffectingRetainedEarnings,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,annualOtherCurrentAssets,annualChangeInWorkingCapital,annualEndCashPosition,annualOperatingIncome,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualNetIncome,annualPretaxIncome,annualInvestmentsAndAdvances,annualCashDividendsPaid,annualCurrentDebt,annualSaleOfInvestment,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualDilutedAverageShares,annualLongTermDebt,annualCurrentAssets,annualDepreciationAndAmortization,annualRepurchaseOfCapitalStock,annualStockholdersEquity,annualTotalAssets,annualTaxProvision,annualNetIncomeCommonStockholders,annualDilutedEPS,annualCurrentLiabilities,annualRetainedEarnings,annualCurrentAccruedExpenses,annualAccountsReceivable,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualNetPPE,annualGrossProfit,annualRepaymentOfDebt,annualOperatingCashFlow,annualEbitda,annualGrossPPE,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualAccumulatedDepreciation,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,annualIncomeTaxPayable,annualInvestingCashFlow,annualDeferredIncomeTax,annualCapitalExpenditure,annualInventory,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualCapitalStock,annualPurchaseOfInvestment,annualTotalRevenue,annualBasicAverageShares,annualStockBasedCompensation,annualInterestExpense,annualChangesInAccountReceivables,annualResearchAndDevelopment,annualOtherIntangibleAssets,annualNonCurrentDeferredRevenue,annualCurrentDeferredRevenue,annualChangeInInventory,annualGoodwill,annualChangeInAccountPayable
2003-12-31,,605436042,88883164,8080638928,1.31,16746103,6720340075,463738246,1,-47661986,104341105,1669457684,340074714,104341105,1393791060,2343166302,1393791060,1932242690,,-86306840,184207136,,73425222,287260080,10305293,1095572712,2644596161,855339431,1565116579,-144274121,6117480356,14198119284,431534201,1388638413,1.2675,1360298854,3644209713,712353472,750998325,104341105,311735154,13342779853,13269354631,3628751771,,3131521319,3234574263,18738889605,,488213320,29627721,-5469534974,1959294087,3587530594,,-2165399974,338786552,-2526085277,,-891407961,-10305295,1,73425222,103052943,,5971918073,1060029323,,157155739,,,,,,,,
2004-12-31,,-892728581,23998080,11085913127,1.31,-5999520,9196064315,379169666,34797216,-14398848,27597792,2577393808,-87592993,27597792,1405087593,2661387089,1405087593,2159827214,,-100791937,194384449,,107991361,374370050,-64794816,1077144598,3538516919,1238300936,1768658507,-33597312,7324214063,18410127190,590352772,1400287977,1.3,1889848812,4922006240,1057115431,1175905928,27597792,-393568515,17171826254,17063834893,4886009119,,3689704824,4346052315,24426445884,,1207103432,104391649,-7362610991,2308615311,4450443964,,-4662826974,473962083,-4582433405,,897528198,7199425,259179266,-75593952,0,,7547396208,1068922120,,189584833,,,,,,,,
2005-12-31,,-543086405,9303408,13615536690,0.98,-9303407,9790673334,573322479,1162926,-145365740,17443889,3726014652,553552739,17443889,1050122107,3299220840,1050122107,1882777067,,-120944296,,,106989184,874520293,-2325851,1077048315,3321316432,2051401326,2013024770,-152343296,8237004303,21852540993,638446331,1050122107,0.975,3824863356,5804163275,1780439586,1545528550,17443889,-1957204326,19801139667,19694150483,6807768345,,4797069427,5739039422,29078962670,,1433887661,27910222,-9384812187,3081753693,5035469241,,-4333061984,353529480,-5340155832,,-474473776,18606815,1471101291,-10466333,0,,10106989185,1071553170,,148854518,,,,,,,,
2006-12-31,,-3089468779,20969245,22470876048,2.35,-12814539,19400046598,842264678,106011183,-679170550,23299161,4040074557,101351351,23299161,2524464119,4636533085,2524464119,3654473439,,-152609506,,,154939423,319198509,-711789374,1074240051,11042637465,2239049394,2390493942,-27958993,10689655172,33160531221,873718546,2524464119,2.35,3070829450,8140726934,1618126747,1946644921,23299161,-502096925,30921481827,30766542404,7006057782,,4176374651,6430568499,42571062441,,1394454799,17474371,-11804520037,2965983225,6962954334,,-11734622554,652376514,-7265843430,,7564072693,36113699,610438024,4659832,0,,11642590867,1074240051,,139794967,,,,,,,,
2007-12-31,,-645545735,20856093,22792730162,2.42,71506604,19229317708,379382262,18869798,-346608402,20856093,2407389017,-185718542,20856093,2608004767,3575330221,2608004767,2697388023,,-177773364,,,30787566,3532624888,1150064554,1077687920,10939517330,2180951435,2863243619,,13321084517,36113814679,-76472341,2608004767,2.42,3563412454,10575032277,1567186414,1661535406,20856093,331711193,33932863244,33902075678,8968119973,,5818849935,5270632636,45705631145,,1561227531,22842388,-11803555467,6560730956,6728572847,,-6539874863,-455854603,-6464395670,,719038633,8938325,1616843778,-1986295,0,,12543450194,1077687920,,276094945,,,,,,,,
2008-12-31,,-666585722,18212725,24276347742,4.61,262263235,20855998057,382467217,1851627004,-188198154,26711996,6727780476,235551238,26711996,4985429820,6403593978,4985429820,7270519670,,-207625061,420106848,,292617776,179698883,-2347013113,1081294000,12595920350,3392423507,2683341428,,18374210782,42650558524,2107819330,4985429820,4.61,3420349684,15343613405,1801845556,1514084507,26711996,473530840,39258135017,38965517241,9769305488,,6766634288,9411121904,56450947061,,1124332199,20641088,-17485429820,3041525012,7135745508,,-7178241865,1607576493,-7433220010,,416464303,44924721,230694512,6070908,0,,16172899466,1081294000,,127489072,,,,,,,,
2009-12-31,,2827000000,24000000,21598000000,1.46,-104000000,19193000000,240000000,0,-235000000,13000000,2475000000,-609000000,13000000,1580000000,4205000000,1580000000,1975000000,,-225000000,643000000,,18000000,1274000000,2053000000,1083850000,9658000000,1891000000,,,19426000000,41024000000,289000000,1580000000,1.46,2405000000,16696000000,1522000000,1148000000,13000000,-90000000,39133000000,39115000000,5937000000,-2055000000,5812000000,5204000000,59006000000,,1848000000,27000000,-19891000000,3462000000,7687000000,,-3558000000,-99000000,-2985000000,584000000,-2268000000,-12000000,0,-14000000,2834000000,,10142000000,1083850000,355000000,410000000,,,,,,,,
2010-12-31,,949000000,170000000,21684000000,1.56,-167000000,18528000000,274000000,0,149000000,22000000,3131000000,129000000,22000000,1697000000,6651000000,1697000000,2878000000,,-302000000,719000000,,25000000,504000000,-51000000,1088096000,8499000000,2172000000,,-68000000,20985000000,42669000000,1181000000,1697000000,1.56,3156000000,18005000000,2163000000,1481000000,22000000,196000000,40497000000,40472000000,7671000000,-872000000,6284000000,7363000000,64220000000,,2130000000,13000000,-23748000000,4540000000,7899000000,,-5198000000,364000000,-5335000000,610000000,-1077000000,-5000000,0,9000000,3147000000,,14322000000,1088096000,294000000,449000000,,,,,,,,
2011-12-31,,42000000,,24380000000,2.41,26000000,20346000000,526000000,0,-36000000,34000000,3927000000,559000000,34000000,2643000000,7713000000,2643000000,3910000000,,-378000000,359000000,,391000000,133000000,-659000000,1102582000,8212000000,2781000000,,-104000000,22898000000,47278000000,1267000000,2643000000,2.4,4034000000,19365000000,2347000000,2077000000,34000000,356000000,44497000000,44106000000,7794000000,0,6243000000,7887000000,44106000000,,3913000000,22000000,-27423000000,3867000000,8221000000,347000000,-5963000000,407000000,-6201000000,550000000,-268000000,-15000000,455000000,12000000,0,-321000000,15507000000,1095582000,-102000000,373000000,,,,,,,,
2012-12-31,,105000000,194000000,24697000000,1.72,58000000,20721000000,465000000,0,447000000,37000000,3053000000,177000000,37000000,1892000000,12935000000,1892000000,2609000000,310000000,-444000000,798000000,,117000000,56000000,-100000000,1099519000,7938000000,1914000000,,-318000000,24283000000,48980000000,717000000,1892000000,1.72,3976000000,20516000000,2273000000,1197000000,37000000,-80000000,47066000000,46639000000,3260000000,,6209000000,7303000000,78099000000,,4609000000,34000000,-31460000000,207000000,8174000000,285000000,-5927000000,-30000000,-6104000000,554000000,-279000000,-37000000,155000000,3000000,0,,16195000000,1097084000,-214000000,366000000,,,,,,,,
2013-12-31,,151000000,130000000,25982000000,2.08,42000000,20748000000,637000000,0,-33000000,16000000,3163000000,61000000,16000000,2270000000,14141000000,2270000000,3036000000,306000000,-523000000,1444000000,0,136000000,470000000,-55000000,1090541000,8217000000,2216000000,,-320000000,25772000000,51754000000,766000000,2270000000,2.08,5234000000,21876000000,2519000000,1427000000,16000000,152000000,49538000000,49096000000,3804000000,-398000000,7218000000,8162000000,85157000000,,4348000000,37000000,-36061000000,641000000,8183000000,359000000,-7006000000,89000000,-7067000000,632000000,-233000000,-23000000,275000000,-21000000,0,,17945000000,1088682000,135000000,282000000,,,,,,,,
2014-12-31,,-2939000000,488000000,31309000000,3.6,51000000,26167000000,564000000,510000000,-744000000,25000000,4860000000,221000000,25000000,3929000000,15815000000,3929000000,5163000000,,-955000000,980000000,,674000000,433000000,-191000000,1096822000,13022000000,3489000000,,-453000000,28891000000,60200000000,1234000000,3929000000,3.58,5142000000,24408000000,3279000000,1889000000,25000000,626000000,56711000000,56037000000,5486000000,,8459000000,10381000000,97073000000,,4175000000,16000000,-41036000000,626000000,8970000000,0,-11177000000,807000000,-11398000000,665000000,2727000000,-22000000,319000000,9000000,0,,21301000000,1091754000,66000000,338000000,,,,,,,,
2015-12-31,974000000,1164000000,91000000,31894000000,-0.58,75000000,27299000000,571000000,375000000,239000000,69000000,-742000000,-997000000,69000000,-637000000,13392000000,-637000000,-667000000,,-1251000000,1729000000,,1155000000,344000000,-219000000,1093862000,15065000000,4059000000,,0,27381000000,59275000000,-30000000,-637000000,-0.58,4595000000,22765000000,2089000000,1277000000,1043000000,397000000,55216000000,54061000000,-225000000,,5632000000,5138000000,101011000000,,2890000000,25000000,-46950000000,517000000,9344000000,,-5465000000,264000000,-4468000000,525000000,-123000000,-40000000,206000000,44000000,0,,13167000000,1093862000,-46000000,322000000,,,,,,,,
2016-12-31,913000000,-345000000,559000000,32381000000,-0.19,70000000,27289000000,595000000,283000000,-542000000,17000000,-1279000000,-14000000,17000000,-204000000,11535000000,-204000000,-1063000000,,-758000000,1812000000,,1020000000,700000000,-157000000,1100471000,14993000000,4336000000,,0,26267000000,58648000000,-859000000,-204000000,-0.19,5092000000,21526000000,2222000000,1434000000,930000000,599000000,54312000000,53292000000,-437000000,-834000000,3452000000,4178000000,104208000000,,3223000000,69000000,-50916000000,842000000,9073000000,,-3811000000,-241000000,-3797000000,689000000,307000000,0,463000000,-52000000,0,,11098000000,1100471000,355000000,383000000,,,,,,,,
2017-12-31,893000000,2564000000,,42214000000,2.04,-68000000,35953000000,775000000,79000000,299000000,137000000,2335000000,226000000,137000000,2397000000,14717000000,2397000000,2873000000,,-1252000000,1877000000,,1168000000,453000000,-220000000,1182823000,20581000000,4897000000,,,31653000000,73867000000,476000000,2397000000,2.03,6261000000,22612000000,2597000000,2397000000,1030000000,1169000000,68970000000,67802000000,2952000000,,7262000000,8787000000,122381000000,-8630000000,4397000000,17000000,-54579000000,617000000,10975000000,,-13102000000,640000000,-4698000000,894000000,5960000000,,1012000000,120000000,0,,17669000000,1175094000,134000000,728000000,,,,,,,,
2018-12-31,524000000,5680000000,,39585000000,2.13,122000000,34823000000,779000000,116000000,1346000000,101000000,4848000000,-373000000,101000000,2591000000,17069000000,2591000000,3522000000,287000000,-1562000000,1141000000,,92000000,179000000,-127000000,1223758000,19482000000,3020000000,,-1282000000,31974000000,71559000000,931000000,2591000000,2.12,4762000000,22529000000,2356000000,1148000000,625000000,-587000000,68539000000,67196000000,5213000000,,10121000000,9481000000,126459000000,0,3890000000,137000000,-59263000000,365000000,11451000000,151000000,-4814000000,557000000,-4441000000,955000000,-5343000000,,335000000,-36000000,0,,22282000000,1218798000,-146000000,798000000,,,,,,,,
2019-12-31,490000000,5221000000,,43130000000,,34000000,36493000000,816000000,54000000,-1033000000,139000000,5592000000,-235000000,139000000,5416000000,18045000000,5416000000,4956000000,,-1743000000,2391000000,,1223000000,567000000,-215000000,,18591000000,4487000000,,-941000000,34991000000,78121000000,-460000000,5416000000,,6637000000,25424000000,2611000000,2465000000,,200000000,73634000000,72411000000,6349000000,-237000000,8829000000,11414000000,134157000000,-3412000000,7363000000,101000000,-61746000000,757000000,10539000000,0,-7255000000,-894000000,-3608000000,1152000000,-1536000000,,819000000,38000000,9533000000,,24394000000,,223000000,912000000,,,,,,,,
