date,annualGrossPPE,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualInterestExpense,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualRepaymentOfDebt,annualTotalNonCurrentAssets,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualOtherIncomeExpense,annualStockBasedCompensation,annualNetOtherFinancingCharges,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualCurrentDebt,annualPurchaseOfBusiness,annualOperatingExpense,annualCapitalStock,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualTotalRevenue,annualDeferredIncomeTax,annualGrossProfit,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,annualChangesInAccountReceivables,annualInventory,annualBasicAverageShares,annualChangeInWorkingCapital,annualNetOtherInvestingChanges,annualRetainedEarnings,annualBasicEPS,annualTotalAssets,annualNetIncome,annualCashDividendsPaid,annualAccountsReceivable,annualPurchaseOfInvestment,annualGainsLossesNotAffectingRetainedEarnings,annualAccountsPayable,annualOperatingIncome,annualFreeCashFlow,annualInvestingCashFlow,annualPretaxIncome,annualIncomeTaxPayable,annualEndCashPosition,annualStockholdersEquity,annualNonCurrentDeferredRevenue,annualOtherNonCashItems,annualLongTermDebt,annualOtherCurrentAssets,annualDepreciationAndAmortization,annualCurrentLiabilities,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,annualTaxProvision,annualDilutedAverageShares,annualSaleOfInvestment,annualInvestmentsAndAdvances,annualChangeInAccountPayable,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualDilutedEPS,annualCommonStockIssuance,annualCashCashEquivalentsAndMarketableSecurities,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualEbitda,annualOtherNonCurrentAssets,annualNetPPE,annualGoodwill,annualResearchAndDevelopment,annualCurrentDeferredRevenue,annualOtherShortTermInvestments,annualOtherIntangibleAssets
2008-12-31,245973000,6431000,8741000,0,4759000,,0,,233095000,-24697000,6685000,-573000,,-1635000,105000,13096000,8741000,,18094000,57875000,6431000,,32838000,1911000,32838000,170676000,19549000,-34591000,,741000,11298215,-271000,74000,11891000,0.57,240442000,6431000,-5460000,3243000,,,2011000,14744000,-13170000,-24623000,10059000,,0,69766000,,,83612000,676000,,14196000,,2252000,3628000,11298215,,,,11527000,,0.57,1309000,,,7347000,18366000,3728000,211382000,,,,,
2009-12-31,260568000,7512000,0,0,4990000,41132000,0,-33611000,241691000,-14771000,7101000,-307000,,-483000,50000,-590000,9341000,,19655000,0,7512000,0,37043000,2515000,37043000,161915000,22507000,-38539000,,716000,11695155,1323000,-500000,13353000,0.64,248837000,7512000,-5849000,2938000,,,892000,17388000,1030000,-15211000,12091000,,0,86922000,,39000,73227000,0,4412000,14605000,,2491000,4579000,11695155,60000,0,,15801000,147310000,0.64,15694000,,,7146000,21493000,3993000,222029000,,,,,
2010-12-31,270758000,8929000,0,1327000,4906000,25926000,0,-37784000,251138000,-10541000,6725000,-354000,,-116000,97000,-2956000,41000,,19238000,0,8929000,0,39005000,2591000,39005000,168674000,,-42369000,,608000,12626660,-1456000,0,15776000,0.71,259931000,8929000,-6459000,3769000,,,1245000,19767000,4214000,-10472000,14507000,,1327000,91257000,,99000,85132000,167000,4592000,5331000,1327000,2586000,5578000,12626660,69000,,,14755000,163343000,0.71,1912000,1327000,,8793000,24005000,4020000,228389000,,,,,
2011-12-31,279046000,9084000,0,2679000,5254000,26977000,1327000,-156000,262830000,,7309000,-578000,,-171000,-1300000,-5362000,42000,,20754000,0,9084000,0,40629000,3189000,40629000,178954000,29809000,-46067000,,692000,12734420,-82000,-9472000,18152000,0.71,274219000,9084000,-6667000,3705000,,,1110000,19875000,17474000,-9433000,14043000,,4006000,95265000,13761000,9462000,84975000,0,4905000,5283000,4006000,1638000,4959000,12734420,39000,,,17474000,173671000,0.71,1632000,4006000,,11389000,24202000,3973000,232979000,,,,,
2012-12-31,290574000,9303000,0,6000,5249000,28223000,4006000,-42000,270845000,-12204000,7303000,-415000,,476000,-650000,-4242000,42000,,13653000,0,9303000,7221000,41447000,2311000,34226000,182665000,32425000,-50259000,-699000,728000,12847160,-570000,30000,20526000,0.72,282490000,9303000,-6862000,4038000,,,1121000,20573000,4218000,-12174000,14909000,96000,4012000,99825000,12949000,208000,84933000,0,5170000,5474000,4012000,1585000,5606000,12847160,30000,776000,486000,16422000,177191000,0.72,2186000,4012000,,11645000,25328000,4066000,240315000,,,,,
2013-12-31,299673000,9654000,0,3553000,5244000,29926000,4012000,-47000,267297000,-9880000,7406000,-51000,,420000,-1056000,-5537000,43000,,14272000,0,9654000,7350000,42383000,1939000,35033000,179018000,34594000,-54673000,11000,722000,12928040,888000,532000,22966000,0.75,282529000,9654000,-7156000,3772000,,,1758000,20761000,8558000,-9348000,15466000,1724000,7565000,103511000,11636000,213000,84885000,0,5744000,7843000,7565000,1587000,5812000,12928040,32000,,306000,18438000,171175000,0.75,3018000,7565000,-1772000,15232000,26454000,3681000,245000000,,,,,
2014-12-31,313768000,11484000,0,-6077000,5087000,31052000,7565000,-14923000,293106000,-14508000,8812000,-629000,,-287000,-11438000,-10721000,43000,,15855000,0,11484000,7968000,45900000,4753000,37932000,199776000,46024000,-59809000,-632000,771000,12879912,-3286000,40000,27007000,0.89,304339000,11484000,-7402000,3991000,,,1589000,22077000,4258000,-14122000,16361000,0,1488000,104563000,10712000,199000,84842000,0,5932000,5930000,1488000,1573000,4877000,12879912,40000,,11502000,18766000,193846000,0.89,2703000,1488000,-5692000,11233000,27380000,3694000,253959000,,,,,
2015-12-31,326460000,12489000,0,1391000,5053000,34930000,1488000,-11886000,301699000,-14196000,9082000,-379000,,372000,-2339000,-5134000,44000,,16362000,0,12489000,8066000,47089000,2270000,39023000,204421000,50495000,-64271000,-73000,771000,12831687,-389000,11000,31753000,0.97,313491000,12489000,-7682000,3535000,,,1772000,22661000,6514000,-14185000,17229000,,2879000,109070000,7500000,189000,87261000,0,6151000,6197000,2879000,1499000,4740000,12831687,,,2166000,20710000,198224000,0.97,2307000,2879000,-2546000,11792000,28433000,3516000,262189000,,,,,
2016-12-31,340490000,11846000,0,1330000,5265000,36654000,2879000,-53000,307874000,-13208000,9129000,-368000,22000,1326000,-3098000,-5509000,44000,-50000,16665000,0,11846000,8031000,47584000,1646000,39553000,206433000,54169000,-68838000,-867000,746000,12845955,-866000,642000,35548000,0.92,320494000,11846000,-7956000,4296000,,,3669000,22888000,6157000,-12526000,17255000,,4209000,114061000,7102000,331000,84609000,0,6422000,8184000,4209000,1435000,5409000,12845973,,,2387000,19365000,198249000,0.92,2513000,4209000,-1339000,12620000,28942000,2940000,271652000,,,,,
2017-12-31,363270000,12974000,0,-4207000,5348000,38661000,4209000,-17533000,323419000,-25074000,9323000,392000,46000,1229000,-507000,756000,1044000,,17225000,0,12974000,8891000,48589000,2484000,39698000,212625000,34754000,-73746000,-572000,906000,12849123,-2216000,,40204000,1.01,332030000,12974000,-8229000,4547000,,,3136000,22473000,-4963000,-25074000,17517000,531000,2000,119405000,6324000,54000,90098000,0,6769000,9145000,2000,1408000,4543000,12849171,,,-2018000,20111000,203480000,1.01,1905000,2000,-1263000,8611000,29634000,3309000,289524000,,,,,
2018-12-31,378800000,13376000,,0,5509000,39725000,2000,-25691000,336129000,-16882000,8095000,-1141000,80000,1589000,-6094000,-1598000,1030000,,16250000,0,13376000,9670000,48437000,58000,38767000,218945000,36962000,-78929000,-483000,876000,12903568,-2447000,108000,44890000,1.04,345140000,13376000,-8583000,4426000,,,3030000,22517000,1490000,-16774000,15867000,150000,2000,126195000,6849000,295000,93328000,,7010000,10841000,2000,1337000,2491000,12903836,,,4508000,18372000,208104000,1.04,2024000,2000,0,9011000,28386000,3650000,299871000,,,,,
2019-12-31,399269000,14402000,,0,5124000,40029000,2000,-86906000,354145000,-20537000,8517000,-2020000,166000,686000,-5903000,1656000,6500000,,17405000,83976000,14402000,10387000,51578000,641000,41191000,229344000,40426000,-85276000,282000,1007000,,-4267000,,50209000,,363529000,14402000,-8986000,4574000,,,3452000,23786000,-1656000,-20537000,16642000,0,2000,134185000,7844000,251000,94535000,,7688000,15156000,2000,1252000,2240000,,,,2129000,18881000,214188000,,2505000,,,9384000,29454000,5708000,313993000,,,,,
