date,annualChangesInAccountReceivables,annualInterestExpense,annualBeginningCashPosition,annualSellingGeneralAndAdministration,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualRepaymentOfDebt,annualDilutedAverageShares,annualChangeInCashSupplementalAsReported,annualTaxProvision,annualCurrentDebt,annualTotalRevenue,annualCapitalStock,annualNetOtherFinancingCharges,annualFreeCashFlow,annualBasicAverageShares,annualChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualTotalLiabilitiesNetMinorityInterest,annualCashDividendsPaid,annualPurchaseOfInvestment,annualPretaxIncome,annualAccountsReceivable,annualLongTermDebt,annualNetIncome,annualBasicEPS,annualGoodwill,annualSaleOfInvestment,annualIncomeTaxPayable,annualStockholdersEquity,annualOtherNonCashItems,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,annualRetainedEarnings,annualInvestingCashFlow,annualEndCashPosition,annualOperatingIncome,annualOtherIncomeExpense,annualAccountsPayable,annualOtherShortTermInvestments,annualOperatingCashFlow,annualCommonStockIssuance,annualChangeInAccountPayable,annualOtherIntangibleAssets,annualDilutedEPS,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,annualResearchAndDevelopment,annualCurrentDeferredRevenue,annualTotalNonCurrentAssets,annualOtherNonCurrentAssets,annualNetPPE,annualCostOfRevenue,annualOtherCurrentLiabilities,annualOtherCurrentAssets,annualCurrentAccruedExpenses,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualInventory,annualCurrentAssets,annualCurrentLiabilities,annualEbitda,annualOperatingExpense,annualGrossProfit,annualOtherNonCurrentLiabilities,annualStockBasedCompensation,annualChangeInInventory,annualNonCurrentDeferredRevenue,annualAccumulatedDepreciation,annualCapitalExpenditure,annualGrossPPE
2002-12-31,1458244000,193494000,671381000,943333000,76549000,-145120000,,291898810,-8026000,-115688000,145940000,7123004000,10945000,0,2424988000,281833333,-2332180000,,76549000,,37062251000,-193132000,-18168675000,-39139000,16896399000,1748937000,76549000,0.19,2716860000,16396344000,,6388686000,4785509000,43450937000,-491411000,0,2199313000,-1941603000,663355000,154355000,-20552000,3337512000,1884760000,2424988000,52034000,643662000,,0.19,16715532000,0,439892000,663355000,2548115000,-169272000,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,423345000,177425000,663355000,1161071000,1417482000,206050000,-213000,282930539,-101705000,278347000,545727000,10689742000,13962000,556687000,4224566000,277937647,-153637000,,1417482000,,40717997000,-230718000,-20659675000,1695829000,17108851000,1349202000,1417482000,5.1,2710830000,15939537000,,8834796000,2663091000,49552793000,395206000,0,3380619000,-4721477000,561650000,1873254000,-27262000,3424591000,2927407000,4224566000,69450000,-253586000,,5.01,22116485000,-556687000,719772000,561650000,3489057000,-1339000,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,-997235000,182984000,561650000,1287599000,1139089000,-20503000,-474432000,297412272,-27655000,275683000,146295000,12332125000,14153000,-75000000,4953338000,292074103,4228598000,,1139089000,,46506624000,-270977000,-26410829000,1414772000,18722096000,1848927000,1139089000,3.9,2612449000,20849177000,,9835812000,-608158000,56342436000,-154803000,107156000,4242174000,-4801851000,533995000,1597756000,-182984000,4548721000,3199169000,4953338000,91041000,4946308000,,3.83,26167226000,,736426000,533995000,3733164000,-198763000,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,-1640000000,174000000,498000000,1261000000,1028000000,-15000000,-249000000,310574018,14000000,273000000,300000000,13088000000,15000000,-103000000,4308000000,305952381,2084000000,,1028000000,,50628000000,-298000000,-32963000000,1301000000,19003000000,1811000000,1028000000,3.36,2703000000,27509000000,,11812000000,1031000000,62440000000,1328000000,90000000,4965000000,-5593000000,512000000,1475000000,-174000000,6231000000,3054000000,4308000000,1613000000,4769000000,,3.31,30199000000,,332000000,512000000,3566000000,-146000000,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,403000000,176000000,512000000,1456000000,2305000000,57000000,-300000000,333574530,53000000,522000000,578000000,13328000000,16000000,0,4105000000,328347578,2342000000,,2301000000,,52857000000,-357000000,-42569000000,2823000000,18160000000,1560000000,2305000000,7.02,2731000000,42529000000,156000000,14278000000,-609000000,67135000000,-284000000,10000000,6906000000,-3770000000,565000000,2999000000,-176000000,7291000000,2456000000,4105000000,75000000,1129000000,,6.91,33585000000,,716000000,565000000,3021000000,-3730000000,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,533000000,175000000,565000000,1455000000,2578000000,25000000,,336553525,-55000000,575000000,372000000,14154000000,16000000,24000000,4701000000,330937099,2764000000,,2578000000,,55413000000,-386000000,-49387000000,3153000000,17902000000,1811000000,2578000000,7.79,2731000000,45276000000,111000000,16677000000,-660000000,72090000000,-253000000,6000000,9080000000,-4530000000,510000000,3328000000,-175000000,8575000000,2631000000,4701000000,74000000,1333000000,,7.66,38530000000,,769000000,510000000,3141000000,-419000000,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,,230000000,510000000,1737000000,1173000000,-141000000,-89000000,332500000,357000000,370000000,471000000,13671000000,10827000000,12000000,4101000000,328264771,1413000000,,1197000000,-2521000000,57611000000,-386000000,-44843000000,1567000000,3453000000,2806000000,1197000000,3.516377,,43848000000,138000000,14446000000,-1000000,72057000000,314000000,,74000000,-4124000000,867000000,11934000000,39000000,2841000000,3350000000,4101000000,10000000,,3747000000,3.516377,39185000000,,-1916000000,867000000,867000000,-608000000,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,,225000000,867000000,1811000000,2549000000,-19000000,-466000000,337500000,-198000000,528000000,161000000,15075000000,10503000000,8000000,3335000000,336501257,556000000,,2549000000,0,58313000000,-388000000,-38086000000,3077000000,3671000000,3158000000,2549000000,7.544956,,34855000000,111000000,19667000000,53000000,77980000000,-321000000,,2818000000,-3224000000,669000000,3247000000,201000000,3295000000,1667000000,3335000000,10000000,,3931000000,7.544956,45573000000,,823000000,669000000,669000000,7000000,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,224000000,669000000,1858000000,3108000000,116000000,-659000000,341246387,103000000,559000000,1300000000,16006000000,10161000000,-1000000,3546000000,339685143,437000000,,3108000000,-1139000000,60381000000,-435000000,-32666000000,3667000000,4233000000,3358000000,3108000000,9.15,,30066000000,116000000,22974000000,172000000,83355000000,732000000,,5926000000,-4181000000,772000000,3667000000,0,3282000000,1983000000,3546000000,10000000,-172000000,4664000000,9.11,50075000000,-235000000,1594000000,772000000,2755000000,-442000000,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,,15000000,772000000,592000000,1220000000,19000000,-5288000000,340780224,-158000000,394000000,1251000000,8115000000,10095000000,139000000,3470000000,338159409,569000000,,1220000000,-606000000,62989000000,-459000000,-25227000000,1614000000,4387000000,3360000000,1220000000,4.68,,23346000000,159000000,24516000000,350000000,87505000000,-565000000,,7511000000,-3036000000,614000000,1624000000,-10000000,3542000000,2301000000,3470000000,,216000000,4831000000,4.65,53362000000,-195000000,1911000000,614000000,2915000000,-549000000,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,759000000,238000000,614000000,1768000000,2706000000,-7000000,-2783000000,342746950,1000000,212000000,1401000000,15841000000,24644000000,126000000,3995000000,339843438,819000000,,2471000000,-98000000,65014000000,-815000000,-24648000000,2683000000,16225000000,3669000000,2471000000,7.96,,21862000000,20000000,27531000000,335000000,92545000000,-550000000,,10033000000,-3439000000,615000000,2683000000,0,8869000000,2228000000,3995000000,,-193000000,5589000000,7.89,58002000000,-11000000,2887000000,615000000,2843000000,-555000000,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,186000000,275000000,615000000,2211000000,3758000000,240000000,-2572000000,344147575,-36000000,480000000,1901000000,19261000000,27673000000,113000000,4022000000,340906490,48000000,,3758000000,-977000000,65685000000,-517000000,-22580000000,4238000000,16253000000,4116000000,3758000000,11.02,,19508000000,,28825000000,212000000,94510000000,391000000,,13791000000,-4442000000,579000000,4185000000,802000000,8438000000,1763000000,4022000000,135000000,213000000,5940000000,10.92,58422000000,-287000000,1152000000,579000000,2342000000,-393000000,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,-346000000,280000000,579000000,2245000000,2853000000,145000000,-2478000000,338986287,76000000,634000000,2552000000,19171000000,28396000000,188000000,4496000000,335609899,654000000,,2853000000,,68661000000,-862000000,-16904000000,3487000000,17418000000,3666000000,2853000000,8.5,,15440000000,,29587000000,149000000,98248000000,-1777000000,,16644000000,-2504000000,655000000,3440000000,297000000,9821000000,2322000000,4496000000,127000000,389000000,6190000000,8.42,60062000000,-1429000000,1191000000,655000000,2977000000,-274000000,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,198000000,300000000,655000000,2270000000,2834000000,113000000,-1150000000,328835378,1120000000,462000000,0,18987000000,29870000000,242000000,3864000000,325589361,26000000,,2834000000,264000000,73231000000,-862000000,-24528000000,3296000000,16709000000,9756000000,2834000000,8.71,4796000000,18233000000,,29135000000,313000000,102366000000,3695000000,,19478000000,-6294000000,1775000000,3296000000,0,11879000000,10446000000,3864000000,131000000,447000000,6078000000,8.62,63613000000,-758000000,-735000000,1775000000,12221000000,-263000000,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,-974000000,605000000,1775000000,3081000000,4135000000,96000000,0,465949399,-790000000,815000000,500000000,31469000000,48589000000,265000000,5292000000,462519789,-1667000000,988000000,4135000000,-14248000000,111511000000,-1173000000,-31411000000,4950000000,22547000000,12918000000,4135000000,8.94,22095000000,40334000000,,48275000000,287000000,159786000000,-742000000,1559000000,23613000000,-5315000000,985000000,4950000000,0,15657000000,3002000000,5292000000,,751000000,355000000,8.87,95241000000,0,-314000000,985000000,3987000000,10000000,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,-1491000000,607000000,985000000,2833000000,3861000000,-527000000,-501000000,471196901,-257000000,-139000000,1013000000,32243000000,50629000000,135000000,4503000000,467145716,117000000,699000000,3861000000,,115850000000,-1308000000,-27074000000,3722000000,24368000000,11864000000,3861000000,8.26,15541000000,24746000000,,51172000000,182000000,167022000000,-2319000000,260000000,27474000000,-2442000000,728000000,,,16821000000,3561000000,4503000000,,-246000000,22380000000,8.19,98434000000,-801000000,543000000,728000000,4289000000,-114000000,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,-2146000000,641000000,851000000,2886000000,3962000000,16000000,-2001000000,466802348,489000000,695000000,509000000,32717000000,52760000000,95000000,5480000000,463629203,270000000,304000000,3962000000,-1337000000,117459000000,-1337000000,-25382000000,4657000000,26068000000,12395000000,3962000000,8.55,15271000000,23337000000,,50312000000,-351000000,167771000000,-1991000000,339000000,31700000000,-2935000000,1340000000,,,18327000000,3016000000,5480000000,,1097000000,21709000000,8.49,96369000000,-1044000000,-2448000000,1247000000,4263000000,-533000000,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,568000000,552000000,1340000000,3030000000,4454000000,-97000000,-510000000,,306000000,795000000,1299000000,34186000000,11121000000,211000000,6342000000,,717000000,804000000,4454000000,-1315000000,121612000000,-1354000000,-28426000000,5249000000,25735000000,13867000000,4454000000,,15296000000,23712000000,,55331000000,38000000,176943000000,-151000000,305000000,36142000000,-5905000000,1646000000,,,17957000000,4291000000,6342000000,,-509000000,6369000000,,104504000000,-1530000000,619000000,1537000000,,-1237000000,,,,,,,,,,,,,,,,,,,,,,,
