date,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,annualOtherNonCashItems,annualStockholdersEquity,annualInvestingCashFlow,annualDepreciationAndAmortization,annualChangeInInventory,annualInventory,annualGoodwill,annualStockBasedCompensation,annualRetainedEarnings,annualCurrentLiabilities,annualPurchaseOfInvestment,annualAccountsReceivable,annualOperatingCashFlow,annualCapitalStock,annualOtherIntangibleAssets,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualDilutedEPS,annualOperatingIncome,annualRepaymentOfDebt,annualEbitda,annualOtherIncomeExpense,annualNetOtherInvestingChanges,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualNonCurrentDeferredRevenue,annualBasicEPS,annualOtherNonCurrentLiabilities,annualAccountsPayable,annualGrossPPE,annualPretaxIncome,annualIncomeTaxPayable,annualInvestmentsAndAdvances,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualOperatingExpense,annualRepurchaseOfCapitalStock,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualCapitalExpenditure,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualChangesInAccountReceivables,annualCurrentAssets,annualTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualInterestExpense,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,annualDilutedAverageShares,annualFreeCashFlow,annualCommonStockIssuance,annualGrossProfit,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualBasicAverageShares,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualTotalAssets,annualCurrentDebt,annualNetIncome,annualLongTermDebt,annualBeginningCashPosition,annualOtherCurrentAssets,annualCurrentDeferredRevenue,annualCostOfRevenue,annualCashDividendsPaid,annualResearchAndDevelopment,annualChangeInAccountPayable
1989-12-31,15500000.0,33800000.0,,27100000.0,226000000,900000,15000000.0,-14900000.0,30700000,,,270800000,78900000,,,99500000,,,,32700000,0.64375,92700000,,107700000,5200000,0.0,40500000,96200000,-56600000.0,0,,0.65,19700000,19900000.0,96900000,86900000,,,-64200000,17900000,200900000,32900000,,96200000,62500000,-14600000.0,,43800000.0,,177600000,350500000,106300000,11000000,60600000,8000000.0,,400000.0,94135922,84900000,,125600000,233600000,-1700000.0,93230769,185200000,24400000,411200000,18500000.0,60600000,52800000.0,52400000,13800000,,224900000,-4700000.0,,
1990-12-31,,33600000.0,,-400000.0,290800000,12500000,14600000.0,-6700000.0,36100000,,,335300000,94300000,,,23800000,,,,36600000,0.7825,30200000,,44800000,82500000,19000000.0,53300000,98100000,-33600000.0,0,,0.78875,47600000,29200000.0,183300000,106600000,,,-146700000,15200000,204700000,29800000,,98100000,73800000,-11200000.0,,1300000.0,,266200000,309900000,122400000,6100000,73800000,27300000.0,,200000.0,94313099,12600000,,60000000,241300000,-9500000.0,93565769,216700000,32800000,507500000,11800000.0,73800000,41200000.0,96800000,10900000,,249900000,-9300000.0,,
1991-12-31,,37400000.0,,9400000.0,290800000,-17400000,16000000.0,300000.0,35400000,,,330000000,66000000,,,92100000,,,,36100000,0.56375,42400000,,58400000,31500000,-33100000.0,42300000,95900000,-74800000.0,0,,0.56875,48900000,11900000.0,175400000,70100000,,,-139300000,19700000,230700000,35700000,,95900000,53800000,-7300000.0,,-100000.0,,205700000,317400000,115700000,3800000,53800000,-21500000.0,,1700000.0,95432373,84800000,,78100000,266800000,-13900000.0,94593407,181700000,16300000,472500000,11800000.0,53800000,29400000.0,96000000,21600000,,239300000,-59100000.0,,
1992-12-31,,,,15000000.0,269600000,-9700000,14100000.0,-13900000.0,49400000,,,308000000,60300000,,,26300000,,,,35700000,-0.48625,53000000,,67100000,-6600000,-5500000.0,44000000,128600000,16600000.0,0,,-0.48625,132300000,16200000.0,176900000,41400000,,,-141200000,16600000,252300000,30700000,,128600000,30800000,-5200000.0,,32700000.0,,249200000,310700000,207300000,5000000,-7900000,-27400000.0,,1200000.0,95703704,21100000,,83700000,288000000,-23400000.0,95703704,267600000,10600000,537200000,100000.0,-7900000,75000000.0,95900000,28900000,,227000000,-14100000.0,,
1993-12-31,,,,-7200000.0,280700000,-8300000,13500000.0,22300000.0,27500000,,,315800000,64000000,,,-22800000,,,,35300000,0.56625,87900000,,101400000,-5600000,-3300000.0,47600000,67900000,-29600000.0,0,,0.56875,125700000,16400000.0,172600000,75700000,,,-137300000,15200000,260100000,28700000,,67900000,54600000,-5000000.0,,-60700000.0,,250000000,355900000,200700000,6600000,54600000,2200000.0,,1200000.0,96423841,-27800000,,116600000,295400000,-56600000.0,96000000,264700000,21100000,545400000,,54600000,75000000.0,128600000,117700000,,239300000,-26400000.0,,
1994-12-31,,,,-8300000.0,311400000,-77900000,14400000.0,13600000.0,39700000,,,343800000,99600000,,,167900000,,,,110400000,0.4425,73100000,,87500000,-9000000,-67000000.0,63900000,140600000,-18500000.0,0,,0.4425,135500000,15100000.0,248700000,57500000,,,-138300000,15900000,237000000,30300000,,140600000,42800000,-10900000.0,,72700000.0,,269100000,388900000,205500000,6600000,42800000,-1800000.0,,600000.0,96723164,157000000,,103400000,347400000,117000000.0,96723164,305100000,14700000,616500000,20600000.0,42800000,70000000.0,67900000,22900000,,285500000,-14800000.0,,
1995-12-31,,,,-1700000.0,342600000,-18100000,16800000.0,-15700000.0,55700000,,,386100000,103500000,,,58000000,,,,120000000,0.605,89200000,,106000000,-11100000,4400000.0,70200000,139900000,-40000000.0,0,,0.605,128500000,16000000.0,260000000,71600000,,,-140000000,15100000,231900000,31900000,-10700000.0,139900000,60900000,-22500000.0,,-700000.0,,292700000,460700000,198500000,6500000,57800000,5500000.0,,300000.0,95734072,35500000,,121100000,351900000,-26700000.0,95537190,302000000,10700000,644600000,17300000.0,57800000,70000000.0,140600000,35300000,,339600000,-15500000.0,,
1996-12-31,,,,,370600000,-32300000,17600000.0,11300000.0,45000000,,,432000000,105500000,,,83400000,,,,127700000,0.6575,93600000,,111200000,6500000,4400000.0,93600000,152300000,-38500000.0,0,,0.6575,127600000,11900000.0,269300000,95500000,,,-141600000,16700000,245200000,34300000,-19500000.0,152300000,61000000,-36700000.0,,12400000.0,,300800000,503200000,197600000,4600000,61000000,10900000.0,,0.0,93846154,46700000,,127900000,372900000,-6200000.0,92775665,303100000,34500000,673700000,,61000000,70000000.0,139900000,33300000,,375300000,-15100000.0,,
1997-12-31,4000000.0,,,,407400000,-72000000,18900000.0,-13300000.0,61400000,,,472100000,91800000,,,42300000,,,,134000000,0.6,67300000,,86200000,7900000,900000.0,78400000,115900000,-19700000.0,0,,0.60375,125100000,13400000.0,272300000,72600000,,,-138300000,17100000,294500000,36000000,-4900000.0,115900000,54900000,-76900000.0,,-49500000.0,,265800000,438900000,195100000,2600000,54900000,16400000.0,,0.0,92000000,-34600000,,103300000,428500000,-32000000.0,91200000,286900000,17700000,694300000,,54900000,70000000.0,165400000,15100000,,335600000,-14800000.0,,
1998-12-31,,,,,437600000,-49900000,20300000.0,2300000.0,59600000,,,513200000,89200000,,,92100000,,,,150000000,0.6325,77100000,,97400000,-4900000,1500000.0,74400000,130300000,-27800000.0,0,,0.6375,126700000,14800000.0,210900000,71800000,,,-60900000,18700000,313600000,39000000,-11500000.0,130300000,57400000,-51400000.0,,14400000.0,,259900000,493800000,196700000,400000,57400000,3100000.0,,0.0,90400000,40700000,,116100000,463600000,17000000.0,89600000,285900000,14400000,723500000,,57400000,70000000.0,115900000,11200000,,377700000,-16300000.0,,
1999-12-31,,,,,407300000,-32800000,22500000.0,6400000.0,52600000,,,501300000,73700000,,,4000000,16800000.0,,-6400000.0,153900000,0.05375,26300000,,48800000,-17900000,500000.0,44600000,67600000,-33900000.0,67600000,,0.05375,128700000,29100000.0,224000000,4700000,,,-70100000,16100000,308700000,38600000,-17200000.0,67600000,4800000,-33300000.0,,-62700000.0,,217100000,361400000,198700000,3700000,4800000,-200000.0,,0.0,88800000,-29300000,,64900000,462600000,-31600000.0,88800000,272400000,-100000,679700000,,4800000,70000000.0,130300000,14300000,,296500000,-16700000.0,,
2000-12-31,,,,,402000000,-38600000,25600000.0,-60300000.0,113200000,,,503700000,102200000,,,28000000,16800000.0,,-2000000.0,272700000,0.21625,31200000,,56800000,-8200000,-15200000.0,67100000,29900000,-27100000.0,29900000,,0.2175,129700000,35100000.0,356900000,16600000,,,-84200000,18700000,207100000,44300000,-15600000.0,29900000,18100000,-23400000.0,,-37700000.0,,248000000,430100000,199700000,4900000,18100000,9600000.0,,4200000.0,83200000,4600000,,75500000,479800000,-48900000.0,83200000,301900000,-1500000,727800000,,18100000,70000000.0,67600000,40100000,,354600000,-15700000.0,,
2001-12-31,,165100000.0,,,374200000,-5900000,26200000.0,-100000.0,113800000,,,476700000,189800000,,19900000.0,6800000,16800000.0,,-2200000.0,260300000,-0.28375,-92400000,,-66200000,44300000,3300000.0,21000000,183800000,153000000.0,183800000,,-0.28375,0,30100000.0,358000000,-53600000,,,-97700000,21000000,202000000,21000000,,183800000,-32200000,-9200000.0,38700000.0,153900000.0,,362700000,330400000,235100000,9300000,-22900000,-12800000.0,,57100000.0,80800000,-2400000,,-71400000,462300000,32500000.0,80800000,424900000,-16300000,825000000,100000000.0,-22900000,70000000.0,29900000,12300000,,401800000,-4100000.0,,
2002-12-31,,,,,79300000,-35800000,33900000.0,-15200000.0,184400000,,,288400000,204800000,,14100000.0,40900000,16800000.0,,-113400000.0,278900000,-2.3275,-7900000,,26000000,-108900000,-33400000.0,52300000,61800000,-114700000.0,61800000,,-2.3275,391100000,54800000.0,390800000,-57300000,,,-111900000,23800000,150700000,23800000,,61800000,-66400000,-10600000.0,77700000.0,-122000000.0,,300500000,598600000,426100000,6600000,-188300000,13900000.0,,300000.0,80936000,30300000,,15900000,429600000,12900000.0,80936000,630900000,9100000,730100000,20000000.0,-188300000,35000000.0,183800000,29700000,,582700000,,,
2003-12-31,,34500000.0,,,228100000,-14700000,29000000.0,-12000000.0,202800000,,,255700000,225900000,,9500000.0,42700000,16800000.0,,54900000.0,270500000,-0.39875,-2400000,,26600000,-16300000,6900000.0,56800000,67800000,-22000000.0,67800000,,-0.39875,386500000,64700000.0,407800000,-35200000,,,-137300000,25100000,311400000,25100000,,67800000,-34900000,-21600000.0,79400000.0,6000000.0,,313300000,857700000,421000000,4600000,-32700000,500000.0,,2000000.0,82048000,21100000,6000000.0,22700000,581900000,-5300000.0,82048000,646900000,-300000,895200000,25000000.0,-32700000,,61800000,27300000,,835000000,,,
2004-12-31,,,,6700000.0,424000000,127600000,29300000.0,-3400000.0,183600000,,,565300000,257100000,,54100000.0,-134400000,16800000.0,12600000.0,-75000000.0,283900000,2.95,-29100000,,200000,309500000,183900000.0,120800000,399600000,155900000.0,216900000,,3.735,277500000,73300000.0,437400000,285600000,,,-153500000,37600000,86600000,179000000,-6500000.0,216900000,320500000,-60700000.0,63000000.0,149100000.0,,733800000,1206700000,450000000,800000,318300000,-86700000.0,182700000.0,3100000.0,109684000,-195100000,190400000.0,149900000,427300000,-216400000.0,85232000,707100000,-34900000,1161100000,,323600000,,67800000,51500000,,1056800000,-6100000.0,,
2005-12-31,,116700000.0,,5200000.0,651600000,-514700000,52800000.0,-56000000.0,246300000,,,824200000,362700000,,53700000.0,519800000,16800000.0,13900000.0,-119000000.0,802800000,2.4925,342200000,,395000000,31900000,-418800000.0,163500000,202700000,-13600000.0,192800000,,3.13,371500000,122900000.0,979300000,368100000,,,-176500000,47900000,240200000,46800000,,192800000,273200000,-106300000.0,76300000.0,-13700000.0,,636000000,1739500000,660700000,4500000,272000000,-4400000.0,9900000.0,-600000.0,111344000,413500000,5700000.0,389000000,1110700000,208000000.0,86912000,1023400000,84800000,1746700000,,277600000,,206500000,115800000,,1350500000,-18700000.0,,
2006-12-31,,117900000.0,,-36600000.0,745800000,-127400000,83300000.0,9100000.0,278400000,,,1078500000,374900000,,28300000.0,428800000,16800000.0,,-169900000.0,884900000,2.6,361700000,,445000000,28200000,0.0,97200000,351700000,-148400000.0,351700000,,3.265,443000000,139000000.0,1107300000,387800000,,,-222400000,64000000,165500000,52300000,-121500000.0,351700000,279800000,-132900000.0,76100000.0,158900000.0,,782300000,1921700000,733200000,3600000,274500000,-4800000.0,,2100000.0,107654000,295900000,700000.0,414000000,1157400000,109400000.0,84144000,1108100000,90900000,1939700000,,280100000,,192800000,94600000,62600000.0,1507700000,-25800000.0,,
2007-12-31,40600000.0,189000000.0,,-42200000.0,1163700000,-745400000,107200000.0,3200000.0,318900000,,,1316200000,399600000,-85300000.0,84900000.0,288900000,16800000.0,,-30300000.0,1823900000,2.57,378400000,,485600000,27500000,-180600000.0,98000000,157100000,250100000.0,157100000,,3.19,631000000,149900000.0,2154800000,380700000,,,-330900000,114200000,455200000,83600000,-2200000.0,157100000,269800000,-199500000.0,123300000.0,-194600000.0,,754600000,2275200000,1394700000,22600000,264800000,-33100000.0,,5200000.0,105026000,89400000,,462000000,2321200000,-27800000.0,82988000,1794300000,84100000,3075800000,,270000000,440000000.0,351700000,174000000,28400000.0,1813200000,-26400000.0,,
2008-12-31,17800000.0,67300000.0,-589500000.0,51900000.0,1750500000,-795600000,,-44600000.0,366600000,,21400000.0,1799900000,844900000,-93100000.0,68500000.0,853200000,16800000.0,109600000.0,-394600000.0,2456100000,4.76,938900000,-788400000.0,756100000,-209000000,51700000.0,672700000,179000000,32400000.0,179000000,,5.07,701400000,201000000.0,2905200000,716300000,99300000.0,330700000.0,-449100000,186400000,68400000,220800000,,179000000,515800000,-182500000.0,162900000.0,21900000.0,,861700000,3609100000,1508900000,39800000,514700000,-88500000.0,,-7000000.0,108300000,670700000,0.0,1159700000,3249400000,100300000.0,101500000,2353800000,144200000,4111100000,104900000.0,515800000,325000000.0,157100000,247600000,86800000.0,2449400000,-37200000.0,,
2009-12-31,5400000.0,70800000.0,-81800000.0,-28800000.0,2542800000,-179300000,,7700000.0,375200000,74600000.0,10100000.0,1973100000,570400000,-14900000.0,103500000.0,185700000,712200000.0,114800000.0,-122600000.0,2592600000,1.63,387600000,-286100000.0,329600000,88600000,28300000.0,89400000,502700000,304300000.0,502700000,,1.64,561100000,178900000.0,3258100000,290600000,6100000.0,403200000.0,-665500000,120700000,92000000,-78700000,,502700000,204300000,-116300000.0,155800000.0,323700000.0,,1161200000,2342000000,1531900000,39000000,205100000,60800000.0,,-4700000.0,125800000,69400000,347300000.0,308900000,3478100000,-157500000.0,125000000,2102300000,20800000,4639300000,,205100000,525000000.0,179000000,118400000,105100000.0,2033100000,-31900000.0,,
2010-12-31,32500000.0,63700000.0,-994500000.0,48200000.0,3845900000,-1367700000,,61200000.0,417300000,196500000.0,12500000.0,2924100000,1028700000,-197900000.0,359100000.0,1320000000,17300000.0,175800000.0,45900000.0,3979200000,7.49,1265000000,-666700000.0,1367900000,93000000,59100000.0,137700000,1649300000,1087600000.0,1566700000,,7.54,421100000,266500000.0,4936900000,1298200000,103400000.0,600700000.0,-957700000,238000000,45900000,258500000,,1566700000,1019700000,-266900000.0,266600000.0,1064000000.0,,2583700000,4682200000,2910800000,69700000,1019900000,15200000.0,82600000.0,-14900000.0,136138000,1053100000,0.0,1523500000,5194500000,-53700000.0,135301000,3939500000,292000000,7778200000,,1019900000,1898000000.0,502700000,114800000,215600000.0,3158700000,-68900000.0,,
2011-12-31,0.0,1062400000.0,-4423500000.0,-146100000.0,5785000000,-5304400000,,-74500000.0,692600000,1152100000.0,13900000.0,4424300000,1493300000,-130200000.0,304200000.0,2288800000,18500000.0,147000000.0,-92600000.0,10524600000,11.48,2333700000,-1616200000.0,2884900000,114800000,130000000.0,200800000,521600000,1975100000.0,521600000,,11.55,671800000,380300000.0,11881500000,2241500000,265400000.0,526600000.0,-1356900000,274400000,191200000,354900000,-289800000.0,521600000,1831100000,-880700000.0,242100000.0,-1045100000.0,,1790700000,6794300000,6008700000,216500000,1619100000,-66600000.0,0.0,-101800000.0,141012000,1408100000,853700000.0,2688600000,12751000000,331500000.0,140234000,7502000000,420100000,14541700000,74800000.0,1619100000,3608700000.0,1566700000,168300000,126600000.0,4105700000,-118900000.0,,
2012-12-31,0.0,1108100000.0,0.0,-37600000.0,4632700000,-961800000,,39900000.0,725600000,167400000.0,16500000.0,3217700000,1381500000,0.0,329000000.0,514500000,18500000.0,129000000.0,-55600000.0,11207300000,-6.32,741100000,-1136800000.0,219600000,-1047300000,13100000.0,225100000,195200000,119600000.0,195200000,,-6.32,492600000,555500000.0,13044700000,-501800000,28300000.0,135800000.0,-1837400000,282500000,193600000,431000000,0.0,195200000,-1162500000,-1127500000.0,442600000.0,-326400000.0,-74800000.0,1650000000,5872700000,6432500000,195600000,-899400000,127000000.0,0.0,54600000.0,142351000,-613000000,0.0,1172100000,11924900000,-425500000.0,142351000,7814000000,255900000,13574900000,94100000.0,-899400000,3960700000.0,521600000,216200000,35900000.0,4700600000,-307200000.0,,
2013-12-31,0.0,1146500000.0,0.0,-6900000.0,6069500000,-811300000,,30800000.0,607400000,74500000.0,,3407300000,1085500000,0.0,270000000.0,1145900000,751100000.0,95400000.0,-112900000.0,11153400000,2.37,921800000,-1842600000.0,1261700000,-253400000,50300000.0,203000000,335500000,-171900000.0,335500000,102800000.0,2.4,379300000,345500000.0,13570900000,489300000,61700000.0,,-2417500000,231600000,408500000,227500000,0.0,335500000,359800000,-861600000.0,392700000.0,140300000.0,138800000.0,1560000000,5691400000,5152100000,179100000,364800000,-138100000.0,,-31700000.0,174323000,284300000,285300000.0,1149300000,11561900000,7000000.0,151726000,6237600000,55100000,13121900000,20900000.0,413500000,3022600000.0,195200000,236400000,12800000.0,4542100000,-127600000.0,,
2014-12-31,,51300000.0,,-37700000.0,-1396100000,-103600000,,37800000.0,521900000,,,-3960700000,965800000,,205600000.0,358900000,751100000.0,62700000.0,-245800000.0,1412700000,-47.29,7600000,-1256500000.0,-8895200000,-9406800000,25500000.0,232400000,290900000,-288300000.0,290900000,90000000.0,-47.29,267700000,272100000.0,2217700000,-9584400000,1000000.0,,-802800000,208700000,165400000,443800000,,290900000,-8276400000,-284100000.0,386000000.0,-44600000.0,-101700000.0,1455000000,4623700000,3932500000,185200000,-7240200000,-1149200000.0,,-94900000.0,153098000,74800000,0.0,451400000,1744200000,-121900000.0,153098000,4898300000,-1317900000,3199200000,21800000.0,-7189000000,2962300000.0,335500000,175900000,12800000.0,4172300000,-143700000.0,,
2015-12-31,,,,115700000.0,-1981400000,-91800000,,-62000000.0,440000000,,,-4748400000,578000000,-14000000.0,40200000.0,26500000,751100000.0,58200000.0,-18000000.0,1059000000,-5.14,154600000,-581100000.0,675600000,387000000,6800000.0,187000000,285200000,61000000.0,285200000,77100000.0,-5.14,216500000,106300000.0,1970300000,313100000,,,-911300000,110000000,93800000,81900000,,285200000,143700000,-83400000.0,249500000.0,-5700000.0,355100000.0,979100000,2013300000,3368100000,228500000,-787700000,159800000.0,,-79400000.0,153605000,-56900000,,236500000,1155400000,22800000.0,153230000,3946100000,169300000,2134500000,,-749300000,2699400000.0,290900000,123800000,12800000.0,1776800000,-91800000.0,,
2016-12-31,,,,32600000.0,-1464300000,-57900000,,157800000.0,269800000,,,-4574300000,391100000,-1500000.0,128700000.0,303000000,29800000.0,53800000.0,-21300000.0,984400000,0.87,240800000,-506000000.0,522900000,166700000,7600000.0,91600000,323400000,-206400000.0,323400000,64200000.0,0.88,213800000,107600000.0,1941300000,207000000,,,-956900000,117800000,114900000,148500000,,323400000,219200000,-69100000.0,163600000.0,38200000.0,43200000.0,824600000,2109000000,2863300000,200500000,174100000,0.0,,-32900000.0,200145000,233900000,287400000.0,389300000,1099300000,106600000.0,197659000,3254400000,-12200000,1923900000,17500000.0,174100000,2175100000.0,285200000,54100000,16400000.0,1719700000,-59900000.0,,
2017-12-31,,,,12900000.0,-436300000,-160000000,,-1800000.0,277300000,,,-4207300000,452200000,,140600000.0,337900000,37700000.0,52300000.0,-39000000.0,1051000000,1.28,431500000,-1720700000.0,357000000,-162200000,-4300000.0,111600000,1007700000,503100000.0,1007700000,51400000.0,1.3,186900000,127700000.0,2079400000,137300000,,,-1028400000,105800000,122500000,78100000,,1007700000,389700000,-155700000.0,138500000.0,684300000.0,-248600000.0,1544600000,2330200000,2937300000,132000000,374900000,0.0,0.0,-159900000.0,292961000,182200000,661300000.0,509600000,1408800000,-319300000.0,288435000,3389500000,-252400000,2953400000,,374900000,2304200000.0,323400000,28000000,12800000.0,1820600000,-49100000.0,,
2018-12-31,,,,20700000.0,424200000,-273100000,,42900000.0,181100000,,,-3060200000,468200000,,226700000.0,478500000,37700000.0,,-283900000.0,1286000000,3.71,673200000,-234500000.0,772600000,10400000,23000000.0,90000000,823200000,-375200000.0,823200000,38500000.0,3.8,115300000,186800000.0,2308400000,564700000,,,-1022400000,116800000,94900000,136400000,-47500000.0,823200000,1039900000,-296100000.0,112400000.0,-155100000.0,52300000.0,1479600000,2332400000,2637200000,118900000,1128100000,-460500000.0,,-49000000.0,304141000,182400000,0.0,809600000,2050000000,32700000.0,297176000,3105400000,-475200000,3529600000,,1128100000,2092900000.0,978300000,27400000,12800000.0,1522800000,-44200000.0,,
