date,annualPretaxIncome,annualNetIncome,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,annualPurchaseOfInvestment,annualAccountsReceivable,annualLongTermDebt,annualGoodwill,annualSaleOfInvestment,annualIncomeTaxPayable,annualStockholdersEquity,annualOtherNonCashItems,annualInvestingCashFlow,annualOperatingIncome,annualRetainedEarnings,annualTotalAssets,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualDilutedEPS,annualNetPPE,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,annualChangeInAccountPayable,annualCurrentLiabilities,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualCommonStockIssuance,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,annualOtherNonCurrentLiabilities,annualOtherNonCurrentAssets,annualEbitda,annualGainsLossesNotAffectingRetainedEarnings,annualBasicEPS,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualInterestExpense,annualChangesInAccountReceivables,annualBeginningCashPosition,annualCurrentAssets,annualGrossPPE,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,annualRepaymentOfDebt,annualOtherIncomeExpense,annualDilutedAverageShares,annualOtherCurrentLiabilities,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualTaxProvision,annualCurrentDebt,annualInventory,annualCapitalStock,annualCurrentDeferredRevenue,annualCostOfRevenue,annualOtherCurrentAssets,annualTotalRevenue,annualResearchAndDevelopment,annualTotalNonCurrentAssets,annualGrossProfit,annualFreeCashFlow,annualStockBasedCompensation,annualBasicAverageShares,annualNetOtherFinancingCharges,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualChangeInWorkingCapital,annualOperatingExpense,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest
2000-06-30,14275000000,9421000000,-13000000.0,,-43158000000.0,3250000000.0,,,32110000000.0,,41368000000,,-11927000000,11029000000,18173000000,52150000000,748000000.0,-2192000000.0,4846000000,0.85,1903000000,13961000000,1027000000.0,1083000000.0,,9755000000,18952000000.0,,2717000000.0,,-4896000000.0,0.0,19939000000,11777000000,,0.905,0.0,4846000000,23798000000,,,4975000000,30308000000,4314000000,,9407000000,5150000000,-2411000000,,3246000000,11072000000,8672000000.0,,-129000000.0,-879000000.0,4854000000,,,23195000000.0,,2254000000,3260000000,22956000000,3775000000.0,21842000000,20702000000,13082000000,,10378000000,0.0,1027000000.0,,9421000000,-1587000000.0,9673000000,,10782000000
2001-06-30,11525000000,7346000000,,,-66346000000.0,3671000000.0,,,58715000000.0,,47289000000,,-8734000000,11720000000,18899000000,59257000000,1536000000.0,-5586000000.0,3922000000,0.66,2309000000,13422000000,836000000.0,1188000000.0,,11132000000,27678000000.0,,1620000000.0,,-7441000000.0,0.0,17311000000,13256000000,,0.69,0.0,3922000000,31600000000,,,4846000000,39637000000,5275000000,-420000000.0,7346000000,5742000000,-2966000000,,-2003000000,11148000000,3588000000.0,742000000.0,-924000000.0,-1103000000.0,3804000000,,,28390000000.0,5614000000.0,3455000000,2417000000,25296000000,4379000000.0,19620000000,21841000000,12319000000,,10682000000,235000000.0,836000000.0,,7721000000,298000000.0,10121000000,,11968000000
2002-06-30,11513000000,7829000000,,,-89386000000.0,5129000000.0,,,79311000000.0,,52180000000,,-10845000000,11910000000,20533000000,67646000000,1084000000.0,-4572000000.0,3016000000,0.705,2268000000,14509000000,2722000000.0,1208000000.0,,12744000000,35636000000.0,1669000000.0,1497000000.0,,-6069000000.0,2324000000.0,15133000000,12994000000,,0.725,0.0,3016000000,38652000000,,,3922000000,48576000000,5891000000,-416000000.0,7829000000,6957000000,-3623000000,,-2159000000,11106000000,4471000000.0,1145000000.0,-906000000.0,-770000000.0,3684000000,,673000000.0,31647000000.0,5920000000.0,5191000000,2010000000,28365000000,4307000000.0,19070000000,23174000000,13739000000,,10812000000,0.0,398000000.0,,7829000000,1992000000.0,11264000000,,15466000000
2003-06-30,14726000000,9993000000,-857000000.0,,-89621000000.0,5196000000.0,,,84362000000.0,,61020000000,,-7213000000,13217000000,25676000000,79571000000,1439000000.0,-5223000000.0,6438000000,0.92,2223000000,15797000000,4577000000.0,1573000000.0,,13974000000,42610000000.0,3512000000.0,2120000000.0,,-6486000000.0,2846000000.0,14863000000,14656000000,,0.93,0.0,6438000000,49048000000,,,3016000000,58973000000,6078000000,336000000.0,9993000000,8625000000,-3855000000,,-188000000,10882000000,3760000000.0,1416000000.0,3422000000.0,-891000000.0,4733000000,,640000000.0,35344000000.0,7225000000.0,5686000000,1583000000,32187000000,4659000000.0,20598000000,26501000000,14906000000,,10723000000,0.0,1731000000.0,,9993000000,2273000000.0,13284000000,,18551000000
2004-06-30,12196000000,8168000000,-1729000000.0,,-92495000000.0,5890000000.0,,,90863000000.0,,74825000000,,-2745000000,9034000000,18429000000,92389000000,1186000000.0,-2364000000.0,15982000000,0.75,2326000000,14626000000,2595000000.0,1717000000.0,,14969000000,44610000000.0,3684000000.0,2748000000.0,,-3383000000.0,,13984000000,10220000000,,0.76,0.0,15982000000,60592000000,,,6438000000,70566000000,6489000000,-1479000000.0,8168000000,13306000000,-4163000000,,3162000000,10894000000,5399000000.0,1339000000.0,9544000000.0,-1109000000.0,4028000000,,421000000.0,56396000000.0,6514000000.0,6716000000,1566000000,36835000000,7779000000.0,21823000000,30119000000,13517000000,,10803000000,0.0,,,8168000000,1963000000.0,21085000000,,17564000000
2005-06-30,16628000000,12254000000,-36112000000.0,,-68045000000.0,7180000000.0,,,84091000000.0,,48115000000,1266000000.0,15027000000,14561000000,-13724000000,70815000000,855000000.0,-41078000000.0,4851000000,1.12,2346000000,16605000000,5823000000.0,2086000000.0,,16877000000,32900000000.0,3808000000.0,3109000000.0,,-8057000000.0,,12303000000,15416000000,1426000000.0,1.13,0.0,4851000000,37751000000,,,14304000000,48737000000,6375000000,-179000000.0,12254000000,12843000000,-4029000000,,2067000000,10906000000,5627000000.0,1662000000.0,-9453000000.0,-812000000.0,4374000000,,491000000.0,60413000000.0,7502000000.0,6200000000,1614000000,39788000000,6184000000.0,22078000000,33588000000,15793000000,,10839000000,-18000000.0,,,12254000000,-1092000000.0,19027000000,,22700000000
2006-06-30,18262000000,12599000000,-3545000000.0,,-51117000000.0,9316000000.0,,3866000000.0,58230000000.0,,40104000000,1626000000.0,8003000000,16472000000,-20130000000,69597000000,903000000.0,-20562000000.0,6714000000,1.2,3044000000,14404000000,7051000000.0,2909000000.0,,22442000000,27447000000.0,539000000.0,2101000000.0,,-19207000000.0,,10527000000,17375000000,1229000000.0,1.21,3117000000.0,6714000000,34161000000,,,4851000000,49010000000,7223000000,219000000.0,12599000000,13576000000,-4179000000,,1790000000,10531000000,6900000000.0,1938000000.0,1863000000.0,-1578000000.0,5663000000,,1478000000.0,59005000000.0,9138000000.0,7650000000,2115000000,44282000000,6584000000.0,20587000000,36632000000,12826000000,,10438000000,89000000.0,,,12599000000,-2397000000.0,20160000000,,29493000000
2007-06-30,20101000000,14065000000,-3805000000.0,,-36308000000.0,11338000000.0,,4760000000.0,46187000000.0,,31097000000,3123000000.0,6089000000,18524000000,-31114000000,63171000000,1440000000.0,-24544000000.0,6111000000,1.42,4350000000,17796000000,8320000000.0,3247000000.0,,23754000000,17300000000.0,878000000.0,6782000000.0,,-27575000000.0,,11626000000,19964000000,1654000000.0,1.44,-376000000.0,6111000000,23411000000,,,6714000000,40168000000,9366000000,421000000.0,14065000000,14784000000,-5016000000,,258000000,9886000000,7403000000.0,2325000000.0,-603000000.0,-2264000000.0,6036000000,,1127000000.0,60557000000.0,10779000000.0,10693000000,2393000000,51122000000,7121000000.0,23003000000,40429000000,15532000000,,9742000000,54000000.0,,,14065000000,-961000000.0,21905000000,,32074000000
2008-06-30,23814000000,17681000000,-4015000000.0,1900000000.0,-20954000000.0,13589000000.0,,12108000000.0,27729000000.0,3248000000.0,36286000000,2588000000.0,-4587000000,22492000000,-27703000000,72793000000,2056000000.0,-12934000000.0,10339000000,1.87,6242000000,21612000000,6621000000.0,4034000000.0,,29886000000,13323000000.0,1973000000.0,3494000000.0,6588000000.0,-12533000000.0,909000000.0,1691000000,24548000000,1140000000.0,1.9,-127000000.0,10339000000,23662000000,,-1569000000.0,6111000000,43242000000,12544000000,935000000.0,17681000000,18166000000,-6302000000,,434000000,9470000000,3659000000.0,2934000000.0,4228000000.0,-3182000000.0,6133000000,,985000000.0,62849000000.0,13397000000.0,11598000000,2989000000,60420000000,8164000000.0,29551000000,48822000000,18430000000,1479000000.0,9328000000,120000000.0,,-8053000000.0,17681000000,-2435000000.0,26330000000,,36507000000
2009-06-30,19821000000,14569000000,-4468000000.0,1281000000.0,-37780000000.0,11192000000.0,3746000000.0,12503000000.0,25997000000.0,725000000.0,39558000000,-1017000000.0,-15770000000,20363000000,-22824000000,77888000000,2562000000.0,-7463000000.0,6076000000,1.62,7535000000,19037000000,11296000000.0,3324000000.0,,27034000000,25371000000.0,1759000000.0,631000000.0,4933000000.0,-9353000000.0,6269000000.0,1599000000,22925000000,969000000.0,1.63,-930000000.0,6076000000,31447000000,,2215000000.0,10339000000,49280000000,15082000000,762000000.0,14569000000,16909000000,-7547000000,-228000000.0,-542000000,8996000000,3142000000.0,3156000000.0,-4263000000.0,-3119000000.0,5252000000,2000000000.0,717000000.0,62382000000.0,13003000000.0,12155000000,3711000000,58437000000,9010000000.0,28608000000,46282000000,15918000000,1708000000.0,8945000000,-19000000.0,,-868000000.0,14569000000,-178000000.0,25919000000,,38330000000
2010-06-30,25013000000,18760000000,-4578000000.0,1178000000.0,-31670000000.0,13014000000.0,4939000000.0,12394000000.0,22578000000.0,1074000000.0,46175000000,561000000.0,-11314000000,24098000000,-16681000000,86113000000,2673000000.0,-13291000000.0,5505000000,2.1,7630000000,24073000000,13791000000.0,4025000000.0,844000000.0,26147000000,31283000000.0,1158000000.0,2356000000.0,7754000000.0,-11269000000.0,7445000000.0,1501000000,27837000000,1055000000.0,2.13,-1502000000.0,5505000000,36788000000,151000000.0,-2238000000.0,6076000000,55676000000,16259000000,-220000000.0,18760000000,17277000000,-8629000000,-3977000000.0,223000000,8927000000,2931000000.0,3283000000.0,-571000000.0,-1977000000.0,6253000000,1000000000.0,740000000.0,0.0,13652000000.0,12395000000,2950000000,62484000000,8714000000.0,30437000000,50089000000,22096000000,1891000000.0,8813000000,10000000.0,229000000.0,-245000000.0,18760000000,661000000.0,25991000000,-44000000.0,39938000000
2011-06-30,28071000000,23150000000,-5180000000.0,1398000000.0,-35993000000.0,14987000000.0,11921000000.0,12581000000.0,23803000000.0,580000000.0,57083000000,25442000000.0,-14616000000,27161000000,-6332000000,108704000000,2766000000.0,-8376000000.0,9610000000,2.69,8162000000,26994000000,22847000000.0,4197000000.0,58000000.0,28774000000,43162000000.0,744000000.0,2422000000.0,10865000000.0,-11555000000.0,8072000000.0,1434000000,31132000000,1863000000.0,2.73,0.0,9610000000,52772000000,295000000.0,-1451000000.0,5505000000,74918000000,17991000000,2000000.0,23150000000,18162000000,-9829000000,-814000000.0,305000000,8593000000,3492000000.0,3575000000.0,4105000000.0,-2355000000.0,4921000000,0.0,1372000000.0,0.0,15722000000.0,15577000000,3320000000,69943000000,9043000000.0,33786000000,54366000000,24639000000,2166000000.0,8490000000,-23000000.0,1456000000.0,-71000000.0,23150000000,-3003000000.0,27205000000,-561000000.0,51621000000
2012-06-30,22267000000,16978000000,-6385000000.0,1406000000.0,-57250000000.0,15780000000.0,10713000000.0,13452000000.0,45275000000.0,789000000.0,66363000000,36104000000.0,-24786000000,27956000000,566000000,121271000000,2967000000.0,-9408000000.0,6938000000,2.0,8269000000,31626000000,22220000000.0,4175000000.0,-31000000.0,32688000000,56102000000.0,3170000000.0,1913000000.0,9776000000.0,-5029000000.0,8208000000.0,1520000000,30923000000,1422000000.0,2.02,-394000000.0,6938000000,63040000000,380000000.0,-1156000000.0,9610000000,85084000000,8269000000,954000000.0,16978000000,18426000000,-10962000000,0.0,-5689000000,8506000000,3151000000.0,3875000000.0,-2672000000.0,-2305000000.0,5289000000,1231000000.0,1137000000.0,65797000000.0,18653000000.0,17530000000,3092000000,73723000000,9811000000.0,36187000000,56193000000,29321000000,2244000000.0,8396000000,93000000.0,1893000000.0,-10112000000.0,16978000000,35930000000.0,28237000000,184000000.0,54908000000
2013-06-30,27052000000,21863000000,-7455000000.0,1760000000.0,-75396000000.0,17486000000.0,12601000000.0,14655000000.0,57594000000.0,592000000.0,78944000000,44253000000.0,-23811000000,26764000000,9895000000,142431000000,3755000000.0,-8148000000.0,3804000000,2.58,9991000000,28833000000,26070000000.0,4828000000.0,537000000.0,37417000000,73218000000.0,3083000000.0,931000000.0,10844000000.0,-5360000000.0,10000000000.0,2392000000,30519000000,1743000000.0,2.61,-168000000.0,3804000000,77022000000,429000000.0,-1807000000.0,6938000000,101466000000,22504000000,-19000000.0,21863000000,20425000000,-12513000000,-1346000000.0,288000000,8470000000,3597000000.0,4117000000.0,-3134000000.0,-4257000000.0,5189000000,2999000000.0,1938000000.0,67306000000.0,20639000000.0,20249000000,3388000000,77849000000,10411000000.0,40965000000,57600000000,24576000000,2406000000.0,8375000000,199000000.0,1709000000.0,-1584000000.0,21863000000,42878000000.0,30836000000,-802000000.0,63487000000
2014-06-30,27820000000,22074000000,-8879000000.0,2008000000.0,-72690000000.0,19544000000.0,20645000000.0,20127000000.0,65366000000.0,782000000.0,89784000000,44325000000.0,-18833000000,27886000000,17710000000,172384000000,5212000000.0,-8394000000.0,8669000000,2.63,13011000000,32231000000,36975000000.0,7432000000.0,473000000.0,45625000000,77040000000.0,6981000000.0,607000000.0,14597000000.0,-7316000000.0,11594000000.0,3422000000,33098000000,3708000000.0,2.66,-87000000.0,8669000000,85709000000,597000000.0,-1120000000.0,3804000000,114246000000,27804000000,-331000000.0,22074000000,20632000000,-14793000000,-3888000000.0,-66000000,8399000000,6906000000.0,4797000000.0,4865000000.0,-5485000000.0,5746000000,2000000000.0,2660000000.0,68366000000.0,23150000000.0,26934000000,4392000000,86833000000,11381000000.0,58138000000,59899000000,26746000000,2446000000.0,8299000000,232000000.0,2728000000.0,-5937000000.0,22074000000,44949000000.0,32013000000,-161000000.0,82600000000
2015-06-30,18507000000,12193000000,-9882000000.0,2095000000.0,-98729000000.0,17908000000.0,27808000000.0,16939000000.0,85861000000.0,606000000.0,80083000000,45072000000.0,-23001000000,28172000000,9096000000,176223000000,5957000000.0,-9080000000.0,5595000000,1.48,14731000000,29080000000,46282000000.0,6591000000.0,-1054000000.0,49858000000,90931000000.0,4835000000.0,634000000.0,12053000000.0,-14443000000.0,13544000000.0,2953000000,34129000000,2522000000.0,1.49,-466000000.0,5595000000,96526000000,781000000.0,1456000000.0,8669000000,124712000000,32337000000,224000000.0,12193000000,20324000000,-17606000000,-1500000000.0,-9665000000,8254000000,6766000000.0,5096000000.0,-3074000000.0,-5944000000.0,6314000000,7484000000.0,2902000000.0,68465000000.0,23223000000.0,33038000000,5461000000,93580000000,12046000000.0,51511000000,60542000000,23136000000,2574000000.0,8177000000,950000000.0,2835000000.0,-3723000000.0,12193000000,46585000000.0,32370000000,-272000000.0,96140000000
2016-06-30,19751000000,16798000000,-11006000000.0,6441000000.0,-129758000000.0,18277000000.0,40783000000.0,17872000000.0,115341000000.0,580000000.0,71997000000,57072000000.0,-23950000000,21292000000,2282000000,193694000000,6622000000.0,-8393000000.0,6510000000,2.1,18356000000,33325000000,62340000000.0,6898000000.0,88000000.0,59357000000,106730000000.0,3733000000.0,668000000.0,10431000000.0,-15969000000.0,14420000000.0,3642000000,27914000000,1537000000.0,2.12,203000000.0,6510000000,113240000000,1243000000.0,-530000000.0,5595000000,139660000000,38156000000,-448000000.0,16798000000,19260000000,-19800000000,-2796000000.0,-1541000000,8013000000,5949000000.0,5264000000.0,915000000.0,-8343000000.0,2953000000,12904000000.0,2251000000.0,68178000000.0,27468000000.0,32780000000,5892000000,85320000000,11988000000.0,54034000000,52540000000,24982000000,2668000000.0,7925000000,-369000000.0,696000000.0,-1393000000.0,16798000000,55776000000.0,31248000000,600000000.0,121697000000
2017-06-30,23149000000,21204000000,-11845000000.0,10377000000.0,-176905000000.0,19792000000.0,76073000000.0,35122000000.0,164394000000.0,718000000.0,72394000000,67711000000.0,-46781000000,22632000000,2648000000,241086000000,8778000000.0,8408000000.0,7663000000,2.71,23734000000,39507000000,104165000000.0,7390000000.0,81000000.0,64527000000,125318000000.0,10106000000.0,772000000.0,6023000000.0,-11788000000.0,17184000000.0,6250000000,31410000000,431000000.0,2.74,-197000000.0,7663000000,132981000000,2222000000.0,-925000000.0,6510000000,159851000000,47913000000,-3296000000.0,21204000000,20020000000,-24179000000,-7922000000.0,517000000,7832000000,6280000000.0,5819000000.0,1153000000.0,-8129000000.0,1945000000,10121000000.0,2181000000.0,69315000000.0,34102000000.0,34261000000,4897000000,89950000000,13037000000.0,81235000000,55689000000,31378000000,3266000000.0,7746000000,-190000000.0,531000000.0,-25944000000.0,21204000000,69363000000.0,33057000000,50000000.0,168692000000
