date,annualRetainedEarnings,annualNetIncome,annualNetOtherInvestingChanges,annualAccountsReceivable,annualCashDividendsPaid,annualPretaxIncome,annualCommonStockIssuance,annualInvestingCashFlow,annualOperatingIncome,annualAccountsPayable,annualTotalRevenue,annualPurchaseOfInvestment,annualOtherNonCashItems,annualStockholdersEquity,annualOtherCurrentAssets,annualLongTermDebt,annualEndCashPosition,annualTaxProvision,annualDepreciationAndAmortization,annualTotalAssets,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualCashAndCashEquivalents,annualIncomeTaxPayable,annualInvestmentsAndAdvances,annualSaleOfInvestment,annualCashCashEquivalentsAndMarketableSecurities,annualRepurchaseOfCapitalStock,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,annualOperatingCashFlow,annualEbitda,annualNetPPE,annualCurrentAssets,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualGrossPPE,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,annualInterestExpense,annualBasicAverageShares,annualSellingGeneralAndAdministration,annualCapitalExpenditure,annualOtherIncomeExpense,annualBasicEPS,annualTotalNonCurrentAssets,annualRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,annualChangeInInventory,annualInventory,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualCapitalStock,annualCurrentDebt,annualOperatingExpense,annualFreeCashFlow,annualGrossProfit,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualChangeInWorkingCapital,annualDilutedAverageShares,annualChangesInAccountReceivables,annualDilutedEPS,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualResearchAndDevelopment,annualOtherIntangibleAssets,annualNonCurrentDeferredRevenue,annualCurrentDeferredRevenue,annualStockBasedCompensation,annualPurchaseOfBusiness,annualGoodwill,annualOtherShortTermInvestments
1989-12-31,,900600000,,,,,,,8588300000,,8588300000,,,,,,,,,,,,,,,,,,,,,,,8588300000,,,,,799500000,,,,,420789474,,,,1.9,,,,,,,900600000,,,,,,,,,,420789474,,1.9,,,,,,,,,,
1990-12-31,,987200000,,,,,,,9470100000,,9470100000,,,,,,,,,,,,,,,,,,,,,,,9470100000,,,,,889200000,,,,,423428571,,,,2.1,,,,,,,987200000,,,,,,,,,,423428571,,2.1,,,,,,,,,,
1991-12-31,,1026400000,,,,,,,9778100000,,9778100000,,,,,,,,,,,,,,,,,,,,,,,9778100000,,,,,936800000,,,,,418214286,,,,2.24,,,,,,,1026400000,,,,,,,,,,418214286,,2.24,,,,,,,,,,
1992-12-31,,1170600000,,,,,,,10296100000,,10296100000,,,,,,,,,,,,,,,,,,,,,,,10296100000,,,,,1091700000,,,,,423139535,,,,2.58,,,,,,,1170600000,,,,,,,,,,423139535,,2.58,,,,,,,,,,
1993-12-31,,1065500000,,,,,,,10582400000,,10582400000,,,,,,,,,,,,,,,,,,,,,,,10582400000,,,,,1001700000,,,,,429914163,,,,2.33,,,,,,,1065500000,,,,,,,,,,429914163,,2.33,,,,,,,,,,
1994-12-31,,1007500000,,,,,,,10447400000,,10447400000,,,,,,,,,,,,,,,,,,,,,,,10447400000,,,,,949900000,,,,,429819005,,,,2.21,,,,,,,1007500000,,,,,,,,,,429819005,,2.21,,,,,,,,,,
1995-12-31,2812700000,1338900000,-314500000,2015200000,-891300000,2234200000,439600000,-906400000,2762900000,801700000,9621700000,,1449400000,9438700000,47000000,8048500000,734300000,895300000,,26850300000,1077100000,3218400000,734300000,,,,734300000,-959600000,,,,1769400000,3336700000,4212400000,18918200000,3341600000,597400000,1134100000,1268600000,32226800000,136900000,13614400000,690500000,424280936,971600000,-931900000,58600000,2.99,23508700000,,-1832900000,-21600000,32400000,545100000,1338900000,2450100000,2909700000,1134100000,4408700000,2404800000,7171600000,-13308600000,-116100000,722900000,424280936,,2.99,17411600000,4327100000,,,,,,,,
1996-12-31,2635900000,755200000,-219500000,1943900000,-844000000,1310200000,219700000,-1609300000,1877100000,1199600000,9610000000,,1316000000,9202900000,54000000,7770100000,143400000,555000000,,26129900000,1026600000,3240300000,143400000,,,,143400000,-455300000,,,,1834400000,2610900000,3193000000,19007900000,2671400000,-590900000,890800000,722100000,33309800000,734300000,13186400000,639800000,412542000,1016400000,-1230300000,0,1.75,23458500000,,-1592500000,-14000000,32000000,530100000,755200000,3065300000,2857100000,890800000,4667600000,1380600000,6544700000,-14301900000,-150000000,667400000,412542000,,1.75,16927000000,4321000000,,,,,,,,
1997-12-31,2531000000,716000000,21000000,3002000000,-524000000,1264000000,54000000,-1771000000,1728000000,2132000000,15400000000,-75000000,2014000000,9736000000,1160000000,7659000000,1397000000,548000000,,30557000000,965000000,3984000000,237000000,,,,237000000,-804000000,,,,5060000000,2618000000,3742000000,20472000000,5025000000,1253000000,887000000,716000000,36513000000,144000000,16498000000,665000000,410000000,,-1822000000,201000000,1.75,25532000000,,406000000,-39000000,-4000000,626000000,716000000,8485000000,7205000000,887000000,5187000000,796000000,6915000000,-16041000000,-159000000,8000000,410000000,,1.75,20821000000,4368000000,,,,,,,,
1998-12-31,2204000000,719000000,48000000,2363000000,-470000000,1289000000,63000000,-2244000000,2007000000,1904000000,19942000000,,1609000000,8846000000,1471000000,7422000000,341000000,570000000,,33234000000,2579000000,6755000000,286000000,,,,286000000,-1266000000,,,,10461000000,2301000000,3616000000,17818000000,4955000000,-1056000000,2272000000,719000000,29844000000,1397000000,17350000000,782000000,382000000,,-1619000000,64000000,1.88,28279000000,,-1113000000,-3000000,-161000000,835000000,719000000,13223000000,6642000000,2272000000,4712000000,682000000,6719000000,-12026000000,-107000000,39000000,382000000,,1.88,24388000000,4144000000,,,,,,,,
1999-12-31,1670000000,-73000000,453000000,2018000000,-465000000,261000000,54000000,-117000000,878000000,2131000000,20820000000,,957000000,7666000000,927000000,6673000000,468000000,248000000,,29715000000,1819000000,6331000000,281000000,,,,281000000,-693000000,,,-690000000,9115000000,2287000000,2658000000,16776000000,3824000000,127000000,2381000000,-73000000,28067000000,341000000,15487000000,772000000,368000000,,-1584000000,155000000,-0.2,25891000000,,-2043000000,4000000,73000000,598000000,13000000,13736000000,6686000000,2381000000,6206000000,703000000,7084000000,-11291000000,-754000000,694000000,370714286,,-0.2,22049000000,3378000000,,,,,,,,
2000-12-31,-2105000000,-3364000000,373000000,4564000000,-436000000,-5352000000,65000000,-970000000,-4807000000,6511000000,26232000000,,-404000000,3952000000,5320000000,6476000000,899000000,-2028000000,,35291000000,3562000000,17284000000,899000000,,,,899000000,-2000000,,,-694000000,5752000000,-776000000,-1148000000,16591000000,11175000000,618000000,7211000000,-3364000000,28469000000,281000000,13863000000,788000000,362000000,,-1758000000,-23000000,-9.29,24116000000,,2364000000,23000000,41000000,392000000,-3324000000,23386000000,6751000000,7211000000,7653000000,-2534000000,2846000000,-11878000000,-767000000,-670000000,363768116,,-9.29,31339000000,1848000000,,,,,,,,
2001-12-31,-1004000000,1099000000,-235000000,3091000000,-109000000,1698000000,15000000,-2900000000,2736000000,2047000000,22959000000,,260000000,4322000000,799000000,14398000000,5421000000,608000000,,35862000000,1818000000,4866000000,5421000000,,,,5421000000,-1000000,,,-660000000,4603000000,5300000000,3804000000,19167000000,9773000000,2991000000,1001000000,1099000000,33012000000,2430000000,25741000000,1213000000,363000000,,-2665000000,-38000000,3.03,26089000000,,591000000,-1000000,-70000000,462000000,1090000000,15945000000,5986000000,1001000000,4278000000,2635000000,7014000000,-13845000000,-409000000,3847000000,363907285,,3.02,31240000000,1819000000,,,,,,,,
2002-12-31,-1878000000,-874000000,482000000,2845000000,,-100000000,217000000,-2550000000,1132000000,2293000000,12495000000,,-216000000,3613000000,2393000000,11110000000,3895000000,-43000000,,33696000000,2158000000,9269000000,3895000000,,,,3895000000,,,,-783000000,0,534000000,2441000000,16928000000,9480000000,-1460000000,4818000000,-874000000,31179000000,5355000000,20190000000,1454000000,371000000,,-3032000000,90000000,-2.36,24216000000,,556000000,-141000000,36000000,347000000,-57000000,3759000000,6274000000,4818000000,7604000000,-2498000000,8736000000,-14251000000,-521000000,-2291000000,371000000,,-2.36,30083000000,1583000000,,,,,,,,
2003-12-31,-1458000000,420000000,-112000000,2687000000,,1249000000,166000000,-1761000000,2343000000,1245000000,10435000000,,84000000,4215000000,511000000,4184000000,3658000000,458000000,,30175000000,1293000000,3138000000,3658000000,,,,3658000000,,,,-795000000,0,2502000000,3565000000,18107000000,7148000000,126000000,600000000,398000000,29222000000,3532000000,18293000000,1147000000,385000000,,-1698000000,-9000000,1.09,23027000000,,-615000000,-4000000,-17000000,292000000,791000000,3747000000,6468000000,600000000,4345000000,804000000,6688000000,-11115000000,190000000,-702000000,385000000,,1.06,25960000000,983000000,,,,,,,,
2004-12-31,2863000000,4504000000,-1888000000,3106000000,-90000000,6286000000,162000000,-3412000000,7118000000,3625000000,11080000000,,-912000000,8633000000,2026000000,7903000000,972000000,2466000000,,34540000000,1945000000,6918000000,972000000,,,,972000000,-393000000,,,-748000000,2617000000,2350000000,8615000000,18989000000,6408000000,-2686000000,1348000000,4504000000,30509000000,3658000000,14425000000,797000000,398000000,,-1559000000,-98000000,10.8,28132000000,,-1624000000,-1000000,-12000000,304000000,3820000000,4494000000,6518000000,1348000000,-532000000,791000000,6586000000,-11520000000,2607000000,670000000,426111637,,10.57,25907000000,3652000000,,,,,,,,
2005-12-31,2139000000,917000000,367000000,3149000000,-350000000,1448000000,243000000,-1398000000,1970000000,3994000000,11703000000,,,7218000000,1754000000,9542000000,713000000,544000000,,34074000000,2070000000,6932000000,713000000,,,,713000000,-2347000000,,,-748000000,2561000000,2409000000,3705000000,19955000000,5980000000,-259000000,868000000,917000000,32030000000,972000000,16166000000,583000000,372000000,,-1804000000,-19000000,2.4,28094000000,,-1270000000,48000000,-60000000,364000000,904000000,4601000000,5827000000,868000000,5132000000,605000000,7102000000,-12075000000,-659000000,383000000,386919831,,2.37,26856000000,3092000000,,,,,,,,
2006-12-31,2671000000,991000000,-42000000,2950000000,-456000000,1545000000,131000000,-2427000000,2108000000,4234000000,12539000000,,151000000,7811000000,2131000000,8633000000,456000000,554000000,,34803000000,2346000000,8250000000,456000000,,,,456000000,-114000000,,,-737000000,2249000000,2714000000,3864000000,21785000000,5867000000,-257000000,1670000000,991000000,34214000000,713000000,15098000000,738000000,346000000,,-2402000000,-13000000,2.78,28936000000,,-544000000,3000000,32000000,330000000,991000000,5019000000,0,1670000000,5412000000,312000000,7520000000,-12429000000,-285000000,126000000,359057971,,2.76,26992000000,2946000000,,,,,,,,
2007-12-31,3151000000,1006000000,82000000,3120000000,-496000000,1545000000,175000000,-2666000000,2114000000,3763000000,13237000000,,192000000,8553000000,1675000000,9753000000,345000000,539000000,,36648000000,2087000000,6723000000,345000000,,,,345000000,,,,-708000000,3022000000,2546000000,4009000000,23656000000,5511000000,-111000000,873000000,1006000000,36584000000,456000000,16672000000,762000000,351000000,,-2769000000,29000000,2.79,31137000000,,9000000,35000000,-41000000,371000000,1006000000,5472000000,0,873000000,5651000000,-223000000,7765000000,-12928000000,55000000,-556000000,353000000,,2.78,28095000000,3152000000,,,,,,,,
2008-12-31,3614000000,1338000000,25000000,3633000000,-546000000,1609000000,225000000,-3652000000,2261000000,3749000000,14628000000,-1684000000,-75000000,9377000000,0,10534000000,219000000,425000000,,40860000000,802000000,7626000000,219000000,,1718000000,1635000000,219000000,,-140000000,,-221000000,482000000,2749000000,4200000000,26261000000,6403000000,-126000000,1567000000,1338000000,39833000000,345000000,,728000000,357000000,,-3628000000,-18000000,3.64,34457000000,-1591000000,777000000,-35000000,-59000000,423000000,1184000000,6515000000,0,1257000000,5852000000,-879000000,8113000000,-13572000000,590000000,-840000000,358000000,-87000000,3.63,31483000000,3526000000,,,,,,,,
2009-12-31,4213000000,1234000000,2036000000,3389000000,-590000000,1694000000,219000000,-3336000000,2299000000,2387000000,13399000000,-1414000000,-120000000,10333000000,0,11208000000,527000000,460000000,,42945000000,818000000,6813000000,527000000,214000000,1899000000,,527000000,,-40000000,25547000000,-160000000,379000000,3039000000,4346000000,28892000000,5657000000,308000000,1501000000,1220000000,43080000000,219000000,3709000000,705000000,368000000,,-3958000000,67000000,3.25,37288000000,-1579000000,605000000,-17000000,109000000,314000000,1234000000,5002000000,0,1561000000,6098000000,-919000000,8397000000,-14188000000,809000000,-814000000,386000000,156000000,3.2,32360000000,4732000000,,,,,,,,
2010-12-31,4606000000,1113000000,-4000000,944000000,-662000000,1660000000,303000000,-3857000000,2308000000,2509000000,13841000000,-1456000000,47000000,11282000000,1897000000,11329000000,291000000,547000000,,46025000000,862000000,7185000000,291000000,77000000,2009000000,1405000000,291000000,,48000000,27306000000,-202000000,614000000,3206000000,4495000000,31449000000,5542000000,-236000000,1558000000,1099000000,46289000000,527000000,2085000000,684000000,382000000,,-3802000000,27000000,2.86,40483000000,-1471000000,415000000,-88000000,-43000000,357000000,1113000000,5189000000,0,2066000000,6344000000,-596000000,8652000000,-14840000000,756000000,-751000000,392000000,-44000000,2.82,34491000000,5547000000,,,,,,,,
2011-12-31,4712000000,858000000,87000000,992000000,-704000000,1298000000,662000000,-3986000000,1942000000,2644000000,14956000000,-1963000000,326000000,12101000000,2390000000,11766000000,513000000,440000000,,49750000000,843000000,7749000000,513000000,110000000,2041000000,1928000000,513000000,,65000000,29648000000,-213000000,682000000,3739000000,4213000000,33655000000,6480000000,222000000,1836000000,844000000,49567000000,291000000,2136000000,700000000,401000000,,-4038000000,49000000,2.1,43270000000,-1712000000,469000000,41000000,-63000000,420000000,858000000,5333000000,0,2120000000,7681000000,-299000000,9623000000,-15912000000,544000000,-117000000,402000000,-288000000,2.1,37397000000,6008000000,,,,,,,,
2012-12-31,4747000000,830000000,154000000,937000000,-746000000,1067000000,751000000,-4526000000,1693000000,1241000000,15040000000,-1189000000,536000000,13074000000,736000000,12517000000,401000000,237000000,2272000000,52449000000,870000000,6256000000,401000000,6000000,2161000000,1133000000,401000000,,-4000000,32867000000,-101000000,659000000,4882000000,4042000000,37523000000,5121000000,-112000000,2012000000,816000000,54167000000,513000000,2020000000,703000000,424000000,,-4624000000,70000000,1.92,47328000000,-1744000000,-468000000,14000000,-24000000,444000000,830000000,11075000000,0,892000000,2272000000,258000000,3965000000,-16644000000,648000000,596000000,425000000,-40000000,1.92,39123000000,6748000000,,,,,,,,
2013-12-31,4742000000,828000000,85000000,1091000000,-782000000,1096000000,1045000000,-5107000000,1762000000,1293000000,15598000000,-1604000000,450000000,14342000000,1059000000,12717000000,296000000,268000000,2077000000,55605000000,892000000,7493000000,296000000,,2342000000,1619000000,296000000,,113000000,33518000000,50000000,1036000000,3427000000,3888000000,41252000000,5977000000,-105000000,1612000000,814000000,59096000000,401000000,2178000000,715000000,444000000,,-5207000000,40000000,1.83,49628000000,-861000000,1575000000,-41000000,-10000000,454000000,828000000,11759000000,0,2063000000,2077000000,-1780000000,3839000000,-17844000000,1075000000,-1003000000,445000000,-152000000,1.83,41011000000,7823000000,,,,,,,,
2014-12-31,5316000000,1450000000,117000000,960000000,-828000000,1795000000,802000000,-4714000000,2450000000,1244000000,17090000000,-1334000000,302000000,15748000000,887000000,15050000000,151000000,345000000,2433000000,60127000000,197000000,5920000000,151000000,,2421000000,1336000000,151000000,,-61000000,38207000000,11000000,963000000,3677000000,4962000000,43941000000,6389000000,-145000000,1846000000,1436000000,63062000000,296000000,2218000000,734000000,468000000,,-4833000000,70000000,3.07,53738000000,-1732000000,892000000,42000000,-22000000,476000000,1450000000,12207000000,0,633000000,2433000000,-1156000000,4883000000,-19121000000,690000000,-1198000000,470000000,13000000,3.06,44127000000,8513000000,,,,,,,,
2015-12-31,5301000000,888000000,86000000,1106000000,-856000000,861000000,780000000,-5211000000,1508000000,1414000000,16833000000,-1392000000,626000000,16576000000,864000000,16030000000,123000000,-27000000,2612000000,63339000000,206000000,6363000000,123000000,,2470000000,1268000000,123000000,,-55000000,40148000000,-7000000,1160000000,3753000000,4246000000,46723000000,5822000000,-28000000,1997000000,874000000,67342000000,151000000,2326000000,773000000,484000000,,-5173000000,117000000,1.81,57517000000,-300000000,1430000000,0,37000000,439000000,888000000,12713000000,0,1179000000,2612000000,-1420000000,4120000000,-20619000000,693000000,-1066000000,487000000,-177000000,1.79,46511000000,9206000000,,,,,,,,
2016-12-31,5751000000,1407000000,240000000,1252000000,-921000000,1462000000,822000000,-5526000000,2177000000,1495000000,17666000000,-1352000000,774000000,17940000000,706000000,16220000000,177000000,55000000,2755000000,68598000000,216000000,7564000000,177000000,,2606000000,1295000000,177000000,,180000000,42842000000,-9000000,1226000000,4409000000,5046000000,50581000000,6164000000,54000000,2323000000,1393000000,72595000000,123000000,2279000000,829000000,499000000,,-5709000000,91000000,2.79,62434000000,-169000000,1171000000,-44000000,-24000000,463000000,1407000000,12734000000,0,2216000000,2755000000,-1300000000,4932000000,-22014000000,1030000000,-1557000000,501000000,-473000000,2.78,50406000000,10213000000,,,,,,,,
2017-12-31,6596000000,1660000000,23000000,1243000000,-1021000000,2171000000,395000000,-5650000000,2956000000,1646000000,17135000000,-1323000000,265000000,19220000000,1079000000,17753000000,449000000,511000000,2854000000,68012000000,217000000,7129000000,449000000,,2863000000,1291000000,449000000,,173000000,41411000000,-8000000,1221000000,5977000000,5913000000,53789000000,6281000000,272000000,2010000000,1646000000,77248000000,177000000,2130000000,888000000,512000000,,-5641000000,72000000,3.21,61731000000,-2785000000,-55000000,-107000000,-18000000,481000000,1660000000,11325000000,0,1376000000,2854000000,336000000,5810000000,-23459000000,1254000000,-56000000,513000000,67000000,3.21,48540000000,5822000000,,,,,,,,
2018-12-31,-250000000,-6837000000,23000000,1148000000,0,-10129000000,200000000,-6564000000,2071000000,1975000000,16759000000,-1485000000,158000000,12651000000,681000000,,1668000000,-3292000000,3036000000,76995000000,228000000,41695000000,1668000000,,2730000000,1412000000,1668000000,,409000000,22397000000,-9000000,1480000000,4752000000,-6164000000,58557000000,9195000000,1219000000,15737000000,-6851000000,83272000000,456000000,2464000000,929000000,517000000,,-6514000000,-11347000000,-13.25,67800000000,-2502000000,3031000000,-20000000,-73000000,554000000,-6837000000,11652000000,0,21995000000,3036000000,-1762000000,5107000000,-24715000000,-2532000000,10927000000,517000000,-121000000,-13.25,64092000000,3281000000,,,,,,,,
2019-12-31,-7892000000,-7642000000,11000000,1287000000,0,-11042000000,85000000,-6378000000,1341000000,1954000000,17129000000,-1032000000,817000000,5136000000,961000000,,1570000000,-3400000000,3234000000,85196000000,4000000,7631000000,1570000000,,3173000000,956000000,,,516000000,72177000000,-10000000,1804000000,4816000000,-6874000000,63921000000,10165000000,-98000000,1254000000,-7656000000,90376000000,1675000000,53119000000,934000000,528000000,,-6313000000,-11531000000,-14.5,75031000000,-463000000,1464000000,-8000000,-80000000,647000000,-7642000000,12554000000,13038000000,1500000000,3234000000,-1497000000,4575000000,-26455000000,-2948000000,11355000000,528000000,-104000000,-14.5,79808000000,320000000,,,,,,,,
