date,annualChangeInInventory,annualInventory,annualCurrentLiabilities,annualCapitalStock,annualSaleOfInvestment,annualCashCashEquivalentsAndMarketableSecurities,annualGrossProfit,annualNetPPE,annualOperatingCashFlow,annualEbitda,annualNonCurrentDeferredTaxesLiabilities,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualDilutedEPS,annualNetOtherInvestingChanges,annualGrossPPE,annualOtherNonCurrentLiabilities,annualPurchaseOfInvestment,annualPretaxIncome,annualInterestExpense,annualOtherIncomeExpense,annualInvestingCashFlow,annualOperatingIncome,annualAccountsPayable,annualBasicEPS,annualCapitalExpenditure,annualRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualCurrentAccruedExpenses,annualNetOtherFinancingCharges,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualCurrentDeferredRevenue,annualCostOfRevenue,annualTotalRevenue,annualCurrentDebt,annualInvestmentsAndAdvances,annualOperatingExpense,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,annualCurrentAssets,annualDilutedAverageShares,annualChangeInWorkingCapital,annualChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualTotalLiabilitiesNetMinorityInterest,annualRetainedEarnings,annualNetIncomeCommonStockholders,annualAccountsReceivable,annualCashDividendsPaid,annualBeginningCashPosition,annualBasicAverageShares,annualNetIncome,annualFreeCashFlow,annualCommonStockIssuance,annualTotalNonCurrentAssets,annualLongTermDebt,annualStockholdersEquity,annualOtherNonCashItems,annualOtherCurrentAssets,annualDepreciationAndAmortization,annualTaxProvision,annualTotalAssets,annualPurchaseOfBusiness,annualGoodwill,annualNonCurrentDeferredRevenue,annualSellingGeneralAndAdministration,annualIncomeTaxPayable,annualStockBasedCompensation,annualResearchAndDevelopment,annualOtherShortTermInvestments,annualOtherIntangibleAssets
2005-12-31,-758000,28553000,113525000,63507000,33451000,7956000,461003000,1291697000,106705000,198326000,123233000,-21445000,21727000,0.74,-17223000,1322465000,979668000,-42381000,55204000,35678000,2560000,-117802000,88322000,47128000,0.75,-93593000,,-10348000,7956000,44670000,-9901000,36615000,7956000,,342910000,803913000,21727000,,372681000,-30768000,25286000,,,-28017000,40126000,211566000,48307910,-84277000,,-22439000,1109010000,421632000,35522000,76006000,,29401000,47711894,35522000,13112000,5440000,1453883000,611018000,556439000,,99051000,,18589000,1665449000,,,,,,,,,
2006-12-31,-2792000,31390000,111058000,64021000,98085000,40101000,486110000,1332194000,217781000,212340000,149981000,32145000,20975000,1.4,-17404000,2159518000,1008842000,-106403000,87453000,31837000,-2728000,-132150000,115562000,42892000,1.42,-107420000,,-53486000,40101000,47191000,1433000,61387000,40101000,,330345000,816455000,20975000,,370548000,-827324000,20214000,,,-18316000,18935000,213796000,48164067,42670000,,-62392000,1134979000,489082000,67450000,86730000,,7956000,47663890,67450000,110361000,3140000,1500858000,616130000,579675000,-6063000,55575000,,26066000,1714654000,,,,,,,,,
2007-12-31,-3438000,34234000,126017000,64520000,,4976000,499805000,1450585000,182310000,228057000,183349000,-35125000,18798000,1.63,-5064000,2346125000,1046536000,-20000000,109220000,34413000,-2955000,-228644000,128321000,58013000,1.64,-208885000,,11209000,4976000,49206000,1567000,74753000,4976000,,377622000,877427000,18798000,,371484000,-895540000,10392000,,,13540000,28377000,201605000,45928478,3893000,,-31448000,1187429000,565701000,74753000,84578000,,40101000,45563858,74753000,-26575000,4315000,1652283000,655111000,666459000,-5708000,77817000,,34467000,1853888000,,,,,,,,,
2008-12-31,-4717000,40153000,144809000,64733000,69447000,91642000,538631000,1595606000,169733000,254796000,175816000,86666000,23587000,1.73,6078000,2544563000,1215576000,-67169000,115451000,45193000,-1142000,-231431000,145736000,61550000,1.73,-240350000,,148364000,91642000,59672000,-2268000,77621000,91642000,,500299000,1038930000,23587000,,392895000,-948957000,16646000,,,-29364000,27927000,285628000,44980857,-33887000,,-9892000,1374854000,643322000,77621000,96507000,,4976000,44777765,77621000,-70617000,1167000,1783455000,809718000,694229000,-6543000,57326000,,37830000,2069083000,,,,,,,,,
2009-12-31,2135000,37935000,171776000,65094000,0,91790000,533556000,1755986000,269110000,209548000,233424000,148000,42914000,1.5,-15460000,2772037000,109262000,-90118000,99977000,34625000,1437000,-260338000,-400391000,54702000,1.5,-244878000,-173126000,-8624000,91790000,10283000,11713000,66933000,91790000,,294440000,827996000,41720000,,400391000,-1016051000,40846000,-1988000,1331647000,-49887000,22519000,251567000,44595000,57797000,26125000,-24105000,1503423000,710255000,66933000,70382000,,91642000,44524000,66933000,24232000,,1974585000,739697000,722729000,28588000,0,74946000,33044000,2226152000,,,,,,,,,
2010-12-31,1143000,36132000,130953000,65265000,61656000,79184000,585506000,1865753000,239350000,253450000,286730000,-12606000,43183000,2.31,-8872000,2958722000,117409000,-11536000,141333000,31106000,-77534000,-224651000,249973000,41795000,2.32,-204243000,-102293000,-27305000,79184000,12099000,-2665000,90317000,79184000,,0,585506000,4704000,,335533000,-1092969000,27456000,-9634000,1423438000,-33177000,26560000,230018000,43294000,4207000,-1303000,-33726000,1554391000,810858000,100603000,71685000,,91790000,43130000,100603000,35107000,,2134748000,849745000,810375000,36359000,0,81011000,51016000,2364766000,,,,,,,,,
2011-12-31,-3750000,40222000,185232000,65452000,84926000,8208000,619357000,1947065000,251517000,293682000,299475000,-70976000,24026000,2.48,-7298000,3128600000,28125000,-12515000,157247000,55104000,-81331000,-237405000,268772000,51704000,2.49,-217592000,-91775000,-85088000,8208000,12123000,-32000,103539000,8208000,,0,619357000,66679000,,350585000,-1181535000,45688000,4401000,1451368000,-77505000,26057000,154739000,41587000,-28809000,-4663000,-86508000,1636600000,887174000,103539000,76348000,-27223000,79184000,41350000,103539000,33925000,,2242112000,816497000,760251000,153307000,9130000,81331000,53708000,2396851000,,,,,,,,,
2012-12-31,-1926000,42358000,151749000,65605000,98542000,111057000,304657000,2102343000,273108000,251891000,358674000,102849000,21995000,2.26,-8495000,3335192000,24270000,-107705000,137825000,35510000,4677000,-266054000,168658000,61581000,2.27,-248396000,-11224000,95795000,111057000,12127000,-3774000,90846000,111057000,4643000,296897000,601554000,22155000,187053000,135999000,-1232849000,43561000,1725000,1692302000,-66084000,31830000,246234000,40056000,12374000,13448000,0,1844051000,939131000,90846000,62900000,-38889000,8208000,39974000,90846000,24712000,,2422816000,999535000,824999000,47771000,9627000,78556000,46979000,2669050000,,,,,,,,,
2013-12-31,-3673000,45942000,137522000,65760000,56148000,25592000,303008000,2257473000,247475000,292105000,449925000,-85465000,22932000,2.2,-5475000,3547381000,29091000,-65491000,132238000,37704000,4307000,-282764000,165635000,61795000,2.2,-267946000,-7803000,-50176000,25592000,12189000,-324000,88583000,25592000,1048000,298223000,601231000,14352000,214095000,137373000,-1289908000,44678000,8180000,1704933000,2612000,34879000,178791000,40127000,-13572000,-2450000,0,1842455000,985665000,88583000,65350000,-42049000,111057000,40115000,88583000,-20471000,,2607497000,999620000,943833000,5623000,7694000,79626000,43655000,2786288000,,,,,,,,,
2014-12-31,-786000,45889000,175009000,65850000,108311000,40504000,297255000,2488351000,243340000,291878000,474154000,14912000,24715000,2.27,-6873000,3828724000,37415000,-117675000,132516000,32156000,13509000,-331192000,151163000,78862000,2.27,-314955000,-231219000,102764000,40504000,12758000,-2328000,91428000,40504000,932000,304461000,601716000,29532000,234286000,146092000,-1340373000,39129000,9684000,1900038000,-8001000,30597000,193981000,40211717,-8606000,-5815000,,2075047000,1032537000,91428000,71165000,-44556000,25592000,40190991,91428000,-71615000,,2865320000,1134179000,984254000,-5817000,0,83342000,41088000,3059301000,,,,,,,,,
2015-12-31,-2859000,48697000,277064000,65829000,102567000,8149000,299751000,2695505000,246671000,294356000,516858000,-32355000,28325000,2.03,-11654000,4100379000,38104000,-110223000,116813000,44620000,15242000,-342734000,146191000,59978000,2.03,-323424000,-15000000,63708000,8149000,12649000,-1439000,81918000,8149000,4023000,308173000,607924000,141738000,239035000,153560000,-1404874000,30846000,-11235000,1940250000,-13914000,29520000,154665000,40309000,5171000,4839000,,2217314000,1067396000,81918000,66326000,-47059000,40504000,40275000,81918000,-76753000,,3079187000,1134284000,1016538000,-4187000,0,89824000,34895000,3233852000,,,,,,,,,
2016-12-31,265000,47216000,303409000,65823000,91268000,8420000,344711000,2821212000,231150000,341625000,555066000,271000,29709000,2.39,241000,4141146000,20491000,-99497000,150686000,62874000,18699000,-275732000,194861000,62953000,2.39,-267744000,-60164000,44853000,8420000,13287000,-2432000,96768000,8420000,255000,542225000,886936000,164717000,255708000,149850000,-1319934000,50510000,-2140000,1998473000,-7116000,16298000,164199000,40408000,-47559000,-17511000,,2301882000,1114561000,96768000,88452000,-49603000,8149000,40351000,96768000,-36594000,,3212079000,1195513000,1074396000,3366000,11123000,84317000,53918000,3376278000,,,,,,,,,
2017-12-31,-3073000,50910000,316225000,65829000,97037000,6990000,359960000,2928437000,288561000,349945000,305023000,-1430000,29067000,2.42,-9275000,4323087000,24993000,-102920000,149265000,67361000,18372000,-243944000,198254000,59270000,2.42,-228786000,-83300000,-46047000,6990000,12470000,-1369000,98261000,6990000,6225000,556837000,916797000,173533000,286866000,161706000,-1394650000,49394000,1407000,2025973000,11058000,16232000,156792000,40535000,2976000,-138000,,2342198000,1159667000,98261000,88585000,-53337000,8420000,40415000,98261000,59775000,,3327571000,1195988000,1142165000,4611000,0,90843000,51004000,3484363000,,,,,,,,,
2018-12-31,-4117000,55432000,313255000,65829000,80732000,12900000,339611000,3085047000,285397000,329460000,325133000,5910000,53042000,2.07,729000,4549016000,28519000,-86366000,110683000,84219000,22673000,-283280000,172229000,58150000,2.07,-278375000,-124326000,3793000,12900000,16478000,-4342000,84315000,12900000,,563992000,903603000,148446000,276905000,167382000,-1463969000,29118000,-2233000,2151144000,-38784000,18168000,173534000,40521000,7100000,5712000,,2464399000,1227471000,84315000,77855000,-57539000,6990000,40521000,84315000,7022000,,3454968000,1285980000,1164103000,30306000,6972000,96382000,26368000,3628502000,,,,,,,,,
2019-12-31,-5512000,60872000,336395000,64429000,370677000,,353516000,3227103000,275144000,404861000,348398000,-2082000,58369000,,-2409000,4760076000,42482000,-377415000,157068000,86410000,65385000,-277526000,178093000,65745000,,-259003000,-602327000,300000,10818000,14196000,-2576000,123037000,10818000,,508478000,861994000,158770000,325998000,175423000,-1532973000,27143000,4683000,2260258000,-48952000,16648000,172646000,,3796000,-101000,,2596653000,1272418000,123037000,79814000,-61718000,12900000,,123037000,16141000,,3640554000,1340981000,1216547000,-40215000,9939000,120350000,34031000,3813200000,,,,,,,,,
