date,annualCapitalExpenditure,annualInterestExpense,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualChangesInAccountReceivables,annualOtherNonCurrentAssets,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualCurrentAccruedExpenses,annualNetOtherFinancingCharges,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualDilutedAverageShares,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualCostOfRevenue,annualResearchAndDevelopment,annualCapitalStock,annualTaxProvision,annualInventory,annualGrossProfit,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualNetIncomeContinuousOperations,annualBasicAverageShares,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualFreeCashFlow,annualCurrentDebt,annualCurrentDeferredRevenue,annualCashDividendsPaid,annualOperatingExpense,annualPurchaseOfBusiness,annualBeginningCashPosition,annualPurchaseOfInvestment,annualInvestingCashFlow,annualPretaxIncome,annualNonCurrentDeferredRevenue,annualTotalAssets,annualNonCurrentDeferredTaxesLiabilities,annualBasicEPS,annualLongTermDebt,annualOtherNonCashItems,annualStockholdersEquity,annualCurrentLiabilities,annualDepreciationAndAmortization,annualGoodwill,annualSaleOfInvestment,annualCommonStockIssuance,annualStockBasedCompensation,annualRetainedEarnings,annualAccountsReceivable,annualTotalRevenue,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccountsPayable,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualEbitda,annualOperatingIncome,annualNetPPE,annualDilutedEPS,annualOtherIncomeExpense,annualOtherNonCurrentLiabilities,annualGrossPPE,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualIncomeTaxPayable,annualInvestmentsAndAdvances,annualGainsLossesNotAffectingRetainedEarnings
2004-12-31,-717961000,97610000,24787000,-4999156000,115848000,,1171004000,,2721149000,,15260000,443327000,584552000,446511000,-348366000,,2495639000,,655759000,275882000,264374000,2028546000,10049539000,-73058000,346842000,490465000,443463000,-23257000,4057968000,443327000,838791000,285477000,,-370217000,812370000,,1131072000,-1719995000,-1432217000,1099005000,,12770688000,476134000,1,1311260000,,7937660000,1101005000,700615000,,899130000,77531000,,610812000,210477000,4524185000,1556752000,2956963000,,230976000,943162000,1725868000,3025935000,-475216000,782706000,1916791000,1216176000,5360892000,0.99,-185105000,1169569000,10360048000,55409000,782706000,,,146677000
2005-12-31,-1251000000,98000000,-12000000,-5388000000,134000000,,1915000000,,3036000000,,-5000000,322000000,922000000,449000000,301000000,,2578000000,73000000,666000000,314000000,320000000,1828000000,10956000000,-197000000,428000000,374000000,446000000,-189000000,4685000000,322000000,-8000000,196000000,,-365000000,851000000,,781000000,-3301000000,-977000000,1064000000,,13992000000,449000000,0.72,1733000000,-10000000,8376000000,1350000000,615000000,,3358000000,43000000,,754000000,230000000,4406000000,1243000000,3335000000,,232000000,817000000,1899000000,2879000000,38000000,1082000000,1621000000,977000000,5645000000,0.72,105000000,1153000000,11033000000,138000000,1082000000,,,378000000
2006-12-31,-1551000000,97000000,-55000000,-5455000000,149000000,,2309000000,,2642000000,365000000,-318000000,791000000,866000000,452000000,84000000,,2685000000,94000000,677000000,424000000,760000000,2302000000,12959000000,-306000000,93000000,840000000,450000000,-388000000,5166000000,791000000,-326000000,159000000,9000000,-180000000,879000000,,1082000000,-1503000000,-770000000,1625000000,,15601000000,703000000,1.76,1752000000,22000000,9337000000,1739000000,636000000,3004000000,2224000000,78000000,,1284000000,358000000,4987000000,1225000000,3427000000,,340000000,109000000,1275000000,,-333000000,1166000000,2059000000,1423000000,6847000000,1.75,191000000,972000000,12302000000,6000000,1166000000,,,673000000
2007-12-31,-1670000000,105000000,-152000000,-5680000000,468000000,,2573000000,-366000000,2672000000,319000000,-259000000,-1886000000,453000000,452000000,65000000,,2978000000,62000000,696000000,200000000,463000000,2548000000,12926000000,-755000000,460000000,-963000000,452000000,-95000000,6601000000,-1886000000,-1007000000,255000000,3000000,-181000000,1225000000,,1166000000,-258000000,241000000,-763000000,,15598000000,1025000000,-4.17,2683000000,2360000000,7548000000,1500000000,695000000,186000000,224000000,299000000,,-801000000,345000000,5526000000,663000000,5101000000,,339000000,61000000,1292000000,,465000000,1231000000,2018000000,1323000000,9140000000,-4.17,-2793000000,1393000000,14820000000,190000000,1231000000,,,957000000
2008-12-31,-1875000000,102000000,-300000000,-6098000000,176000000,80000000,1358000000,,2361000000,,74000000,853000000,949000000,455000000,-796000000,-4487000000,3358000000,166000000,709000000,113000000,519000000,2841000000,13478000000,-642000000,782000000,829000000,454000000,-354000000,8737000000,853000000,-583000000,169000000,,-571000000,1449000000,-325000000,1231000000,-17000000,-2157000000,1276000000,,15839000000,1051000000,1.88,3373000000,549000000,7102000000,1596000000,747000000,188000000,50000000,29000000,50000000,7000000,327000000,6199000000,1292000000,7141000000,-55000000,412000000,12000000,447000000,,123000000,435000000,2125000000,1392000000,10132000000,1.87,-153000000,2338000000,16230000000,16000000,435000000,,655000000,-253000000
2009-12-31,-1769000000,120000000,1000000,-6815000000,193000000,42000000,1674000000,-287000000,5822000000,,-35000000,1297000000,1567000000,487000000,2780000000,-2731000000,3236000000,135000000,770000000,788000000,493000000,4469000000,16477000000,-227000000,1222000000,2109000000,487000000,-378000000,9686000000,1297000000,1178000000,157000000,,-590000000,1517000000,-1007000000,435000000,-5000000,-2781000000,2913000000,,22299000000,1341000000,2.66,4652000000,179000000,10703000000,2320000000,806000000,188000000,17000000,1916000000,57000000,1149000000,540000000,7705000000,2947000000,7366000000,177000000,396000000,56000000,3271000000,29000000,2572000000,3215000000,3839000000,2952000000,12370000000,2.66,65000000,992000000,19185000000,-17000000,3215000000,,1186000000,626000000
2010-12-31,-1402000000,279000000,-380000000,-7810000000,178000000,,2103000000,-110000000,7253000000,456000000,-418000000,2277000000,156000000,500000000,841000000,-430000000,3484000000,216000000,778000000,856000000,1275000000,6056000000,18410000000,-754000000,897000000,3144000000,492000000,-501000000,9947000000,2277000000,1765000000,259000000,54000000,-246000000,1818000000,-4000000,3215000000,-28000000,-1419000000,3997000000,,25663000000,1488000000,4.63,4182000000,212000000,13345000000,2747000000,945000000,188000000,3000000,289000000,70000000,3180000000,582000000,9540000000,3167000000,7200000000,,427000000,113000000,4169000000,91000000,-915000000,4056000000,5221000000,4238000000,12907000000,4.55,27000000,1205000000,20717000000,-44000000,4056000000,,1568000000,1108000000
2011-12-31,-2787000000,244000000,-671000000,-8702000000,318000000,52000000,2463000000,0,5388000000,699000000,-21000000,366000000,495000000,504000000,-2296000000,-2273000000,4240000000,373000000,784000000,713000000,714000000,6118000000,22086000000,-311000000,756000000,1108000000,494000000,-495000000,11703000000,366000000,797000000,996000000,,-611000000,1992000000,-2309000000,4056000000,-21000000,-5067000000,1810000000,,27474000000,2147000000,0.74,3624000000,167000000,12896000000,3940000000,1036000000,188000000,81000000,40000000,79000000,3052000000,620000000,10358000000,3584000000,7763000000,,561000000,94000000,1854000000,147000000,-854000000,1760000000,3090000000,4126000000,15881000000,0.73,-2072000000,1169000000,24583000000,-40000000,1760000000,,1472000000,652000000
2012-12-31,-3210000000,249000000,15000000,-9719000000,212000000,19000000,3126000000,,5945000000,582000000,-188000000,1809000000,158000000,499000000,-199000000,-1976000000,5270000000,348000000,787000000,869000000,1979000000,4598000000,23705000000,-1073000000,927000000,2194000000,496000000,-729000000,12702000000,1809000000,-838000000,10000000,,-695000000,1276000000,-25000000,1760000000,-220000000,-3264000000,3114000000,46000000,29650000000,858000000,3.65,6284000000,156000000,13773000000,3141000000,1032000000,188000000,210000000,24000000,72000000,4166000000,283000000,9868000000,2372000000,9561000000,-210000000,657000000,86000000,1647000000,136000000,689000000,1561000000,4395000000,3322000000,18010000000,3.63,29000000,305000000,27729000000,-19000000,1561000000,51000000,1446000000,490000000
2013-12-31,-1900000000,303000000,-1314000000,-12428000000,203000000,245000000,3567000000,,4874000000,303000000,9000000,-2462000000,1313000000,498380567,-6000000,-1150000000,6548000000,222000000,789000000,-813000000,717000000,1774000000,19890000000,-1107000000,1789000000,-2777000000,498380567,-777000000,11700000000,-2462000000,-357000000,595000000,,-611000000,1053000000,-13000000,1561000000,-1000000,-1313000000,-3585000000,39000000,24764000000,635000000,-4.94,6145000000,1162000000,10141000000,2740000000,1362000000,132000000,589000000,2000000,64000000,1093000000,230000000,8322000000,1543000000,8960000000,-478000000,478000000,78000000,1633000000,98000000,-212000000,1555000000,-1920000000,721000000,14277000000,-4.94,-4003000000,342000000,26705000000,12000000,1555000000,13000000,439000000,-182000000
2014-12-31,-1110000000,361000000,-149000000,-12535000000,186000000,86000000,3703000000,,5439000000,229000000,134000000,508000000,1245000000,498039216,848000000,-686000000,5686000000,161000000,798000000,133000000,700000000,1606000000,19477000000,-698000000,1547000000,369000000,498039216,-525000000,11827000000,508000000,328000000,166000000,,-114000000,870000000,-28000000,1555000000,-26000000,-507000000,506000000,35000000,24916000000,656000000,1.02,6480000000,728000000,10274000000,2198000000,1229000000,105000000,25000000,0,51000000,1242000000,186000000,7292000000,1438000000,9629000000,-187000000,406000000,73000000,2476000000,109000000,-65000000,2403000000,2096000000,736000000,13650000000,1.02,131000000,395000000,26185000000,632000000,2403000000,74000000,334000000,-478000000
2015-12-31,-1401000000,325000000,317000000,-13417000000,183000000,-16000000,3776000000,,4983000000,297000000,127000000,220000000,540000000,511627907,379000000,-454000000,5551000000,133000000,847000000,644000000,710000000,2178000000,20199000000,-336000000,1027000000,277000000,511627907,-270000000,10890000000,220000000,744000000,149000000,,-52000000,959000000,-823000000,2403000000,0,-2041000000,966000000,,25182000000,840000000,0.43,6087000000,606000000,11350000000,1416000000,1239000000,58000000,29000000,675000000,77000000,1410000000,260000000,7729000000,2145000000,9474000000,-39000000,396000000,19000000,2801000000,94000000,296000000,2782000000,2530000000,1219000000,14303000000,0.43,72000000,310000000,27720000000,154000000,2782000000,38000000,402000000,-334000000
2016-12-31,-1133000000,273000000,434000000,-12548000000,233000000,-130000000,2311000000,,4677000000,209000000,-101000000,-627000000,407000000,531355932,906000000,-1312000000,4992000000,134000000,849000000,563000000,617000000,1719000000,16354000000,-490000000,905000000,-790000000,531355932,-302000000,9157000000,-627000000,1653000000,566000000,,-67000000,752000000,-6000000,2363000000,0,-80000000,-214000000,,21031000000,592000000,-1.18,4049000000,604000000,10721000000,1750000000,1220000000,,195000000,0,70000000,716000000,127000000,6711000000,2786000000,7407000000,4000000,320000000,56000000,2812000000,,-1480000000,2756000000,1279000000,967000000,12485000000,-1.18,-908000000,326000000,25033000000,-10000000,2756000000,153000000,227000000,-334000000
2017-12-31,-866000000,241000000,797000000,-14139000000,237000000,35000000,2413000000,,5066000000,253000000,-150000000,-114000000,99000000,535000000,516000000,-384000000,5323000000,143000000,853000000,1127000000,679000000,2056000000,15580000000,-392000000,829000000,-71000000,533000000,-204000000,9127000000,-114000000,1258000000,4000000,,-134000000,767000000,0,2782000000,-130000000,-946000000,1072000000,,20646000000,595000000,-0.21,4047000000,271000000,10535000000,1398000000,1261000000,,35000000,0,70000000,410000000,124000000,7379000000,2124000000,7729000000,10000000,375000000,62000000,3321000000,,-668000000,3298000000,2574000000,1289000000,12338000000,-0.21,-4000000,295000000,26477000000,15000000,3259000000,248000000,280000000,-292000000
2018-12-31,-1032000000,207000000,150000000,-15111000000,244000000,,2508000000,-98000000,5277000000,242000000,-52000000,341000000,455000000,535000000,191000000,-4000000,5308000000,153000000,855000000,386000000,630000000,1945000000,15438000000,-743000000,856000000,319000000,533000000,-250000000,9250000000,341000000,795000000,626000000,,-301000000,786000000,-140000000,3298000000,-39000000,-1177000000,738000000,,20715000000,612000000,0.64,3418000000,238000000,10502000000,1787000000,1215000000,,18000000,,76000000,383000000,254000000,7253000000,1827000000,7463000000,-73000000,303000000,48000000,3445000000,,-455000000,3489000000,2160000000,1159000000,12258000000,0.64,-214000000,314000000,27369000000,16000000,3397000000,71000000,271000000,-284000000
2019-12-31,-1463000000,301000000,334000000,-11690000000,313000000,,2004000000,-479000000,6272000000,328000000,-168000000,2805000000,576000000,,-1140000000,-1931000000,7155000000,150000000,1298000000,832000000,1014000000,2585000000,33702000000,-309000000,1382000000,2956000000,,-132000000,17604000000,2805000000,1403000000,,,-889000000,1044000000,,3489000000,-112000000,-1226000000,3693000000,,39974000000,2407000000,,6138000000,259000000,21420000000,2385000000,1960000000,2674000000,67000000,,97000000,2291000000,373000000,9740000000,2866000000,15219000000,144000000,539000000,237000000,,,-2777000000,2349000000,5954000000,1541000000,25276000000,,2396000000,1381000000,36966000000,23000000,2243000000,162000000,3199000000,-265000000
