date,annualAccountsPayable,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualResearchAndDevelopment,annualOtherShortTermInvestments,annualEndCashPosition,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualDilutedEPS,annualOperatingIncome,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualBasicAverageShares,annualCurrentDebt,annualCurrentDeferredRevenue,annualPretaxIncome,annualOperatingExpense,annualFreeCashFlow,annualCashDividendsPaid,annualCostOfRevenue,annualNetIncome,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualRepurchaseOfCapitalStock,annualTotalAssets,annualCurrentAssets,annualOtherNonCashItems,annualStockholdersEquity,annualLongTermDebt,annualDepreciationAndAmortization,annualRetainedEarnings,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualDilutedAverageShares,annualNetIncomeCommonStockholders,annualSaleOfInvestment,annualCommonStockIssuance,annualAccountsReceivable,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualOperatingCashFlow,annualNetPPE,annualOtherIntangibleAssets,annualGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualCashFlowFromContinuingFinancingActivities,annualEbitda,annualGrossPPE,annualChangeInInventory,annualIncomeTaxPayable,annualPurchaseOfBusiness,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,annualCapitalExpenditure,annualPurchaseOfInvestment,annualInvestingCashFlow,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualNonCurrentDeferredRevenue,annualNonCurrentDeferredTaxesLiabilities,annualBasicEPS,annualChangesInAccountReceivables,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualInventory,annualOtherCurrentLiabilities,annualInterestExpense,annualGoodwill,annualRepaymentOfDebt,annualStockBasedCompensation,annualCapitalStock,annualInvestmentsAndAdvances
2008-12-31,55400000,,76900000,640500000,-120200000,14800000,,13900000,265000000,6300000,-16100000,0,0.51,49400000,0,13900000,12600000,23595000,73000000,100000,18800000,137000000,5300000,-2400000,454100000,12500000,0,115200000,-10500000,494300000,256600000,-5100000,229300000,0,23000000,131600000,46300000,188100000,24391000,12500000,,1900000,89900000,-25100000,237700000,14400000,53500000,28300000,186400000,13900000,-17000000,72400000,113200000,-8600000,0,,24300000,40300000,-9100000,,-7800000,-59700000,-1100000,800000,0,0.53,2300000,2000000,-10400000,138300000,9200000,6400000,148200000,-20000000,1600000,300000,
2009-12-31,50200000,,205600000,598500000,-201100000,16400000,,68600000,385500000,11900000,73700000,0,0.26,25700000,0,68600000,6400000,23642000,10000000,100000,18300000,163600000,80200000,-1200000,409200000,6400000,24800000,142500000,0,543100000,282900000,-29000000,157600000,41000000,18400000,136800000,104400000,179900000,24714000,6400000,,200000,89800000,-1400000,260200000,87400000,50600000,23700000,189300000,68600000,-26600000,42700000,50600000,18900000,6300000,,13900000,15100000,-7200000,,-7200000,-74200000,14100000,800000,,0.27,1700000,100000,54700000,120600000,0,6000000,146000000,-75700000,1500000,300000,
2010-12-31,45900000,,88700000,683200000,-131600000,17600000,4200000,111300000,247600000,-3000000,-9200000,0,2.97,83100000,0,111300000,73700000,23756000,15000000,100000,70700000,134100000,49400000,0,466000000,73700000,1900000,111900000,-2700000,548300000,321900000,-9600000,300700000,32000000,15400000,210500000,85700000,158900000,24814000,73700000,3300000,200000,84200000,-7800000,226400000,58200000,48700000,19000000,217200000,111300000,-6500000,90700000,48700000,-2300000,6100000,,68600000,500000,-8800000,-7500000,-8600000,-79600000,-15000000,900000,6400000,3.1,4600000,0,42700000,122300000,0,4600000,143600000,-10000000,800000,300000,
2011-12-31,53300000,,79700000,774400000,-120000000,18300000,4800000,81000000,225700000,3700000,-43300000,0,1.99,52200000,0,81000000,48900000,24520000,5000000,1400000,52600000,174200000,24600000,0,548000000,48900000,600000,155900000,-28100000,568800000,320300000,14700000,343100000,30000000,14400000,259400000,79000000,146000000,24572864,48900000,4400000,700000,99400000,3700000,248500000,34700000,45900000,17700000,226400000,81000000,-55000000,70300000,45900000,-14300000,2000000,,111300000,10200000,-10100000,-5000000,-10100000,-87800000,-4000000,900000,2900000,2.07,-15300000,-600000,-30300000,135900000,0,3300000,141500000,-40000000,3100000,300000,
2012-12-31,57300000,-5500000,115100000,776400000,-171400000,19600000,5100000,22400000,262400000,26900000,-18800000,4100000,2.86,99700000,0,22400000,68300000,23187000,5000000,1400000,95200000,136700000,44000000,-46700000,540000000,68300000,1400000,117100000,-1400000,579400000,296600000,-5000000,317000000,25000000,11500000,281000000,72100000,147300000,23850000,68300000,4900000,1200000,115700000,-3300000,282800000,61300000,49800000,68600000,236400000,27500000,-44700000,108500000,146200000,-1000000,3200000,-53100000,76200000,14300000,-17300000,-5000000,-70300000,-96400000,12600000,900000,3600000,2.95,-14100000,2200000,-53800000,138300000,3000000,1800000,149000000,0,3100000,300000,
2013-12-31,63300000,-4400000,229700000,818800000,-153900000,21200000,6600000,80200000,385300000,15000000,-29700000,0,3.22,92100000,0,80200000,77800000,23651000,5300000,300000,92800000,163100000,40800000,-12000000,563600000,77800000,1800000,141900000,-3700000,794700000,407400000,-5000000,409400000,142700000,20400000,327500000,73500000,155600000,24156000,77800000,5700000,3800000,135800000,2600000,387300000,61300000,60400000,126800000,255200000,86800000,112800000,115500000,175100000,-10100000,0,-94400000,22400000,11100000,-20500000,-7000000,-116100000,-114700000,5800000,1200000,9500000,3.29,-1400000,2900000,57800000,158900000,6800000,2300000,187900000,-23200000,2500000,300000,
2014-12-31,87600000,500000,261100000,960900000,-106300000,22200000,4700000,41600000,484000000,26800000,-200000,0,3.38,110600000,0,41600000,84100000,24391000,400000,200000,110900000,191400000,84400000,-13400000,658900000,84100000,700000,169200000,-6900000,999900000,414200000,-6900000,515900000,139000000,29100000,391800000,77200000,222900000,24878000,84100000,6600000,400000,164300000,3700000,585700000,106300000,80800000,181100000,302000000,46300000,-24300000,143400000,187000000,-11100000,5600000,-98700000,80200000,57700000,-21900000,-5000000,-119000000,-106200000,5800000,900000,23000000,3.45,-900000,300000,-38600000,184900000,45700000,3400000,276100000,-4700000,2600000,300000,
2015-12-31,52200000,-24500000,218600000,1012300000,-110900000,25300000,4800000,136900000,424700000,32800000,-1400000,1800000,4.86,114000000,0,136900000,119500000,24107000,0,200000,152300000,232000000,91500000,-14900000,666300000,119500000,900000,206700000,-15300000,1030000000,458700000,-40700000,605300000,133000000,35200000,496400000,84100000,206100000,24612000,119500000,6400000,1000000,137400000,42300000,571300000,117700000,76000000,168700000,346000000,141700000,-36300000,191500000,161000000,5500000,7900000,0,41600000,4400000,-26200000,-6700000,15000000,-85000000,12000000,600000,37700000,4.96,13600000,-700000,95300000,159900000,54600000,4000000,267400000,-6400000,3700000,300000,
2016-12-31,59600000,-3400000,344500000,883400000,-126200000,25400000,0,101900000,527600000,21800000,-2800000,0,3.33,97400000,0,101900000,81300000,23998000,10300000,100000,103100000,234900000,88000000,-15900000,551100000,81300000,800000,209500000,-8400000,1181400000,441100000,-9400000,653800000,258500000,38100000,561800000,94300000,183100000,24442000,81300000,4800000,2100000,154400000,8900000,740300000,104500000,157400000,144400000,332300000,101900000,69500000,144400000,251800000,7700000,9400000,-197400000,136900000,3300000,-16500000,0,-209100000,-94400000,900000,500000,32300000,3.39,-6000000,-44200000,-35000000,173800000,1100000,3200000,374800000,-21100000,3300000,300000,
2017-12-31,117900000,48600000,354300000,1306800000,-38500000,31400000,,90200000,615900000,66300000,-25000000,1100000,2.52,132400000,,90200000,61800000,24148000,15800000,100000,128100000,270900000,50500000,-18600000,903500000,61800000,5100000,239500000,-1100000,1410200000,561500000,,794300000,202600000,50400000,605000000,104100000,261600000,24486000,61800000,0,6800000,244500000,3900000,848700000,82700000,196000000,163300000,403300000,90200000,-66400000,186700000,327200000,-30800000,15800000,2600000,101900000,3900000,-32200000,0,-29600000,-131200000,-6700000,500000,45000000,2.56,-83200000,,-11700000,209800000,0,8200000,361800000,-53500000,4100000,300000,
2018-12-31,126800000,38400000,351300000,1476900000,-75700000,33400000,,123100000,647900000,46600000,-34800000,,3.45,140600000,,123100000,85000000,24401000,21400000,,131600000,294400000,74800000,-21700000,1041900000,85000000,7200000,261000000,-1400000,1473400000,663900000,,825500000,186200000,49600000,668300000,132100000,296600000,24603000,85000000,0,1100000,279700000,-2100000,809500000,104900000,196400000,136300000,435000000,123100000,-36200000,190200000,403300000,-42200000,8600000,-5400000,90200000,16100000,-30100000,,-35500000,-206900000,5500000,,48200000,3.48,,,32900000,248000000,,,364900000,-19200000,4900000,300000,
2019-12-31,122000000,23200000,246400000,1513300000,-74400000,35400000,,75700000,549900000,38200000,2500000,800000,,149900000,,75700000,112200000,,,,150400000,316300000,130600000,-25000000,1047100000,112200000,5900000,280900000,-2400000,1468800000,630300000,-400000,918500000,58600000,47600000,755500000,154000000,303500000,,112200000,,1200000,292000000,5300000,838500000,161600000,231100000,113500000,466200000,,-177900000,197500000,461900000,2400000,10300000,0,123100000,18100000,-31000000,,-31000000,-230800000,-800000,,49600000,,,-1500000,-47400000,244600000,,,363000000,-255700000,6600000,300000,
