date,annualEbitda,annualRepaymentOfDebt,annualGrossProfit,annualNetPPE,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualBasicAverageShares,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualBeginningCashPosition,annualGrossPPE,annualOtherNonCurrentLiabilities,annualBasicEPS,annualAccumulatedDepreciation,annualDilutedAverageShares,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualOperatingExpense,annualCapitalExpenditure,annualInvestingCashFlow,annualChangeInInventory,annualNonCurrentDeferredTaxesLiabilities,annualCashFlowFromContinuingFinancingActivities,annualChangesInAccountReceivables,annualInventory,annualDilutedEPS,annualChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,annualTotalRevenue,annualDeferredIncomeTax,annualCapitalStock,annualNetOtherFinancingCharges,annualInterestExpense,annualStockBasedCompensation,annualGoodwill,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualGainsLossesNotAffectingRetainedEarnings,annualOperatingIncome,annualNetOtherInvestingChanges,annualTotalAssets,annualNetIncome,annualCurrentDebt,annualEndCashPosition,annualLongTermDebt,annualOtherCurrentAssets,annualCurrentDeferredRevenue,annualAccountsPayable,annualCostOfRevenue,annualCashDividendsPaid,annualFreeCashFlow,annualPretaxIncome,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualStockholdersEquity,annualTaxProvision,annualRetainedEarnings,annualCurrentAccruedExpenses,annualCurrentAssets,annualAccountsReceivable,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualNetIncomeCommonStockholders,annualCurrentLiabilities,annualOtherIntangibleAssets,annualSaleOfInvestment,annualOtherShortTermInvestments,annualCommonStockIssuance,annualNonCurrentDeferredRevenue,annualResearchAndDevelopment,annualIncomeTaxPayable
2009-12-31,871000000,-3873000000,1204000000,5347000000,9503000000,444000000,123874575,2635000000,553000000,1004000000,8979000000,913000000,2.110414,-3632000000,127669822,-144000000,335000000,1342000000,-918000000,-952000000,1636000000,183000000,774000000,242000000,4862000000,2.110414,-451000000,,41926000000,-204000000,1554000000,43000000,283000000,17000000,407000000,10921000000,-416000000,319000000,-138000000,74000000,21286000000,361000000,197000000,553000000,3618000000,3499000000,,3275000000,40722000000,-198000000,-1286000000,145000000,,622000000,1958000000,1342000000,116000000,,553000000,9494000000,-110000000,3996000000,,11783000000,2363000000,-1427000000,4714000000,-368000000,283000000,6207000000,190000000,,,763000000,,,
2010-12-31,3791000000,-3227000000,2511000000,5312000000,10186000000,2326000000,146635083,4037000000,578000000,553000000,8295000000,892000000,15.59654,-2983000000,156274814,-252000000,2388000000,1558000000,-1072000000,2509000000,-1894000000,84000000,-30000000,-1560000000,6635000000,15.06,25000000,,45707000000,160000000,691000000,49000000,298000000,60000000,934000000,13447000000,-3216000000,583000000,953000000,-41000000,26001000000,2354000000,2330000000,578000000,2551000000,5701000000,323000000,3637000000,43196000000,-211000000,-3507000000,3050000000,-354000000,609000000,3145000000,1558000000,315000000,,578000000,12554000000,689000000,6153000000,1268000000,15815000000,2901000000,1305000000,3443000000,-2435000000,2287000000,10004000000,186000000,,39000000,6000000,,,
2011-12-31,1768000000,-2794000000,2728000000,5517000000,10099000000,-35000000,155209045,3041000000,835000000,578000000,8297000000,905000000,6.07,-3163000000,155209045,-192000000,940000000,1553000000,-1125000000,-1220000000,530000000,134000000,-1060000000,267000000,5733000000,5.850175,257000000,-99000000,58743000000,-217000000,691000000,47000000,302000000,49000000,893000000,11200000000,1241000000,-610000000,1175000000,-139000000,23275000000,942000000,733000000,835000000,3348000000,4149000000,283000000,3173000000,56015000000,-186000000,1489000000,940000000,-120000000,600000000,2869000000,1553000000,-206000000,,835000000,12075000000,44000000,6917000000,1236000000,13176000000,2459000000,-295000000,4253000000,2614000000,908000000,6947000000,220000000,95000000,402000000,23000000,,,
2012-12-31,1259000000,-6131000000,2573000000,5888000000,10016000000,-397000000,146348499,2726000000,571000000,835000000,8803000000,881000000,0.191324,-3395000000,147000000,-298000000,378000000,1563000000,-1095000000,-967000000,-1567000000,84000000,1206000000,-373000000,6590000000,0.19,-262000000,-83000000,60991000000,-32000000,691000000,7000000,317000000,44000000,351000000,12826000000,-1566000000,-1410000000,1010000000,-57000000,24081000000,64000000,2317000000,571000000,3532000000,3775000000,223000000,3319000000,58418000000,-192000000,-1550000000,372000000,0,273000000,3209000000,1563000000,90000000,,571000000,11208000000,-6000000,6792000000,1069000000,14065000000,2471000000,554000000,4464000000,-455000000,28000000,8362000000,295000000,108000000,3153000000,23000000,,,
2013-12-31,1945000000,-10370000000,2760000000,6075000000,9119000000,100000000,147796784,3078000000,5212000000,569000000,9165000000,942000000,1.556191,-3591000000,148000000,-355000000,110000000,1559000000,-1042000000,-429000000,238000000,185000000,-1565000000,148000000,5796000000,1.55,171000000,-68000000,61347000000,460000000,691000000,-43000000,363000000,53000000,392000000,16693000000,1075000000,-2572000000,1201000000,171000000,26781000000,306000000,5935000000,742000000,3179000000,4455000000,330000000,3522000000,58587000000,-204000000,1183000000,1014000000,0,241000000,2085000000,1559000000,31000000,,742000000,10088000000,904000000,6891000000,940000000,17662000000,2144000000,436000000,4158000000,2225000000,230000000,12535000000,326000000,134000000,4470000000,43000000,,,
2014-12-31,1812000000,-14468000000,2625000000,5626000000,8319000000,76000000,145703198,3111000000,1705000000,742000000,8815000000,970000000,4.193456,-3758000000,147000000,-39000000,629000000,1583000000,-839000000,-685000000,-110000000,177000000,-1058000000,-28000000,5502000000,4.15,-380000000,-196000000,57828000000,-45000000,691000000,63000000,282000000,49000000,349000000,12651000000,35000000,-4058000000,1042000000,107000000,21485000000,659000000,2346000000,362000000,2854000000,3988000000,392000000,3333000000,55203000000,-230000000,560000000,923000000,-300000000,306000000,1782000000,1583000000,-5000000,,362000000,8834000000,294000000,7180000000,769000000,13166000000,1971000000,-14000000,3861000000,1399000000,611000000,8790000000,256000000,282000000,1343000000,74000000,,,
2015-12-31,1854000000,-9185000000,2693000000,4736000000,7006000000,8000000,142483467,2813000000,736000000,362000000,7825000000,959000000,5.179548,-3543000000,152000000,-514000000,755000000,1435000000,-649000000,-802000000,342000000,209000000,360000000,-206000000,4438000000,5.07,49000000,-235000000,43483000000,16000000,691000000,27000000,258000000,46000000,418000000,11258000000,-576000000,-6360000000,1258000000,301000000,17910000000,791000000,1842000000,411000000,2934000000,4013000000,371000000,2673000000,40790000000,-249000000,-39000000,1051000000,-300000000,329000000,1197000000,1435000000,55000000,,411000000,6652000000,296000000,7725000000,688000000,10904000000,1717000000,-89000000,3930000000,610000000,738000000,7328000000,326000000,295000000,325000000,25000000,,,
2016-12-31,1777000000,-10763000000,2410000000,5099000000,8096000000,55000000,139500862,2476000000,998000000,411000000,8624000000,1092000000,5.082406,-4138000000,148000000,-74000000,776000000,1286000000,-784000000,-926000000,-269000000,239000000,-488000000,-131000000,4773000000,5.01,523000000,-928000000,42939000000,126000000,691000000,-67000000,234000000,44000000,373000000,11845000000,431000000,-5978000000,1124000000,58000000,19188000000,745000000,1723000000,934000000,3069000000,3645000000,395000000,3485000000,40529000000,-282000000,1120000000,996000000,-200000000,837000000,1451000000,1286000000,70000000,,934000000,7343000000,220000000,8208000000,548000000,11092000000,1676000000,708000000,4161000000,1904000000,709000000,7684000000,336000000,802000000,64000000,0,,,
2017-12-31,1102000000,-9234000000,1764000000,5310000000,8468000000,136000000,140646829,2186000000,601000000,934000000,9203000000,1139000000,0.895861,-4602000000,141000000,-495000000,174000000,1445000000,-662000000,-1162000000,-130000000,223000000,-180000000,95000000,5074000000,0.89,-333000000,-964000000,45794000000,-23000000,691000000,-28000000,263000000,29000000,515000000,11514000000,-4000000,-5930000000,319000000,-2000000,18871000000,160000000,634000000,601000000,4160000000,3227000000,406000000,3395000000,44030000000,-297000000,344000000,230000000,0,776000000,1544000000,1445000000,72000000,,601000000,7357000000,56000000,8081000000,606000000,10403000000,1501000000,25000000,5299000000,1006000000,126000000,6215000000,323000000,961000000,0,,,,
2018-12-31,1417000000,-10515000000,2266000000,4538000000,8357000000,-79000000,140968980,1479000000,551000000,605000000,9222000000,892000000,1.65,-4684000000,141703783,-985000000,277000000,1423000000,-493000000,410000000,-1107000000,356000000,631000000,-110000000,5871000000,1.64,-212000000,-1184000000,45743000000,6000000,691000000,-31000000,339000000,46000000,727000000,13047000000,-2637000000,-6935000000,843000000,1907000000,19425000000,267000000,1169000000,393000000,4203000000,185000000,405000000,3501000000,43477000000,-305000000,-1757000000,456000000,0,542000000,817000000,1423000000,20000000,,389000000,6173000000,179000000,8059000000,618000000,11068000000,1637000000,335000000,5875000000,-1264000000,233000000,7172000000,697000000,1164000000,162000000,,,,
2019-12-31,-318000000,-6008000000,542000000,4928000000,8069000000,-88000000,,1246000000,,393000000,8956000000,711000000,,-4028000000,,-39000000,-1291000000,1351000000,-524000000,1503000000,504000000,329000000,-771000000,-257000000,5038000000,,-71000000,-393000000,41140000000,-24000000,691000000,-33000000,339000000,39000000,611000000,12287000000,-1745000000,-5624000000,-809000000,1318000000,18317000000,-1280000000,1278000000,322000000,3716000000,170000000,411000000,2842000000,40598000000,-317000000,-1332000000,-1205000000,,910000000,129000000,1351000000,-12000000,,320000000,5913000000,86000000,6437000000,602000000,10248000000,1705000000,-498000000,5692000000,-808000000,-1322000000,6595000000,583000000,393000000,393000000,,,,
