date,annualPretaxIncome,annualNetIncome,annualCashDividendsPaid,annualPurchaseOfInvestment,annualAccountsReceivable,annualLongTermDebt,annualGoodwill,annualSaleOfInvestment,annualIncomeTaxPayable,annualStockholdersEquity,annualOtherNonCashItems,annualOperatingIncome,annualInvestingCashFlow,annualRetainedEarnings,annualTotalAssets,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualNetPPE,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,annualChangeInAccountPayable,annualCurrentLiabilities,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualCommonStockIssuance,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualOtherNonCurrentLiabilities,annualEbitda,annualOtherNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualInterestExpense,annualChangesInAccountReceivables,annualBasicAverageShares,annualBeginningCashPosition,annualCurrentAssets,annualGrossPPE,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,annualRepaymentOfDebt,annualOtherIncomeExpense,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualCurrentAccruedExpenses,annualTaxProvision,annualBasicEPS,annualCurrentDebt,annualDilutedAverageShares,annualInventory,annualCapitalStock,annualCostOfRevenue,annualOtherCurrentAssets,annualTotalRevenue,annualTotalNonCurrentAssets,annualResearchAndDevelopment,annualGrossProfit,annualFreeCashFlow,annualStockBasedCompensation,annualNetOtherFinancingCharges,annualPurchaseOfBusiness,annualOperatingExpense,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,annualDilutedEPS,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualChangeInInventory,annualCurrentDeferredRevenue,annualNonCurrentDeferredRevenue
1989-09-30,4400000,-6500000,-30000000.0,,,386500000,,,,489200000,24600000.0,127400000,-53800000,701000000,1417400000,97800000.0,-39500000.0,0,743200000,47600000,567700000,273800000.0,,360500000,,16800000,75300000.0,-103800000.0,,82000000,225200000,170600000,,0.0,16200000,16200000,42200000,,98614000,65500000,486800000,1324800000,-35800000.0,-6500000,235600000,-581600000,,-80900000,18800000.0,-49300000.0,-233000000.0,,10900000,-0.025,67900000,98614000,177900000,75200000.0,1476100000,11200000.0,1936900000,930600000,,460800000,-185400000,,-9100000.0,,333400000,-62300000.0,-6500000,-0.025,99200000,928200000,-26900000.0,,
1990-09-30,120800000,71000000,-29700000.0,,,480800000,,,,570600000,,161100000,-249200000,742400000,1731900000,85500000.0,150000000.0,0,878700000,128300000,699000000,321900000.0,,443700000,,104500000,55700000.0,-7500000.0,,104200000,246600000,169200000,,0.0,48300000,48300000,51100000,,135550000,16200000,579500000,1533900000,6800000.0,67200000,253000000,-655200000,,10800000,2800000.0,32000000.0,-298300000.0,,49800000,0.17,119000000,135550000,212200000,74600000.0,1173000000,33800000.0,1672600000,1152400000,,499600000,-170000000,,100000.0,,338500000,8800000.0,71000000,0.17,114000000,1142700000,-6600000.0,,
1991-09-30,70900000,49300000,-26300000.0,,,369600000,,,,426800000,3600000.0,107200000,-199300000,833900000,1462400000,89200000.0,44900000.0,0,670400000,147200000,534500000,290400000.0,,501100000,,97600000,2200000.0,,,91000000,196400000,200300000,,-14600000.0,39000000,39000000,38700000,,72804000,48300000,494100000,1136800000,11600000.0,45600000,242300000,-466400000,,2300000,1000000.0,-9200000.0,-198000000.0,,31100000,0.1375,209700000,72804000,190400000,72900000.0,1043400000,27100000.0,1482100000,968300000,,438700000,-50800000,,0.0,,331500000,-4800000.0,39800000,0.1375,73900000,1035600000,15000000.0,,
1992-09-30,116700000,62200000,-22700000.0,,,479900000,,,,492900000,5500000.0,158300000,-65800000,873400000,1554500000,84100000.0,-39300000.0,0,703200000,103300000,691200000,276400000.0,,360600000,,87400000,3200000.0,,,91400000,242400000,209100000,,-13700000.0,30700000,30700000,41700000,,74248000,39000000,554800000,1274600000,22900000.0,58500000,247700000,-571400000,,200000,0.0,-8400000.0,-78100000.0,,54500000,0.2,84200000,74248000,226200000,72600000.0,1066900000,32400000.0,1557000000,999700000,,490100000,25200000,,-100000.0,,331800000,-64200000.0,62200000,0.1875,119900000,1051800000,-27200000.0,,
1993-09-30,68100000,11300000,-22900000.0,,,459300000,,,,442300000,11100000.0,152100000,-102400000,861800000,1489500000,84500000.0,-74800000.0,0,646500000,189100000,693000000,297200000.0,,354200000,,78900000,12600000.0,,,147500000,236600000,219900000,,-40900000.0,40300000,40300000,44000000,,73316000,30700000,544200000,1250200000,11100000.0,7700000,250500000,-603700000,,-40100000,26300000.0,9600000.0,-65000000.0,,30700000,0.025,30700000,73316000,195400000,72300000.0,1127200000,50400000.0,1614300000,945300000,,487100000,124100000,,0.0,,335000000,38700000.0,37400000,0.025,86200000,1047200000,17400000.0,,
1994-09-30,123700000,78700000,-23600000.0,,,307800000,,,,562500000,-9800000.0,174700000,-73400000,916900000,1616800000,86300000.0,-31300000.0,0,694500000,143800000,579200000,281300000.0,,475100000,,74100000,7700000.0,,,147100000,261000000,241800000,,-300000.0,80900000,80900000,41700000,,74900000,40300000,606400000,1301600000,27100000.0,75100000,270800000,-607100000,,-9500000,7600000.0,40700000.0,-73600000.0,,45000000,0.515,186200000,74900000,216900000,71300000.0,1148000000,35800000.0,1679800000,1010400000,,531800000,70200000,,0.0,,357100000,-44600000.0,78700000,0.46,124300000,1054300000,-13700000.0,,
1995-09-30,273000000,171900000,-26400000.0,,,306400000,,,,685000000,74600000.0,277500000,24500000,1062500000,1654300000,94200000.0,-197200000.0,0,706500000,182000000,566900000,260900000.0,,402400000,,13900000,19700000.0,-76300000.0,,160100000,371700000,256000000,,155300000.0,90800000,90800000,35600000,,77379310,80900000,677900000,1447600000,-24200000.0,168300000,293900000,-741100000,,31100000,73400000.0,9900000.0,-131200000.0,,101100000,2.175,68100000,83316832,253100000,70500000.0,1164800000,41200000.0,1830400000,976400000,,665600000,50800000,,0.0,,388100000,-102300000.0,171900000,2.02,100400000,969300000,-58000000.0,,
1996-09-30,292300000,194100000,-30500000.0,,,321500000,,,,745000000,-36700000.0,259900000,-196900000,1176700000,1857600000,97000000.0,12800000.0,0,903000000,152000000,557800000,250700000.0,,527700000,,42700000,28600000.0,-123500000.0,,148000000,356900000,202100000,,-48200000.0,58100000,58100000,41700000,,73237000,90800000,709800000,1712100000,3800000.0,190800000,286500000,-809100000,,80300000,27000000.0,-32600000.0,-209100000.0,,98200000,2.6,250000000,79345000,260400000,68800000.0,1212900000,27500000.0,1856300000,1147800000,,643400000,-57100000,,0.0,,383500000,-42300000.0,194100000,2.42,88300000,1085500000,-39000000.0,,
1997-09-30,134900000,92800000,-31300000.0,,,285500000,,,,727800000,,186400000,-145300000,1238200000,1823600000,109900000.0,-15200000.0,0,922300000,144200000,531600000,224000000.0,,541400000,,39100000,16600000.0,-85800000.0,,146900000,296300000,251000000,,-18600000.0,39200000,39200000,43200000,,70730000,58100000,611200000,1759800000,-13200000.0,89500000,216500000,-837500000,,-6600000,1600000.0,-18900000.0,-162800000.0,,42100000,1.27,315800000,76736000,246900000,65900000.0,1034500000,36500000.0,1630000000,1212400000,82700000.0,595500000,-18600000,,100000.0,,409100000,-62600000.0,92800000,1.19,99200000,1073000000,2700000.0,,
1998-09-30,182100000,121600000,-31700000.0,-20200000.0,,316300000,,129500000.0,,705500000,,214500000,-109100000,671700000,1805200000,115400000.0,-130400000.0,0,978000000,236400000,538300000,268200000.0,,536300000,,24200000,24400000.0,-105200000.0,,139600000,329900000,184100000,,1900000.0,39600000,39600000,42000000,,65600000,39200000,618900000,1914300000,12000000.0,118400000,229700000,-936300000,,12500000,3400000.0,400000.0,-226600000.0,,60500000,1.8,264700000,74600000,251100000,61700000.0,1005500000,43900000.0,1647800000,1186300000,82700000.0,642300000,9800000,,0.0,,427800000,15500000.0,121600000,1.61,82400000,1074600000,-3200000.0,,
1999-09-30,146000000,97000000,-32000000.0,-6000000.0,,419000000,,20000000.0,,706000000,,194000000,-143000000,734000000,1842000000,125000000.0,-69000000.0,35000000,1024000000,208000000,654000000,252000000.0,,450000000,,20000000,11000000.0,-46000000.0,,167000000,319000000,139000000,-15800000.0,8000000.0,35000000,35000000,46000000,,64000000,40000000,659000000,2039000000,-3000000.0,94000000,208000000,-1015000000,,-3000000,1000000.0,-5000000.0,-166000000.0,,49000000,1.47,197000000,73000000,259000000,142000000.0,1095000000,44000000.0,1695000000,1183000000,73000000.0,600000000,42000000,,0.0,,406000000,-41000000.0,97000000,1.31,68000000,1104000000,-7000000.0,,
2000-09-30,165000000,453000000,-32000000.0,-2000000.0,280000000.0,329000000,,,,1047000000,-5000000.0,200000000,528000000,1040000000,2134000000,129000000.0,-184000000.0,638000000,806000000,264000000,562000000,425000000.0,,494000000,,21000000,98000000.0,-47000000.0,,143000000,329000000,117000000,-223000000.0,-14000000.0,638000000,638000000,33000000,,64000000,35000000,1190000000,1794000000,20000000.0,450000000,178000000,-988000000,,3000000,1000000.0,603000000.0,-137000000.0,,57000000,7.04,68000000,73000000,232000000,143000000.0,973000000,40000000.0,1523000000,944000000,43000000.0,550000000,127000000,,7000000.0,,350000000,-56000000.0,108000000,6.2,90000000,1056000000,1000000.0,,
2001-09-30,163000000,124000000,-34000000.0,-5000000.0,267000000.0,419000000,,,,950000000,6000000.0,177000000,-124000000,1078000000,1919000000,115000000.0,-176000000.0,364000000,807000000,26000000,651000000,243000000.0,,291000000,,21000000,13000000.0,-229000000.0,,138000000,292000000,121000000,-242000000.0,0.0,364000000,364000000,32000000,,62000000,638000000,968000000,1856000000,6000000.0,121000000,208000000,-1049000000,,25000000,0.0,-274000000.0,-122000000.0,,42000000,1.94,43000000,74000000,285000000,138000000.0,1237000000,0.0,1670000000,951000000,48000000.0,433000000,-96000000,,15000000.0,,256000000,-254000000.0,121000000,1.66,94000000,942000000,-55000000.0,,
2002-09-30,135000000,106000000,-40000000.0,-9000000.0,304000000.0,495000000,,,,977000000,,148000000,-232000000,1120000000,2067000000,109000000.0,-164000000.0,159000000,885000000,192000000,769000000,238000000.0,,286000000,,113000000,6000000.0,-82000000.0,,170000000,257000000,106000000,-239000000.0,0.0,159000000,159000000,28000000,,59000000,364000000,959000000,2019000000,-4000000.0,103000000,219000000,-1134000000,,-4000000,0.0,-205000000.0,-146000000.0,,30000000,1.76,45000000,71000000,435000000,97000000.0,1128000000,0.0,1557000000,1108000000,48000000.0,429000000,46000000,,7000000.0,,281000000,-58000000.0,105000000,1.5,104000000,1055000000,-64000000.0,,
2003-09-30,89000000,77000000,-40000000.0,,333000000.0,516000000,,36000000.0,,1079000000,,106000000,-107000000,1160000000,2308000000,135000000.0,-64000000.0,247000000,913000000,254000000,837000000,278000000.0,,352000000,,119000000,19000000.0,-41000000.0,,220000000,241000000,119000000,-184000000.0,0.0,247000000,247000000,28000000,,59000000,159000000,1140000000,2202000000,-31000000.0,74000000,251000000,-1289000000,,13000000,16000000.0,88000000.0,-129000000.0,,17000000,1.32,55000000,70000000,485000000,94000000.0,1374000000,0.0,1795000000,1168000000,64000000.0,421000000,125000000,,0.0,,315000000,26000000.0,72000000,1.14,101000000,1189000000,-25000000.0,,
2004-09-30,164000000,124000000,-46000000.0,-110000000.0,384000000.0,506000000,,5000000.0,,1191000000,,207000000,-226000000,1218000000,2426000000,134000000.0,-101000000.0,159000000,918000000,241000000,818000000,174000000.0,,372000000,70000000.0,118000000,9000000.0,-54000000.0,,290000000,341000000,182000000,-163000000.0,-6000000.0,159000000,229000000,30000000,,59000000,247000000,1173000000,2356000000,,121000000,217000000,-1438000000,,-13000000,50000000.0,-88000000.0,-119000000.0,116000000.0,39000000,2.07,32000000,68000000,482000000,89000000.0,1457000000,0.0,1934000000,1253000000,53000000.0,477000000,122000000,,0.0,,270000000,-64000000.0,122000000,1.82,22000000,1190000000,-20000000.0,,
2005-09-30,-93000000,-48000000,-51000000.0,-94000000.0,430000000.0,463000000,,164000000.0,,1099000000,,-77000000,-119000000,1127000000,2374000000,142000000.0,-81000000.0,181000000,832000000,224000000,785000000,321000000.0,,433000000,30000000.0,31000000,5000000.0,-52000000.0,,307000000,65000000,155000000,-141000000.0,-4000000.0,181000000,211000000,29000000,,60000000,159000000,1248000000,2262000000,-57000000.0,-51000000,240000000,-1430000000,,-192000000,31000000.0,22000000.0,-186000000.0,,-45000000,-0.84,81000000,60000000,495000000,86000000.0,1692000000,5000000.0,2125000000,1126000000,59000000.0,433000000,38000000,,0.0,,510000000,-63000000.0,-48000000,-0.84,15000000,1218000000,-9000000.0,,
2006-09-30,97000000,88000000,-43000000.0,-39000000.0,534000000.0,459000000,31000000.0,56000000.0,,1196000000,37000000.0,126000000,-165000000,1160000000,2534000000,131000000.0,-82000000.0,189000000,964000000,252000000,765000000,252000000.0,,505000000,1000000.0,5000000,9000000.0,-39000000.0,,286000000,257000000,179000000,-48000000.0,-3000000.0,189000000,190000000,27000000,,60000000,181000000,1255000000,2531000000,2000000.0,86000000,235000000,-1567000000,,5000000,27000000.0,8000000.0,-188000000.0,132000000.0,9000000,1.42,92000000,68000000,420000000,82000000.0,2124000000,0.0,2543000000,1279000000,58000000.0,419000000,64000000,,2000000.0,,293000000,-6000000.0,88000000,1.28,20000000,1270000000,82000000.0,,
2007-09-30,168000000,129000000,-48000000.0,-95000000.0,563000000.0,503000000,34000000.0,95000000.0,,1194000000,25000000.0,187000000,-143000000,1119000000,2636000000,149000000.0,-211000000.0,154000000,1016000000,309000000,817000000,305000000.0,,549000000,2000000.0,4000000,9000000.0,-202000000.0,,298000000,336000000,185000000,15000000.0,-3000000.0,154000000,156000000,34000000,,62000000,189000000,1277000000,2823000000,-27000000.0,128000000,249000000,-1807000000,,17000000,38000000.0,-35000000.0,-141000000.0,122000000.0,38000000,2.06,82000000,68000000,442000000,65000000.0,2111000000,9000000.0,2616000000,1359000000,69000000.0,505000000,168000000,,-1000000.0,,318000000,26000000.0,127000000,1.9,16000000,1366000000,-8000000.0,,
2008-09-30,112000000,86000000,-47000000.0,,646000000.0,586000000,34000000.0,,,1249000000,29000000.0,165000000,-176000000,1143000000,2858000000,163000000.0,23000000.0,129000000,1081000000,124000000,898000000,314000000.0,,601000000,1000000.0,3000000,1000000.0,-35000000.0,,294000000,328000000,159000000,24000000.0,5000000.0,129000000,130000000,38000000,,63000000,154000000,1408000000,2920000000,-30000000.0,86000000,246000000,-1839000000,,-10000000,38000000.0,-25000000.0,-199000000.0,112000000.0,14000000,1.37,130000000,64000000,523000000,65000000.0,2706000000,7000000.0,3191000000,1450000000,74000000.0,485000000,-75000000,,-3000000.0,,320000000,-124000000.0,86000000,1.34,18000000,1499000000,-68000000.0,,
2009-09-30,-102000000,-77000000,-57000000.0,0.0,452000000.0,623000000,37000000.0,0.0,31000000.0,1134000000,2000000.0,-55000000,-105000000,1018000000,2676000000,169000000.0,-127000000.0,304000000,1012000000,399000000,962000000,407000000.0,,477000000,1000000.0,2000000,0.0,-2000000.0,61000000.0,328000000,97000000,129000000,60000000.0,-1000000.0,304000000,305000000,30000000,,63000000,129000000,1200000000,3000000000,-51000000.0,-77000000,211000000,-1988000000,-406000000.0,-20000000,0.0,175000000.0,-106000000.0,,-22000000,-1.179008,34000000,63000000,358000000,65000000.0,2016000000,0.0,2243000000,1476000000,71000000.0,227000000,293000000,27000000.0,0.0,,282000000,321000000.0,-77000000,-1.22,11000000,1439000000,184000000.0,,
2010-09-30,208000000,154000000,-53000000.0,-7000000.0,575000000.0,600000000,39000000.0,,34000000.0,1302000000,-5000000.0,248000000,-112000000,1125000000,2886000000,143000000.0,-57000000.0,387000000,975000000,249000000,930000000,447000000.0,,539000000,1000000.0,4000000,3000000.0,-5000000.0,61000000.0,324000000,391000000,124000000,88000000.0,2000000.0,387000000,387000000,40000000,,65370220,304000000,1438000000,2943000000,-2000000.0,154000000,246000000,-1968000000,-45000000.0,-2000000,0.0,83000000.0,-108000000.0,,46000000,2.355813,52000000,65370220,373000000,65000000.0,2329000000,0.0,2893000000,1448000000,70000000.0,564000000,141000000,27000000.0,0.0,-5000000.0,316000000,-84000000.0,169000000,2.35,6000000,1469000000,-7000000.0,,
2011-09-30,203000000,236000000,-47000000.0,-2000000.0,659000000.0,556000000,40000000.0,,34000000.0,1487000000,-3000000.0,243000000,-232000000,1314000000,3141000000,144000000.0,-72000000.0,286000000,1036000000,195000000,869000000,330000000.0,,656000000,,3000000,5000000.0,-59000000.0,60000000.0,305000000,386000000,189000000,106000000.0,-6000000.0,286000000,286000000,39000000,-111000000.0,63860777,387000000,1555000000,2967000000,-25000000.0,236000000,249000000,-1931000000,-36000000.0,-3000000,46000000.0,-101000000.0,-230000000.0,11000000.0,6000000,3.67988,143000000,65400000,393000000,64000000.0,2544000000,110000000.0,3102000000,1586000000,66000000.0,558000000,-35000000,19000000.0,-12000000.0,0.0,315000000,-192000000.0,205000000,3.57,8000000,1525000000,-79000000.0,,
2012-09-30,245000000,388000000,-49000000.0,0.0,687000000.0,1172000000,480000000.0,,59000000.0,1813000000,3000000.0,290000000,-1180000000,1653000000,4399000000,156000000.0,606000000.0,120000000,1552000000,415000000,1541000000,425000000.0,,919000000,,330000000,10000000.0,-36000000.0,115000000.0,314000000,447000000,143000000,92000000.0,-1000000.0,120000000,120000000,46000000,6000000.0,63347362,286000000,1443000000,3511000000,-6000000.0,388000000,285000000,-1959000000,-302000000.0,-3000000,0.0,-166000000.0,-281000000.0,135000000.0,55000000,6.140745,247000000,64200000,533000000,64000000.0,2652000000,0.0,3300000000,2956000000,73000000.0,648000000,134000000,18000000.0,-12000000.0,-1104000000.0,358000000,39000000.0,201000000,6.01,55000000,2460000000,-30000000.0,,
2013-09-30,205000000,153000000,-51000000.0,0.0,634000000.0,1020000000,504000000.0,,30000000.0,1951000000,16000000.0,263000000,-227000000,1755000000,4233000000,190000000.0,-206000000.0,95000000,1605000000,419000000,1306000000,398000000.0,-18000000.0,844000000,,310000000,9000000.0,-6000000.0,119000000.0,267000000,457000000,132000000,103000000.0,-2000000.0,95000000,95000000,62000000,34000000.0,63970502,120000000,1495000000,3676000000,-9000000.0,153000000,299000000,-2071000000,-475000000.0,-1000000,0.0,-25000000.0,-264000000.0,95000000.0,58000000,2.422992,278000000,64500000,458000000,64000000.0,2827000000,0.0,3463000000,2738000000,74000000.0,636000000,155000000,0.0,-35000000.0,0.0,373000000,47000000.0,158000000,2.38,68000000,2150000000,64000000.0,,
2014-09-30,308000000,199000000,-54000000.0,,688000000.0,1004000000,536000000.0,,49000000.0,1942000000,32000000.0,335000000,-16000000,1900000000,4084000000,201000000.0,-302000000.0,67000000,1581000000,315000000,1390000000,351000000.0,-29000000.0,630000000,,347000000,14000000.0,-18000000.0,68000000.0,303000000,564000000,108000000,-64000000.0,-7000000.0,67000000,67000000,55000000,-54000000.0,64382366,95000000,1364000000,3710000000,8000000.0,199000000,326000000,-2129000000,-251000000.0,25000000,0.0,-28000000.0,-171000000.0,113000000.0,92000000,3.121973,68000000,65100000,498000000,64000000.0,2926000000,0.0,3647000000,2720000000,60000000.0,721000000,144000000,-7000000.0,-19000000.0,-73000000.0,386000000,-140000000.0,216000000,3.06,101000000,2020000000,-56000000.0,,
2015-09-30,-377000000,-334000000,-56000000.0,,477000000.0,970000000,154000000.0,,28000000.0,1234000000,18000000.0,245000000,-162000000,1478000000,3075000000,183000000.0,-256000000.0,77000000,1383000000,499000000,1296000000,274000000.0,-75000000.0,441000000,,153000000,6000000.0,-101000000.0,57000000.0,238000000,-141000000,128000000,-299000000.0,-21000000.0,77000000,77000000,53000000,154000000.0,62458396,67000000,1048000000,3385000000,-86000000.0,-334000000,282000000,-2002000000,-78000000.0,-573000000,0.0,10000000.0,-141000000.0,81000000.0,-45000000,-5.299528,23000000,63400000,397000000,63000000.0,2286000000,0.0,2871000000,2027000000,58000000.0,585000000,358000000,513000000.0,-27000000.0,0.0,340000000,120000000.0,-328000000,-5.299528,76000000,1737000000,58000000.0,,
2016-09-30,194000000,149000000,-65000000.0,,456000000.0,918000000,152000000.0,,25000000.0,1274000000,22000000.0,250000000,-104000000,1544000000,3044000000,161000000.0,-184000000.0,200000000,1290000000,392000000,1274000000,259000000.0,-27000000.0,398000000,,140000000,10000000.0,-45000000.0,53000000.0,282000000,409000000,140000000,-325000000.0,-8000000.0,200000000,200000000,54000000,25000000.0,62210711,77000000,1089000000,3433000000,-35000000.0,148000000,275000000,-2143000000,-316000000.0,-7000000,0.0,123000000.0,-112000000.0,63000000.0,34000000,2.395086,8000000,62900000,342000000,62000000.0,1833000000,0.0,2411000000,1955000000,53000000.0,578000000,280000000,7000000.0,-16000000.0,0.0,328000000,51000000.0,163000000,2.36,64000000,1672000000,51000000.0,,
