date,annualLongTermDebt,annualCashDividendsPaid,annualAccountsReceivable,annualNonCurrentDeferredRevenue,annualNetIncome,annualTotalAssets,annualPretaxIncome,annualGoodwill,annualStockholdersEquity,annualOtherNonCashItems,annualSaleOfInvestment,annualDepreciationAndAmortization,annualCommonStockIssuance,annualDilutedAverageShares,annualRetainedEarnings,annualInvestingCashFlow,annualTotalRevenue,annualPurchaseOfInvestment,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualCurrentLiabilities,annualOtherIncomeExpense,annualOtherShortTermInvestments,annualOperatingIncome,annualOtherIntangibleAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualBasicAverageShares,annualNetPPE,annualAccountsPayable,annualEbitda,annualOtherNonCurrentLiabilities,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualIncomeTaxPayable,annualGainsLossesNotAffectingRetainedEarnings,annualCashCashEquivalentsAndMarketableSecurities,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualCurrentAssets,annualBeginningCashPosition,annualInterestExpense,annualOtherNonCurrentAssets,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualGrossPPE,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,annualOtherCurrentLiabilities,annualCapitalExpenditure,annualCurrentDeferredRevenue,annualCapitalStock,annualCostOfRevenue,annualTaxProvision,annualDilutedEPS,annualCurrentDebt,annualGrossProfit,annualNetOtherFinancingCharges,annualInventory,annualOtherCurrentAssets,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualPurchaseOfBusiness,annualBasicEPS,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualFreeCashFlow,annualChangeInInventory,annualOperatingExpense,annualNetIncomeContinuousOperations,annualChangesInAccountReceivables,annualResearchAndDevelopment,annualStockBasedCompensation,annualChangeInAccountPayable
1998-12-31,13690223694,,,,1307213046,49541421852,1859225130,,13494879288,,,,,3698708793,1307213046,0,17458895628,,,0,12121329294,-14836284,392053068,3879091404,9010569816,20381046714,0,3698708793,27811125954,2327847066,8393073444,6690823020,,,,6541266456,535044150,142991082,,6327930924,0,1449095670,6391795158,,1307213046,-24493425894,5841573660,52304551848,,,,3068808606,,,3078614196,2935111518,552012084,0.353424,6724673622,14523784110,,295446690,230473998,43213490928,,,0.353424,32502376008,,0,,10644692706,1307213046,,,,
1999-12-31,16719392773.51,,,,1809992708.37,64334533043.13,1986910185.54,,14527281847.4,,,,,3819999025,4796024577.26,0,23024329453.16,,,0,13486638624.06,357445393.41,773361415.26,3720680194.7,11246186770.98,25674982041.8,0,3819999025,35859764322.55,4257951888.61,10042266832.01,7834510669.93,,,,3882654051.64,960007102.74,186645687.48,,9568681176.46,0,1433591764.5,7659900773.14,,1809992708.37,-35893484611.04,7960679266.96,71753248933.59,,,,6961156092.45,,,3272369600.22,4570364681.96,176917477.17,0.472414,2267530643,18453964771.2,,477496219.2,1048466338.22,54765851866.67,,,0.472414,39161620665.86,1121078598.36,0,,14733284576.5,1809992708.37,,,,
2000-12-31,23293316980,,8523243700,,2505333220,92336382280,2747029200,,25920030560,,,,,4891943928,2503203740,0,29749900340,,,0,24067382960,-589865960,6091377540,5568590200,27395760200,33023975840,0,4891943928,38705428480,5934860760,12412738920,8342237900,,,,8095218220,6856925600,765548060,,16584390240,0,1610951620,9650803360,,2505333220,-41906036920,5870976360,80611465400,,,,18132522200,,,4338815500,11966612860,241695980,0.472381,,17783287480,,791101820,413119120,75751992040,,,0.472381,57091358800,1388420960,0,,12214697280,2505333220,,,,
2001-12-31,26161253070,-324809990,8006734840,,2107331250,86455652840,1763414790,,25871284290,-9166609960,,7686420490,319190440,5059371921,,-9899399280,31946017840,-2620958120,-1321718160,4431577130,18425380540,-942960490,2307387230,5431857030,26098314110,34722075540,8831684780,5059371921,36620359530,5234048870,13654382590,7018817950,,,,9522889430,2930033370,622646140,-905871460,12241627720,6927781240,1609439120,11495351480,1480189470,2107331250,-43943757090,6415278280,80564116620,,-2496204110,393368500,12797963170,-6773805570,,4673217780,7184032720,-343916460,0.41719,,24761985120,-1123910,754143610,262994940,74214025120,-2694012270,,0.41719,53147456080,1542004520,2057879210,50575950,19330128090,2107331250,,,,
2002-12-31,20096690000,-52000000,6029150000,880460000,-5576800000,68041290000,-14601060000,6364020000,16996000000,,457260000,,2006560000,5357403133,0,-5780190000,29187480000,-2021310000,-2101100000,3575580000,14681740000,-18043510000,3366230000,5031750000,7629570000,30750620000,8814610000,5357403133,27099650000,,-6319340000,8144010000,,5103710000,,,3910140000,543910000,7560000,10573670000,3189110000,1589300000,10468390000,,-5576800000,-40905200000,10416060000,68004850000,-12570480000,386470000,437420000,9131170000,-4311820000,,4860660000,6953590000,-3228650000,-1.044347,5113150000,22233890000,-10000,449830000,0,57467620000,,,-1.044347,45432360000,1629460000,4502790000,,17202140000,-11372410000,,,,
2003-12-31,17662905940.99,-1484054774.48,6207405751.88,,2199733864.23,61966848382.23,3356630810.05,,16727311508.41,,750987221.76,,12098635.11,6548078727,2199733864.23,-5162643310.72,29032844633.42,-2862295523.1,-4171635906.53,3529888156.05,13824687201.61,-1023909625.3,133227117.58,6316854847.08,13703069596.66,26996355396.89,9175017444.03,6548078727,24273337499.97,5299333987.16,13023457731.6,8533218875.63,,,,1607139746.87,469059723.99,335832606.41,-3474834880.03,10464063214.69,3569349064.96,1553154441.2,13526378070.91,,2199733864.23,-44047152345.21,5053084639.38,68320489845.18,,-39460908.91,417439833.69,8107913380.76,,,4947239646.35,6265654204.62,911835466.92,0.335936,,22767190428.8,19850.75,400269728.97,3194056343.67,51502785167.54,6975283579.8,,0.335936,40821042598.5,800230580.27,9175017444.03,,16450335581.72,2199733864.23,,,,
2004-12-31,15136700829.76,-2947311180.72,6930666627.28,,2875164601.36,63419459070.72,4393762239.2,,16213135288.64,,563203926.4,,92421714.16,5151663201,2875164601.36,-8972087588.32,31187835688.96,-6304309916.08,-1959781177.76,3256702287.2,19539335884,-1164579104.4,689670310.24,7229905781.6,15827679784.32,23894196568.4,10179265499.68,4970241040,23330893055.2,5661224835.52,13637908424.56,7902307740.72,,,,3101967268.08,1544058663.04,854388352.8,-3472073126.96,11634019884.24,3533417858.08,1239293547.84,12626866346.96,,2875164601.36,-49009651146.32,4831598187.28,72340544201.52,,-276715570.88,544157766.48,13333953282,,,4952229522.32,7553106257.68,1137869186.96,0.578476,,23634729431.28,0,669125184.56,2286659726.32,51785439186.48,7304100898.32,,0.578476,43433532452.4,855187997.92,10179265499.68,,16404823649.68,2875164601.36,,,,
2005-12-31,25148617660,-2765959560,7157215870,,4442759220,73118090310,6790785330,,12723751700,,624789400,,,4890699000,4684231880,-9584607120,37852950230,,-434819650,2200271860,21873539170,1452213200,352921580,8552860300,16773906770,35098811010,11130538730,4886111446,27971990300,6906455800,15265969110,7474676430,-2052517610,,,1452213200,2564169470,2211247890,-4257855330,13618720300,913543420,1795003060,14753472940,,4442759220,-54210612170,5651811140,82182602470,,1286728440,,4920638680,,817292080,4917261440,18354455090,1967242300,0.909263,9229152610,19498495140,0,919453590,1530734030,59499370010,6687779510,,0.909263,56972350180,2475516920,11130538730,,10945634840,4442759220,,,,
2006-12-31,50675822580,-3195936420,9665851330,,6232757940,108981583460,6763898630,21738883790,17178347680,,109107360,,,4798605569,5850882180,-28051956870,52901158110,-219730100,14571894080,3792238450,26335789020,1707833260,1679798730,9421875150,20757675240,62644293820,15413687670,4783884833,33886927560,8611904540,19125610980,7268520170,,,,3865734380,5472037180,3792238450,325806700,17713276820,2201847140,3877099730,6183508090,,6232757940,-57386682910,18717216070,91273610470,,1589633620,,7936045060,-6932863500,1407030330,4921196550,16629022430,1781329190,1.298869,8380809090,36272135680,-2346565930,1012273840,9092280,91268306640,9180929730,,1.302865,88980082840,4699951070,8480824170,,26850260530,4637062800,,,,
2007-12-31,46942000000,-3345000000,10393000000,585000000,8906000000,105873000000,10684000000,19770000000,20125000000,,14000000,,,4758707000,13801000000,-4592000000,56441000000,-179000000,-9425000000,5065000000,24974000000,-2598000000,1622000000,16126000000,18320000000,58044000000,15551000000,4758707000,32460000000,8642000000,23674000000,430000000,,9007000000,,1261000000,6687000000,5065000000,27000000,18478000000,3792000000,3554000000,0,,8906000000,-60454000000,11029000000,92914000000,-14795000000,1273000000,,0,-7274000000,1436000000,4773000000,17907000000,1565000000,1.872,6986000000,38534000000,-2152000000,987000000,132000000,87395000000,6655682480,-2798000000,1.872,83018000000,3926000000,8277000000,,22408000000,9119000000,,,,
2008-12-31,46205000000,-4440000000,9315000000,535000000,7826000000,99896000000,10915000000,18323000000,17231000000,,31000000,,,4801226994,16700000000,-9101000000,57946000000,-114000000,-7765000000,4277000000,25132000000,-12312000000,2216000000,13873000000,15921000000,55202000000,16366000000,4801226994,30545000000,13651000000,29774000000,0,,10154000000,2275000000,-2455000000,6493000000,4277000000,11000000,17973000000,5065000000,9813000000,0,,7826000000,-64716000000,6762000000,95261000000,-6094000000,-788000000,,0,-7889000000,1308000000,17231000000,17818000000,3089000000,1.63,8100000000,40128000000,-2241000000,1188000000,7000000,81923000000,,-2178000000,1.63,80334000000,3576000000,8477000000,,44073000000,7826000000,,,,
2009-12-31,48856000000,-4838000000,10622000000,497000000,7776000000,108141000000,10387000000,19566000000,21734000000,,6000000,,,4547368421,16685000000,-9300000000,58376000000,-1411000000,-2281000000,9113000000,26936000000,47000000,1906000000,13647000000,15846000000,56931000000,16148000000,4547368421,31999000000,14023000000,26549000000,0,,10929000000,2766000000,572000000,11019000000,9113000000,-530000000,23830000000,4277000000,7206000000,0,,7776000000,-75651000000,8966000000,107650000000,-7443000000,4836000000,,0,-7593000000,1643000000,4564000000,35773000000,2450000000,1.71,9184000000,22603000000,-947000000,934000000,9000000,84311000000,,-1459000000,1.71,83867000000,3082000000,8555000000,,8956000000,7937000000,,,,
2010-12-31,53660000000,-6249000000,12426000000,543000000,10167000000,129775000000,13901000000,29582000000,24452000000,,173000000,,,4528245000,19971000000,-15861000000,66606000000,-1599000000,-5248000000,4220000000,33492000000,-36000000,1574000000,16474000000,25026000000,64599000000,16672000000,4522228000,35797000000,19251000000,26533000000,0,,12623000000,,830000000,5794000000,4220000000,-614000000,21054000000,9113000000,3329000000,0,,10167000000,-88000000000,8409000000,123797000000,-13436000000,-4893000000,,0,-8944000000,1858000000,4564000000,17606000000,3829000000,2.25,9744000000,49000000000,-883000000,1028000000,475000000,108721000000,,-5744000000,2.25,98091000000,6074000000,7728000000,,32526000000,10072000000,,,,
2011-12-31,55659000000,-7567000000,11331000000,472000000,5403000000,129623000000,6488000000,29107000000,21636000000,19360000000,23000000,,,4511165000,19248000000,-12497000000,64944000000,-669000000,-4912000000,4135000000,32578000000,-794000000,2625000000,10064000000,24064000000,69662000000,17483000000,4511165000,35463000000,17855000000,20243000000,2092000000,,13743000000,611000000,-861000000,6760000000,4135000000,-633000000,20823000000,4220000000,3609000000,0,,5403000000,-89188000000,11080000000,124651000000,-5915000000,-85000000,,313000000,-9085000000,1843000000,4564000000,18256000000,301000000,1.2,10652000000,46688000000,-399000000,1164000000,1000000,108800000000,,-2948000000,1.2,102240000000,4739000000,8398000000,,36624000000,6187000000,,,,
2012-12-31,53410000000,-3273000000,11999000000,392000000,3928000000,129773000000,5864000000,27963000000,20461000000,17152000000,30000000,,,4595215000,19453000000,-7877000000,62356000000,-834000000,-1243000000,9847000000,31511000000,-2578000000,1872000000,11504000000,22078000000,70601000000,15213000000,4495914000,35019000000,8719000000,20322000000,3198000000,,11807000000,698000000,-3208000000,11719000000,9847000000,-317000000,25596000000,4135000000,4025000000,0,,3928000000,-91116000000,11256000000,126135000000,-12718000000,5712000000,,195000000,-9481000000,1612000000,4551000000,18074000000,1461000000,0.87,10054000000,44282000000,656000000,1188000000,150000000,104177000000,,-37000000,0.87,102112000000,4788000000,5732000000,,32778000000,4403000000,,,,
2013-12-31,51172000000,-2182000000,9640000000,377000000,4593000000,118862000000,6280000000,23434000000,21185000000,-53048000000,50000000,,,4547524752,22517000000,-9900000000,57061000000,-386000000,-2685000000,9977000000,29144000000,-474000000,2117000000,9450000000,18548000000,62236000000,14344000000,4547524752,31040000000,15221000000,19536000000,2806000000,,10199000000,575000000,-8234000000,12094000000,9977000000,-313000000,29265000000,9847000000,3629000000,0,,4593000000,-81058000000,7208000000,31040000000,-11899000000,130000000,,922000000,-9674000000,1353000000,4551000000,17041000000,1311000000,1.01,9527000000,40020000000,2531000000,985000000,4882000000,89597000000,,-398000000,1.01,91380000000,3063000000,4670000000,,30570000000,4969000000,,,,
2014-12-31,50688000000,-2328000000,10606000000,877000000,3001000000,122299000000,3635000000,25111000000,21115000000,-48190000000,302000000,,,4606000000,22636000000,-9968000000,50377000000,-247000000,-4041000000,6529000000,29699000000,4000000,2932000000,6454000000,22353000000,62311000000,12193000000,4606000000,33343000000,16943000000,15002000000,3231000000,,11761000000,335000000,-11427000000,9461000000,6529000000,247000000,22864000000,9977000000,3511000000,0,,3001000000,-79858000000,7098000000,33343000000,-13720000000,-3448000000,,41000000,-9205000000,1441000000,4657000000,15182000000,383000000,0.61,9094000000,35195000000,3264000000,934000000,114000000,99435000000,,-5020000000,0.61,92010000000,2566000000,2988000000,,28741000000,3252000000,,,,
2015-12-31,47117000000,-2775000000,8301000000,919000000,2745000000,122974000000,311000000,21745000000,17891000000,,1064000000,,4255000000,4928000000,20604000000,-12917000000,47219000000,-286000000,-3612000000,2599000000,34869000000,538000000,2971000000,2354000000,18562000000,60549000000,13615000000,4928000000,30549000000,14235000000,10871000000,2381000000,-1772000000,10082000000,350000000,-16098000000,5570000000,2599000000,-577000000,31576000000,6529000000,4400000000,0,,2745000000,-73699000000,9800000000,30549000000,-13649000000,-3930000000,,3941000000,-9401000000,1106000000,4975000000,12910000000,13000000,0.51,12953000000,34309000000,-43000000,1360000000,15004000000,91398000000,,-3178000000,0.51,95418000000,2313000000,4214000000,,31955000000,298000000,,,,
2016-12-31,45612000000,-2906000000,10675000000,903000000,2369000000,123641000000,3245000000,28686000000,18157000000,,489000000,,0,5061000000,17093000000,-8208000000,52036000000,-265000000,-4220000000,3736000000,35451000000,253000000,2954000000,5211000000,20518000000,59805000000,13338000000,5061000000,36393000000,16150000000,14860000000,47537000000,-660000000,9841000000,486000000,-13555000000,6690000000,3736000000,42000000,19974000000,2615000000,4476000000,0,,2369000000,-86120000000,8098000000,36393000000,-15379000000,1121000000,,772000000,-9187000000,1569000000,5038000000,15242000000,846000000,0.42,14749000000,36794000000,-1300000000,1055000000,21000000,103667000000,,-54000000,0.42,95256000000,2395000000,4151000000,,31583000000,2399000000,,,,
2017-12-31,43460000000,-2459000000,8328000000,774000000,3132000000,115066000000,4597000000,26841000000,16920000000,61730000000,296000000,,1271000000,5110188000,18225000000,-10245000000,52008000000,-1106000000,-1752000000,5192000000,29066000000,231000000,2154000000,6656000000,18005000000,59382000000,60725000000,5110188000,34225000000,11523000000,17356000000,1687000000,,8244000000,580000000,-17902000000,7346000000,5192000000,-355000000,19931000000,3736000000,3363000000,0,,2856000000,-83643000000,9142000000,117868000000,-13398000000,1456000000,,280000000,-8992000000,1387000000,5192000000,15022000000,1219000000,0.56,9134000000,36986000000,-400000000,1117000000,2154000000,95135000000,,-128000000,0.56,88448000000,2145000000,4804000000,,30330000000,3378000000,,,,
2018-12-31,43047000000,-2794000000,8009000000,896000000,3331000000,114047000000,5571000000,25748000000,17947000000,,1004000000,,379000000,5192131686,14885000000,-8685000000,48693000000,-965000000,-3880000000,5692000000,29649000000,158000000,2209000000,6645000000,16856000000,57418000000,,5192131686,33295000000,11694000000,17310000000,,,1691000000,580000000,-13522000000,7901000000,5692000000,-165000000,23340000000,5192000000,2690000000,,,2929000000,-90859000000,8432000000,124154000000,-8694000000,500000000,,1067000000,-8585000000,1617000000,5192000000,14013000000,1621000000,0.564123,9138000000,34680000000,-1033000000,1692000000,566000000,90707000000,,-3000000,0.564123,87067000000,2674000000,4838000000,,28035000000,3950000000,,,,
2019-12-31,40930000000,-2742000000,8171000000,1187000000,1142000000,118877000000,2718000000,25403000000,17118000000,,1835000000,,0,,13378000000,-5641000000,48422000000,-1132000000,-9021000000,6042000000,30191000000,1030000000,3123000000,3641000000,16034000000,63236000000,,,39167000000,11114000000,16095000000,43288000000,-504000000,1093000000,1073000000,-13491000000,,6042000000,-396000000,24328000000,5692000000,2795000000,,,860000000,-89031000000,9081000000,128198000000,-11527000000,350000000,,904000000,-7659000000,1596000000,5192000000,13635000000,1054000000,,8552000000,34787000000,-136000000,1999000000,625000000,94549000000,,-12000000,,93427000000,2908000000,7363000000,,31146000000,1664000000,,,,
