date,annualInvestmentsAndAdvances,annualDilutedAverageShares,annualNetIncomeContinuousOperations,annualOperatingExpense,annualRepurchaseOfCapitalStock,annualCapitalExpenditure,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,annualTaxProvision,annualChangesInAccountReceivables,annualInterestExpense,annualDilutedEPS,annualTotalRevenue,annualCurrentAssets,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualResearchAndDevelopment,annualOtherNonCurrentAssets,annualAccumulatedDepreciation,annualCommonStockIssuance,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,annualChangeInWorkingCapital,annualBasicAverageShares,annualRetainedEarnings,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualCurrentDeferredRevenue,annualCashDividendsPaid,annualCurrentDebt,annualOtherCurrentAssets,annualNetIncome,annualBeginningCashPosition,annualLongTermDebt,annualCostOfRevenue,annualFreeCashFlow,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualStockholdersEquity,annualOtherNonCashItems,annualPurchaseOfBusiness,annualInvestingCashFlow,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,annualCapitalStock,annualPurchaseOfInvestment,annualAccountsReceivable,annualNetPPE,annualCurrentLiabilities,annualGrossProfit,annualOperatingCashFlow,annualStockBasedCompensation,annualGoodwill,annualSaleOfInvestment,annualInventory,annualOtherIntangibleAssets,annualEbitda,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,annualOperatingIncome,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInCashSupplementalAsReported,annualCashCashEquivalentsAndMarketableSecurities,annualPretaxIncome,annualNonCurrentDeferredRevenue,annualEndCashPosition,annualOtherIncomeExpense,annualGrossPPE,annualAccountsPayable,annualBasicEPS,annualIncomeTaxPayable
2006-12-31,,1836424000,-1189957000,957521000,-544942000.0,-105208000,334069000.0,816007000,551750000.0,,20362000,-0.6475,3026139000,2429206000,-1189957000,-9220000.0,1452896000,,383861000.0,992937000,-160656000,403386000,120844000.0,95259000,-225147000,1836424000,-891363000,4085981000,2217172000,17777000.0,,18747000.0,22863000.0,-1189957000,707913000,1391847000,433320000,1112851000,1656775000,573660000,1815718000,200697000.0,,-1739334000,,-358184000.0,649261000,47284000,461000.0,-2609483000.0,609320000.0,361299000,764276000,2592819000,1218059000,,,3711529000.0,564145000.0,,1682582000,,61049000,1635298000,26654000.0,0.0,2221000.0,108094000,936851000,-638207000.0,,816007000,-2394051000,521955000,367029000,-0.6475,
2007-12-31,,1928712000,1615298000,1296767000,-487543000.0,-78648000,414909000.0,968086000,655040000.0,,13100000,0.84,4230045000,3028292000,1615298000,133069000.0,1498152000,,591026000.0,2061369000,-201340000,243427000,203892000.0,76276000,-236065000,1858266000,249080000,5834716000,2234427000,30747000.0,,286000.0,35242000.0,1615298000,816007000,1311604000,768771000,1686750000,2806424000,705741000,3459990000,201817000.0,,-1302467000,,-34619000.0,-267299000,51279000,932000.0,-3507119000.0,795127000.0,447696000,736275000,3461274000,1765398000,,,2329743000.0,599966000.0,,2215786000,,186548000,2164507000,0.0,0.0,-4363000.0,152079000,1171978000,2270338000.0,,968086000,9108000,649036000,290333000,0.87,
2008-12-31,1449577000.0,1917650000,2002590000,1519112000,-1969582000.0,-115005000,526441000.0,1459302000,723251000.0,-257161000.0,12101000,1.05,5335750000,4300281000,2011154000,-4081000.0,1452085000,312568000.0,721768000.0,199495000,-247191000,246125000,330760000.0,191939000,-66855000,1841386000,382874000,7018574000,2673077000,42963000.0,,,126066000.0,2011154000,968086000,1356442000,1127246000,2089654000,2718293000,797344000,4152487000,189698000.0,-10851000.0,-178819000,,-330726000.0,-1535844000,102467000,910000.0,-3273112000.0,1023397000.0,528799000,1220992000,4208504000,2204659000,153364000.0,,3220149000.0,927868000.0,,2848973000,-4326000.0,21462000,2689392000,0.0,0.0,41240000.0,491216000,1790062000,2734405000.0,74181000.0,1459302000,-10851000,775990000,601200000,1.09,44757000.0
2009-12-31,2247871000.0,1868218000,2625592000,1886604000,-998495000.0,-230057000,765156000.0,1272958000,876364000.0,-356462000.0,69662000,1.41,7011383000,4812558000,2635755000,-42013000.0,1321770000,203641000.0,939918000.0,85635000,-304888000,222728000,384017000.0,-364568000,30209000,1809208000,1995272000,9698559000,3193401000,122721000.0,,,66891000.0,2635755000,1459302000,1242826000,1595558000,2849997000,4886001000,946686000,6367065000,152824000.0,-1247816000.0,-2215900000,,-75266000.0,-1051438000,212944000,900000.0,-2614046000.0,1389534000.0,699970000,1871631000,5415825000,3080054000,180684000.0,1524777000.0,1876019000.0,1051771000.0,,3784562000,-311103000.0,35918000,3529221000,0.0,0.0,-5758000.0,-186344000,1656975000,3501956000.0,43026000.0,1272958000,0,1004858000,810544000,1.455,167623000.0
2010-12-31,3219403000.0,1746792000,2889749000,2117322000,-4022593000.0,-61884000,910543000.0,907879000,1023799000.0,-348875000.0,108961000,1.66,7949420000,5708082000,2901257000,12152000.0,3005843000,-4453000.0,1072930000.0,181149000,-316367000,221223000,1190789000.0,213143000,-680380000,1712120000,1183730000,11592630000,5470793000,103175000.0,,646345000.0,116244000.0,2901257000,1272958000,2945598000,1869876000,2772029000,5884548000,1044392000,5863729000,92494000.0,-91000000.0,-1937751000,,-161190000.0,-1338710000,265477000,802000.0,-5502687000.0,1621966000.0,701235000,2464950000,6079544000,2833913000,200041000.0,1425592000.0,3717820000.0,1203809000.0,1425592000.0,4287986000,-868408000.0,27401000,3962222000,0.0,0.0,30911000.0,-365079000,2098668000,3913548000.0,32844000.0,907879000,0,1017602000,803025000,1.695,1862000.0
2011-12-31,63704000.0,1580236000,2789059000,2471134000,-2383132000.0,-131904000,1018602000.0,9883777000,861945000.0,-375736000.0,205418000,1.775,8385385000,13918785000,2803637000,101292000.0,7920995000,428944000.0,1229151000.0,160674000,-358263000,211737000,16491000.0,-74189000,220336000,1549806000,1776760000,17303134000,10435785000,74665000.0,,1572000.0,126846000.0,2803637000,907879000,7605734000,2124410000,3507106000,3384349000,1241983000,6738856000,47931000.0,,3589845000,,-200793000.0,1763569000,302232000,753000.0,-5127790000.0,1951167000.0,774406000,2514790000,6260975000,3639010000,192378000.0,1004102000.0,9438147000.0,1389983000.0,1062864000.0,4158654000,-651549000.0,147736000,3789841000,0.0,0.0,58200000.0,8975898000,9900268000,3651004000.0,31870000.0,9883777000,0,1132669000,1206052000,1.81,40583000.0
2012-12-31,719836000.0,1582549000,2573599000,3220979000,-667041000.0,-397046000,1419910000.0,1803694000,1038381000.0,197986000.0,360916000,1.64,9702517000,6156347000,2591566000,73236000.0,7418949000,117485000.0,1759945000.0,159187000,-423300000,466283000,58556000.0,244840000,177064000,1514621000,3704744000,21239838000,11688969000,103162000.0,,1169490000.0,2582086000.0,2591566000,9883777000,7054555000,2471363000,2797670000,15083491000,1461034000,9309739000,-1878000.0,-10751635000.0,-11846054000,,-349924000.0,563346000,278206000,760000.0,-1269898000.0,1751388000.0,1100259000,4270020000,7231154000,3194716000,208725000.0,1060919000.0,572525000.0,1744982000.0,11736393000.0,4251102000,-1839325000.0,228040000,4010175000,4270020000.0,0.0,-45615000.0,-8080083000,1862250000,3611980000.0,20532000.0,1803694000,-37279000,1523559000,1327339000,1.71,13403000.0
2013-12-31,439028000.0,1694747000,3057286000,3819187000,-582358000.0,-190782000,2007428000.0,2112806000,1150933000.0,-315299000.0,306894000,1.81,11201688000,7273753000,3074808000,186474000.0,4363032000,-97673000.0,2119756000.0,195163000,-501967000,313079000,18756000.0,430599000,-562676000,1528620000,6105244000,22496785000,10752284000,110640000.0,,2760875000.0,91925000.0,3074808000,1803694000,3938708000,2858502000,2914206000,15223032000,1699431000,11369067000,105989000.0,-378645000.0,-254355000,83286000.0,-343143000.0,-2543941000,344704000,1534000.0,-256700000.0,2100286000.0,1166181000,6389252000,8343186000,3104988000,251984000.0,1169023000.0,571772000.0,2055788000.0,11900106000.0,4859817000,-4439968000.0,156647000,4523999000,6325528000.0,0.0,-124446000.0,309112000,2131562000,4208219000.0,21979000.0,2112806000,-8886000,1668148000,1255914000,2.01,10855000.0
2014-12-31,1598000000.0,1647000000,12059000000,5837000000,-5349000000.0,-557000000,3768000000.0,10027000000,2797000000.0,-2578000000.0,412000000,7.35,24890000000,17714000000,12101000000,248000000.0,13069000000,-289000000.0,2854000000.0,731000000,-620000000,331000000,101000000.0,416000000,-518000000,1522000000,12732000000,34664000000,18845000000,134000000.0,,498000000.0,472000000.0,12101000000,2113000000,11921000000,3788000000,12261000000,16950000000,2983000000,15426000000,101000000.0,0.0,-1823000000,51000000.0,143000000.0,-3025000000,1050000000,2000000.0,-2125000000.0,4635000000.0,1674000000,5776000000,21102000000,12818000000,360000000.0,1172000000.0,859000000.0,1386000000.0,11073000000.0,16318000000,-4805000000.0,535000000,15265000000,5618000000.0,0.0,301000000.0,7914000000,10128000000,14856000000.0,,10027000000,3000000,2294000000,955000000,7.95,105000000.0
2015-12-31,11601000000.0,1521000000,18106000000,6440000000,-10002000000.0,-747000000,6845000000.0,12851000000,3553000000.0,-1397000000.0,688000000,11.91,32639000000,24763000000,18108000000,193000000.0,22833000000,226000000.0,3014000000.0,1056000000,-763000000,319000000,1756000000.0,770000000,1159000000,1464000000,18001000000,51839000000,32726000000,440000000.0,-1874000000.0,985000000.0,506000000.0,18108000000,10027000000,21195000000,4006000000,19582000000,27076000000,3426000000,18534000000,-24000000.0,0.0,-12475000000,,-855000000.0,-4963000000,1098000000,1000000.0,-17239000000.0,5854000000.0,2276000000,9893000000,28633000000,20329000000,382000000.0,1172000000.0,5511000000.0,1955000000.0,10247000000.0,23445000000,-997000000.0,395000000,22193000000,9891000000.0,0.0,88000000.0,2824000000,14607000000,21659000000.0,,12851000000,154000000,3039000000,1178000000,12.37,65000000.0
2016-12-31,20485000000.0,1358000000,13488000000,8496000000,-11001000000.0,-748000000,7413000000.0,8229000000,3609000000.0,1192000000.0,964000000,9.94,30390000000,20445000000,13501000000,67000000.0,28395000000,47000000.0,5098000000.0,2214000000,-818000000,208000000,3666000000.0,102000000,1362000000,1339000000,18154000000,56977000000,37614000000,202000000.0,-2455000000.0,0.0,1062000000.0,13501000000,12851000000,26346000000,4261000000,15921000000,36532000000,3398000000,18887000000,408000000.0,,-11985000000,,-488000000.0,-9347000000,1158000000,1000000.0,-25976000000.0,4514000000.0,2865000000,9219000000,26129000000,16669000000,380000000.0,1172000000.0,14739000000.0,1587000000.0,8971000000.0,19219000000,-1981000000.0,296000000,17633000000,9219000000.0,0.0,278000000.0,-4622000000,11895000000,17097000000.0,,8229000000,428000000,3683000000,1206000000,10.08,
2017-12-31,11184000000.0,1319000000,4644000000,7612000000,-954000000.0,-590000000,6906000000.0,7588000000,8885000000.0,754000000.0,1118000000,3.51,26107000000,31823000000,4628000000,-82000000.0,38147000000,-430000000.0,3734000000.0,2722000000,-994000000,234000000,17922000000.0,-330000000,5108000000,1307000000,19012000000,70283000000,49782000000,,-2731000000.0,2747000000.0,0.0,4628000000,8229000000,30795000000,4371000000,11308000000,38460000000,3878000000,20442000000,304000000.0,-10426000000.0,-16069000000,,-253000000.0,3393000000,1286000000,1000000.0,-23314000000.0,3851000000.0,3295000000,11635000000,21736000000,11898000000,638000000.0,4159000000.0,18261000000.0,801000000.0,17100000000.0,15933000000,-1811000000.0,558000000,14124000000,11635000000.0,,165000000.0,-641000000,25510000000,13529000000.0,,7588000000,523000000,4289000000,814000000,3.54,713000000.0
2018-12-31,1423000000.0,1308000000,5460000000,9074000000,-2900000000.0,-924000000,6322000000.0,17940000000,2339000000.0,480000000.0,1077000000,4.17,22127000000,35836000000,5455000000,289000000.0,31536000000,-39000000.0,5018000000.0,2555000000,-1191000000,289000000,12149000000.0,-486000000,-939000000,1298000000,19024000000,63675000000,42141000000,,-2971000000.0,2748000000.0,,5455000000,7588000000,24574000000,4853000000,7476000000,27839000000,4056000000,21387000000,876000000.0,0.0,14355000000,,-310000000.0,-12318000000,1429000000,1000000.0,-10579000000.0,3327000000.0,4006000000,10605000000,17274000000,8400000000,845000000.0,4117000000.0,25858000000.0,814000000.0,15738000000.0,10305000000,-6250000000.0,1040000000,8200000000,,,80000000.0,10352000000,30089000000,7799000000.0,,17940000000,676000000,5197000000,790000000,4.2,190000000.0
