date,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualGrossPPE,annualRepaymentOfDebt,annualInterestExpense,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualCapitalExpenditure,annualDilutedAverageShares,annualSellingGeneralAndAdministration,annualNetOtherFinancingCharges,annualStockBasedCompensation,annualInventory,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,annualCurrentDebt,annualNetIncomeContinuousOperations,annualCapitalStock,annualTotalRevenue,annualCostOfRevenue,annualPurchaseOfBusiness,annualDeferredIncomeTax,annualOperatingExpense,annualGrossProfit,annualResearchAndDevelopment,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,annualTotalLiabilitiesNetMinorityInterest,annualBasicAverageShares,annualChangesInAccountReceivables,annualChangeInWorkingCapital,annualNetOtherInvestingChanges,annualRetainedEarnings,annualGoodwill,annualTotalAssets,annualPretaxIncome,annualCashDividendsPaid,annualPurchaseOfInvestment,annualNetIncome,annualBasicEPS,annualAccountsReceivable,annualInvestingCashFlow,annualOperatingIncome,annualFreeCashFlow,annualAccountsPayable,annualIncomeTaxPayable,annualStockholdersEquity,annualEndCashPosition,annualOtherCurrentAssets,annualOtherNonCashItems,annualLongTermDebt,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualCashAndCashEquivalents,annualDilutedEPS,annualDepreciationAndAmortization,annualTaxProvision,annualInvestmentsAndAdvances,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualOtherNonCurrentAssets,annualCommonStockIssuance,annualOperatingCashFlow,annualCashCashEquivalentsAndMarketableSecurities,annualSaleOfInvestment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualEbitda,annualCurrentAssets,annualRepurchaseOfCapitalStock,annualCurrentDeferredRevenue,annualNonCurrentDeferredRevenue
1989-09-30,168900000.0,0,-16100000.0,1655700000,,34500000.0,100000.0,77200000.0,6500000.0,1401500000,-314400000.0,312777778.0,572500000.0,0.0,,355200000,-73800000.0,-55600000.0,188500000,158000000.0,,1811500000.0,861200000.0,,-23400000.0,694400000.0,950300000.0,,114800000,-555100000,1198600000,312777778.0,,-74400000.0,-3700000.0,1126200000,,2270100000,227800000.0,-38700000.0,-3600000.0,168900000.0,0.54,,-86600000.0,255900000.0,-167500000.0,379200000.0,,1071500000,0.0,91400000.0,44800000.0,516000000,,567700000,61000000,0.54,121900000.0,69800000.0,,1100600000,,,17300000,10900000.0,146900000.0,61000000,,630900000,,283600000,377800000.0,868600000,-77100000.0,,
1990-09-30,180500000.0,160900000,-19400000.0,1924000000,,40200000.0,-100000.0,61000000.0,8900000.0,1631600000,-263600000.0,305932203.0,615900000.0,0.0,,397600000,14000000.0,-24000000.0,167000000,182300000.0,53500000.0,2012700000.0,955600000.0,,11800000.0,751600000.0,1057100000.0,,136900000,-647900000,1359900000,305932203.0,,-54500000.0,5200000.0,1265900000,,2593500000,274200000.0,-42500000.0,-27900000.0,182300000.0,0.59,,-286300000.0,305500000.0,-4600000.0,245900000.0,,1233600000,0.0,100400000.0,,649300000,,573800000,41700000,0.59,135700000.0,91900000.0,,1276100000,,,199700000,78600000.0,259000000.0,41700000,,786100000,,155800000,441200000.0,961900000,-60000000.0,,
1991-09-30,187200000.0,152600000,-11400000.0,2097200000,,50100000.0,0.0,41700000.0,3600000.0,1748400000,-211100000.0,306885246.0,686100000.0,-100000.0,,406300000,33600000.0,-17400000.0,141700000,189800000.0,55000000.0,2172200000.0,1022500000.0,,17700000.0,836000000.0,1149700000.0,,145800000,-745800000,1416200000,306885246.0,,-97300000.0,-37700000.0,1409400000,,2780000000,267300000.0,-47600000.0,-50100000.0,189800000.0,0.61,,-298900000.0,313700000.0,43000000.0,237000000.0,,1363800000,0.0,127100000.0,,739100000,,531300000,30200000,0.61,149900000.0,77500000.0,,1351400000,,,247000000,13500000.0,254100000.0,30200000,,884900000,,150000000,463600000.0,1031600000,-10900000.0,,
1992-09-30,198300000.0,166000000,26300000.0,2294800000,,49100000.0,100000.0,30300000.0,-10000000.0,1956500000,-185600000.0,305076923.0,735100000.0,0.0,,453400000,48600000.0,-6200000.0,285100000,200800000.0,59000000.0,2365300000.0,1132000000.0,,7100000.0,904700000.0,1233300000.0,,184300000,-865300000,1582800000,305076923.0,,-68800000.0,-133000000.0,1562200000,,3177700000,269500000.0,-49300000.0,-11100000.0,200800000.0,0.65,,-329700000.0,328600000.0,122600000.0,262200000.0,,1594900000,0.0,126100000.0,,685100000,,713300000,56600000,0.65,169600000.0,68700000.0,,1429500000,,,303300000,15800000.0,308200000.0,56600000,,869500000,,223700000,498200000.0,1221200000,-3800000.0,,
1993-09-30,69000000.0,165000000,-17500000.0,2363900000,,53400000.0,294100000.0,56600000.0,5900000.0,1936900000,-184200000.0,313636364.0,826600000.0,-100000.0,,445900000,-162800000.0,-31200000.0,206800000,212800000.0,58100000.0,2465400000.0,1178600000.0,,-21500000.0,1016400000.0,1286800000.0,,19900000,-960800000,1630700000,313636364.0,,-77400000.0,-38100000.0,1581200000,,3087600000,222900000.0,-53800000.0,-10300000.0,71700000.0,0.22,,-173100000.0,270400000.0,135600000.0,264300000.0,,1456900000,0.0,107900000.0,-200000.0,680600000,,636100000,39100000,0.22,189800000.0,10100000.0,,1403100000,,,317700000,13000000.0,319800000.0,39100000,59500000.0,994600000,,216100000,460200000.0,1150700000,-64100000.0,,
1994-09-30,224500000.0,387000000,55800000.0,2479900000,,47600000.0,297600000.0,39100000.0,18700000.0,1832900000,-135800000.0,294426230.0,834800000.0,0.0,,420000000,-291500000.0,31000000.0,173200000,227200000.0,56300000.0,2559500000.0,1195900000.0,,-31400000.0,1038500000.0,1363600000.0,,32700000,-1103600000,1677800000,294426230.0,,85500000.0,9400000.0,1752400000,,3159500000,296200000.0,-57000000.0,-6000000.0,227200000.0,0.7625,,-132400000.0,325100000.0,343700000.0,118100000.0,,1481700000,0.0,221800000.0,-100000.0,669200000,,678300000,94900000,0.7625,203700000.0,69000000.0,,1376300000,,,238900000,30900000.0,479500000.0,94900000,,999500000,,217700000,528800000.0,1326600000,-210300000.0,,
1995-09-30,248100000.0,390000000,103600000.0,2423000000,,42800000.0,289700000.0,94900000.0,-4200000.0,1672000000,-127600000.0,276434540.0,879500000.0,-100000.0,,408600000,-420900000.0,-7900000.0,205800000,251700000.0,54700000.0,2712500000.0,1228600000.0,,-13600000.0,1087300000.0,1483900000.0,,33800000,-1142000000,1601100000,276434540.0,,5200000.0,34400000.0,1946600000,,2999500000,349600000.0,-58300000.0,,251700000.0,0.8975,,55900000.0,396600000.0,344600000.0,124200000.0,,1398400000,0.0,147300000.0,21100000.0,557600000,,720000000,198500000,0.8975,207800000.0,97900000.0,,1281000000,,,209500000,19800000.0,472200000.0,198500000,69600000.0,881100000,,181500000,604400000.0,1327500000,-299700000.0,,
1996-09-30,280100000.0,410700000,-63400000.0,2462200000,,37400000.0,295200000.0,198500000.0,-200000.0,1613000000,-162400000.0,265616438.0,909300000.0,0.0,,402500000,-411700000.0,-10100000.0,227400000,283600000.0,52900000.0,2769800000.0,1228700000.0,,-13500000.0,1109800000.0,1541100000.0,,35100000,-1218100000,1564600000,265616438.0,,-23700000.0,9300000.0,2160300000,,2889800000,393800000.0,-61700000.0,,283600000.0,0.5275,,-109900000.0,431300000.0,298000000.0,128000000.0,,1325200000,0.0,158800000.0,13500000.0,468200000,,766100000,135200000,0.5275,200500000.0,110200000.0,,1244100000,,,193000000,35400000.0,460400000.0,135200000,5200000.0,798500000,,175900000,631800000.0,1276800000,-325900000.0,,
1997-09-30,297400000.0,417300000,-22500000.0,2549800000,,39400000.0,306600000.0,135200000.0,11500000.0,1767700000,-371100000.0,258608696.0,766100000.0,0.0,,438300000,-92000000.0,-24100000.0,132400000,300100000.0,51100000.0,2810500000.0,1203500000.0,,-29700000.0,1156500000.0,1607000000.0,180600000.0,44700000,-1299100000,1694900000,258608696.0,,-57600000.0,-19800000.0,2249500000,,3080300000,422700000.0,-67200000.0,,300100000.0,1.15,,-364100000.0,450500000.0,71600000.0,128500000.0,,1385400000,0.0,166000000.0,5300000.0,665400000,,678200000,112600000,1.15,209800000.0,122600000.0,,1250700000,,,185100000,29400000.0,442700000.0,112600000,2500000.0,1016700000,,331900000,660300000.0,1312600000,-150000000.0,,
1998-09-30,233400000.0,498200000,-29400000.0,2727100000,,56300000.0,326600000.0,112600000.0,-99100000.0,2303200000,-717900000.0,259333333.0,861600000.0,100000.0,,536800000,241700000.0,-54100000.0,385200000,236600000.0,49000000.0,3116900000.0,1312300000.0,,-32300000.0,1308200000.0,1804600000.0,217900000.0,48500000,-1424400000,2232200000,245684211.0,,-40600000.0,-48700000.0,2350800000,,3846000000,340900000.0,-75300000.0,-3200000.0,236600000.0,0.95,,-769800000.0,496400000.0,-217100000.0,208500000.0,,1613800000,83300000.0,196100000.0,78400000.0,765200000,,1091900000,83300000,0.9,228700000.0,104300000.0,,1302700000,,,254200000,46000000.0,500800000.0,83300000,,1140300000,,746300000,725100000.0,1542800000,-44500000.0,,
1999-09-30,272600000.0,488600000,-23300000.0,2932800000,,72100000.0,344100000.0,83300000.0,-76100000.0,2753300000,-685800000.0,262115385.0,931900000.0,0.0,,642500000,364700000.0,-131600000.0,631300000,275700000.0,379400000.0,3418400000.0,1452800000.0,,4600000.0,1444800000.0,1965600000.0,254000000.0,40700000,-1501700000,2668300000,250091743.0,,-233500000.0,-133500000.0,2539000000,,4437000000,372600000.0,-88100000.0,,275700000.0,1.09,,-815800000.0,520800000.0,-254000000.0,209400000.0,,1768700000,59900000.0,164100000.0,77300000.0,954200000,,1329300000,59900000,1.04,258900000.0,96900000.0,,1431100000,-197000000.0,,287500000,26800000.0,431800000.0,64600000,3500000.0,1339000000,4700000.0,1034700000,779700000.0,1683700000,,,
2000-09-30,389981000.0,531836000,-10736000.0,3163100000,,74197000.0,329497000.0,59932000.0,21813000.0,2844419000,-376372000.0,261732215.0,973902000.0,0.0,,678676000,-219496000.0,-64663000.0,637735000,392897000.0,376232000.0,3618334000.0,1560077000.0,,37246000.0,1485939000.0,2058257000.0,223782000.0,86494000,-1587042000,2549098000,253234416.0,,-31235000.0,-99532000.0,2835908000,,4505096000,519934000.0,-95749000.0,-9273000.0,392897000.0,1.54,,-403399000.0,572318000.0,239121000.0,183967000.0,,1955998000,49196000.0,175524000.0,,779569000,,1353538000,49196000,1.49,288255000.0,127037000.0,,1576058000,-351054000.0,,629298000,34724000.0,615493000.0,54757000,103050000.0,1195560000,5561000.0,639063000,860573000.0,1660677000,,,
2001-09-30,398931000.0,0,32933000.0,3420294000,,55414000.0,335731000.0,49196000.0,-13716000.0,3039345000,-370754000.0,267738926.0,983296000.0,0.0,,707744000,-201121000.0,-32290000.0,454012000,438402000.0,373190000.0,3754302000.0,1913292000.0,,37400000.0,1195130000.0,1841010000.0,211834000.0,90117000,-1704271000,2473520000,257374839.0,,-17486000.0,-122386000.0,3137304000,431452000.0,4802287000,576750000.0,-101329000.0,-25468000.0,401652000.0,1.55,768047000.0,-541929000.0,645880000.0,407891000.0,205046000.0,,2328767000,82129000.0,0.0,14629000.0,782996000,555489000.0,1264676000,82129000,1.49,305700000.0,138348000.0,,1716023000,-392627000.0,,422539000,82925000.0,778645000.0,86700000,7632000.0,1208844000,4571000.0,469331000,951580000.0,1762942000,,,
2002-09-30,477082000.0,282928000,160986000.0,3621361000,,33304000.0,391607000.0,82129000.0,-35278000.0,3111753000,-259703000.0,266526257.0,1032043000.0,0.0,,697696000,-313740000.0,21112000.0,434642000,479982000.0,370607000.0,4033069000.0,2083669000.0,,57202000.0,1273737000.0,1949400000.0,220186000.0,105459000,-1855631000,2552486000,257882162.0,,68882000.0,-105673000.0,3514465000,,5040460000,628589000.0,-102459000.0,-3397000.0,479982000.0,1.85,745998000.0,-361121000.0,675663000.0,576330000.0,224645000.0,,2487974000,243115000.0,0.0,,802967000,310238000.0,1252453000,243115000,1.79,304865000.0,148607000.0,,1765730000,-444637000.0,,443772000,38069000.0,836033000.0,244965000,7652000.0,1300033000,1850000.0,902251000,980528000.0,1928707000,-223961000.0,,
2003-09-30,544855000.0,337130000,276771000.0,3905155000,,36560000.0,328807000.0,243115000.0,-2860000.0,3233684000,-261043000.0,263214976.0,1207464000.0,0.0,,795014000,-291665000.0,-43818000.0,121920000,547056000.0,367110000.0,4527940000.0,2336290000.0,,-1029000.0,1442524000.0,2191650000.0,235060000.0,119087000,-2060384000,2675299000,254605140.0,,80963000.0,-85888000.0,3950592000,,5572253000,709706000.0,-104148000.0,-4399000.0,547056000.0,2.14,781342000.0,-349355000.0,749126000.0,644657000.0,221462000.0,,2896954000,519886000.0,0.0,,1184031000,362862000.0,1043374000,519886000,2.07,344456000.0,162650000.0,,1844771000,-237992000.0,,740412000,86618000.0,905700000.0,519886000,1975000.0,1631925000,,648501000,1093582000.0,2338569000,-349998000.0,,
2004-09-30,465287000.0,408916000,199492000.0,4104222000,,29607000.0,374222000.0,519886000.0,-104792000.0,3111245000,-265718000.0,262874011.0,1311467000.0,0.0,,738778000,-504425000.0,30096000.0,49289000,582504000.0,363804000.0,4934745000.0,2500362000.0,,-31345000.0,1647116000.0,2434383000.0,235649000.0,88906000,-2223225000,2684716000,251506486.0,,111223000.0,-63818000.0,4264778000,,5752579000,752868000.0,-152376000.0,-41447000.0,467402000.0,1.85,807380000.0,-395234000.0,787267000.0,831816000.0,206941000.0,,3067863000,719378000.0,63694000.0,74653000.0,1171506000,384936000.0,1050082000,719378000,1.77,357224000.0,170364000.0,,1880997000,-158478000.0,,475030000,176072000.0,1097534000.0,751497000,,1634634000,32119000.0,755218000,1144491000.0,2641334000,-449930000.0,,
2005-09-30,721896000.0,400710000,323512000.0,4305129000,,55673000.0,301933000.0,719378000.0,-7064000.0,3096655000,-317628000.0,260612274.0,1449856000.0,31545000.0,,775949000,-524507000.0,-44346000.0,206509000,692283000.0,332662000.0,5414681000.0,2662029000.0,,63229000.0,1722482000.0,2752652000.0,271626000.0,125876000,-2371411000,2788017000,251531707.0,,10722000.0,-19437000.0,4805852000,,6071969000,1004854000.0,-182236000.0,-44946000.0,722263000.0,2.87,842806000.0,-382011000.0,1030170000.0,908546000.0,252262000.0,,3283952000,1042890000.0,0.0,,1060833000,439894000.0,1299375000,1042890000,2.77,387496000.0,312571000.0,,1933718000,-172915000.0,,591330000,123494000.0,1226174000.0,1129698000,,1488642000,86808000.0,571607000,1417666000.0,2975314000,-549999000.0,,
2006-09-30,752280000.0,415084000,-42601000.0,4742957000,,66046000.0,270495000.0,1042890000.0,-8762000.0,3639272000,-482101000.0,256750853.0,1537494000.0,50609000.0,,875738000,-342173000.0,-103897000.0,427218000,755591000.0,332662000.0,5834827000.0,2886853000.0,,-129259000.0,1897505000.0,2947974000.0,360011000.0,184526000,-2609409000,2988321000,247460526.0,,-154797000.0,-44656000.0,5345697000,565146000.0,6824525000,1034957000.0,-212431000.0,-28305000.0,752280000.0,3.04,885748000.0,-786526000.0,1050469000.0,594299000.0,243602000.0,,3836204000,1000289000.0,0.0,107056000.0,956971000,490425000.0,1576329000,1000289000,2.93,405095000.0,279366000.0,,2133548000,-17674000.0,,414911000,147796000.0,1076400000.0,1106675000,,1411992000,106386000.0,525667000,1455564000.0,3185253000,-448882000.0,,
2007-09-30,890033000.0,522753000,-488807000.0,5354115000,,46420000.0,444874000.0,1000289000.0,-121189000.0,4198799000,-578728000.0,255023782.0,1602404000.0,55118000.0,,1051959000,-726029000.0,-126863000.0,207634000,856167000.0,332662000.0,6359708000.0,3071921000.0,,-115489000.0,1962454000.0,3287787000.0,360050000.0,88012000,-2856777000,2967408000,245188154.0,,-165880000.0,-85922000.0,5995787000,621414000.0,7329365000,1203945000.0,-239810000.0,-34048000.0,890033000.0,3.63,1083152000.0,-1018255000.0,1325333000.0,661708000.0,266993000.0,,4361957000,511482000.0,0.0,107706000.0,955713000,481429000.0,1478809000,511482000,3.49,441341000.0,347778000.0,,2497338000,14033000.0,,466592000,130679000.0,1240436000.0,669522000,,1488599000,158040000.0,613455000,1766674000.0,3130566000,-450124000.0,,
2008-09-30,1126996000.0,435268000,318995000.0,5797995000,,36343000.0,464982000.0,511482000.0,-1484000.0,4298268000,-651287000.0,252689686.0,1715045000.0,64335000.0,,1080426000,-585828000.0,-43617000.0,201312000,1127918000.0,332662000.0,7155910000.0,3492561000.0,,80088000.0,2111283000.0,3663349000.0,396238000.0,142588000,-3053521000,2977375000,244323000.0,,-87287000.0,-38491000.0,6838589000,625768000.0,7912943000,1553607000.0,-278506000.0,-51987000.0,1126996000.0,4.61,1079051000.0,-783024000.0,1552066000.0,1035812000.0,260882000.0,,4935568000,830477000.0,0.0,44502000.0,953226000,519117000.0,1416579000,830477000,4.46,477422000.0,425689000.0,,2744474000,-62816000.0,,356334000,85396000.0,1687099000.0,1030419000,,1560796000,199942000.0,571692000,2029488000.0,3614675000,-450001000.0,,
2009-09-30,1231603000.0,459742000,563767000.0,6241329000,-311000.0,40389000.0,0.0,830477000.0,-3850000.0,4657670000,-700691000.0,246798000.0,1704795000.0,14667000.0,86574000.0,1156762000,-79696000.0,-98344000.0,402965000,1213054000.0,332662000.0,7160874000.0,3397598000.0,0.0,60041000.0,2112923000.0,3763276000.0,408128000.0,114325000,-3274700000,4161912000,240479000.0,-82805000.0,-89739000.0,-85900000.0,7752831000,621872000.0,9304624000,1639262000.0,-316877000.0,-338228000.0,1231603000.0,5.12,1168662000.0,-1072963000.0,1650353000.0,1016125000.0,264181000.0,3665000.0,5142712000,1394244000.0,0.0,19971000.0,1488460000,646540000.0,1777093000,1394244000,4.99,470193000.0,426208000.0,,2966629000,-372662000.0,,465296000,32403000.0,1716816000.0,1945805000,840000.0,2384819000,551561000.0,603873000,1679651000.0,4646954000,-550006000.0,,
2010-09-30,1317610000.0,0,-178255000.0,6532062000,-200269000.0,51263000.0,0.0,1394244000.0,497000.0,5145444000,-632465000.0,240136000.0,1721356000.0,0.0,79374000.0,1145337000,-1222687000.0,-116500000.0,202758000,1176340000.0,332662000.0,7372333000.0,3543183000.0,-281367000.0,28055000.0,2152353000.0,3829150000.0,430997000.0,149975000,-3431570000,4216114000,234328000.0,-73933000.0,-68750000.0,-81636000.0,8724228000,763961000.0,9650694000,1661160000.0,-345713000.0,,1317610000.0,5.62,1205377000.0,-705626000.0,1676797000.0,1111803000.0,325402000.0,28796000.0,5434580000,1215989000.0,0.0,44852000.0,1495357000,1114717000.0,1671673000,1215989000,5.49,502113000.0,484820000.0,,3100492000,-457909000.0,,487590000,50093000.0,1744268000.0,1744195000,,2544441000,528206000.0,793401000,1712423000.0,4505250000,-750000000.0,,
2011-09-30,1270994000.0,0,-40707000.0,6880209000,34216000.0,84019000.0,0.0,1215989000.0,-6209000.0,5762097000,-605257000.0,226280000.0,1851774000.0,37189000.0,73363000.0,1244972000,-714382000.0,-117539000.0,234932000,1264852000.0,332662000.0,7828904000.0,3737352000.0,-492081000.0,30047000.0,2328270000.0,4091552000.0,476496000.0,225877000,-3669012000,5602253000,221175000.0,-26515000.0,-253269000.0,-63588000.0,9633584000,991121000.0,10430428000,1716263000.0,-361199000.0,,1270994000.0,5.75,1228637000.0,-1039510000.0,1763282000.0,1110743000.0,304836000.0,11038000.0,4828175000,1175282000.0,0.0,12611000.0,2484665000,795224000.0,1823228000,1175282000,5.62,504089000.0,451411000.0,,3211197000,-670000000.0,,444610000,84148000.0,1716000000.0,1563313000,121589000.0,3779025000,388031000.0,1115169000,1800282000.0,4668331000,-1500001000.0,,
2012-09-30,1169927000.0,0,495883000.0,7046045000,-42346000.0,134658000.0,0.0,1175282000.0,-1152000.0,6038838000,-553644000.0,209181000.0,1923354000.0,14854000.0,89045000.0,1240679000,-370172000.0,-92413000.0,405142000,1109528000.0,332662000.0,7708382000.0,3755388000.0,-103424000.0,22147000.0,2395109000.0,3952994000.0,471755000.0,261705000,-3742117000,7225020000,205460000.0,-30069000.0,-3477000.0,-99206000.0,10435378000,1076077000.0,11360909000,1472408000.0,-367611000.0,-137855000.0,1169927000.0,5.59,1249549000.0,-900112000.0,1557885000.0,1206584000.0,350455000.0,3882000.0,4135889000,1671165000.0,135857000.0,3611000.0,3761112000,1218576000.0,1978055000,1671165000,5.59,510938000.0,362880000.0,,3303928000,-801811000.0,17142000.0,499967000,35051000.0,1760228000.0,2180731000,0.0,5246965000,509566000.0,1158866000,1607066000.0,5322071000,-1500000000.0,,
