date,annualPurchaseOfInvestment,annualAccountsReceivable,annualLongTermDebt,annualBasicAverageShares,annualCashDividendsPaid,annualPretaxIncome,annualInvestingCashFlow,annualTotalAssets,annualNonCurrentDeferredRevenue,annualOtherNonCashItems,annualStockholdersEquity,annualSaleOfInvestment,annualDepreciationAndAmortization,annualGoodwill,annualCommonStockIssuance,annualStockBasedCompensation,annualRetainedEarnings,annualBasicEPS,annualTotalRevenue,annualOperatingCashFlow,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedAverageShares,annualOtherIntangibleAssets,annualOtherIncomeExpense,annualNetPPE,annualCurrentLiabilities,annualOperatingIncome,annualEbitda,annualOtherNonCurrentLiabilities,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualInvestmentsAndAdvances,annualDilutedEPS,annualBeginningCashPosition,annualInterestExpense,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualGrossPPE,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualCurrentAssets,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,annualCapitalExpenditure,annualRepaymentOfDebt,annualCapitalStock,annualOtherCurrentAssets,annualCostOfRevenue,annualResearchAndDevelopment,annualCurrentDebt,annualTaxProvision,annualGrossProfit,annualInventory,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualFreeCashFlow,annualNetIncome,annualOperatingExpense,annualCurrentDeferredRevenue,annualChangesInAccountReceivables,annualChangeInAccountPayable,annualGainsLossesNotAffectingRetainedEarnings,annualIncomeTaxPayable,annualDeferredIncomeTax
2003-03-31,-165000000.0,5206000000,14255000000,558647516,-571000000.0,633000000,-1545000000,24943000000,,148000000.0,1152000000,328000000.0,1088000000,0.0,4000000,,4728000000,0.699736,9400000000,1824000000,5046000000,18661000000,-13878000000,,482000000.0,601000000,558647516,1893000000.0,-99000000.0,16847000000,5046000000,1995000000,2722000000,4406000000.0,601000000,-312000000.0,253000000.0,0.699736,-14299000000,1001000000,-8760000000.0,,16847000000.0,-97000000.0,-119000000,5950000000,419000000,0.0,571000000.0,34000000,,-1518000000,,308000000,17000000.0,,18000000.0,5046000000,245000000,,126000000,18993000000,-22000000,388000000,-165000000.0,-16000000.0,23707000000,3031000000.0,1713000000,419000000,7405000000,,,,,,
2004-03-31,-26000000.0,496000000,13464000000,557195541,-560000000.0,1337000000,-1295000000,23397000000,,-223000000.0,1221000000,33000000.0,1117000000,0.0,38000000,,4755000000,1.928407,9033000000,1422000000,1031000000,17613000000,-12632000000,,520000000.0,616000000,558466019,1537000000.0,322000000.0,16706000000,4513000000,2206000000,3330000000,13464000000.0,616000000,-48000000.0,151000000.0,1.928407,-13878000000,876000000,-8927000000.0,,16706000000.0,0.0,-96000000,5003000000,1074000000,4513000000.0,282000000.0,13000000,,-1400000000,-426000000.0,309000000,1588000000.0,,10000000.0,4513000000,261000000,,91000000,18394000000,-191000000,1076000000,,31000000.0,22126000000,2944000000.0,1276000000,1074000000,6827000000,,,,,,
2005-03-31,-113000000.0,553000000,11047000000,559373504,-628000000.0,1439000000,-2980000000,27560000000,,181000000.0,2111000000,62000000.0,819000000,2031000000.0,13000000,12000000.0,5650000000,2.545498,7382000000,2551000000,2337000000,19465000000,-13638000000,,398000000.0,670000000,561914461,358000000.0,83000000.0,22645000000,5974000000,2405000000,3029000000,4372000000.0,272000000,-382000000.0,148000000.0,2.534478,-12737000000,771000000,-11160000000.0,,22645000000.0,,0,1964000000,1424000000,0.0,1081000000.0,8000000,,-1506000000,-868000000.0,309000000,0.0,,9000000.0,3261000000,319000000,,101000000,25596000000,-224000000,1120000000,-1122000000.0,,25439000000,3189000000.0,1045000000,1424000000,4977000000,,,,,,
2006-03-31,-2872799160.0,838836600,10287000000,586754227,-745000000.0,1718000000,3922000000,25924000000,,-32000000.0,3482000000,25000000.0,888000000,2142000000.0,54000000,14000000.0,6817000000,6.55636,8868000000,2267000000,2095000000,16748000000,-10850000000,,384000000.0,1836000000,589649736,321000000.0,3000000.0,18935000000,5683000000,2353000000,4244000000,4289000000.0,1452000000,5750000000.0,160000000.0,6.52735,-13986000000,1638000000,-4377516360.0,893029480.0,18935000000.0,-7000000.0,389000000,3818000000,3848000000,-284111200.0,-1957000000.0,1181000000,,-1672000000,-2353000000.0,310000000,41000000.0,4551048880.0,7000000.0,2842000000,535000000,4641951120.0,108000000,22106000000,-231000000,1183000000,-209000000.0,,22431000000,2161000000.0,595000000,3848000000,6515000000,191981160.0,,,,,
2007-03-31,-1725000000.0,1236000000,14686000000,562349222,-730000000.0,1751000000,-4061000000,28389000000,,-280000000.0,4125000000,1999121850.0,871000000,1480000000.0,16000000,15000000.0,7635000000,2.480393,8695000000,2145000000,1852000000,20893000000,-11788000000,,2098000000.0,3691000000,566072020,144000000.0,2000000.0,18895000000,3360000000,2112000000,3423000000,3807000000.0,1593000000,-105000000.0,5000000.0,2.461053,-10850000000,801000000,-10124091450.0,822388050.0,18895000000.0,-169000000.0,36000000,7280000000,1394000000,245476050.0,-45000000.0,175000000,,-2218000000,-7847461150.0,308000000,31180150.0,4114999350.0,6000000.0,1031000000,441000000,4663000650.0,108000000,21109000000,96000000,1310000000,-269000000.0,,24253000000,2389000000.0,-73000000,1394000000,6583000000,81066150.0,,,,,
2008-03-31,-8814000000.0,2265000000,17121000000,539598794,-780000000.0,2182000000,-6073000000,37771000000,,-223000000.0,5356000000,45000000.0,994000000,3904000000.0,23000000,18000000.0,8943000000,5.913295,11423000000,5315000000,2480000000,25251000000,-17641000000,,2095000000.0,2269000000,542701125,271000000.0,4000000.0,24331000000,7146000000,2262000000,4175000000,-23554000000.0,174000000,3256000000.0,1314000000.0,5.87945,-11788000000,999000000,-10874000000.0,,24331000000.0,-1498000000.0,164000000,6941000000,3190000000,114000000.0,-900000000.0,-1450000000,,-2877000000,-650000000.0,294000000,0.0,8534000000.0,13000000.0,3882000000,607000000,2964000000.0,438000000,30830000000,-155000000,1575000000,-3528000000.0,,32397000000,3259000000.0,2438000000,3190000000,9161000000,,,,,,
2009-03-31,-73000000.0,2672000000,23540000000,514986967,-838000000.0,1394000000,-3047000000,44467000000,,520000000.0,3970000000,99000000.0,1122000000,5391000000.0,8000000,22000000.0,7135000000,1.832493,15624000000,3401000000,2835000000,33457000000,-22673000000,,2197000000.0,2934000000,518502942,370000000.0,-16000000.0,29545000000,7026000000,3796000000,3677000000,2092000000.0,737000000,1134000000.0,361000000.0,1.817988,-17641000000,1161000000,-12849000000.0,1449000000.0,29545000000.0,-627000000.0,106000000,6755000000,944000000,307000000.0,-1061000000.0,538000000,,-3185000000,-3251000000.0,294000000,0.0,10488000000.0,10000000.0,3253000000,472000000,5199000000.0,556000000,37712000000,-45000000,922000000,,,40483000000,2661000000.0,216000000,944000000,11828000000,,,,,,
2010-03-31,-86000000.0,2293000000,22318000000,510850526,-688000000.0,2193000000,-2332000000,43553000000,1566000000.0,111000000.0,4199000000,6000000.0,1188000000,5102000000.0,18000000,25000000.0,7316000000,2.712476,14007000000,4516000000,2847000000,32783000000,691000000,,1645000000.0,2365000000,513539213,389000000.0,8000000.0,30855000000,6559000000,3293000000,5494000000,1974000000.0,720000000,844000000.0,486000000.0,2.697971,720000000,2113000000,-13514000000.0,1402000000.0,44369000000.0,-7000000.0,162000000,5065000000,1386000000,212000000.0,-1003000000.0,-28000000,132000000.0,-3111000000,-532000000.0,298000000,0.0,0.0,19000000.0,2806000000,804000000,14007000000.0,407000000,38488000000,431000000,1389000000,,,39342000000,3324000000.0,1405000000,1386000000,10714000000,244000000.0,,,,,
2011-03-31,-135000000.0,2212000000,20246000000,619300225,-858000000.0,2624000000,-4774000000,46400000000,,-42000000.0,9060000000,11000000.0,1245000000,4776000000.0,18000000,25000000.0,12153000000,3.485453,14343000000,4858000000,2828000000,30505000000,342000000,,3407000000.0,3791000000,622783560,501000000.0,7000000.0,31956000000,6826000000,3745000000,6321000000,2054000000.0,384000000,-1531000000.0,593000000.0,3.46909,691000000,2452000000,-14169000000.0,,46125000000.0,-3000000.0,981000000,6323000000,2159000000,190000000.0,2249000000.0,-346000000,,-3134000000,-1836000000.0,416000000,0.0,10598000000.0,,2952000000,461000000,3745000000.0,320000000,40077000000,185000000,2163000000,,,37331000000,3766000000.0,1724000000,2159000000,0,261000000.0,,,,,
2012-03-31,-13000000.0,1971000000,20348000000,653583571,-1006000000.0,2559000000,-2371000000,47335000000,1557000000.0,-2000000.0,9239000000,553000000.0,1282000000,4776000000.0,13000000,24000000.0,12297000000,3.114544,13832000000,4228000000,2685000000,32085000000,299000000,,2391000000.0,2723000000,657066906,546000000.0,7000000.0,33701000000,6004000000,3539000000,5987000000,1921000000.0,332000000,50000000.0,592000000.0,3.098181,342000000,2146000000,-14756000000.0,,48457000000.0,-4000000.0,95000000,5651000000,2036000000,149000000.0,-749000000.0,-43000000,,-3350000000,-1914000000.0,422000000,35000000.0,2968000000.0,,2470000000,521000000,10864000000.0,376000000,41684000000,-356000000,2038000000,,,38089000000,3738000000.0,878000000,2036000000,10293000000,305000000.0,,,,,
2013-03-31,-3006000000.0,2910000000,24472000000,671733578,-810000000.0,2920000000,-6130000000,54705000000,1579000000.0,-222000000.0,10228000000,183000000.0,1361000000,5028000000.0,19000000,20000000.0,13132000000,3.414544,14359000000,3750000000,3051000000,37027000000,648000000,,5431000000.0,6102000000,675033579,589000000.0,1308000000.0,36592000000,7445000000,3754000000,6378000000,1884000000.0,671000000,21000000.0,649000000.0,3.398181,299000000,2097000000,-15862000000.0,,52454000000.0,-6000000.0,104000000,9576000000,2295000000,69000000.0,-792000000.0,335000000,,-3389000000,-1210000000.0,433000000,42000000.0,2455000000.0,,3428000000,624000000,11904000000.0,291000000,45129000000,-876000000,2296000000,,,44472000000,4076000000.0,361000000,2295000000,10605000000,,,,,,
2014-03-31,-4000000.0,2855000000,22288000000,683650249,-1059000000.0,2748000000,-1330000000,52384000000,1605000000.0,-221000000.0,11911000000,1720000000.0,1417000000,4594000000.0,14000000,20000000.0,14895000000,3.621817,14809000000,4019000000,3031000000,33134000000,339000000,,3599000000.0,3953000000,687133583,669000000.0,121000000.0,37179000000,7331000000,3735000000,5236000000,1841000000.0,354000000,38000000.0,635000000.0,3.605453,648000000,1071000000,-16371000000.0,,53550000000.0,-5000000.0,87000000,7489000000,2476000000,77000000.0,-901000000.0,-283000000,,-3123000000,-2192000000.0,439000000,42000000.0,3219000000.0,,3492000000,284000000,11590000000.0,268000000,44895000000,-532000000,2464000000,,,40465000000,4082000000.0,896000000,2476000000,11074000000,224000000.0,,,,,
2015-03-31,0.0,2836000000,22723000000,690433584,-1271000000.0,2628000000,-2001000000,55089000000,1648000000.0,66000000.0,11962000000,1157000000.0,1494000000,5145000000.0,23000000,20000000.0,14870000000,2.923635,15201000000,5007000000,3292000000,35741000000,116000000,,2559000000.0,2678000000,693550252,802000000.0,-192000000.0,40723000000,7374000000,3780000000,5118000000,1919000000.0,119000000,116000000.0,648000000.0,2.912726,339000000,996000000,-17921000000.0,,58644000000.0,-345000000.0,80000000,6031000000,2019000000,116000000.0,-152000000.0,-247000000,,-3283000000,-2839000000.0,443000000,35000000.0,3101000000.0,,2984000000,617000000,12100000000.0,340000000,49058000000,-10000000,2011000000,,,43115000000,4297000000.0,1724000000,2019000000,11421000000,236000000.0,,,,,
2016-03-31,-507000000.0,2472000000,24543000000,688416917,-1337000000.0,3032000000,-4036000000,58934000000,1802000000.0,-51000000.0,13555000000,0.0,1614000000,5315000000.0,16000000,22000000.0,16305000000,3.763635,15115000000,5368000000,3285000000,37648000000,124000000,,2998000000.0,3125000000,691350251,887000000.0,-113000000.0,43364000000,7721000000,4085000000,5608000000,2071000000.0,127000000,95000000.0,879000000.0,3.747271,116000000,962000000,-19211000000.0,,62575000000.0,-273000000.0,82000000,6312000000,2591000000,96000000.0,-834000000.0,4000000,,-3628000000,-896000000.0,447000000,22000000.0,2296000000.0,,3558000000,438000000,12819000000.0,437000000,52622000000,39000000,2594000000,,,45369000000,4634000000.0,1740000000,2591000000,11030000000,275000000.0,,,,,
2017-03-31,-5737000000.0,2782000000,22900000000,689883584,-1463000000.0,2184000000,-4314000000,65840000000,1032000000.0,529000000.0,20368000000,5454000000.0,1481000000,6096000000.0,18000000,32000000.0,22582000000,11.29636,15035000000,5229000000,3438000000,34945000000,1139000000,-1542000000.0,8741000000.0,9880000000,693000252,923000000.0,-68000000.0,39825000000,10511000000,3208000000,4674000000,1447000000.0,1139000000,-680000000.0,3183000000.0,11.247269,124000000,1009000000,-17170000000.0,,56995000000.0,-195000000.0,121000000,13574000000,7795000000,93000000.0,1611000000.0,984000000,,-3519000000,-1616000000.0,449000000,54000000.0,2384000000.0,,5430000000,374000000,12651000000.0,403000000,52266000000,-798000000,1810000000,-137000000.0,,45456000000,4479000000.0,1710000000,7795000000,11827000000,298000000.0,,,,,
2018-03-31,-2000000.0,2798000000,21971000000,692200000,-4487000000.0,2708000000,2237000000,58787000000,114000000.0,-10000000.0,18832000000,6087000000.0,1530000000,5444000000.0,33000000,16000000.0,21599000000,5.13,15250000000,4503000000,3453000000,31242000000,329000000,,2694000000.0,3023000000,695200000,899000000.0,,39853000000,8697000000,3457000000,5291000000,1317000000.0,329000000,,,5.105,1139000000,1053000000,-17581000000.0,,57434000000.0,-1022000000.0,115000000,6681000000,3550000000,,-231000000.0,-807000000,,-3911000000,-2156000000.0,452000000,,2838000000.0,,4383000000,-884000000,12412000000.0,341000000,52106000000,-327000000,3592000000,-149000000.0,,39939000000,3636000000.0,592000000,3550000000,11793000000,,,,,,
2019-03-31,-89000000.0,3153000000,24053000000,677200000,-1160000000.0,1841000000,-3034000000,62963000000,933000000.0,172000000.0,19349000000,840000000.0,1588000000,5869000000.0,17000000,27000000.0,21814000000,2.23,14933000000,4318000000,3769000000,34465000000,252000000,,1981000000.0,2233000000,680200000,1084000000.0,,43913000000,9129000000,3442000000,4378000000,808000000.0,252000000,156000000.0,,2.22,329000000,949000000,-19163000000.0,,63076000000.0,-2000000.0,264000000,7946000000,1511000000,,,-80000000,,-3941000000,-1969000000.0,458000000,,3148000000.0,,4407000000,339000000,11785000000.0,370000000,55017000000,-193000000,1502000000,-143000000.0,,43594000000,3965000000.0,377000000,1511000000,11491000000,,,,,,
