date,annualInvestmentsAndAdvances,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualOperatingExpense,annualRepurchaseOfCapitalStock,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualCapitalExpenditure,annualDilutedEPS,annualCurrentAccruedExpenses,annualInterestExpense,annualChangesInAccountReceivables,annualBasicAverageShares,annualCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,annualChangeInAccountPayable,annualNetOtherFinancingCharges,annualDeferredIncomeTax,annualOtherShortTermInvestments,annualNetIncomeCommonStockholders,annualFreeCashFlow,annualCommonStockIssuance,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualDilutedAverageShares,annualTotalAssets,annualNetIncome,annualCurrentDebt,annualCashDividendsPaid,annualCurrentDeferredRevenue,annualBeginningCashPosition,annualLongTermDebt,annualOtherCurrentAssets,annualCostOfRevenue,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,annualIncomeTaxPayable,annualOtherNonCashItems,annualPurchaseOfBusiness,annualPurchaseOfInvestment,annualStockholdersEquity,annualInvestingCashFlow,annualDepreciationAndAmortization,annualChangeInInventory,annualGoodwill,annualInventory,annualRetainedEarnings,annualStockBasedCompensation,annualCapitalStock,annualAccountsReceivable,annualOperatingCashFlow,annualCurrentLiabilities,annualGrossProfit,annualRepaymentOfDebt,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,annualEbitda,annualOtherNonCurrentLiabilities,annualOperatingIncome,annualOtherIncomeExpense,annualTotalRevenue,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualBasicEPS,annualNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualAccountsPayable,annualGrossPPE,annualPretaxIncome,annualOtherIntangibleAssets
2005-12-31,,-41287000,6936000,2771000,20031000,,29291000,-28594000,-59638000,-0.43,,494000,,67041967,102129000,73794000,,,0,-816000,26031000,-28594000,-48875000,6361000,260151000,-3371000,101160000,3285000,67041967,362280000,-28594000,,,,28345000,,863000,91345000,32396000,44100000,,,,,257322000,-15488000,13095000,-4838000,,16667000,-145387000,,0,27342000,10763000,27366000,31056000,,257380000,762000,24120000,41398000,11025000,-37635000,122401000,0,946000,4810000,55322000,-0.43,,5671000,29291000,22333000,298667000,-24455000,
2006-12-31,,-57588000,9172000,192368000,26692000,,80347000,58206000,-96999000,0.76,,573000,,73628000,270097000,92808000,,,-7669000,-3343000,91601000,58206000,-31101000,153611000,409898000,-2889000,158289000,25484000,76152000,679995000,58206000,,,,29291000,,186000,132648000,48499000,,,5399000,,-65570000,512026000,-160737000,17520000,-3864000,,22216000,-87228000,,0,65971000,65898000,65481000,122799000,,217030000,,113627000,44309000,96107000,-14101000,255447000,0,51056000,25386000,171948000,0.79,,145894000,80347000,40095000,274618000,87467000,
2007-12-31,,-91832000,12382000,17701000,41374000,,51915000,88860000,-117170000,1.12,23087000,660000,,76453000,244918000,99219000,,,0,-1448000,55400000,88860000,-49809000,5164000,517985000,-38578000,157800000,19605000,79174000,762903000,88860000,,-2347000,,80347000,,5502000,171159000,48698000,24931000,,-1145000,,,599617000,-99489000,28992000,-26939000,,51737000,1632000,,0,68600000,67361000,58581000,129905000,,500284000,-8650000,117523000,50521000,88531000,23699000,301064000,-11272000,-28432000,4845000,107315000,1.16,,3696000,51915000,29144000,592116000,111570000,
2008-12-31,840000,-124259000,13122000,1119000,59471000,,26789000,25367000,-243800000,0.3,9123000,951000,9047000,80236000,174363000,102715000,,,0,3210000,3350000,24602000,-150815000,50843000,699020000,-6947000,181996000,24430000,80773000,873383000,24602000,,-2626000,,51915000,,10829000,204526000,45392000,62779000,,18569000,,,685641000,-168822000,46349000,-21175000,,72650000,26234000,2223000,0,51067000,92985000,79281000,134074000,,697061000,-232000,97097000,0,74603000,-23855000,338600000,12199000,-25126000,20181000,30139000,0.31,,50711000,26789000,21619000,821320000,49797000,
2009-12-31,,-212423000,15767000,18430000,20142000,-5592000,100474000,63095000,-52751000,0.71,,4292000,-26772000,87578000,372455000,389383000,,,5742000,2113000,92623000,61998000,63217000,103909000,1476154000,-35690000,489563000,27756000,87751000,1848609000,61998000,,0,,26789000,20788000,160000,338740000,305820000,,4021000,7643000,-14605000,-80136000,1343790000,-146342000,83169000,-15162000,,93446000,88232000,2382000,0,66059000,115968000,100180000,116072000,,1457724000,1618000,178312000,0,95930000,-787000,454812000,-14605000,73685000,0,193097000,0.71,,104059000,100474000,96159000,1670147000,90851000,
2010-12-31,1618000,-300348000,20038000,1618000,24792000,,179921000,205387000,-83370000,1.05,24850000,2061000,-2905000,106969000,549030000,429305000,,,5360000,17227000,180583000,112573000,158886000,11887000,1523578000,23947000,544546000,90987000,107575000,2072608000,112573000,,-9018000,,100474000,,0,416706000,331228000,,29699000,-1351000,,-80162000,1520288000,-166117000,86483000,-12097000,,106854000,192779000,4028000,0,66893000,242256000,115241000,239807000,-5630000,1492538000,9346000,292104000,28614000,190488000,16960000,631986000,-2585000,78738000,0,360504000,1.05,,2599000,179921000,81230000,1792886000,203560000,
2011-12-31,,-378091000,18291000,5429000,46018000,-94033000,262901000,354146000,-123579000,3.29,16231000,6199000,-8595000,106434000,742236000,173903000,,,-93130000,7771000,228321000,352494000,235876000,4453000,1209560000,-39435000,349709000,117118000,106655000,1951796000,352494000,,-10732000,,179921000,,0,446150000,54919000,,74366000,109758000,,-51071000,1593839000,-177268000,82756000,-28416000,,135696000,339821000,3502000,0,40477000,359455000,175806000,409125000,,1189708000,10777000,560219000,49108000,363107000,114356000,855275000,-3915000,82980000,6822000,491222000,3.31,,-99409000,262901000,30879000,1567799000,471264000,
2012-12-31,1450000,-598902000,20790000,602000,52166000,-41749000,346208000,87513000,-159915000,0.55,29310000,7678000,-20418000,140883000,975267000,464652000,,27462000,-1074000,93822000,196116000,87359000,33390000,3195000,2412712000,-22224000,661250000,93822000,142442000,3387979000,87359000,,-24919000,,262901000,41134000,25000,617231000,321630000,30383000,40346000,2999000,,0,2719401000,-39323000,108153000,-30804000,211292000,270089000,397360000,4142000,0,39116000,193305000,196598000,311363000,-6213000,2182742000,964000,297166000,8594000,259197000,-70184000,928594000,1989000,83307000,6956000,542324000,0.62,,-70760000,346208000,56059000,2781644000,181335000,
2013-12-31,1450000,-1071347000,17596000,128000,27814000,-6740000,249937000,-445846000,-159401000,-2.96,35566000,6664000,15903000,151501000,871664000,396035000,,-4295000,-925000,16757000,172785000,-445851000,-39795000,0,1895792000,-1673000,578667000,16757000,153430000,2767456000,-445851000,20095000,-75755000,7810000,346208000,34302000,0,692985000,285947000,19920000,29319000,3030000,,0,2182334000,-125348000,135913000,-12045000,7134000,284352000,-133847000,2173000,0,31727000,119606000,182632000,131519000,-30238000,1870678000,-137000,-286512000,26045000,103705000,-525547000,824504000,452000,-96271000,0,422722000,-2.94,,-90162000,249937000,51590000,2942025000,-429089000,
2014-12-31,1450000,-1816608000,17908000,128000,35685000,0,146193000,-544823000,-131761000,-3.6,31884000,5072000,7373000,151511000,730696000,239895000,,-8398000,-375000,-92494000,184220000,-545588000,-7573000,3000,1287177000,11597000,447936000,-92494000,151511000,2017873000,-545588000,52397000,-75751000,,249937000,0,0,743869000,160072000,0,22321000,8310000,,-13524000,1563092000,-143246000,147710000,11267000,3057000,252549000,-755186000,2529000,0,29288000,124188000,208041000,8073000,-7785000,1266391000,-485000,-484535000,30716000,-27612000,-604204000,751942000,187000,-103744000,0,330413000,-3.6,,-83908000,146193000,52985000,3082999000,-637317000,
2015-12-31,1450000,-2097153000,18027000,236000,37968000,,133963000,-231556000,-146735000,-1.49,27296000,3640000,27514000,151664000,552164000,256481000,,-26750000,-545000,-4199000,92678000,-226650000,-58043000,0,1162873000,19840000,416421000,-4199000,151664000,1715037000,-226650000,19578000,-41703000,,146193000,36200000,0,706777000,142127000,93807000,13481000,6879000,,0,1297222000,-52392000,150845000,23412000,3057000,204361000,-1023539000,2569000,0,21272000,88692000,159940000,-32089000,-43766000,1145221000,-458000,-81270000,30503000,-70057000,-160485000,674688000,-111000,-12230000,2835000,226641000,-1.49,,-47836000,133963000,53570000,3242374000,-235755000,
2016-12-31,49734000,-2246946000,23663000,288000,37818000,,180881000,101825000,-202661000,0.66,42988000,2115000,-29125000,152118000,612853000,314851000,11334000,13722000,-428000,74446000,36729000,100085000,12143000,2399000,1285288000,-5545000,499137000,74446000,152504000,1898141000,100085000,0,-7606000,,133963000,36200000,0,575896000,170863000,56870000,25911000,6478000,,-4965000,1396298000,-139897000,115955000,19527000,3057000,237329000,-931060000,3826000,0,44960000,214804000,184286000,198879000,-22583000,1222727000,434000,294341000,27408000,161061000,20398000,774775000,-5460000,46918000,2815000,217610000,0.66,11561000,-28218000,180881000,45344000,3469673000,176271000,
2017-12-31,55017000,-2302367000,21397000,265000,52630000,,175953000,123451000,-162451000,0.79,54535000,7185000,9852000,153070000,595470000,287567000,,2569000,-1052000,59034000,51590000,120991000,62108000,2606000,1397862000,11709000,472281000,59034000,153353000,1993332000,120991000,3000000,-15314000,,180881000,0,9041000,648068000,171228000,0,26131000,4794000,-2473000,-14571000,1516850000,-177821000,122888000,10898000,3057000,218715000,-825470000,3077000,0,51952000,224559000,184714000,168760000,-40742000,1336683000,1605000,239018000,26954000,116130000,67567000,816828000,,-4928000,1906000,227543000,0.79,12017000,-51502000,175953000,47138000,3639050000,182485000,
2018-12-31,70566000,-2409843000,22649000,260000,43970000,,138510000,12041000,-151848000,0.07,40598000,8139000,,153315000,548374000,273599000,,,-2020000,21147000,74004000,10294000,3130000,1081000,1389102000,-4261000,424127000,21147000,153522000,1937476000,10294000,,-21284000,,175953000,,,683598000,148819000,2449000,8306000,10516000,0,-25554000,1508212000,-159172000,147289000,-12128000,3057000,214465000,-836067000,2957000,0,96091000,154978000,150528000,100897000,-7911000,1301002000,208000,204216000,25425000,56927000,-22124000,784495000,,-37443000,51000,212514000,0.07,13288000,-33134000,138510000,52201000,3710845000,33188000,
2019-12-31,84319000,-2676428000,31752000,26139000,81937000,,120564000,111244000,-207352000,0.55,47221000,16879000,,201397000,788919000,722166000,,,-924000,71268000,117776000,110738000,74676000,2781000,2672763000,-27944000,993836000,71268000,201571000,3461682000,110738000,,-29332000,,138510000,275000000,,1121471000,176808000,42396000,24770000,28664000,-247479000,,2463099000,-402168000,253453000,22753000,3057000,346507000,-754689000,4448000,3123514000,168753000,282028000,271670000,229288000,-204270000,2504901000,0,452844000,27754000,147351000,54540000,1350759000,,-17946000,,,0.55,12542000,103255000,120564000,66924000,5181329000,182512000,
