date,annualRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,annualOperatingExpense,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualCapitalExpenditure,annualInterestExpense,annualChangesInAccountReceivables,annualDilutedAverageShares,annualCurrentAssets,annualOtherNonCurrentAssets,annualNetOtherFinancingCharges,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualOtherShortTermInvestments,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualChangeInAccountPayable,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualFreeCashFlow,annualRetainedEarnings,annualCashDividendsPaid,annualLongTermDebt,annualBeginningCashPosition,annualTaxProvision,annualBasicAverageShares,annualCostOfRevenue,annualNetIncome,annualTotalAssets,annualCurrentDebt,annualTotalNonCurrentAssets,annualOtherCurrentAssets,annualSellingGeneralAndAdministration,annualPurchaseOfBusiness,annualOtherNonCashItems,annualIncomeTaxPayable,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,annualStockholdersEquity,annualInvestingCashFlow,annualChangeInInventory,annualDepreciationAndAmortization,annualBasicEPS,annualPurchaseOfInvestment,annualAccountsReceivable,annualGoodwill,annualCapitalStock,annualStockBasedCompensation,annualCurrentLiabilities,annualNetPPE,annualOtherIntangibleAssets,annualInventory,annualOperatingCashFlow,annualGrossProfit,annualEbitda,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualTotalRevenue,annualDilutedEPS,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualPretaxIncome,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualOtherIncomeExpense,annualOperatingIncome,annualGrossPPE,annualAccountsPayable,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,annualResearchAndDevelopment,annualCurrentDeferredRevenue
2005-12-31,-186764000.0,89479000.0,91974000,221785000,65518000,-63386000,34341000,,206568000,725733000,31985000,-2088000,22230000.0,221785000,,669524000,-484344000.0,,-24305000,876701000,15401000.0,247370000,744344000,-18276000.0,438419000,16334000,138841000.0,178484000,1699717000,221785000,1757687000,2156000,1031954000,13307000,91974000,,,,231105000.0,,879868000,-62041000,-17196000,91865000,1.2425,,241708000.0,,529000.0,,207177000,999969000,,398684000,310756000,485149000,485040000,,0,,0.0,65518000,2184866000,1.0875,1345000,49184000,360626000.0,-199532000,65518000,1792000,393175000,1484313000.0,115542000,,,,
2006-12-31,-247411000.0,140365000.0,170878000,396707000,29373000,-128618000,32104000,,211548000,1036197000,30925000,0,-478000.0,396707000,,614995000,-592686000.0,,-115269000,1014485000,28503000.0,276334000,1093271000,-37545000.0,358192000,65518000,234848000.0,187862000,2408795000,396707000,2247017000,80686000,1210820000,15167000,170878000,,8862000.0,,256803000.0,14075000.0,1231108000,-217413000,-66240000,114812000,2.11,-14075000.0,408376000.0,30966000.0,537000.0,,399490000,1136703000,12226000.0,569317000,404952000,829992000,773926000,,0,,30497000.0,29373000,3238787000,1.885,311000,-36145000,631555000.0,-223684000,29373000,4545000,659114000,1729389000.0,147942000,,,,
2007-12-31,-533654000.0,204645000.0,224540000,394566000,28486000,-395198000,55416000,,196804000,1696229000,145597000,-17857000,12642000.0,394566000,,2074693000,-716910000.0,,-122029000,2979219000,29446000.0,33005000,1432196000,-55642000.0,1734683000,29373000,235672000.0,186322000,3468855000,394566000,4519453000,295162000,2823224000,38795000,224540000,,4723000.0,,301470000.0,,1529196000,-1246629000,-119577000,138136000,2.12,-3584000.0,714123000.0,510983000.0,542000.0,,904526000,1652097000,514547000.0,904398000,428203000,915694000,829290000,,38540000,21000.0,25870000.0,28486000,4384549000,2.01,224000,-887000,630238000.0,817539000,28486000,-5500000,691154000,2369007000.0,378849000,,,,
2008-12-31,-501777000.0,272258000.0,376019000,463386000,16233000,-412497000,144574000,310985000.0,194586000,1709915000,85581000,-7544000,25045000.0,463386000,,2650283000,-912982000.0,-88451000.0,65894000,3621264000,18422000.0,362804000,1820385000,-71288000.0,2219161000,28486000,280427000.0,189140000,6849262000,463386000,5253577000,431223000,3543662000,57632000,267688000,-271159000.0,-2611000.0,4107000.0,365496000.0,32758000.0,1623886000,-669234000,-18667000,208752000,2.45,-20373000.0,502932000.0,770438000.0,545000.0,14278000.0,970981000,2072857000,614786000.0,1023235000,775301000,1231259000,1097139000,-2409577000.0,65626000,-1411000.0,366000000.0,16233000,8080521000,2.38,2037000,-12253000,743813000.0,-118320000,16233000,33147000,855240000,2985839000.0,263393000,,,,
2009-12-31,0.0,159430000.0,276565000,-11019000,9008000,-330052000,141360000,72159000.0,200704000,1456803000,127250000,5000000,92596000.0,-8184000,,2531046000,-1029018000.0,-8860000.0,124125000,3126607000,420930000.0,115504000,1745511000,-68672000.0,2054572000,16233000,-7218000.0,200704000,3559730000,-8184000,5129872000,168182000,3673069000,9856000,223013000,0.0,-2835000.0,5664000.0,416468000.0,0.0,1988268000,-373945000,175183000,221426000,-0.04,-27967000.0,426592000.0,758259000.0,629000.0,17589000.0,595561000,2254050000,533510000.0,852831000,445556000,399076000,344549000,-1704529000.0,60006000,0.0,0.0,9008000,3958806000,-0.04,-15926000,-7225000,-18237000.0,-78836000,9008000,612000,122511000,3283068000.0,262285000,,,,
2010-12-31,,136514000.0,298108000,129599000,186513000,-133394000,170229000,-196556000.0,234717000,2000003000,135683000,-1359000,46097000.0,140709000,,2897488000,-1193293000.0,71169000.0,-259795000,3458805000,14014000.0,35913000,1821133000,-64969000.0,2377897000,9008000,83860000.0,216760000,5625221000,140709000,5589934000,8924000,3589931000,19243000,252522000,,27493000.0,5227000.0,457432000.0,,2092870000,-149078000,-261110000,224698000,0.65,0.0,584068000.0,751675000.0,633000.0,14688000.0,561317000,2213333000,489240000.0,1114063000,169307000,675666000,608386000,-346963000.0,62159000,,0.0,186513000,6300887000,0.64,-15684000,177505000,213459000.0,157276000,186513000,6130000,377558000,3406626000.0,335031000,,,,
2011-12-31,,155883000.0,346698000,265692000,390761000,-167007000,176977000,-100602000.0,235992000,2455258000,134264000,19853000,34436000.0,278120000,84830000.0,2508215000,-1357816000.0,56551000.0,-49738000,3608632000,13396000.0,319348000,2011801000,-81882000.0,1936022000,186513000,158627000.0,218471000,7065982000,278120000,5979226000,444078000,3523968000,15229000,306744000,,17283000.0,10880000.0,489915000.0,,2315941000,-235837000,-85523000,222607000,1.27,-84830000.0,679898000.0,745066000.0,636000.0,17283000.0,1100417000,2193745000,450893000.0,1199584000,486355000,931518000,823903000,-7740000.0,82278000,,0.0,475591000,7997500000,1.22,16000000,204248000,424319000.0,-46270000,390761000,16476000,584820000,3551561000.0,414240000,,,,
2012-12-31,,179702000.0,320483000,142281000,375917000,-223525000,158585000,85977000.0,236624000,2296225000,132816000,23907000,54528000.0,163551000,31520000.0,2827897000,-1530561000.0,-32593000.0,3580000,3437574000,,222779000,2087620000,-87633000.0,2172606000,390761000,61785000.0,219159000,6570336000,163551000,5815416000,29631000,3519191000,19576000,284930000,,20699000.0,16941000.0,537304000.0,53310000.0,2405465000,-191601000,13845000,225216000,0.75,,642363000.0,738542000.0,637000.0,12449000.0,609677000,2231198000,416635000.0,1202507000,446304000,719898000,587867000,-1258842000.0,19173000,,0.0,407437000,7290234000,0.73,31924000,-14844000,204066000.0,-269547000,375917000,-36764000,399415000,3761759000.0,360097000,,,,
2013-12-31,,214679000.0,332311000,163516000,395156000,-186843000,127728000,-78237000.0,238996000,2473634000,115083000,11226000,30737000.0,189314000,0.0,2461973000,-1713680000.0,40141000.0,-128818000,3437151000,37508000.0,125332000,2179513000,-94812000.0,1766045000,375917000,99314000.0,220916000,6653780000,189314000,5933006000,341544000,3459372000,25167000,300541000,,15812000.0,4023000.0,556038000.0,31520000.0,2547323000,-152845000,-108025000,230928000,0.86,,720600000.0,731996000.0,645000.0,15504000.0,975178000,2226134000,386159000.0,1314747000,312175000,719144000,621486000,-517978000.0,23376000,,0.0,395156000,7372924000,0.83,33998000,19239000,262830000.0,-140091000,395156000,3725000,386833000,3939814000.0,414932000,,,,
2014-12-31,,286980000.0,385891000,91650000,361363000,-111785000,137263000,-2191000.0,242078000,2973765000,97529000,-17546000,-25042000.0,157024000,,3664918000,-1886133000.0,-76141000.0,13623000,4515500000,,505787000,2227843000,-105379000.0,2977706000,395156000,73153000.0,232547000,7789741000,157024000,7311027000,46460000,4337262000,55655000,358340000,-1669449000.0,274016000.0,6086000.0,542033000.0,0.0,2913015000,-1747267000,68730000,263325000,0.68,,902825000.0,745158000.0,635000.0,14016000.0,850582000,3123906000,370669000.0,1618419000,617572000,966211000,565391000,-635578000.0,18839000,,0.0,361363000,8755952000,0.67,33967000,-33793000,164803000.0,1095902000,361363000,-278254000,580320000,5010039000.0,511056000,,,,
2015-12-31,,233232000.0,376002000,-145170000,727032000,-114501000,153950000,311302000.0,242017000,2537941000,36501000,-1795000,-99323000.0,-130311000,,3121681000,-2126492000.0,-227092000.0,537277000,3656971000,,923982000,1965291000,-127569000.0,2577976000,361363000,-96947000.0,242017000,6862693000,-130311000,6202082000,16680000,3664141000,47914000,350690000,-45000000.0,451104000.0,2023000.0,400770000.0,,2679727000,-149627000,488003000,294595000,-0.54,,613605000.0,397470000.0,638000.0,22604000.0,535290000,2951210000,278960000.0,1149390000,1038483000,731718000,206428000,-612534000.0,16595000,,0.0,727032000,7594411000,-0.54,9874000,365669000,-242117000.0,-523187000,727032000,-443883000,355716000,5077702000.0,283355000,,,,
2016-12-31,-25034000.0,308394000.0,474059000,360006000,841483000,-198160000,146037000,-106617000.0,245298000,2929675000,29514000,-19098000,53846000.0,382115000,,2933458000,-2279774000.0,106521000.0,-42363000,3646273000,,654609000,2210459000,-135767000.0,2353194000,727032000,204127000.0,243576000,6442245000,382115000,6423732000,3632000,3494057000,83197000,445294000,-123351000.0,20676000.0,5593000.0,448375000.0,,2927020000,-312893000,-115575000,296109000,1.57,,729784000.0,393351000.0,641000.0,31656000.0,712815000,2787215000,283977000.0,1275211000,852769000,1334864000,1006279000,-728993000.0,20649000,,0.0,841483000,7777109000,1.56,8618000,114451000,564133000.0,-425425000,841483000,-150635000,860805000,5066989000.0,395196000,,,,
2017-12-31,-252242000.0,346580000.0,515133000,805796000,1028649000,-164935000,134399000,-139054000.0,241781000,3508342000,27684000,-25655000,-135899000.0,812741000,,2792145000,-2489604000.0,96062000.0,-279555000,3660664000,,574671000,2874693000,-145565000.0,2353145000,841483000,129439000.0,240132000,7956783000,812741000,6855732000,28795000,3347390000,91509000,485940000,-6192000.0,14068000.0,3696000.0,305949000.0,,3351574000,-139105000,-242883000,298999000,3.38,,868837000.0,386893000.0,644000.0,36197000.0,868519000,2675904000,256909000.0,1519347000,739606000,1582014000,1368633000,-609914000.0,21811000,,0.0,1028649000,9538797000,3.36,32022000,187166000,935235000.0,-413335000,1028649000,2753000,1066881000,5165508000.0,489448000,,,,
2018-12-31,-523569000.0,436681000.0,600405000,1255805000,828220000,-239390000,126620000,-145873000.0,235193000,4032657000,25166000,-18501000,61827000.0,1258379000,228783000.0,2908437000,-2739203000.0,37904000.0,-261433000,3927574000,,1176079000,3958320000,-168913000.0,2352489000,1035085000,363969000.0,233923000,9499025000,1258379000,7703563000,24234000,3670906000,72730000,572625000,-433998000.0,-1245000.0,7468000.0,435838000.0,40000000.0,3935071000,-895264000,-246213000,317198000,5.38,-268783000.0,1043756000.0,429645000.0,645000.0,43317000.0,1019137000,2945767000,270328000.0,1859168000,1415469000,2322814000,2063592000,-455491000.0,8870000,301000.0,,1057003000,11821839000,5.35,6907000,-200662000,1619774000.0,-720867000,834423000,23985000,1722409000,5684970000.0,550754000,,,,
2019-12-31,-348608000.0,401984000.0,544104000,677900000,1381460000,-451945000,127104000,237805000.0,220748000,4253025000,106038000,-27561000,51721000.0,671103000,262174000.0,3347826000,,-86445000.0,296543000,4354524000,,944345000,4419296000,-200271000.0,2644988000,834423000,197437000.0,219639000,8954302000,671103000,8275765000,89356000,4022740000,76012000,514527000,-97106000.0,1413000.0,2014000.0,484169000.0,362768000.0,4075834000,-576686000,217866000,321082000,3.06,-396159000.0,844336000.0,452915000.0,646000.0,47631000.0,1006698000,3135886000,327901000.0,1689043000,1396290000,1530984000,1323523000,-1264152000.0,75055000,-7000.0,,1643634000,10485286000,3.04,5756000,552974000,875337000.0,-266630000,1387397000,15561000,986880000,,513344000,,,,
