date,annualChangeInWorkingCapital,annualOperatingIncome,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualBasicEPS,annualRetainedEarnings,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualPretaxIncome,annualNetIncome,annualNonCurrentDeferredRevenue,annualCashDividendsPaid,annualEndCashPosition,annualCurrentDebt,annualOtherCurrentAssets,annualLongTermDebt,annualCurrentDeferredRevenue,annualCostOfRevenue,annualAccountsPayable,annualFreeCashFlow,annualIncomeTaxPayable,annualStockholdersEquity,annualInvestmentsAndAdvances,annualOtherNonCashItems,annualRepurchaseOfCapitalStock,annualDilutedEPS,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,annualTaxProvision,annualDepreciationAndAmortization,annualCurrentAssets,annualAccountsReceivable,annualNetIncomeCommonStockholders,annualChangeInAccountPayable,annualNetPPE,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualCurrentLiabilities,annualCommonStockIssuance,annualSaleOfInvestment,annualOtherIntangibleAssets,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,annualEbitda,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedAverageShares,annualBeginningCashPosition,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualGrossPPE,annualSellingGeneralAndAdministration,annualNonCurrentDeferredTaxesLiabilities,annualNetIncomeContinuousOperations,annualOperatingExpense,annualPurchaseOfBusiness,annualCapitalExpenditure,annualInvestingCashFlow,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualBasicAverageShares,annualChangesInAccountReceivables,annualInterestExpense,annualPurchaseOfInvestment,annualCapitalStock,annualTotalRevenue,annualDeferredIncomeTax,annualGrossProfit,annualStockBasedCompensation,annualGoodwill,annualInventory,annualAccumulatedDepreciation,annualNetOtherFinancingCharges,annualResearchAndDevelopment,annualOtherShortTermInvestments
2006-07-31,23155000.0,110435000.0,,-134355000.0,1.21,143721000.0,1687643000,1012306000,75010000.0,45756000.0,,,191794000.0,5915000,23693000,525313000,30785000.0,642485000.0,82599000,104503000.0,,642777000,,35004000.0,-10839000.0,1.19,191794000,87401000.0,29254000.0,86098000.0,325974000,35949000.0,45756000.0,,851112000,758112000,193404000.0,299637000.0,254194000,46649000.0,,75109000,,159735000,196533000.0,47494000.0,55214000.0,191794000,38450420.0,136580000.0,7913000.0,1361669000,1383230000.0,,73064000,45756000.0,85932000.0,,-88901000.0,-191721000.0,-4811000.0,53531000.0,37814876.0,,36478000.0,,390000.0,838852000.0,1322000.0,196367000.0,,135811000.0,42278000,-532118000.0,8500000.0,,
2007-07-31,-123985000.0,130278000.0,,-17012000.0,1.58,205118000.0,1909123000,1167373000,100651000.0,61397000.0,,,230819000.0,377000,19392000,593733000,36179000.0,722150000.0,58292000,-790000.0,,714039000,,88894000.0,-15007000.0,1.56,230819000,187308000.0,39254000.0,87664000.0,411637000,43557000.0,61397000.0,,885926000,847776000,118442000.0,396354000.0,319597000,11496000.0,,73507000,,181830000,217942000.0,37441000.0,39025000.0,230819000,39357051.0,191794000.0,10355000.0,1497486000,1464979000.0,,72213000,61397000.0,88108000.0,,-119232000.0,-132146000.0,-5171000.0,52729000.0,38858861.0,,32625000.0,,397000.0,940536000.0,-3968000.0,218386000.0,,141699000.0,48064000,-579053000.0,-8107000.0,,
2008-07-31,-197591000.0,176005000.0,,2757000.0,2.67,308045000.0,1925954000,1167283000,166013000.0,102927000.0,,,162345000.0,15355000,23078000,541350000,,881532000.0,294182000,66104000.0,,728756000,,217234000.0,-99615000.0,2.64,162345000,,63086000.0,93794000.0,358895000,50185000.0,102927000.0,,1056837000,800272000,216996000.0,295410000.0,367011000,1994000.0,,72530000,,183643000,269799000.0,57474000.0,-68474000.0,162345000,38616000.0,230819000.0,24770000.0,1567059000,1706627000.0,,75279000,102927000.0,94619000.0,,-150892000.0,-148135000.0,-1643000.0,-137335000.0,38616000.0,,30667000.0,,399000.0,1152156000.0,2980000.0,270624000.0,,142282000.0,49708000,-649790000.0,-1745000.0,,
2009-07-31,-163590000.0,106134000.0,,36000.0,1.34,356995000.0,1884480000,1088359000,79594000.0,48950000.0,,,69298000.0,352000,20318000,491608000,,762577000.0,245536000,27785000.0,5460000.0,765295000,311485000.0,-5300000.0,-22367000.0,1.33,69298000,,30644000.0,107213000.0,228988000,58063000.0,48950000.0,,1057658000,837011000,134276000.0,0.0,251348000,,,79429000,-141039000.0,233169000,214355000.0,0.0,-93047000.0,69298000,36673000.0,162345000.0,1793000.0,1655492000,1802358000.0,,112234000,48950000.0,108277000.0,-38170000.0,-106491000.0,-144625000.0,761000.0,-82698000.0,36546000.0,-7833000.0,27548000.0,,400000.0,976988000.0,30767000.0,214411000.0,10741000.0,167950000.0,48947000,-744700000.0,4415000.0,,
2010-07-31,-147080000.0,69309000.0,,-7645000.0,0.84,387380000.0,1922809000,1120422000,53797000.0,30385000.0,,,14745000.0,1869000,20843000,524842000,,694157000.0,255326000,-33007000.0,32729000.0,788770000,422164000.0,-7533000.0,-14999000.0,0.83,14745000,,18022000.0,110638000.0,170745000,53622000.0,30385000.0,,1027390000,830498000,35950000.0,0.0,289924000,,,89273000,-106309000.0,197160000,181950000.0,0.0,-54553000.0,14745000,36212000.0,69298000.0,2003000.0,1752064000,1873616000.0,,108496000,35775000.0,105166000.0,-15870000.0,-68957000.0,-83552000.0,652000.0,-6951000.0,36212000.0,5687000.0,17515000.0,,401000.0,868632000.0,-4427000.0,174475000.0,11843000.0,181085000.0,48295000,-846226000.0,-26605000.0,,
2011-07-31,-99408000.0,97588000.0,,-204000.0,0.96,416458000.0,1946236000,1102517000,55520000.0,34489000.0,,-5411000.0,70143000.0,1045000,21340000,490698000,66044000.0,951501000.0,55456000,171647000.0,20778000.0,829723000,273663000.0,159696000.0,0.0,0.94,70143000,58408000.0,21098000.0,117957000.0,245624000,58529000.0,34489000.0,,1021736000,859335000,267287000.0,0.0,243182000,,,91098000,-616861000.0,235429000,207118000.0,11741000.0,55398000.0,70143000,36754000.0,14745000.0,-9146000.0,1700612000,1968842000.0,,133208000,34422000.0,117957000.0,-62344000.0,-95640000.0,-158188000.0,-2758000.0,-53701000.0,36009000.0,-1638000.0,33641000.0,,403000.0,1167046000.0,32194000.0,215545000.0,12493000.0,268058000.0,54007000,-947106000.0,-10429000.0,,
2012-07-31,-8666000.0,60795000.0,-255000.0,150000.0,0.46,408662000.0,1927614000,1111286000,27092000.0,16453000.0,,-24249000.0,46053000.0,990000,15959000,489775000,78793000.0,836018000.0,56508000,52794000.0,20721000.0,802311000,237668000.0,28871000.0,-30365000.0,0.45,46053000,70995000.0,10701000.0,127581000.0,232370000,65743000.0,16453000.0,,1049207000,862037000,185419000.0,0.0,249249000,,,92070000,-57052000.0,232869000,188473000.0,0.0,-24090000.0,46053000,36004000.0,70143000.0,-272000.0,1695244000,2090841000.0,,139393000,16391000.0,127581000.0,-23479000.0,-132625000.0,-155954000.0,-10853000.0,-53522000.0,36004000.0,-2577000.0,33800000.0,,405000.0,1024394000.0,9243000.0,188376000.0,11999000.0,269769000.0,65873000,-1041634000.0,2144000.0,,
2013-07-31,29608000.0,91500000.0,-67000.0,-4424000.0,1.05,418043000.0,2275422000,1437553000,59229000.0,37743000.0,131760000.0,-28362000.0,138604000.0,994000,19696000,795928000,93759000.0,896609000.0,61364000,127477000.0,42822000.0,823868000,195230000.0,-7108000.0,0.0,1.03,138604000,94609000.0,21619000.0,132688000.0,343469000,79037000.0,37743000.0,19774000.0,1169288000,1124218000,222423000.0,0.0,313335000,,,121344000,-97011000.0,111146000,224188000.0,0.0,92551000.0,138604000,36733000.0,46053000.0,6695000.0,1931953000,2325095000.0,,85384000,37610000.0,132688000.0,-19958000.0,-94946000.0,-108238000.0,-105000.0,-21790000.0,35859000.0,-11715000.0,38966000.0,,409000.0,1120797000.0,-8125000.0,224188000.0,12349000.0,348824000.0,68318000,-1155807000.0,7583000.0,,
2014-07-31,18554000.0,119871000.0,-199000.0,399000.0,0.79,401500000.0,2173849000,1339049000,44072000.0,28478000.0,128824000.0,-45021000.0,44406000.0,1022000,25050000,625600000,110566000.0,994174000.0,71823000,127573000.0,33966000.0,820843000,157858000.0,-1626000.0,0.0,0.77,44406000,85478000.0,15866000.0,140601000.0,275046000,95977000.0,28478000.0,20724000.0,1147990000,1014843000,245878000.0,0.0,324206000,,,117523000,-175998000.0,131857000,260472000.0,0.0,-94198000.0,44406000,37057000.0,138604000.0,-11802000.0,1898803000,2411426000.0,,128562000,28206000.0,140601000.0,0.0,-118305000.0,-117906000.0,1332000.0,-222212000.0,35931000.0,-17007000.0,63997000.0,,412000.0,1254646000.0,6219000.0,260472000.0,14224000.0,378148000.0,67183000,-1263436000.0,-1193000.0,,
2015-07-31,8175000.0,192369000.0,-4913000.0,1326000.0,3.16,440748000.0,2489621000,1609035000,149328000.0,114754000.0,126104000.0,-75506000.0,35459000.0,10154000,24235000,806676000,145949000.0,1058432000.0,62099000,179776000.0,57194000.0,866568000,129825000.0,-31384000.0,,3.07,35459000,98815000.0,34718000.0,149123000.0,288143000,113990000.0,114754000.0,4498000.0,1386275000,1210388000,303660000.0,0.0,398647000,,,144149000,-510222000.0,129812000,341492000.0,0.0,-8947000.0,35459000,37406000.0,44406000.0,8200000.0,2201478000,2762111000.0,,147796000,114610000.0,149123000.0,-307051000.0,-123884000.0,-427068000.0,-1304000.0,115251000.0,36342000.0,-15350000.0,51241000.0,,415000.0,1399924000.0,12968000.0,341492000.0,15753000.0,500433000.0,73485000,-1375836000.0,12979000.0,,
2016-07-31,78940000.0,287302000.0,-1550000.0,-1920000.0,4.13,486667000.0,2482018000,1593552000,242619000.0,149754000.0,121750000.0,-103835000.0,67897000.0,13354000,27220000,686909000,182506000.0,1152496000.0,72658000,317525000.0,95639000.0,874540000,111088000.0,1800000.0,-53787000.0,4.01,67897000,113149000.0,93165000.0,161488000.0,322865000,147113000.0,149754000.0,42367000.0,1363814000,1087071000,426762000.0,0.0,506481000,,,140007000,-329641000.0,148418000,448790000.0,0.0,32438000.0,67897000,37312000.0,35459000.0,-2317000.0,2159153000,2818091000.0,,129994000,149454000.0,161488000.0,-20245000.0,-109237000.0,-124016000.0,-843000.0,-271217000.0,36276000.0,-32991000.0,42366000.0,,416000.0,1601286000.0,7626000.0,448790000.0,17025000.0,509037000.0,74589000,-1454277000.0,6046000.0,,
2017-07-31,-16683000.0,395220000.0,44395000.0,6824000.0,5.36,550985000.0,4110718000,2311759000,348449000.0,210553000.0,118417000.0,-146235000.0,117389000.0,38397000,33681000,1234024000,240096000.0,1086042000.0,71558000,312482000.0,98491000.0,1571156000,103405000.0,6924000.0,-210000.0,5.22,117389000,123510000.0,116731000.0,189157000.0,433070000,186913000.0,210553000.0,-14177000.0,1714154000,1707202000,456914000.0,0.0,604557000,,,294932000,-267014000.0,183319000,584377000.0,0.0,49492000.0,117389000,40366000.0,67897000.0,7318000.0,3677648000,3248894000.0,236799000.0,171442000,231718000.0,425956000.0,-553220000.0,-144432000.0,-682836000.0,8086000.0,271892000.0,39251000.0,-36291000.0,54089000.0,,455000.0,1907218000.0,36437000.0,821176000.0,18315000.0,1519743000.0,84814000,-1534740000.0,-941000.0,,
2018-07-31,-29574000.0,411068000.0,-2227000.0,6873000.0,9.4,726722000.0,4064984000,2253321000,340092000.0,379898000.0,114319000.0,-204161000.0,178145000.0,38455000,37279000,1234277000,282103000.0,1144217000.0,80793000,411014000.0,50632000.0,1589434000,,-9915000.0,-25800000.0,9.13,178145000,107674000.0,-61138000.0,204462000.0,538736000,230829000.0,379898000.0,1879000.0,1627219000,1659701000,551625000.0,,593620000,,,280572000,-274441000.0,177187000,615530000.0,,60756000.0,178145000,41618000.0,117389000.0,-7750000.0,3526248000,3270718000.0,251806000.0,133918000,401230000.0,456268000.0,-1356000.0,-140611000.0,-134579000.0,-963000.0,-350715000.0,40397000.0,-44261000.0,,,461000.0,2011553000.0,-45770000.0,867336000.0,19040000.0,1475686000.0,85588000,-1643499000.0,-117826000.0,,
2019-07-31,50828000.0,481720000.0,-31730000.0,15045000.0,7.46,759801000.0,4426077000,2699237000,398965000.0,301163000.0,109749000.0,-260567000.0,118389000.0,48516000,42116000,1527744000,335669000.0,1297323000.0,96377000,442196000.0,62760000.0,1500627000,,-2756000.0,-85000000.0,7.32,108850000,138014000.0,75472000.0,218117000.0,527940000,270896000.0,301163000.0,23296000.0,1842500000,1980104000,634231000.0,,719133000,,,306173000,-280685000.0,173852000,699837000.0,,-66651000.0,108850000,41158000.0,185040000.0,-3259000.0,3898137000,3637740000.0,274415000.0,168759000,323493000.0,492532000.0,-419044000.0,-192035000.0,-596034000.0,-7274000.0,-99558000.0,40349000.0,-35406000.0,,,462000.0,2271575000.0,22419000.0,974252000.0,19856000.0,1608206000.0,96539000,-1795240000.0,-43449000.0,,
