date,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualCommonStockIssuance,annualFreeCashFlow,annualDilutedEPS,annualGainsLossesNotAffectingRetainedEarnings,annualDilutedAverageShares,annualRetainedEarnings,annualNetOtherInvestingChanges,annualEndCashPosition,annualCurrentDebt,annualCurrentDeferredRevenue,annualTaxProvision,annualPretaxIncome,annualTotalAssets,annualOtherCurrentAssets,annualCostOfRevenue,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,annualNetIncome,annualLongTermDebt,annualOperatingIncome,annualAccountsPayable,annualBasicAverageShares,annualIncomeTaxPayable,annualInvestmentsAndAdvances,annualSaleOfInvestment,annualOtherNonCashItems,annualStockholdersEquity,annualRepurchaseOfCapitalStock,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualCurrentAssets,annualAccountsReceivable,annualNetIncomeCommonStockholders,annualCurrentLiabilities,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualNetPPE,annualOtherShortTermInvestments,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,annualChangeInAccountPayable,annualRepaymentOfDebt,annualEbitda,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInCashSupplementalAsReported,annualCashFlowFromContinuingFinancingActivities,annualBeginningCashPosition,annualOtherIncomeExpense,annualGrossPPE,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,annualBasicEPS,annualCapitalExpenditure,annualNetIncomeContinuousOperations,annualOperatingExpense,annualInvestingCashFlow,annualInterestExpense,annualGoodwill,annualPurchaseOfInvestment,annualCapitalStock,annualStockBasedCompensation,annualTotalRevenue,annualChangesInAccountReceivables,annualNetOtherFinancingCharges,annualAccumulatedDepreciation,annualGrossProfit,annualDeferredIncomeTax,annualResearchAndDevelopment,annualCurrentAccruedExpenses,annualInventory,annualChangeInInventory
1988-12-31,7012700000.0,,,,0.83,,216265060,1195500000,,,,,74000000.0,253500000.0,8266000000.0,,,,,179500000.0,379500000.0,5114400000.0,,216265060,,,,,1253300000,,,,,,179500000.0,,,,,,,,,,5114400000.0,,,,,,,,,,,,,0.83,,179500000.0,-2406800000.0,,47200000.0,,,,,2707600000.0,,,,,,,,,
1989-12-31,7735000000.0,,,,1.05,,221333333,1336700000,,,,,81700000.0,314100000.0,9156400000.0,,,,,232400000.0,438100000.0,4198700000.0,,221333333,,,,,1421400000,,,,,,232400000.0,,,,,,,,,,4198700000.0,,,,,,,,,,,,,1.05,,232400000.0,-1919600000.0,,45300000.0,,,,,2279100000.0,,,,,,,,,
1990-12-31,8974600000.0,,,1211200000.0,1.07,,223364486,1464600000,-49700000.0,,22900000.0,,86200000.0,325200000.0,10432200000.0,,,-97700000.0,,239000000.0,429800000.0,4883700000.0,,223364486,,,2020800000.0,985500000.0,1457600000,-19000000.0,12700000.0,0.0,,594100000.0,239000000.0,,1237200000.0,,136100000.0,6810000000.0,,576100000.0,,-12200000.0,4896400000.0,,,6810000000.0,42200000.0,-222700000.0,31900000.0,-893100000.0,,,,,,1.07,-26000000.0,239000000.0,-2257300000.0,-976100000.0,43900000.0,,-2921200000.0,,,2626400000.0,,-125000000.0,,,,,,,
1991-12-31,9858200000.0,,106100000.0,659100000.0,1.1,,220000000,1602300000,-249600000.0,,63300000.0,,89500000.0,331500000.0,11633200000.0,,,-100200000.0,,242000000.0,418000000.0,5489600000.0,,220000000,,,2887600000.0,419400000.0,1775000000,-33200000.0,17900000.0,0.0,,822300000.0,242000000.0,,679300000.0,,146000000.0,7508500000.0,,721000000.0,,-15100000.0,5507500000.0,,,7508500000.0,-36000000.0,-2000000.0,74100000.0,-978800000.0,,,,,,1.1,-20200000.0,242000000.0,-2558700000.0,-706500000.0,40700000.0,,-3324300000.0,,,2930900000.0,,-106100000.0,,,,,,,
1992-12-31,12185900000.0,,,522000000.0,0.52,,243461538,1603200000,-259000000.0,,115100000.0,,84300000.0,290500000.0,14289800000.0,,,-119500000.0,,126600000.0,477900000.0,6340600000.0,,243461538,,,3597800000.0,338000000.0,2103900000,6900000.0,33200000.0,0.0,,1720200000.0,126600000.0,,578700000.0,,192900000.0,8246700000.0,,727100000.0,,-141700000.0,6373800000.0,,,8246700000.0,49600000.0,191200000.0,38100000.0,-1370500000.0,,,,,,0.52,-56700000.0,206200000.0,-3004100000.0,-718200000.0,41900000.0,,-4000300000.0,,,3336500000.0,,194200000.0,,,,,,,
1993-12-31,13991300000.0,,-7300000.0,557700000.0,1.27,-61000000.0,254960630,1784900000,-96300000.0,,168600000.0,,155300000.0,479100000.0,16279100000.0,,,-151000000.0,,323800000.0,521300000.0,7168200000.0,,252968750,,,4118600000.0,230300000.0,2287800000,11400000.0,50700000.0,0.0,,2100500000.0,323800000.0,,604800000.0,,224200000.0,8887300000.0,,840800000.0,,-192800000.0,7218900000.0,,,8887300000.0,76100000.0,149500000.0,87700000.0,-1680400000.0,,,,,,1.28,-47100000.0,323800000.0,-3323400000.0,-673800000.0,42300000.0,,-4649000000.0,,,3844800000.0,,293400000.0,,,,,,,
1994-12-31,15664500000.0,182700000.0,58300000.0,618900000.0,1.371295,-162500000.0,238898250,1998100000,0.0,508800000.0,243900000.0,,177600000.0,537600000.0,17921900000.0,,,-162300000.0,,360000000.0,495500000.0,860200000.0,2408700000.0,234745223,200900000.0,9567600000.0,3205000000.0,3600000.0,2257400000,-132000000.0,149500000.0,508800000.0,,2519700000.0,327600000.0,,695800000.0,,266500000.0,783200000.0,,678600000.0,298600000.0,-128000000.0,1009700000.0,,,1292000000.0,345000000.0,6100000.0,163800000.0,-276200000.0,,,1899600000.0,129300000.0,-22000000.0,1.395556,-76900000.0,360000000.0,3296700000.0,-361500000.0,46400000.0,869400000.0,-3467600000.0,121700000.0,,4156900000.0,,195100000.0,,,,,,,
1995-12-31,17478400000.0,-88700000.0,0.0,511700000.0,1.545947,-162500000.0,244575000,1998100000,2945400000.0,115300000.0,243900000.0,,154300000.0,458000000.0,19735800000.0,,,-171300000.0,,402800000.0,495500000.0,702800000.0,2408700000.0,244461207,200900000.0,9780800000.0,1480800000.0,236700000.0,2257400000,-121800000.0,157900000.0,115300000.0,,3484400000.0,378100000.0,,609600000.0,,307800000.0,938300000.0,,640100000.0,445400000.0,-12500000.0,860700000.0,,,1053600000.0,-393500000.0,-376800000.0,508800000.0,-207500000.0,,,1982300000.0,129300000.0,-109600000.0,1.546667,-97900000.0,303700000.0,2762900000.0,-624200000.0,37300000.0,957600000.0,-4842900000.0,121700000.0,,3465700000.0,-284600000.0,-200100000.0,,,,,,,
1996-12-31,10889800000.0,-455100000.0,14200000.0,279800000.0,1.275556,154100000.0,248048780,2356800000,-523600000.0,410100000.0,213400000.0,,153800000.0,445600000.0,13722700000.0,,,-172900000.0,,335200000.0,475100000.0,693600000.0,4143700000.0,248048780,80100000.0,5125600000.0,836700000.0,394900000.0,2832900000,-68500000.0,144000000.0,410100000.0,,4555200000.0,316400000.0,,354600000.0,,323200000.0,1266300000.0,,537500000.0,766700000.0,-5700000.0,837600000.0,,,1676400000.0,294800000.0,-301400000.0,115300000.0,-207900000.0,,,2328600000.0,16500000.0,-342200000.0,1.275556,-74800000.0,291800000.0,3194600000.0,237500000.0,40100000.0,1060200000.0,-1028600000.0,119600000.0,,3888200000.0,-887700000.0,70700000.0,,,,,,,
1997-12-31,15069100000.0,-472800000.0,157600000.0,-1010700000.0,1.12,103400000.0,255750000,2463400000,734000000.0,1084700000.0,764200000.0,,203100000.0,541600000.0,18691200000.0,,,-182100000.0,,298800000.0,637100000.0,819300000.0,6379800000.0,251929825,180100000.0,5922100000.0,4317200000.0,716900000.0,2822100000,-272400000.0,241200000.0,1084700000.0,,6183100000.0,287200000.0,,784100000.0,,456800000.0,1697700000.0,,3094500000.0,-154600000.0,-74100000.0,1060500000.0,,,2782400000.0,674600000.0,1299700000.0,410100000.0,-208200000.0,,,3968300000.0,0.0,-1648900000.0,1.14,-1794800000.0,298800000.0,4931300000.0,-1376300000.0,69500000.0,,-4632700000.0,171500000.0,,5750600000.0,,329000000.0,,,,,,,
1998-12-31,15871000000.0,-180000000.0,,564000000.0,2.073333,-116000000.0,259350000,2782000000,0.0,723000000.0,844000000.0,,349000000.0,931000000.0,19688000000.0,,,-194000000.0,,541000000.0,580000000.0,1018000000.0,6948000000.0,255379747,156000000.0,6452000000.0,4504000000.0,235000000.0,3017000000,-18000000.0,268000000.0,723000000.0,,1120000000.0,538000000.0,,864000000.0,,,2221000000.0,,3500000000.0,28000000.0,-34000000.0,1286000000.0,,,2944000000.0,-362000000.0,132000000.0,1085000000.0,0.0,,,4457000000.0,,-374000000.0,2.106667,-300000000.0,541000000.0,5475000000.0,-1355000000.0,87000000.0,,-5185000000.0,172000000.0,,6493000000.0,,298000000.0,,,,,,,
1999-12-31,17281000000.0,-57000000.0,,191000000.0,1.33,-309000000.0,262700000,2905000000,-1701000000.0,837000000.0,903000000.0,,243000000.0,635000000.0,21132000000.0,,,-210000000.0,,352000000.0,1011000000.0,740000000.0,7643000000.0,258518519,0.0,6184000000.0,1967000000.0,-188000000.0,3051000000,-66000000.0,355000000.0,837000000.0,,1116000000.0,349000000.0,,462000000.0,,,2362000000.0,,503000000.0,222000000.0,-100000000.0,1095000000.0,,,3199000000.0,114000000.0,152000000.0,723000000.0,0.0,,,5214000000.0,,-395000000.0,1.35,-271000000.0,349000000.0,6330000000.0,-493000000.0,105000000.0,3359000000.0,-93000000.0,259000000.0,,7070000000.0,,-130000000.0,,,,,,,
2000-12-31,18063000000.0,145000000.0,,560000000.0,1.79,-377000000.0,263000000,3127000000,0.0,1118000000.0,309000000.0,,333000000.0,854000000.0,22251000000.0,,,-226000000.0,,474000000.0,1798000000.0,994000000.0,,260220994,,6019000000.0,1163000000.0,-220000000.0,3388000000,-59000000.0,333000000.0,1118000000.0,,8230000000.0,471000000.0,,739000000.0,,,2325000000.0,,489000000.0,,-70000000.0,1327000000.0,,,3443000000.0,281000000.0,-313000000.0,837000000.0,0.0,,,5190000000.0,,-85000000.0,1.81,-179000000.0,481000000.0,6381000000.0,-137000000.0,140000000.0,3427000000.0,-1036000000.0,264000000.0,,7375000000.0,,-219000000.0,,,,,,,
2001-12-31,18065000000.0,-63000000.0,49000000.0,278000000.0,0.73,-717000000.0,272400000,3077000000,0.0,439000000.0,257000000.0,,156000000.0,399000000.0,22386000000.0,,,-241000000.0,,203000000.0,1694000000.0,526000000.0,,270270270,,6146000000.0,2091000000.0,80000000.0,3521000000,,339000000.0,439000000.0,,7033000000.0,200000000.0,,559000000.0,,,3615000000.0,,529000000.0,,-148000000.0,865000000.0,,,4054000000.0,-679000000.0,-620000000.0,1118000000.0,0.0,,,5813000000.0,,-107000000.0,0.74,-281000000.0,203000000.0,7150000000.0,-616000000.0,127000000.0,3555000000.0,-2319000000.0,293000000.0,,7676000000.0,,-285000000.0,,,,,,,
2002-12-31,20737000000.0,34000000.0,607000000.0,964000000.0,1.64,-954000000.0,282600000,3251000000,0.0,506000000.0,117000000.0,,293000000.0,793000000.0,25334000000.0,,,-233000000.0,,466000000.0,1671000000.0,917000000.0,,280606061,,6587000000.0,2422000000.0,479000000.0,3895000000,-10000000.0,263000000.0,506000000.0,,,463000000.0,,1242000000.0,,865000000.0,3836000000.0,,225000000.0,,-547000000.0,1180000000.0,,,4342000000.0,67000000.0,-596000000.0,439000000.0,0.0,,,6505000000.0,,-111000000.0,1.65,-278000000.0,466000000.0,7905000000.0,-597000000.0,124000000.0,4099000000.0,-2630000000.0,333000000.0,,8822000000.0,,-769000000.0,,,,,,,
2003-12-31,22529000000.0,75000000.0,0.0,1127000000.0,1.97,-861000000.0,317800000,3679000000,0.0,540000000.0,53000000.0,,411000000.0,1110000000.0,27027000000.0,,,-190000000.0,,628000000.0,2095000000.0,1197000000.0,,317258883,,7324000000.0,1656000000.0,272000000.0,4498000000,-6000000.0,314000000.0,540000000.0,,,625000000.0,,1312000000.0,,827000000.0,3815000000.0,,176000000.0,,-507000000.0,1511000000.0,,,4355000000.0,56000000.0,-670000000.0,484000000.0,14000000.0,,,7123000000.0,,-56000000.0,1.97,-185000000.0,663000000.0,8613000000.0,-607000000.0,101000000.0,4509000000.0,-2070000000.0,336000000.0,,9810000000.0,,-89000000.0,,,,,,,
2004-12-31,23226000000.0,-122000000.0,23000000.0,1104000000.0,1.63,-870000000.0,336600000,4031000000,0.0,570000000.0,2000000.0,,303000000.0,880000000.0,28329000000.0,,,-192000000.0,,546000000.0,2115000000.0,1196000000.0,,319411765,,8621000000.0,1944000000.0,451000000.0,5103000000,0.0,309000000.0,570000000.0,,,543000000.0,,1184000000.0,,664000000.0,5099000000.0,,136000000.0,,-369000000.0,1505000000.0,,,5669000000.0,30000000.0,-266000000.0,540000000.0,-180000000.0,,,7406000000.0,,-80000000.0,1.7,-80000000.0,577000000.0,8976000000.0,-923000000.0,136000000.0,4727000000.0,-2840000000.0,339000000.0,,10172000000.0,,-51000000.0,,,,,,,
2005-12-31,22515000000.0,149000000.0,126000000.0,760000000.0,2.17,-1155000000.0,341500000,4573000000,0.0,476000000.0,7000000.0,,323000000.0,965000000.0,27818000000.0,,,-193000000.0,,737000000.0,2105000000.0,1095000000.0,,322368421,,9064000000.0,2548000000.0,-106000000.0,5303000000,-125000000.0,346000000.0,476000000.0,,,735000000.0,,886000000.0,,537000000.0,4806000000.0,,115000000.0,,-586000000.0,1441000000.0,,,5282000000.0,-94000000.0,-204000000.0,570000000.0,-5000000.0,,,6914000000.0,,-81000000.0,2.28,-126000000.0,642000000.0,8742000000.0,-769000000.0,125000000.0,4391000000.0,-3474000000.0,344000000.0,,9837000000.0,,-12000000.0,,,,,,,
2006-12-31,19100000000.0,514000000.0,50000000.0,816000000.0,2.13,-1010000000.0,342100000,4992000000,0.0,281000000.0,42000000.0,,294000000.0,920000000.0,24318000000.0,,,-189000000.0,,720000000.0,2243000000.0,1052000000.0,,317180617,,7575000000.0,1907000000.0,-421000000.0,5218000000,-966000000.0,201000000.0,281000000.0,,,720000000.0,,968000000.0,,504000000.0,4323000000.0,,147000000.0,825000000.0,-460000000.0,1289000000.0,,,4604000000.0,-195000000.0,-964000000.0,476000000.0,-3000000.0,,,6523000000.0,,-138000000.0,2.27,-152000000.0,626000000.0,7902000000.0,-190000000.0,129000000.0,4532000000.0,-2489000000.0,347000000.0,,8954000000.0,-613000000.0,141000000.0,,,,,,,
2007-12-31,18727000000.0,-48000000.0,28000000.0,1119000000.0,2.69,-726000000.0,323000000,5607000000,0.0,584000000.0,252000000.0,,352000000.0,1024000000.0,24948000000.0,149000000.0,,-176000000.0,,864000000.0,1893000000.0,1163000000.0,10916000000.0,298000000,71000000.0,417000000.0,1030000000.0,-104000000.0,6221000000,-523000000.0,205000000.0,584000000.0,17973000000.0,8378000000.0,864000000.0,14553000000.0,1289000000.0,391000000.0,498000000.0,4331000000.0,4174000000.0,204000000.0,-145000000.0,-924000000.0,1367000000.0,921000000.0,3309000000.0,4915000000.0,303000000.0,-579000000.0,281000000.0,-1000000.0,1653000000.0,6975000000.0,6114000000.0,109000000.0,-251000000.0,2.9,-170000000.0,672000000.0,6308000000.0,-463000000.0,138000000.0,4935000000.0,-1125000000.0,361000000.0,204000000.0,7471000000.0,127000000.0,0.0,-1155000000.0,,,,,,
2008-12-31,17630000000.0,-126000000.0,62000000.0,856000000.0,4.91,-1462000000.0,300900000,6816000000,0.0,582000000.0,105000000.0,,242000000.0,863000000.0,22940000000.0,11033000000.0,0.0,-171000000.0,,1462000000.0,1872000000.0,1028000000.0,1560000000.0,285328185,,332000000.0,254000000.0,535000000.0,5310000000,-1740000000.0,222000000.0,582000000.0,14526000000.0,,1462000000.0,12803000000.0,959000000.0,420000000.0,451000000.0,921000000.0,4827000000.0,779000000.0,,-762000000.0,1211000000.0,1143000000.0,11138000000.0,1503000000.0,-2000000.0,-2235000000.0,584000000.0,-39000000.0,1438000000.0,8414000000.0,6381000000.0,118000000.0,-1096000000.0,5.18,-103000000.0,621000000.0,6603000000.0,1404000000.0,126000000.0,5637000000.0,-471000000.0,362000000.0,248000000.0,7631000000.0,,0.0,-987000000.0,7631000000.0,-131000000.0,,,,
2009-12-31,17527000000.0,-915000000.0,51000000.0,235000000.0,2.57,-1675000000.0,291100000,7335000000,0.0,217000000.0,10000000.0,,268000000.0,949000000.0,22958000000.0,11298000000.0,0.0,-165000000.0,,747000000.0,1998000000.0,1021000000.0,1535000000.0,282954545,,319000000.0,422000000.0,-91000000.0,5379000000,,242000000.0,217000000.0,13989000000.0,,747000000.0,12640000000.0,375000000.0,439000000.0,461000000.0,422000000.0,4887000000.0,791000000.0,,-709000000.0,1313000000.0,871000000.0,11095000000.0,639000000.0,-365000000.0,-617000000.0,582000000.0,20000000.0,1489000000.0,8969000000.0,6574000000.0,129000000.0,-274000000.0,2.64,-140000000.0,681000000.0,6574000000.0,-139000000.0,122000000.0,6078000000.0,-158000000.0,363000000.0,209000000.0,7595000000.0,,-478000000.0,-1028000000.0,7595000000.0,138000000.0,,,,
2010-12-31,20676000000.0,-590000000.0,194000000.0,607000000.0,2.37,-1917000000.0,298100000,7861000000,0.0,346000000.0,492000000.0,,300000000.0,1059000000.0,28982000000.0,10687000000.0,0.0,-195000000.0,,706000000.0,4014000000.0,1226000000.0,,292946058,,312000000.0,90000000.0,221000000.0,8251000000,-250000000.0,305000000.0,346000000.0,14519000000.0,,706000000.0,12949000000.0,787000000.0,807000000.0,781000000.0,785000000.0,7727000000.0,3611000000.0,,-816000000.0,1546000000.0,1154000000.0,10647000000.0,1131000000.0,129000000.0,1838000000.0,217000000.0,0.0,1877000000.0,14463000000.0,7286000000.0,663000000.0,-2078000000.0,2.41,-180000000.0,759000000.0,7286000000.0,-2558000000.0,182000000.0,8647000000.0,-390000000.0,386000000.0,221000000.0,8512000000.0,,0.0,-1096000000.0,8512000000.0,76000000.0,,,,
2011-12-31,21432000000.0,-949000000.0,201000000.0,777000000.0,2.87,-2370000000.0,340900000,8594000000,0.0,272000000.0,337000000.0,,378000000.0,1384000000.0,29552000000.0,11265000000.0,0.0,-230000000.0,,979000000.0,4155000000.0,1606000000.0,,335500000,,239000000.0,190000000.0,235000000.0,8078000000,-828000000.0,582000000.0,272000000.0,15505000000.0,,979000000.0,13760000000.0,1018000000.0,721000000.0,783000000.0,785000000.0,7672000000.0,3276000000.0,,-1688000000.0,2211000000.0,1024000000.0,11591000000.0,1057000000.0,-74000000.0,-896000000.0,346000000.0,5000000.0,1971000000.0,14047000000.0,9681000000.0,301000000.0,-97000000.0,2.92,-241000000.0,1006000000.0,9681000000.0,-186000000.0,245000000.0,8770000000.0,-38000000.0,386000000.0,235000000.0,11287000000.0,,-24000000.0,-1188000000.0,11287000000.0,146000000.0,,,,
2012-12-31,22681000000.0,-373000000.0,118000000.0,1150000000.0,2.99,-2610000000.0,332600000,5933000000,0.0,291000000.0,114000000.0,,360000000.0,1381000000.0,30486000000.0,430000000.0,6709000000.0,-204000000.0,,993000000.0,4051000000.0,1596000000.0,1853000000.0,327722772,,165000000.0,618000000.0,212000000.0,7762000000,-1125000000.0,655000000.0,291000000.0,16382000000.0,3101000000.0,993000000.0,15012000000.0,1419000000.0,916000000.0,820000000.0,12560000000.0,7669000000.0,2975000000.0,,-1077000000.0,2264000000.0,1036000000.0,13045000000.0,12851000000.0,19000000.0,-1586000000.0,272000000.0,3000000.0,2189000000.0,14104000000.0,3209000000.0,306000000.0,-162000000.0,3.03,-269000000.0,1021000000.0,3209000000.0,177000000.0,228000000.0,8943000000.0,-12000000.0,3000000.0,212000000.0,11514000000.0,106000000.0,-31000000.0,-1369000000.0,4805000000.0,-95000000.0,,,,
2013-12-31,22056000000.0,-371000000.0,98000000.0,1404000000.0,3.53,-2374000000.0,315400000,5731000000,0.0,477000000.0,703000000.0,475000000.0,390000000.0,1538000000.0,30251000000.0,563000000.0,6945000000.0,-212000000.0,134000000.0,1113000000.0,3686000000.0,1671000000.0,1931000000.0,311764706,,132000000.0,93000000.0,300000000.0,8145000000,-1102000000.0,635000000.0,477000000.0,16330000000.0,2896000000.0,1113000000.0,15411000000.0,1633000000.0,1230000000.0,791000000.0,12394000000.0,6645000000.0,2578000000.0,,-4679000000.0,2383000000.0,932000000.0,12777000000.0,12871000000.0,186000000.0,-1016000000.0,291000000.0,68000000.0,2289000000.0,13921000000.0,3199000000.0,420000000.0,-54000000.0,3.57,-229000000.0,1148000000.0,3199000000.0,-339000000.0,210000000.0,8997000000.0,-189000000.0,3000000.0,300000000.0,11815000000.0,141000000.0,-27000000.0,-1498000000.0,4870000000.0,-14000000.0,,,,
2014-12-31,23141000000.0,-532000000.0,65000000.0,1386000000.0,4.66,-3134000000.0,299600000,4605000000,0.0,374000000.0,783000000.0,408000000.0,334000000.0,1765000000.0,29772000000.0,602000000.0,7014000000.0,-273000000.0,167000000.0,1397000000.0,4799000000.0,1966000000.0,1805000000.0,295348837,,143000000.0,162000000.0,328000000.0,6571000000,-2250000000.0,594000000.0,374000000.0,15823000000.0,2815000000.0,1397000000.0,15014000000.0,1642000000.0,1517000000.0,765000000.0,12032000000.0,8127000000.0,2520000000.0,,-3918000000.0,2614000000.0,874000000.0,12426000000.0,12406000000.0,-103000000.0,-1133000000.0,477000000.0,44000000.0,2311000000.0,13949000000.0,3065000000.0,313000000.0,-479000000.0,4.73,-256000000.0,1431000000.0,3065000000.0,-545000000.0,255000000.0,8860000000.0,-20000000.0,3000000.0,328000000.0,12045000000.0,-25000000.0,4000000.0,-1546000000.0,5031000000.0,-135000000.0,,,,
