date,annualCapitalStock,annualOperatingCashFlow,annualCashFlowFromContinuingFinancingActivities,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualGrossProfit,annualInventory,annualOtherIncomeExpense,annualCurrentLiabilities,annualNetPPE,annualTotalNonCurrentAssets,annualEbitda,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,annualChangeInInventory,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfInvestment,annualDilutedEPS,annualChangesInAccountReceivables,annualDeferredIncomeTax,annualInvestingCashFlow,annualPretaxIncome,annualInterestExpense,annualAccumulatedDepreciation,annualGrossPPE,annualBasicEPS,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,annualGoodwill,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualRepaymentOfDebt,annualOtherCurrentAssets,annualTotalRevenue,annualCostOfRevenue,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualCurrentDebt,annualEndCashPosition,annualTaxProvision,annualOtherShortTermInvestments,annualOperatingIncome,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualDilutedAverageShares,annualInvestmentsAndAdvances,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualNetIncome,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,annualAccountsReceivable,annualBeginningCashPosition,annualLongTermDebt,annualCashDividendsPaid,annualTotalAssets,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualCurrentAssets,annualOtherNonCashItems,annualStockholdersEquity,annualNetIncomeCommonStockholders,annualSaleOfInvestment,annualBasicAverageShares,annualCommonStockIssuance,annualCurrentAccruedExpenses,annualRetainedEarnings,annualNonCurrentDeferredRevenue,annualSellingGeneralAndAdministration,annualIncomeTaxPayable,annualStockBasedCompensation,annualResearchAndDevelopment,annualDepreciationAndAmortization,annualCurrentDeferredRevenue
1997-12-31,4362600000.0,1262200000.0,1828800000.0,321600000.0,,3873300000.0,230700000.0,33700000.0,3625700000.0,12532600000.0,17919700000.0,2226100000,9811200000.0,,15900000.0,2256800000.0,-8500000.0,1.075,,13800000.0,-2880200000.0,632200000.0,663200000.0,-6986600000.0,19519200000.0,1.075,1988700000.0,324600000.0,,210800000.0,-773100000.0,,538000000.0,7677600000,3804300000.0,679300000.0,,,1988700000.0,321600000.0,233000000.0,,1320400000,-17800000.0,399200000,321600000.0,-251000000.0,370400000,,13675300000.0,489100000.0,399200000,2552900000.0,-3300000.0,937500000.0,110800000.0,7196000000.0,-478000000.0,20192700000.0,,3455100000.0,2273000000.0,905700000.0,5729500000.0,399200000,127700000.0,370400000,176200000.0,957700000.0,1354000000.0,,,,,,,
1998-12-31,4622400000.0,1206800000.0,-453300000.0,425600000.0,,3671800000.0,237000000.0,93200000.0,3518600000.0,10636600000.0,15231700000.0,2249700000,7076200000.0,,-24200000.0,2013900000.0,-143400000.0,1.375,,22500000.0,-649500000.0,841600000.0,618500000.0,-7469400000.0,18106000000.0,1.375,1924100000.0,-90400000.0,,104000000.0,-703700000.0,,588400000.0,6086200000,2414400000.0,698500000.0,,,1924100000.0,425600000.0,306000000.0,,1423500000,115900000.0,535600000,425600000.0,-865000000.0,389800000,,10816200000.0,503100000.0,535600000,2248300000.0,-20100000.0,1034300000.0,321600000.0,5070900000.0,-504200000.0,17517000000.0,-98500000.0,4445100000.0,2285300000.0,826200000.0,6004900000.0,535600000,70000000.0,389800000,354300000.0,896000000.0,1386400000.0,,,,,,,
1999-12-31,4070000000.0,1255000000.0,141000000.0,280000000.0,,3715000000.0,254000000.0,91000000.0,2999000000.0,10764000000.0,15555000000.0,2109000000,8857000000.0,,-6000000.0,1845000000.0,-53000000.0,0.74,,64000000.0,-1542000000.0,810000000.0,574000000.0,-7882000000.0,18646000000.0,0.775,1406000000.0,-44000000.0,,-146000000.0,-804000000.0,,725000000.0,5520000000,1805000000.0,711000000.0,,,1406000000.0,280000000.0,259000000.0,,1311000000,-67000000.0,551000000,280000000.0,-576000000.0,400000000,,12387000000.0,451000000.0,296000000,2404000000.0,-15000000.0,933000000.0,426000000.0,6936000000.0,-493000000.0,17747000000.0,-372000000.0,4659000000.0,2192000000.0,-56000000.0,5261000000.0,296000000,35000000.0,382800000,,882000000.0,1190000000.0,,,,,,,
2000-12-31,6488000000.0,1343000000.0,1334000000.0,360000000.0,,5661000000.0,327000000.0,95000000.0,7592000000.0,14849000000.0,23482000000.0,2797000000,13722000000.0,,-62000000.0,2967000000.0,-235000000.0,0.925,,22000000.0,-2597000000.0,598000000.0,1024000000.0,-13162000000.0,28011000000.0,0.925,3573000000.0,-57000000.0,,80000000.0,-1738000000.0,,2821000000.0,9260000000,3599000000.0,1736000000.0,,,3573000000.0,360000000.0,183000000.0,,1529000000,-350000000.0,415000000,360000000.0,1182000000.0,471800000,,21846000000.0,-395000000.0,436000000,4132000000.0,-31000000.0,2358000000.0,280000000.0,10101000000.0,-615000000.0,29348000000.0,-1641000000.0,5131000000.0,5866000000.0,-372000000.0,7501000000.0,436000000,137000000.0,470400000,532000000.0,2283000000.0,1028000000.0,,,,,,,
2001-12-31,7513000000.0,2414000000.0,1905000000.0,486000000.0,,6468000000.0,577000000.0,126000000.0,7478000000.0,18681000000.0,29015000000.0,3107000000,16879000000.0,,-170000000.0,3940000000.0,-104000000.0,1.075,,241000000.0,-4193000000.0,914000000.0,899000000.0,-14424000000.0,33105000000.0,1.085,3213000000.0,8000000.0,,126000000.0,-2168000000.0,,2344000000.0,10558000000,4090000000.0,1776000000.0,,,3213000000.0,486000000.0,370000000.0,,1785000000,-118000000.0,544000000,486000000.0,123000000.0,506046512,,25617000000.0,246000000.0,544000000,4683000000.0,289000000.0,1947000000.0,360000000.0,12119000000.0,-649000000.0,34369000000.0,,6124000000.0,5354000000.0,172000000.0,8752000000.0,544000000,30000000.0,501382488,994000000.0,2489000000.0,922000000.0,,,,,,,
2002-12-31,9308000000.0,2448000000.0,1317000000.0,291000000.0,,6762000000.0,637000000.0,103000000.0,8443000000.0,20257000000.0,31084000000.0,4264000000,17489000000.0,,-55000000.0,4209000000.0,,2.41,,714000000.0,-3960000000.0,2043000000.0,826000000.0,-12374000000.0,32631000000.0,2.425,3318000000.0,-178000000.0,,-195000000.0,-2828000000.0,,2843000000.0,10218000000,3456000000.0,2310000000.0,,,3318000000.0,291000000.0,681000000.0,,2885000000,-811000000.0,1362000000,291000000.0,-776000000.0,565145228,,27439000000.0,-380000000.0,1362000000,3877000000.0,-446000000.0,3054000000.0,486000000.0,12060000000.0,-723000000.0,37909000000.0,-66000000.0,6213000000.0,6825000000.0,-204000000.0,10470000000.0,1362000000,54000000.0,561649485,2420000000.0,2815000000.0,1561000000.0,,,,,,,
2003-12-31,10309000000.0,2355000000.0,853000000.0,126000000.0,,7161000000.0,870000000.0,-40000000.0,8867000000.0,25850000000.0,37005000000.0,3895000000,23845000000.0,,-234000000.0,4563000000.0,-777000000.0,0.5,,452000000.0,-3373000000.0,1546000000.0,849000000.0,-11257000000.0,37107000000.0,0.5,2704000000.0,-42000000.0,,-165000000.0,-3438000000.0,,2266000000.0,12078000000,4917000000.0,2712000000.0,,,2704000000.0,126000000.0,597000000.0,,2561000000,-452000000.0,949000000,126000000.0,537000000.0,636000000,,33391000000.0,-1083000000.0,318000000,4600000000.0,-629000000.0,3919000000.0,291000000.0,15776000000.0,-825000000.0,44186000000.0,,6855000000.0,7181000000.0,22000000.0,10795000000.0,318000000,,636000000,990000000.0,3451000000.0,1054000000.0,,,,,,,
2004-12-31,11145000000.0,2839000000.0,-1320000000.0,389000000.0,,7289000000.0,893000000.0,186000000.0,8056000000.0,26716000000.0,38324000000.0,4150000000,25022000000.0,,-24000000.0,5499000000.0,-490000000.0,1.89,,554000000.0,-1256000000.0,1964000000.0,923000000.0,-11947000000.0,38663000000.0,1.9,1941000000.0,-13000000.0,,263000000.0,-2750000000.0,,2935000000.0,13972000000,6683000000.0,1984000000.0,,,1941000000.0,389000000.0,700000000.0,,2717000000,-347000000.0,1264000000,389000000.0,1255000000.0,660846561,,33763000000.0,89000000.0,1249000000,4572000000.0,-996000000.0,2905000000.0,126000000.0,15507000000.0,-861000000.0,45446000000.0,,7310000000.0,7122000000.0,9000000.0,11683000000.0,1249000000,,657368421,839000000.0,4131000000.0,1442000000.0,,,,,,,
2005-12-31,11543000000.0,2623000000.0,522000000.0,146000000.0,,7491000000.0,1167000000.0,168000000.0,14480000000.0,28940000000.0,42531000000.0,3977000000,26919000000.0,,-220000000.0,4926000000.0,-854000000.0,1.5,,64000000.0,-3360000000.0,1616000000.0,991000000.0,-13123000000.0,42063000000.0,1.51,3948000000.0,-51000000.0,,-215000000.0,-3358000000.0,,5255000000.0,18041000000,10550000000.0,2756000000.0,,,3948000000.0,146000000.0,582000000.0,,2439000000,-423000000.0,1034000000,146000000.0,1134000000.0,688666667,,42006000000.0,-735000000.0,1033000000,5052000000.0,-2564000000.0,3561000000.0,361000000.0,14653000000.0,-923000000.0,52660000000.0,-276000000.0,9293000000.0,10129000000.0,,10654000000.0,1033000000,,684105960,664000000.0,7776000000.0,1550000000.0,,,,,,,
2006-12-31,0.0,4005000000.0,-515000000.0,138000000.0,,9828000000.0,1101000000.0,174000000.0,11229000000.0,29382000000.0,41171000000.0,5084000000,24233000000.0,,3000000.0,5858000000.0,,1.965,,510000000.0,-3494000000.0,2483000000.0,1030000000.0,-14193000000.0,43575000000.0,1.975,4810000000.0,-14000000.0,,-4000000.0,-4052000000.0,,4106000000.0,16482000000,6654000000.0,2142000000.0,,,4810000000.0,142000000.0,920000000.0,,3345000000,193000000.0,1563000000,138000000.0,256000000.0,702290076,,36333000000.0,-47000000.0,1380000000,6483000000.0,-425000000.0,2753000000.0,146000000.0,14791000000.0,-970000000.0,49269000000.0,-540000000.0,6863000000.0,8098000000.0,530000000.0,12913000000.0,1380000000,,698734177,479000000.0,4277000000.0,1960000000.0,,,,,,,
2007-12-31,0.0,-246000000.0,-9801000000.0,283000000.0,,8958000000.0,1045000000.0,3737000000.0,7746000000.0,21352000000.0,32467000000.0,3465000000,20463000000.0,,52000000.0,4253000000.0,-1355000000.0,3.88,,-1285000000.0,10192000000.0,4488000000.0,1175000000.0,-11979000000.0,33331000000.0,3.9,3234000000.0,24000000.0,,145000000.0,-3972000000.0,,2972000000.0,15674000000,6716000000.0,1734000000.0,,,3234000000.0,287000000.0,1783000000.0,,1932000000,21000000.0,2705000000,283000000.0,6000000.0,654381443,,29689000000.0,-4218000000.0,2539000000,7026000000.0,-12000000.0,2356000000.0,142000000.0,13235000000.0,-931000000.0,39123000000.0,-5768000000.0,7021000000.0,6656000000.0,898000000.0,9406000000.0,2539000000,1285000000.0,651025641,226000000.0,2778000000.0,3510000000.0,,,,,,,
2008-12-31,0.0,2659000000.0,615000000.0,66000000.0,,8518000000.0,1166000000.0,-100000000.0,7794000000.0,23274000000.0,34392000000.0,4859000000,22981000000.0,,-116000000.0,4137000000.0,-1355000000.0,3.16,,269000000.0,-3490000000.0,2715000000.0,853000000.0,-12174000000.0,35448000000.0,3.17,2474000000.0,-18000000.0,,-216000000.0,-3554000000.0,,3870000000.0,16290000000,7772000000.0,1499000000.0,,,2474000000.0,71000000.0,879000000.0,,3668000000,-977000000.0,1836000000,66000000.0,-297000000.0,580379747,,31976000000.0,-895000000.0,1834000000,4850000000.0,-269000000.0,2559000000.0,287000000.0,14956000000.0,-916000000.0,42053000000.0,,6903000000.0,7661000000.0,173000000.0,10077000000.0,1834000000,1394000000.0,578548896,240000000.0,3821000000.0,4170000000.0,,,,,,,
2009-12-31,0.0,3786000000.0,-112000000.0,1176000000.0,693000000.0,8054000000.0,1185000000.0,181000000.0,6833000000.0,25592000000.0,35737000000.0,4129000000,3294000000.0,-43000000.0,-10000000.0,4244000000.0,-1511000000.0,2.17,458000000.0,-494000000.0,-3695000000.0,1916000000.0,894000000.0,-13444000000.0,39036000000.0,2.17,2324000000.0,-25000000.0,3354000000.0,-21000000.0,-3837000000.0,-1182000000.0,1871000000.0,15131000000,7077000000.0,1401000000.0,24536000000.0,-156000000.0,2432000000.0,50000000.0,612000000.0,1128000000.0,2629000000,531000000.0,1304000000,48000000.0,218000000.0,593700000,3492000000.0,31369000000.0,-51000000.0,1287000000,5425000000.0,-211000000.0,2050000000.0,71000000.0,15481000000.0,-1056000000.0,42554000000.0,0.0,1904000000.0,6817000000.0,657000000.0,11185000000.0,1287000000,1478000000.0,593300000,456000000.0,676000000.0,4686000000.0,,,,,,,
2010-12-31,0.0,1825000000.0,-2232000000.0,62000000.0,642000000.0,8544000000.0,1163000000.0,169000000.0,5781000000.0,26713000000.0,37060000000.0,7127000000,590000000.0,,35000000.0,4708000000.0,-2853000000.0,4.76,-60000000.0,682000000.0,419000000.0,5037000000.0,832000000.0,-13142000000.0,39855000000.0,4.833046,3898000000.0,-19000000.0,3141000000.0,12000000.0,-3422000000.0,-1157000000.0,913000000.0,15197000000,6653000000.0,1562000000.0,25048000000.0,119000000.0,1883000000.0,62000000.0,2057000000.0,0.0,-953000000,181000000.0,2980000000,62000000.0,-350000000.0,590100000,3752000000.0,30829000000.0,-1597000000.0,2808000000,9497000000.0,-330000000.0,2158000000.0,50000000.0,15758000000.0,-1076000000.0,42862000000.0,-900000000.0,1012000000.0,5802000000.0,-801000000.0,12033000000.0,2808000000,2814000000.0,581000000,74000000.0,981000000.0,6418000000.0,,,,,,,
2011-12-31,0.0,2983000000.0,378000000.0,102000000.0,637000000.0,7967000000.0,1348000000.0,179000000.0,6962000000.0,29670000000.0,40184000000.0,4328000000,613000000.0,,-185000000.0,5216000000.0,-1828000000.0,2.45,365000000.0,756000000.0,-3321000000.0,2171000000.0,869000000.0,-13320000000.0,42990000000.0,2.46,790000000.0,-25000000.0,3141000000.0,40000000.0,-3652000000.0,-637000000.0,978000000.0,14379000000,6412000000.0,1250000000.0,27149000000.0,-413000000.0,3293000000.0,102000000.0,745000000.0,0.0,2861000000,-566000000.0,1426000000,102000000.0,402000000.0,574600000,3844000000.0,34111000000.0,-669000000.0,1408000000,5106000000.0,-610000000.0,1780000000.0,62000000.0,17394000000.0,-1146000000.0,45614000000.0,-601000000.0,829000000.0,5430000000.0,-204000000.0,11446000000.0,1408000000,1757000000.0,573100000,38000000.0,678000000.0,6697000000.0,,,,,,,
2012-12-31,0.0,4137000000.0,-151000000.0,248000000.0,536000000.0,2913000000.0,1259000000.0,223000000.0,7763000000.0,30773000000.0,41698000000.0,2822000000,556000000.0,,33000000.0,5800000000.0,-1392000000.0,0.53,292000000.0,95000000.0,-3840000000.0,497000000.0,882000000.0,-13548000000.0,44321000000.0,0.53,1355000000.0,-14000000.0,3130000000.0,146000000.0,-4145000000.0,-1675000000.0,499000000.0,13093000000,10180000000.0,1137000000.0,28450000000.0,-61000000.0,4635000000.0,248000000.0,146000000.0,,1156000000,426000000.0,351000000,248000000.0,226000000.0,573900000,4158000000.0,36213000000.0,-8000000.0,302000000,1757000000.0,-877000000.0,1621000000.0,102000000.0,16851000000.0,-1225000000.0,46838000000.0,0.0,682000000.0,5140000000.0,-155000000.0,10568000000.0,302000000,1356000000.0,572900000,265000000.0,636000000.0,5790000000.0,,,,,,,
2013-12-31,0.0,3433000000.0,93000000.0,316000000.0,560000000.0,5087000000.0,1176000000.0,265000000.0,6994000000.0,32628000000.0,44156000000.0,4971000000,793000000.0,,-29000000.0,7114000000.0,-1493000000.0,2.93,-98000000.0,732000000.0,-3458000000.0,2704000000.0,877000000.0,-14341000000.0,46969000000.0,2.93,1771000000.0,-1013000000.0,3086000000.0,68000000.0,-4104000000.0,-2388000000.0,335000000.0,13120000000,8033000000.0,1168000000.0,31460000000.0,50000000.0,3446000000.0,316000000.0,892000000.0,,3316000000,-206000000.0,1812000000,316000000.0,38000000.0,579500000,5102000000.0,38454000000.0,-671000000.0,1697000000,1771000000.0,-324000000.0,1695000000.0,248000000.0,19330000000.0,-1319000000.0,50096000000.0,0.0,610000000.0,5940000000.0,-129000000.0,11642000000.0,1697000000,1476000000.0,578700000,278000000.0,609000000.0,6183000000.0,,,,,,,
2014-12-31,0.0,3439000000.0,1744000000.0,318000000.0,570000000.0,4555000000.0,1410000000.0,250000000.0,7198000000.0,36270000000.0,48712000000.0,4531000000,1003000000.0,-206000000.0,-43000000.0,7444000000.0,-1241000000.0,2.24,131000000.0,449000000.0,-5181000000.0,1778000000.0,1193000000.0,-15136000000.0,51406000000.0,2.25,1530000000.0,-125000000.0,3044000000.0,2000000.0,-5345000000.0,-4393000000.0,464000000.0,12436000000,7881000000.0,952000000.0,35172000000.0,-202000000.0,4150000000.0,318000000.0,452000000.0,,2721000000,-342000000.0,1326000000,318000000.0,44000000.0,584500000,5561000000.0,42370000000.0,-1906000000.0,1310000000,1834000000.0,-416000000.0,1514000000.0,316000000.0,21805000000.0,-1409000000.0,54327000000.0,-259000000.0,669000000.0,5615000000.0,666000000.0,11555000000.0,1310000000,1235000000.0,582700000,597000000.0,566000000.0,6095000000.0,,,,,,,
2015-12-31,0.0,4475000000.0,2317000000.0,607000000.0,570000000.0,5482000000.0,1348000000.0,196000000.0,8120000000.0,41554000000.0,54606000000.0,5401000000,674000000.0,-915000000.0,-26000000.0,7414000000.0,-1326000000.0,3.2,294000000.0,854000000.0,-6503000000.0,2828000000.0,904000000.0,-16222000000.0,57776000000.0,3.21,1544000000.0,63000000.0,3294000000.0,289000000.0,-5575000000.0,-1292000000.0,398000000.0,11683000000,6201000000.0,726000000.0,37075000000.0,-199000000.0,5335000000.0,607000000.0,905000000.0,,3536000000,95000000.0,1923000000,607000000.0,-106000000.0,593700000,5774000000.0,45195000000.0,-1100000000.0,1899000000,1946000000.0,-474000000.0,1200000000.0,318000000.0,23616000000.0,-1536000000.0,58797000000.0,0.0,606000000.0,4191000000.0,57000000.0,12664000000.0,1899000000,1340000000.0,592400000,786000000.0,515000000.0,6458000000.0,,,,,,,
2016-12-31,0.0,4127000000.0,6230000000.0,261000000.0,618000000.0,5782000000.0,1524000000.0,250000000.0,8115000000.0,49964000000.0,67362000000.0,5436000000,852000000.0,-4421000000.0,1000000.0,8602000000.0,-1504000000.0,3.380573,-286000000.0,513000000.0,-10703000000.0,2867000000.0,1010000000.0,-19592000000.0,69556000000.0,3.380573,1453000000.0,-25000000.0,6399000000.0,-346000000.0,-6085000000.0,-4064000000.0,423000000.0,11733000000,5951000000.0,1000000000.0,46655000000.0,97000000.0,4864000000.0,261000000.0,655000000.0,,3627000000,-486000000.0,2212000000,261000000.0,-125000000.0,628000000,6343000000.0,54770000000.0,-1958000000.0,2123000000,2155000000.0,-799000000.0,1523000000.0,607000000.0,30231000000.0,-1727000000.0,71610000000.0,0.0,487000000.0,4248000000.0,89000000.0,14605000000.0,2123000000,1422000000.0,628000000,3124000000.0,798000000.0,6854000000.0,,,,,,,
2017-12-31,0.0,4502000000.0,1303000000.0,120000000.0,685000000.0,6510000000.0,1477000000.0,358000000.0,9636000000.0,53758000000.0,72251000000.0,6497000000,863000000.0,-775000000.0,15000000.0,4523000000.0,-1940000000.0,4.72,-103000000.0,-3000000.0,-5942000000.0,3090000000.0,1205000000.0,-21065000000.0,74823000000.0,4.72,1537000000.0,-287000000.0,6405000000.0,-137000000.0,-5504000000.0,-1822000000.0,691000000.0,12586000000,6076000000.0,875000000.0,47579000000.0,-89000000.0,6376000000.0,185000000.0,-30000000.0,,3937000000,-759000000.0,3120000000,120000000.0,101000000.0,636000000,6964000000.0,57215000000.0,-1002000000.0,2999000000,2573000000.0,-659000000.0,1660000000.0,322000000.0,30948000000.0,-1931000000.0,76585000000.0,,581000000.0,4334000000.0,-68000000.0,17142000000.0,2999000000,1831000000.0,636000000,1320000000.0,848000000.0,7936000000.0,,,,,,,
