date,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualCommonStockIssuance,annualGainsLossesNotAffectingRetainedEarnings,annualTotalRevenue,annualNetOtherInvestingChanges,annualRetainedEarnings,annualPretaxIncome,annualLongTermDebt,annualCurrentDeferredRevenue,annualOtherCurrentAssets,annualTaxProvision,annualCostOfRevenue,annualTotalAssets,annualEndCashPosition,annualNetIncome,annualCurrentDebt,annualCashDividendsPaid,annualOperatingIncome,annualAccountsPayable,annualRepurchaseOfCapitalStock,annualOtherNonCashItems,annualSaleOfInvestment,annualInvestmentsAndAdvances,annualStockholdersEquity,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,annualCurrentAssets,annualAccountsReceivable,annualNetPPE,annualCurrentLiabilities,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,annualOperatingCashFlow,annualBasicAverageShares,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualRepaymentOfDebt,annualEbitda,annualOtherNonCurrentLiabilities,annualBasicEPS,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,annualCashFlowFromContinuingFinancingActivities,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualGrossPPE,annualSellingGeneralAndAdministration,annualPurchaseOfBusiness,annualNonCurrentDeferredTaxesLiabilities,annualDilutedAverageShares,annualInvestingCashFlow,annualOperatingExpense,annualChangeInInventory,annualPurchaseOfInvestment,annualNetIncomeContinuousOperations,annualCapitalExpenditure,annualInterestExpense,annualChangesInAccountReceivables,annualDilutedEPS,annualCapitalStock,annualGoodwill,annualStockBasedCompensation,annualDeferredIncomeTax,annualNetOtherFinancingCharges,annualAccumulatedDepreciation,annualInventory,annualGrossProfit,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,annualResearchAndDevelopment,annualOtherShortTermInvestments
1989-12-31,,,,,,172800000,,,,,,,,,,,25300000,,,172800000,,,,,,,,,,,,,,23100000,,,,23590000,,,,172800000,,0.485,,,,,,,,,,,,23590000,,,,,25300000,,,,0.485,,,,,,,,,,,,
1990-12-31,,,,,,172500000,,,,,,,,,,,24900000,,,172500000,,,,,,,,,,,,,,22800000,,,,22446000,,,,172500000,,0.5,,,,,,,,,,,,22446000,,,,,24900000,,,,0.5,,,,,,,,,,,,
1991-12-31,,,,,,179700000,,,,,,,,,,,26100000,,,179700000,,,,,,,,,,,,,,24100000,,,,22370000,,,,179700000,,0.54,,,,,,,,,,,,22370000,,,,,26100000,,,,0.54,,,,,,,,,,,,
1992-12-31,,,,,,209500000,,,,,,,,,,,26500000,,,209500000,,,,,,,,,,,,,,24200000,,,,22360000,,,,209500000,,0.545,,,,,,,,,,,,22360000,,,,,26500000,,,,0.545,,,,,,,,,,,,
1993-12-31,,,,,,265200000,,,,,,,,,,,27400000,,,265200000,,,,,,,,,,,,,,24900000,,,,22360000,,,,265200000,,0.56,,,,,,,,,,,,22360000,,,,,27400000,,,,0.56,,,,,,,,,,,,
1994-12-31,-2200000.0,363600000.0,21100000.0,,,287500000,-100000.0,90400000.0,44400000.0,162200000.0,,11800000.0,15900000.0,61000000.0,579000000.0,1900000.0,28500000,11600000.0,-21600000.0,56500000,22500000.0,,25800000.0,100000.0,,215400000.0,,1900000.0,23800000.0,65400000.0,32200000.0,457300000.0,57900000.0,26100000,43900000.0,,51800000.0,22360000,,,,82400000,268200000.0,1.17,11600000.0,1900000.0,-2000000.0,3800000.0,-24100000.0,513600000.0,1500000.0,745200000.0,,,117100000.0,22360000,-29700000.0,170000000.0,,-1600000.0,28500000,-30700000.0,13700000.0,,1.17,94700000.0,,,1400000.0,0.0,-287900000.0,19500000.0,226500000.0,,,,
1995-12-31,-2500000.0,386200000.0,15200000.0,,,328600000,-100000.0,98000000.0,45500000.0,168300000.0,,14700000.0,16600000.0,62200000.0,609200000.0,1900000.0,28900000,13700000.0,-22000000.0,59700000,27800000.0,,28600000.0,13200000.0,,223000000.0,,1900000.0,25800000.0,78800000.0,39500000.0,477700000.0,67300000.0,26500000,20400000.0,,58100000.0,22360000,,,,88300000,283400000.0,1.19,13700000.0,1900000.0,0.0,1900000.0,-28900000.0,530400000.0,600000.0,785900000.0,,,120400000.0,22360000,-29200000.0,206700000.0,,-1800000.0,28900000,-42900000.0,15200000.0,,1.19,94700000.0,,,800000.0,-100000.0,-308200000.0,22700000.0,266400000.0,,,,
1996-12-31,1800000.0,430300000.0,-6900000.0,1100000.0,,361700000,100000.0,105900000.0,44000000.0,160500000.0,,14500000.0,14000000.0,56300000.0,662300000.0,1200000.0,30000000,67700000.0,-22500000.0,58200000,26600000.0,,34700000.0,2200000.0,,232000000.0,,1200000.0,24400000.0,80300000.0,37600000.0,519900000.0,118700000.0,27600000,26300000.0,,67100000.0,22364000,,,,93000000,278500000.0,1.235,67700000.0,1200000.0,-600000.0,1900000.0,9900000.0,582000000.0,2400000.0,847600000.0,,,118300000.0,22364000,-77700000.0,247200000.0,,-10600000.0,30000000,-74000000.0,16600000.0,,1.235,94900000.0,,,-5300000.0,0.0,-327700000.0,27000000.0,305400000.0,,,,
1997-12-31,700000.0,406400000.0,27400000.0,6300000.0,400000.0,394300000,-500000.0,115900000.0,46600000.0,190000000.0,,12800000.0,14300000.0,55800000.0,655400000.0,5300000.0,32300000,14400000.0,-24300000.0,59000000,28400000.0,,39300000.0,800000.0,,249000000.0,,5300000.0,23900000.0,85800000.0,40100000.0,509700000.0,66700000.0,29900000,26000000.0,,69400000.0,23278000,,,,98300000,309000000.0,1.29,14400000.0,5300000.0,3200000.0,2100000.0,-45400000.0,569600000.0,6100000.0,860300000.0,,,116300000.0,23278000,-20900000.0,279500000.0,,,32300000,-42000000.0,18500000.0,,1.29,97500000.0,,,-3200000.0,-300000.0,-350600000.0,27600000.0,338500000.0,,,,
1998-12-31,-6600000.0,391700000.0,33300000.0,5500000.0,300000.0,431100000,-1600000.0,125500000.0,45800000.0,181000000.0,,20300000.0,15100000.0,74800000.0,655600000.0,3900000.0,34500000,6600000.0,-25000000.0,57300000,32400000.0,,39000000.0,,,263900000.0,,3900000.0,24200000.0,98800000.0,48100000.0,500200000.0,63200000.0,32100000,24500000.0,,64000000.0,23596000,,,,92300000,299300000.0,1.365,6600000.0,3900000.0,-1400000.0,5300000.0,-36500000.0,556800000.0,4200000.0,870500000.0,,,108500000.0,23596000,-28900000.0,299000000.0,,,30700000,-30700000.0,15600000.0,,1.365,98200000.0,,,-6300000.0,-200000.0,-370300000.0,26500000.0,356300000.0,,,,
1999-12-31,13800000.0,401600000.0,45600000.0,1800000.0,-300000.0,464500000,0.0,126700000.0,68900000.0,176400000.0,,18700000.0,23900000.0,81000000.0,680800000.0,24800000.0,45000000,5900000.0,-25800000.0,67300000,39300000.0,-5300000.0,34800000.0,,,279200000.0,,24800000.0,32100000.0,119900000.0,46300000.0,503000000.0,77300000.0,42800000,25700000.0,,78300000.0,47662000,,,,102100000,296600000.0,0.895,5900000.0,24800000.0,20800000.0,3900000.0,-34800000.0,560900000.0,16300000.0,889600000.0,,,104300000.0,47662000,-22700000.0,316200000.0,,,45000000,-32700000.0,14800000.0,,0.895,152800000.0,,,-3800000.0,-100000.0,-386600000.0,30100000.0,383500000.0,,,,
2000-12-31,-14046000.0,429236000.0,16245000.0,14000.0,-397000.0,559445000,0.0,140512000.0,57739000.0,191493000.0,,21613000.0,17515000.0,104667000.0,722115000.0,1259000.0,40224000,10266000.0,-26455000.0,72490000,48808000.0,,,,,292879000.0,,1259000.0,29753000.0,124217000.0,62828000.0,515929000.0,88827000.0,38346000,29199000.0,,60280000.0,23850000,,,,110739000,314679000.0,1.61,10266000.0,1259000.0,-23503000.0,24762000.0,-7177000.0,597898000.0,1832000.0,926117000.0,,,101272000.0,23928000,-76606000.0,382288000.0,,-86000.0,40224000,-44035000.0,16583000.0,,1.6,152764000.0,,,-4530000.0,0.0,-410188000.0,38517000.0,454778000.0,,,,
2001-12-31,1438000.0,487733000.0,23933000.0,1347000.0,-600000.0,654132000,-1884000.0,156641000.0,63686000.0,227360000.0,,23953000.0,20083000.0,141267000.0,782541000.0,11378000.0,43603000,28946000.0,-27344000.0,77484000,54777000.0,-18000000.0,,,,294808000.0,,11378000.0,27069000.0,143894000.0,69262000.0,542977000.0,110792000.0,41610000,33696000.0,,77529000.0,24600000,,,,119584000,353092000.0,1.69,28946000.0,11378000.0,10119000.0,1259000.0,-6280000.0,638647000.0,2193000.0,984840000.0,,,99526000.0,24832000,-61130000.0,435381000.0,,,43603000,-53596000.0,15991000.0,,1.68,138767000.0,,,-1441000.0,0.0,-441863000.0,39301000.0,512865000.0,,,,
2002-12-31,-8988000.0,549771000.0,1264000.0,3091000.0,10200000.0,710116000,5000.0,175304000.0,66189000.0,258229000.0,,26986000.0,20061000.0,138816000.0,878736000.0,9937000.0,46128000,37690000.0,-27465000.0,81982000,52430000.0,,,,,328965000.0,,9937000.0,34104000.0,164213000.0,83136000.0,587886000.0,124224000.0,45392000,36135000.0,,76797000.0,25176000,,,,124595000,403632000.0,1.8,37690000.0,9937000.0,-1441000.0,11378000.0,1419000.0,714523000.0,2057000.0,1055645000.0,,,106929000.0,25397000,-79657000.0,489318000.0,,,46128000,-75533000.0,17850000.0,,1.79,143461000.0,,,2669000.0,-2677000.0,-467759000.0,44154000.0,571300000.0,,,,
2003-12-31,-13508000.0,637036000.0,26221000.0,1072000.0,18773000.0,753239000,1601000.0,186495000.0,54586000.0,265193000.0,,33374000.0,14930000.0,87165000.0,986423000.0,7305000.0,39656000,39718000.0,-28937000.0,71160000,83338000.0,,,,,349387000.0,,7305000.0,39323000.0,213109000.0,115464000.0,633325000.0,162379000.0,38921000,35987000.0,,76955000.0,25673000,,,,117122000,420101000.0,1.52,39718000.0,7305000.0,-2632000.0,9937000.0,-19179000.0,773314000.0,1292000.0,1087116000.0,,,113226000.0,25826000,-60408000.0,594914000.0,,,39656000,-50734000.0,17866000.0,,1.51,144119000.0,,,3078000.0,-98000.0,-453791000.0,56966000.0,666074000.0,,,,
2004-12-31,-29731000.0,689438000.0,10132000.0,78780000.0,-2967000.0,882324000,-257000.0,199427000.0,56984000.0,263642000.0,,65014000.0,17004000.0,92154000.0,1134148000.0,0.0,42195000,46005000.0,-29263000.0,74436000,86631000.0,-349000.0,,,,444710000.0,,,48877000.0,273524000.0,131214000.0,682098000.0,181513000.0,41459000,42655000.0,,59924000.0,26089000,,,,118780000,440539000.0,1.59,46005000.0,,-7311000.0,7311000.0,52677000.0,860624000.0,820000.0,1122748000.0,,,132082000.0,26207000,-119118000.0,715734000.0,,,39980000,-49792000.0,18272000.0,,1.58,160385000.0,,,3854000.0,-1126000.0,-440650000.0,77296000.0,790170000.0,,,,
2005-12-31,-6099000.0,700308000.0,35831000.0,9690000.0,-6601000.0,1046408000,38980000.0,228515000.0,80822000.0,258260000.0,,49381000.0,27967000.0,114755000.0,1181496000.0,5430000.0,62551000,19340000.0,-33463000.0,97594000,106570000.0,-939000.0,,4171000.0,,481188000.0,,5430000.0,61069000.0,305175000.0,140145000.0,697091000.0,186979000.0,61816000,33824000.0,,95800000.0,29223000,,,,144052000,440878000.0,2.12,19340000.0,5430000.0,5430000.0,0.0,-61991000.0,876321000.0,1786000.0,1156529000.0,,,123064000.0,29348000,-28041000.0,834059000.0,-12500000.0,,52855000,-59969000.0,18558000.0,,2.11,162506000.0,,,-9223000.0,-6325000.0,-459438000.0,88677000.0,931653000.0,,,,
2006-12-31,14943000.0,751125000.0,10798000.0,2444000.0,188000.0,1104954000,7193000.0,245005000.0,77856000.0,255436000.0,,41900000.0,27106000.0,117010000.0,1258650000.0,6791000.0,51112000,42025000.0,-34621000.0,97797000,120195000.0,-463000.0,4933000.0,,,507525000.0,,6791000.0,53237000.0,335353000.0,145276000.0,718609000.0,215457000.0,50376000,29946000.0,,80246000.0,29394000,,,,147780000,463612000.0,1.71,42025000.0,6791000.0,1361000.0,5430000.0,-13347000.0,923297000.0,-440000.0,1198166000.0,,,120921000.0,29664000,-65581000.0,890147000.0,-14345000.0,-3326000.0,50750000,-69448000.0,19501000.0,,1.7,163109000.0,,,-1258000.0,-469000.0,-479557000.0,103002000.0,987944000.0,,,,
2007-12-31,-28511000.0,916607000.0,-77173000.0,7733000.0,1181000.0,1238887000,4741000.0,263332000.0,81929000.0,342694000.0,,55000000.0,27968000.0,135172000.0,1454754000.0,39824000.0,53961000,98004000.0,-35516000.0,100774000,141390000.0,-305000.0,4003000.0,,,538147000.0,,39824000.0,54565000.0,400652000.0,166380000.0,854024000.0,293959000.0,53225000,34557000.0,,84812000.0,29681000,,,,153604000,543182000.0,1.79,98004000.0,39824000.0,33033000.0,6791000.0,113208000.0,1054102000.0,2012000.0,1360768000.0,,,122574000.0,29970000,-163994000.0,1002941000.0,8407000.0,,53961000,-161985000.0,20857000.0,,1.78,164749000.0,,,4366000.0,-1762000.0,-506744000.0,97214000.0,1103715000.0,,,,
2008-12-31,-27310000.0,1001069000.0,-154567000.0,162978000.0,-3000000.0,1311197000,8178000.0,260364000.0,50162000.0,339726000.0,,81276000.0,15037000.0,128259000.0,1692587000.0,7565000.0,35125000,138661000.0,-38093000.0,72992000,113422000.0,-91000.0,-2517000.0,,,691518000.0,,7565000.0,52661000.0,393011000.0,136609000.0,1037569000.0,304744000.0,34389000,30157000.0,,111321000.0,31409000,,,,138052000,597353000.0,1.09,138661000.0,7565000.0,-32259000.0,39824000.0,154639000.0,1299576000.0,4128000.0,1585639000.0,,,157374000.0,31673000,-299384000.0,1109946000.0,-743000.0,,35125000,-265888000.0,26958000.0,,1.09,192423000.0,,,40665000.0,-7670000.0,-548070000.0,101955000.0,1182938000.0,,,,
2009-12-31,17852000.0,1066462000.0,-14375000.0,7420000.0,-1315000.0,1039512000,-5706000.0,243352000.0,21426000.0,436170000.0,,31105000.0,-4605000.0,677528000.0,1754678000.0,4432000.0,26031000,66638000.0,-43043000.0,47015000,83724000.0,-252000.0,-1691000.0,30182000.0,9889000.0,688216000.0,73608000.0,4432000.0,45376000.0,350023000.0,106630000.0,1098627000.0,207042000.0,25295000,26098000.0,33887000.0,162750000.0,35463097,-34490000.0,859420000.0,-156211000.0,123548000,23259000.0,0.71,0.0,4432000.0,-3133000.0,7565000.0,-17086000.0,1404655000.0,2925000.0,1698466000.0,1625000.0,0.0,202966000.0,35716981,-147740000.0,314969000.0,16344000.0,,26031000,-177125000.0,28514000.0,,0.71,194561000.0,106778000.0,3563000.0,42461000.0,0.0,-599839000.0,86515000.0,361984000.0,,,,
2010-12-31,5023000.0,1138692000.0,19428000.0,549000.0,1487000.0,1119084000,3065000.0,198443000.0,2607000.0,435446000.0,,105541000.0,3951000.0,718846000.0,1770555000.0,0.0,-1344000,80094000.0,-43698000.0,54253000,123095000.0,-543000.0,12093000.0,,9708000.0,631863000.0,80696000.0,0.0,31236000.0,369432000.0,155365000.0,1108651000.0,264590000.0,-2177000,33800000.0,27132000.0,105017000.0,35783555,,874102000.0,-61030000.0,120335000,22124000.0,-0.06,17991000.0,0.0,-4432000.0,4432000.0,-23716000.0,1401123000.0,-14614000.0,1770487000.0,0.0,0.0,218706000.0,35783555,-85167000.0,345985000.0,-8022000.0,-2643000.0,-1344000,-85589000.0,37032000.0,,-0.06,180014000.0,94066000.0,2923000.0,5886000.0,9006000.0,-661836000.0,95016000.0,400238000.0,,,,
2011-12-31,-34702000.0,1129074000.0,30706000.0,0.0,-3432000.0,1077850000,2625000.0,141248000.0,19207000.0,471915000.0,,59312000.0,2087000.0,759164000.0,1700522000.0,14652000.0,-13243000,3033000.0,-43923000.0,55902000,115514000.0,-1182000.0,-2661000.0,,11093000.0,571448000.0,70000000.0,14652000.0,5540000.0,399596000.0,116522000.0,1077549000.0,187504000.0,-14301000,26997000.0,15286000.0,104383000.0,35922155,,941570000.0,-100958000.0,125025000,19522000.0,-0.4,32533000.0,14652000.0,14652000.0,0.0,-93676000.0,1300926000.0,-877000.0,1737293000.0,0.0,,210446000.0,35922155,5423000.0,262784000.0,-5974000.0,,17120000,-73677000.0,35818000.0,,-0.4,180509000.0,39406000.0,2177000.0,10906000.0,-10129000.0,-659744000.0,77983000.0,318686000.0,,,,
2012-12-31,52593000.0,1064863000.0,117785000.0,0.0,-4385000.0,859239000,4889000.0,92221000.0,41101000.0,421680000.0,16204000.0,33660000.0,2133000.0,664395000.0,1602337000.0,52362000.0,-5273000,176000.0,-43976000.0,82459000,88406000.0,-111000.0,3332000.0,,9471000.0,537474000.0,59764000.0,52362000.0,26905000.0,323632000.0,91170000.0,1049452000.0,173128000.0,-6009000,26222000.0,14305000.0,233547000.0,36047984,30056000.0,891735000.0,-62724000.0,132770000,22244000.0,-0.17,29390000.0,52362000.0,36368000.0,15994000.0,-108078000.0,1278705000.0,-9453000.0,1687287000.0,,,203086000.0,36242224,-83577000.0,112385000.0,-687000.0,-1037000.0,38968000,-115762000.0,31905000.0,2430000.0,-0.17,196342000.0,38971000.0,1311000.0,9368000.0,-1267000.0,-637835000.0,69336000.0,194844000.0,,,,
2013-12-31,26076000.0,1040158000.0,-16383000.0,1522000.0,-1728000.0,893313000,3764000.0,99441000.0,63717000.0,389589000.0,13707000.0,25687000.0,13543000.0,684647000.0,1574988000.0,1150000.0,50865000,51383000.0,-43818000.0,96851000,113457000.0,-15723000.0,-1182000.0,,9362000.0,534830000.0,59885000.0,1150000.0,26435000.0,229559000.0,83572000.0,1167016000.0,232892000.0,50352000,28834000.0,13328000.0,148080000.0,36151364,11321000.0,807266000.0,-82870000.0,150580000,25209000.0,1.39,15419000.0,1150000.0,-51212000.0,52362000.0,-49319000.0,1345429000.0,-6156000.0,1843217000.0,,,202860000.0,36354947,-149197000.0,111815000.0,-3345000.0,-1845000.0,50174000,-164463000.0,26978000.0,8335000.0,1.39,181358000.0,38971000.0,1456000.0,14276000.0,-525000.0,-676201000.0,72681000.0,208666000.0,,,,
2014-12-31,3152000.0,1218513000.0,-51108000.0,26259000.0,-4663000.0,799262000,2467000.0,112903000.0,73440000.0,498489000.0,,32460000.0,16557000.0,595676000.0,1791279000.0,0.0,57723000,11055000.0,-44261000.0,99531000,107013000.0,-590000.0,-942000.0,,8582000.0,572766000.0,58074000.0,0.0,28049000.0,307149000.0,60172000.0,1268530000.0,201699000.0,57723000,30111000.0,11251000.0,112474000.0,36514397,10296000.0,1016814000.0,-41088000.0,161162000,26794000.0,1.58,41789000.0,0.0,-2007000.0,2007000.0,49686000.0,1484130000.0,3557000.0,1968948000.0,,,257194000.0,36752559,-164496000.0,104055000.0,-12577000.0,-2785000.0,56883000,-163582000.0,29648000.0,-4647000.0,1.57,186090000.0,31488000.0,1783000.0,26300000.0,-293000.0,-700418000.0,85203000.0,203586000.0,,,,
2015-12-31,14717000.0,1215881000.0,-42544000.0,14233000.0,-3898000.0,779804000,3590000.0,126025000.0,80231000.0,445945000.0,,27357000.0,21642000.0,570206000.0,1820904000.0,0.0,59345000,133216000.0,-46223000.0,109214000,89499000.0,-1596000.0,-1383000.0,,8284000.0,605023000.0,60363000.0,0.0,31399000.0,206689000.0,62974000.0,1387814000.0,271238000.0,59345000,31108000.0,15673000.0,117540000.0,37494986,-13275000.0,944643000.0,-212000.0,171754000,23854000.0,1.58,2297000.0,0.0,0.0,0.0,38114000.0,1614215000.0,2177000.0,2101718000.0,40021000.0,-30806000.0,232175000.0,37668026,-155970000.0,100384000.0,1960000.0,-6302000.0,58589000,-160084000.0,31160000.0,-1746000.0,1.58,189286000.0,39732000.0,1716000.0,22992000.0,2094000.0,-713904000.0,85416000.0,209598000.0,,,,
2016-12-31,18264000.0,1242281000.0,2127000.0,44435000.0,-3800000.0,803539000,4837000.0,139479000.0,82118000.0,505341000.0,,29441000.0,20081000.0,578731000.0,1912385000.0,0.0,62321000,76084000.0,-48244000.0,111099000,89350000.0,-104000.0,-850000.0,,8417000.0,670104000.0,73445000.0,0.0,32874000.0,208015000.0,68242000.0,1477225000.0,215671000.0,62321000,34104000.0,14958000.0,163386000.0,38546459,11941000.0,1026610000.0,-87547000.0,187449000,21706000.0,1.62,1363000.0,0.0,0.0,0.0,-4062000.0,1704370000.0,2905000.0,2225444000.0,40264000.0,,249440000.0,38731010,-159324000.0,113709000.0,1874000.0,-4402000.0,62037000,-161259000.0,31886000.0,-944000.0,1.61,196741000.0,37572000.0,3178000.0,17467000.0,-4813000.0,-748219000.0,83740000.0,224808000.0,,,,
2017-12-31,3742000.0,1307386000.0,40664000.0,4349000.0,-5631000.0,849350000,4491000.0,161286000.0,99162000.0,490380000.0,,35042000.0,27043000.0,607431000.0,2004278000.0,16216000.0,72439000,112557000.0,-50632000.0,126134000,84185000.0,-1799000.0,-976000.0,,8629000.0,696892000.0,72545000.0,16216000.0,32923000.0,239127000.0,68466000.0,1539603000.0,256653000.0,72439000,36006000.0,13765000.0,173577000.0,39457261,-2667000.0,1050733000.0,-48231000.0,201311000,22769000.0,1.84,10180000.0,16216000.0,16216000.0,0.0,-24771000.0,1765151000.0,2632000.0,2339022000.0,,,121880000.0,39748347,-132590000.0,115785000.0,-4294000.0,-4168000.0,72119000,-132913000.0,29604000.0,-2135000.0,1.82,197787000.0,37572000.0,3642000.0,22531000.0,2054000.0,-799419000.0,88034000.0,241919000.0,,,,
2018-12-31,-13629000.0,1323654000.0,38023000.0,,-4144000.0,916447000,2378000.0,190433000.0,96933000.0,590002000.0,,23339000.0,14588000.0,660848000.0,2052517000.0,861000.0,82345000,18771000.0,-53198000.0,129389000,96291000.0,-3011000.0,-2194000.0,,8961000.0,728863000.0,74666000.0,861000.0,37006000.0,241420000.0,75144000.0,1581098000.0,170093000.0,82345000,35759000.0,12450000.0,143448000.0,39599944,14997000.0,1153561000.0,-189000.0,202007000,24326000.0,2.08,738000.0,861000.0,-15355000.0,16216000.0,-51384000.0,1811097000.0,-2048000.0,2429467000.0,5509000.0,,140950000.0,39892196,-107419000.0,126210000.0,-18236000.0,-4372000.0,82345000,-105425000.0,30408000.0,-8559000.0,2.06,198324000.0,37572000.0,4441000.0,17819000.0,-1214000.0,-848369000.0,106270000.0,255599000.0,,,,
