date,annualNetOtherInvestingChanges,annualGoodwill,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualRetainedEarnings,annualAccountsReceivable,annualGainsLossesNotAffectingRetainedEarnings,annualPurchaseOfInvestment,annualAccountsPayable,annualCostOfRevenue,annualOperatingIncome,annualInvestingCashFlow,annualLongTermDebt,annualCashDividendsPaid,annualEndCashPosition,annualFreeCashFlow,annualPretaxIncome,annualOtherNonCashItems,annualOtherCurrentAssets,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualStockholdersEquity,annualInvestmentsAndAdvances,annualTaxProvision,annualCurrentAccruedExpenses,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualCommonStockIssuance,annualSaleOfInvestment,annualBasicAverageShares,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualCurrentAssets,annualCurrentLiabilities,annualNetPPE,annualEbitda,annualGrossPPE,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualBasicEPS,annualOtherNonCurrentLiabilities,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualNetOtherFinancingCharges,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualCurrentDebt,annualCapitalExpenditure,annualDilutedAverageShares,annualNetIncomeContinuousOperations,annualOperatingExpense,annualTotalRevenue,annualCapitalStock,annualDeferredIncomeTax,annualInterestExpense,annualDilutedEPS,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,annualInventory,annualGrossProfit,annualChangeInWorkingCapital,annualNonCurrentDeferredRevenue,annualChangeInAccountPayable,annualResearchAndDevelopment,annualStockBasedCompensation,annualIncomeTaxPayable,annualChangesInAccountReceivables,annualCurrentDeferredRevenue,annualPurchaseOfBusiness
1996-12-31,576700000,,16915300000,11020900000,611600000,1586300000,699100000,,,590900000,2036200000,1347300000,-9200000,4580200000,-522600000,278900000,848600000,877700000,667300000,57100000,,278900000,5894400000,,290300000,494800000,1434500000,,,278900000,,,,484801510,-519000000,2351900000,1744400000,2271800000,11179200000,2014500000,17068300000,611600000,1186100000,1.26,8387300000,,216900000,62000000,,15170900000,-1900000,201300000,-63700000,-1208300000,1186100000,-585900000,507225131,587400000,2657800000,6041300000,4308200000,64700000,485800000,1.26,3612100000,-5889100000,460800000,4005100000,61400000,,,,,,,,
1997-12-31,-1072000000,,17943000000,12049000000,560000000,1623000000,772000000,-15000000,,686000000,2280000000,1391000000,-1614000000,4873000000,-501000000,83000000,553000000,889000000,,86000000,,83000000,5894000000,,329000000,353000000,1095000000,,,83000000,,95000000,,463972000,-137000000,3532000000,1663000000,2827000000,11050000000,2081000000,17513000000,560000000,1788000000,1.205,8879000000,,-196000000,279000000,,16280000000,7000000,-18000000,9000000,323000000,1788000000,-542000000,463990000,560000000,2699000000,6370000000,683000000,47000000,529000000,1.205,3737000000,-6463000000,452000000,4090000000,-189000000,,,,,,,,
1998-12-31,-177000000,,17997000000,11691000000,644000000,1748000000,687000000,-46000000,,655000000,1915000000,1606000000,-712000000,4763000000,-499000000,140000000,887000000,1064000000,,93000000,,140000000,6306000000,,420000000,329000000,1422000000,,,140000000,,525000000,,461948000,-207000000,5467000000,1654000000,2458000000,10876000000,2369000000,17924000000,644000000,1474000000,1.395,8911000000,,57000000,83000000,,16343000000,6000000,-48000000,-27000000,-653000000,1474000000,-535000000,463802000,644000000,2410000000,5931000000,1208000000,,561000000,1.395,3706000000,-7048000000,479000000,4016000000,-46000000,,,,,,,,
1999-12-31,-70000000,,19015000000,15019000000,-81000000,1193000000,977000000,-204000000,-980000000,738000000,2079000000,1837000000,-1632000000,4575000000,-474000000,259000000,650000000,1286000000,114000000,125000000,,259000000,3996000000,,563000000,394000000,1232000000,,,259000000,,,,439628000,-400000000,9894000000,2043000000,4177000000,7078000000,2465000000,11156000000,-81000000,3045000000,-0.185,9634000000,,120000000,139000000,,16972000000,33000000,11000000,9000000,520000000,3045000000,-582000000,439628000,723000000,2581000000,6497000000,0,-215000000,490000000,-0.185,2928000000,-4078000000,441000000,4418000000,-103000000,,,,,,,,
2000-12-31,-49000000,,20796000000,16800000000,764000000,1493000000,1165000000,-206000000,-603000000,1001000000,2431000000,1889000000,-1611000000,5297000000,-464000000,102000000,177000000,1254000000,,199000000,,102000000,3996000000,,490000000,429000000,1136000000,,,102000000,,,,430242000,-298000000,10685000000,2409000000,4982000000,7702000000,2381000000,11968000000,764000000,3552000000,1.775,10140000000,,-157000000,259000000,,18387000000,33000000,0,-145000000,318000000,3552000000,-959000000,430242000,764000000,2528000000,6848000000,0,-11000000,574000000,1.775,3107000000,-4266000000,586000000,4417000000,-303000000,,,,,,,,
2001-12-31,-260000000,,25397000000,21260000000,770000000,1809000000,1129000000,-290000000,-709000000,790000000,4971000000,1892000000,-3778000000,10301000000,-449000000,169000000,-711000000,1136000000,-164000000,987000000,,169000000,4137000000,,373000000,1353000000,1342000000,,,169000000,,,,416452000,-91000000,11425000000,3259000000,4694000000,10064000000,2513000000,14886000000,770000000,2551000000,1.85,15433000000,,67000000,102000000,,22138000000,21000000,-470000000,-84000000,2503000000,2551000000,-2053000000,416452000,763000000,2952000000,9815000000,0,-179000000,705000000,1.85,3205000000,-4822000000,683000000,4844000000,253000000,,,,,,,,
2002-12-31,-264000000,,25742000000,21755000000,245000000,1601000000,1370000000,-689000000,,1115000000,3769000000,1526000000,-1987000000,10991000000,-456000000,165000000,-286000000,664000000,54000000,536000000,,165000000,3987000000,,248000000,1190000000,1528000000,,,165000000,,996000000,380000000,417626000,,10669000000,2966000000,3816000000,11449000000,2186000000,16562000000,245000000,1511000000,0.585,16287000000,,-2000000,167000000,,22776000000,-22000000,141000000,,459000000,1511000000,-1814000000,417626000,416000000,3095000000,8390000000,0,-117000000,783000000,0.585,2924000000,-5113000000,620000000,4621000000,279000000,,,,,,,,
2003-12-31,-60000000,,28055000000,22448000000,1160000000,2221000000,1547000000,-201000000,,1216000000,6368000000,1965000000,-1364000000,11744000000,-493000000,548000000,96000000,1316000000,-73000000,607000000,,548000000,5607000000,,464000000,1142000000,1447000000,,,548000000,,441000000,47000000,456444000,,11306000000,3717000000,3385000000,12422000000,2581000000,17406000000,1160000000,1027000000,2.54,17324000000,,377000000,171000000,,24338000000,191000000,-239000000,,292000000,1027000000,-1351000000,457648000,852000000,2783000000,11116000000,80000000,368000000,840000000,2.535,4196000000,-4984000000,754000000,4748000000,-493000000,,,,,,,,
2004-12-31,63000000,,29207000000,23388000000,726000000,2425000000,1621000000,-277000000,,1362000000,6057000000,1821000000,-754000000,12925000000,-523000000,279000000,355000000,1167000000,310000000,512000000,,279000000,5819000000,,446000000,1102000000,1610000000,,,279000000,,83000000,438000000,473968000,,11171000000,3643000000,3488000000,13750000000,2620000000,19121000000,726000000,1024000000,1.53,19383000000,,-173000000,452000000,,25564000000,209000000,-49000000,,-1030000000,1024000000,-1255000000,476572000,721000000,3118000000,10996000000,80000000,172000000,863000000,1.525,4347000000,-5371000000,891000000,4939000000,,,,,,,,,
2005-12-31,342000000,,29815000000,23793000000,661000000,2545000000,1938000000,-609000000,,1154000000,7273000000,1954000000,-367000000,11279000000,-541000000,288000000,-84000000,1399000000,-312000000,1121000000,,288000000,6022000000,,541000000,1967000000,940000000,,,288000000,,533000000,315000000,480594000,,11041000000,4830000000,4757000000,13336000000,2813000000,18896000000,661000000,1636000000,1.375,18236000000,,25000000,263000000,,24985000000,265000000,-477000000,,-550000000,1636000000,-1024000000,488812000,858000000,3203000000,12430000000,0,224000000,820000000,1.355,4248000000,-5560000000,1089000000,5157000000,-682000000,,,,,,,,
2006-12-31,769000000,,28570000000,21823000000,739000000,2710000000,1368000000,-108000000,,964000000,6769000000,1815000000,-241000000,10370000000,-574000000,141000000,914000000,1206000000,387000000,688000000,,141000000,6747000000,,454000000,1212000000,1929000000,,,141000000,,83000000,,503356000,,11321000000,3662000000,3406000000,13002000000,2762000000,18851000000,739000000,1230000000,1.47,17691000000,,-147000000,288000000,,24908000000,203000000,-229000000,,-1834000000,1230000000,-1015000000,504628000,752000000,3580000000,12164000000,0,-111000000,812000000,1.465,4462000000,-5849000000,1137000000,5395000000,173000000,,,,,,,,
2007-12-31,1304000000,,28392000000,21093000000,1335000000,3261000000,1639000000,-216000000,,1094000000,6523000000,2926000000,-1000000,8662000000,-594000000,381000000,570000000,2379000000,229000000,1466000000,,381000000,7299000000,,1060000000,2008000000,1918000000,,,381000000,,83000000,,507560000,,10125000000,4928000000,4290000000,13275000000,3823000000,19310000000,1335000000,1188000000,2.63,16304000000,,275000000,106000000,,23464000000,98000000,27000000,,-1642000000,1188000000,-1348000000,508813000,1319000000,3404000000,12853000000,0,119000000,733000000,2.62,4454000000,-6035000000,1089000000,6330000000,-169000000,,,,,,,,
2008-12-31,910000000,,29049000000,21198000000,1192000000,3773000000,1398000000,-177000000,,1227000000,7295000000,2613000000,-775000000,8005000000,-655000000,321000000,574000000,1913000000,568000000,571000000,,321000000,7851000000,,926000000,1131000000,2345000000,,,321000000,,,,507693000,-92000000,10548000000,3999000000,3410000000,14433000000,3406000000,20818000000,1188000000,1052000000,2.34,17433000000,,-59000000,380000000,,25050000000,-177000000,-94000000,,-1629000000,1052000000,-1771000000,508427000,987000000,3414000000,13322000000,80000000,71000000,594000000,2.34,3865000000,-6385000000,1255000000,6027000000,-71000000,,,,,,,,
2009-12-31,-792000000,16000000,28730000000,19932000000,1592000000,4704000000,1229000000,-116000000,-1798000000,1081000000,5711000000,3121000000,-792000000,7645000000,-673000000,350000000,1855000000,2636000000,263000000,83000000,959000000,350000000,8788000000,3380000000,1044000000,102000000,1855000000,16718000000,123000000,593000000,243000000,0,2688000000,505986000,0,6002000000,3646000000,3214000000,15440000000,4001000000,22069000000,1592000000,890000000,17.37,1383000000,-1329000000,29000000,321000000,,25084000000,42000000,-1034000000,,-1034000000,1051000000,-1794000000,507064000,1592000000,3574000000,12406000000,0,326000000,527000000,3.139643,4139000000,-6629000000,1167000000,6695000000,221000000,,,,,,,,
2010-12-31,-1669000000,16000000,29909000000,20268000000,1564000000,5575000000,1387000000,-156000000,-1140000000,1176000000,5261000000,2937000000,-1669000000,7819000000,-693000000,280000000,2164000000,2616000000,600000000,277000000,974000000,280000000,9633000000,3146000000,1059000000,108000000,2164000000,16783000000,136000000,280000000,0,,1610000000,505985000,-80000000,227000000,5051000000,3485000000,16390000000,4043000000,23272000000,1564000000,967000000,3.091001,1056000000,-1022000000,-70000000,350000000,,24858000000,151000000,-565000000,,-565000000,1185000000,-2160000000,507045000,1557000000,3595000000,11793000000,0,1106000000,472000000,3.084539,5129000000,-6882000000,1025000000,6532000000,-910000000,,,,,,,,
2011-12-31,-1269000000,16000000,29821000000,19549000000,1503000000,6385000000,967000000,-337000000,-1386000000,1184000000,4747000000,2742000000,-1269000000,7461000000,-693000000,834000000,3557000000,2384000000,217000000,289000000,982000000,834000000,10270000000,2824000000,977000000,97000000,3557000000,16592000000,131000000,834000000,0,,1534000000,505949000,0,254000000,3911000000,2957000000,17849000000,3835000000,25080000000,1503000000,843000000,2.970655,768000000,-1738000000,554000000,280000000,,25910000000,117000000,-1734000000,,-1734000000,633000000,-2083000000,506982000,1407000000,3590000000,11079000000,0,811000000,475000000,2.964602,5458000000,-7231000000,1052000000,6332000000,920000000,,,,,,,,
2012-12-31,-17000000,16000000,31725000000,20944000000,1275000000,6942000000,1069000000,-388000000,-1700000000,1304000000,6351000000,2278000000,-2625000000,6687000000,-718000000,379000000,2787000000,2011000000,1512000000,405000000,1227000000,379000000,10780000000,3055000000,736000000,91000000,2787000000,17167000000,34000000,379000000,,,1666000000,505906000,0,319000000,3869000000,3777000000,19736000000,3488000000,27402000000,1275000000,778000000,2.520231,108000000,-1004000000,-455000000,834000000,,27856000000,156000000,-58000000,,-617000000,1515000000,-2574000000,507231000,1275000000,1152000000,9781000000,0,721000000,423000000,0.07,6542000000,-7666000000,1005000000,3430000000,-246000000,,,,,,,,
2013-12-31,21000000,16000000,32522000000,8643000000,1243000000,7457000000,1203000000,-95000000,-1170000000,1222000000,6423000000,2299000000,-2801000000,8643000000,-728000000,493000000,3158000000,2055000000,1915000000,274000000,1370000000,493000000,11608000000,3627000000,812000000,95000000,3158000000,8643000000,33000000,493000000,,,1159000000,505889000,,336000000,3614000000,3063000000,21645000000,3635000000,29713000000,1243000000,868000000,2.457061,119000000,-1251000000,114000000,379000000,,28908000000,158000000,-61000000,,-243000000,841000000,-2811000000,507525000,1243000000,1246000000,9968000000,0,270000000,402000000,2.45,7107000000,-8068000000,1024000000,3545000000,320000000,,,,,,,,
2014-12-31,-53000000,16000000,35333000000,23147000000,1518000000,8227000000,1254000000,-283000000,-1934000000,1178000000,7036000000,2623000000,-2892000000,8261000000,-748000000,402000000,3160000000,2456000000,1642000000,587000000,1427000000,402000000,12185000000,3299000000,938000000,95000000,3160000000,19669000000,84000000,402000000,,,1915000000,506000000,,377000000,4119000000,3478000000,23589000000,4072000000,32196000000,1518000000,1128000000,3,112000000,-737000000,-91000000,493000000,,31214000000,222000000,-64000000,,-359000000,883000000,-2820000000,508000000,1518000000,1227000000,10886000000,0,515000000,389000000,2.99,7303000000,-8607000000,1022000000,3850000000,11000000,,,,,,,,
2015-12-31,-28000000,16000000,37535000000,24468000000,1679000000,9117000000,1068000000,-295000000,-1552000000,1369000000,6239000000,2962000000,-3942000000,8834000000,-789000000,394000000,3919000000,2680000000,2240000000,177000000,1427000000,394000000,13066000000,3214000000,1001000000,96000000,3919000000,20893000000,102000000,394000000,,,1501000000,505000000,,231000000,3494000000,3575000000,26539000000,4287000000,35494000000,1679000000,970000000,3.324752,181000000,-859000000,-8000000,402000000,28000000,34041000000,111000000,-51000000,,15000000,1098000000,-3863000000,508000000,1679000000,1214000000,10415000000,0,685000000,393000000,3.3,8166000000,-8955000000,976000000,4176000000,165000000,,,,,,,,
2016-12-31,82000000,16000000,40070000000,26940000000,887000000,9174000000,1161000000,-263000000,-856000000,1459000000,6009000000,1576000000,-4248000000,10895000000,-830000000,423000000,3311000000,1298000000,2424000000,206000000,1679000000,423000000,13130000000,3126000000,411000000,97000000,3311000000,23664000000,98000000,423000000,,,824000000,505000000,,254000000,3254000000,388000000,29286000000,3159000000,39337000000,887000000,801000000,1.756436,211000000,-824000000,29000000,394000000,,36816000000,107000000,-79000000,,966000000,888000000,-4298000000,508000000,887000000,1476000000,9061000000,0,474000000,385000000,1.75,8658000000,-10051000000,887000000,3052000000,-88000000,,,,,,,,
2017-12-31,72000000,16000000,42716000000,28869000000,1574000000,9878000000,1348000000,-229000000,-2340000000,1694000000,5669000000,1429000000,-4256000000,12068000000,-870000000,313000000,3261000000,1268000000,1687000000,215000000,2185000000,313000000,13847000000,3296000000,-306000000,103000000,3261000000,24701000000,114000000,313000000,,,2319000000,505000000,,266000000,3312000000,542000000,31797000000,3645000000,41231000000,1574000000,781000000,3.1,221000000,-500000000,-110000000,423000000,,39404000000,230000000,-74000000,,885000000,1542000000,-4307000000,507000000,1574000000,1986000000,9084000000,0,-167000000,391000000,3.1,5240000000,-9434000000,866000000,3415000000,-267000000,,,,,,,,
2018-12-31,114000000,16000000,45326000000,30949000000,1438000000,10582000000,1435000000,-377000000,-1473000000,1451000000,6240000000,2298000000,-3916000000,13168000000,-910000000,199000000,2913000000,1855000000,1475000000,406000000,1345000000,177000000,14377000000,2998000000,417000000,110000000,2913000000,26014000000,143000000,177000000,,,1501000000,504000000,,275000000,3507000000,4935000000,34363000000,3489000000,44201000000,1438000000,1038000000,2.83,232000000,-1350000000,-116000000,315000000,,41819000000,33000000,-77000000,,887000000,2310000000,-4058000000,507000000,1438000000,1158000000,9696000000,0,568000000,476000000,2.83,5713000000,-9838000000,902000000,3456000000,-382000000,,,,,,,,
2019-12-31,146000000,0,47730000000,32641000000,1693000000,11406000000,1313000000,-489000000,-1814000000,1358000000,6483000000,2345000000,-3145000000,13743000000,-950000000,176000000,115000000,1950000000,-17000000,392000000,1426000000,147000000,15089000000,3274000000,257000000,116000000,3379000000,27594000000,149000000,,,,1787000000,,,286000000,3231000000,5047000000,36126000000,3945000000,46226000000,1693000000,1052000000,,218000000,-1250000000,-23000000,199000000,,44499000000,158000000,-56000000,,-257000000,2480000000,-3264000000,,1693000000,1248000000,10076000000,5003000000,180000000,569000000,,6256000000,-10100000000,897000000,3593000000,297000000,,,,,,,,
