date,annualChangesInAccountReceivables,annualInterestExpense,annualCurrentAssets,annualBeginningCashPosition,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualGrossPPE,annualAccumulatedDepreciation,annualRepaymentOfDebt,annualDilutedAverageShares,annualCapitalExpenditure,annualCurrentAccruedExpenses,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualTaxProvision,annualCurrentDeferredRevenue,annualCurrentDebt,annualOtherCurrentAssets,annualCapitalStock,annualTotalRevenue,annualCostOfRevenue,annualTotalNonCurrentAssets,annualNetOtherFinancingCharges,annualGrossProfit,annualFreeCashFlow,annualResearchAndDevelopment,annualStockBasedCompensation,annualInventory,annualChangeInWorkingCapital,annualBasicAverageShares,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualChangeInInventory,annualPretaxIncome,annualCashDividendsPaid,annualPurchaseOfInvestment,annualNetIncome,annualLongTermDebt,annualAccountsReceivable,annualBasicEPS,annualGoodwill,annualIncomeTaxPayable,annualStockholdersEquity,annualOtherNonCashItems,annualInvestingCashFlow,annualOperatingIncome,annualRetainedEarnings,annualTotalAssets,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualNetPPE,annualOtherIncomeExpense,annualCurrentLiabilities,annualCommonStockIssuance,annualOperatingCashFlow,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualDilutedEPS,annualEbitda,annualOtherNonCurrentLiabilities,annualRepurchaseOfCapitalStock,annualNetOtherInvestingChanges,annualGainsLossesNotAffectingRetainedEarnings,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualInvestmentsAndAdvances,annualSaleOfInvestment,annualChangeInAccountPayable,annualNonCurrentDeferredRevenue
1989-12-31,,284000000,3424000000,201000000,384000000,9000000.0,347000000,1811000000,3151000000,-1048000000,,515436242,-331000000.0,,276000000.0,-134000000.0,191000000,,379000000,203000000,880000000.0,7399000000,4386000000,5079000000,1000000.0,3013000000,287000000,,,1502000000,-64000000.0,512000000,446000000,,2179000000,350000000.0,4257000000,-42000000.0,637000000,-201000000.0,,446000000,2048000000,,0.75,,,4246000000,4000000.0,-240000000,834000000,1899000000,8503000000,368000000.0,-518000000.0,0,2103000000,87000000,1859000000,65000000.0,618000000,1204000000.0,2398000000,,2629000000.0,0.745,1202000000,0,-7000000.0,-164000000.0,,67000000,67000000,,,,
1990-12-31,,259000000,3443000000,67000000,-12000000,-130000000.0,345000000,2541000000,3526000000,-1357000000,,480000000,-367000000.0,,388000000.0,-27000000.0,65000000,,432000000,286000000,339000000.0,8100000000,4814000000,5074000000,0.0,3286000000,429000000,,,1532000000,-70000000.0,480000000,40000000,,2924000000,193000000.0,4425000000,-24000000.0,105000000,-216000000.0,,40000000,1729000000,,-0.025,,,4092000000,14000000.0,-214000000,362000000,1723000000,8517000000,383000000.0,-602000000.0,0,2169000000,2000000,2324000000,67000000.0,796000000,1504000000.0,2101000000,,2560000000.0,-0.025,745000000,179000000,-132000000.0,-125000000.0,,40000000,40000000,,,,
1991-12-31,,222000000,4004000000,40000000,568000000,66000000.0,380000000,2182000000,3966000000,-1511000000,,568000000,-532000000.0,,394000000.0,288000000.0,214000000,,389000000,302000000,339000000.0,8921000000,5224000000,5336000000,3000000.0,3697000000,237000000,,,1596000000,-356000000.0,559605911,591000000,,2609000000,238000000.0,4967000000,-94000000.0,805000000,-231000000.0,,591000000,2249000000,,1.015,,,4373000000,8000000.0,-725000000,1088000000,2083000000,9340000000,427000000.0,242000000.0,0,2455000000,-61000000,2357000000,81000000.0,769000000,1574000000.0,2610000000,,2501000000.0,1.0,1515000000,123000000,-109000000.0,-230000000.0,,328000000,328000000,,,,
1992-12-31,,211000000,3589000000,299000000,436000000,32000000.0,431000000,2196000000,4209000000,-1562000000,,566233766,-537000000.0,,389000000.0,-267000000.0,192000000,,500000000,258000000,,8471000000,4783000000,5566000000,1000000.0,3688000000,226000000,,,1632000000,-367000000.0,558974359,561000000,,2643000000,174000000.0,5360000000,-139000000.0,753000000,-245000000.0,,441000000,2433000000,,0.78,,,3795000000,-32000000.0,-726000000,1045000000,1928000000,9155000000,447000000.0,-316000000.0,0,2647000000,-81000000,2368000000,85000000.0,763000000,1479000000.0,2992000000,,2488000000.0,0.77,1492000000,385000000,-460000000.0,-228000000.0,,32000000,32000000,,,,
1993-12-31,,222000000,4422000000,32000000,-198000000,-172000000.0,978000000,2983000000,4491000000,-1836000000,,565714286,-516000000.0,,328000000.0,447000000.0,-62000000,,822000000,495000000,,8879000000,5163000000,6123000000,0.0,3716000000,249000000,,,1772000000,-221000000.0,565714286,-268000000,,3477000000,201000000.0,7360000000,-167000000.0,-330000000,-278000000.0,,-198000000,2800000000,,-0.35,,,3185000000,24000000.0,-655000000,239000000,1452000000,10545000000,494000000.0,340000000.0,0,2655000000,-347000000,2933000000,52000000.0,765000000,1783000000.0,4427000000,,2490000000.0,-0.35,733000000,1426000000,-124000000.0,-209000000.0,,479000000,479000000,,,,
1994-12-31,,237000000,4340000000,479000000,596000000,30000000.0,810000000,1859000000,4431000000,-1869000000,,560000000,-502000000.0,,1534000000.0,-8000000.0,205000000,,531000000,416000000,,9324000000,5575000000,5662000000,0.0,3749000000,814000000,343000000.0,,1537000000,159000000.0,560000000,596000000,,2726000000,167000000.0,6282000000,112000000.0,801000000,-286000000.0,,596000000,2341000000,1916000000.0,1.065,,,3720000000,,-405000000,1023000000,1762000000,10002000000,524000000.0,-930000000.0,471000000,2562000000,-29000000,2766000000,177000000.0,1316000000,701000000.0,3516000000,,2290000000.0,1.065,1547000000,1008000000,-47000000.0,0.0,,471000000,471000000,,,,
1995-12-31,,214000000,2911000000,468000000,649000000,-17000000.0,3679000000,1084000000,3427000000,-1678000000,,556000000,-399000000.0,,1580000000.0,8000000.0,153000000,,219000000,320000000,,5048000000,2469000000,6526000000,0.0,2579000000,937000000,345000000.0,,906000000,-289000000.0,554000000,371000000,,1765000000,173000000.0,5733000000,-90000000.0,524000000,-306000000.0,,649000000,2372000000,,1.175,,,3704000000,,-352000000,814000000,2105000000,9437000000,336000000.0,-996000000.0,476000000,1749000000,-110000000,2154000000,103000000.0,1336000000,355000000.0,3579000000,,1098000000.0,1.175,1150000000,1034000000,-500000000.0,0.0,,476000000,476000000,,,,
1996-12-31,,214000000,3480000000,476000000,669000000,74000000.0,887000000,1142000000,3795000000,-1952000000,,1088000000,-398000000.0,,1657000000.0,285000000.0,218000000,,346000000,351000000,,5438000000,2697000000,4116000000,0.0,2741000000,395000000,340000000.0,,883000000,-305000000.0,544000000,575000000,,1830000000,255000000.0,5092000000,59000000.0,793000000,-320000000.0,,669000000,1695000000,,1.23,,,2504000000,,-707000000,911000000,1022000000,7596000000,348000000.0,216000000.0,761000000,1843000000,52000000,2445000000,193000000.0,793000000,442000000.0,2647000000,,1386000000.0,1.23,1259000000,697000000,-267000000.0,-15000000.0,,761000000,761000000,,,,
1997-12-31,,198000000,3870000000,761000000,300000000,-1000000.0,855000000,1356000000,4407000000,-2047000000,,566037736,-496000000.0,,450000000.0,-296000000.0,223000000,,144000000,458000000,,6138000000,2987000000,4837000000,0.0,3151000000,120000000,392000000.0,,1208000000,-394000000.0,555555556,300000000,,2146000000,316000000.0,6088000000,-102000000.0,523000000,-316000000.0,,300000000,2635000000,,0.54,,,2619000000,,-1141000000,1005000000,1006000000,8707000000,398000000.0,265000000.0,465000000,2360000000,-319000000,2557000000,110000000.0,616000000,1963000000.0,3531000000,,1622000000.0,0.53,1403000000,580000000,,-23000000.0,,465000000,465000000,,,,
1998-12-31,,193000000,4651000000,465000000,315000000,-56000000.0,944000000,1426000000,4989000000,-2316000000,,578000000,-596000000.0,,536000000.0,244000000.0,234000000,,271000000,701000000,,6599000000,3249000000,5434000000,0.0,3350000000,395000000,379000000.0,,1324000000,-103000000.0,568000000,315000000,,2231000000,505000000.0,7246000000,-80000000.0,549000000,-331000000.0,,315000000,3096000000,,0.555,,,2839000000,,-924000000,1119000000,990000000,10085000000,426000000.0,173000000.0,709000000,2673000000,-409000000,2988000000,118000000.0,991000000,2181000000.0,4258000000,,1817000000.0,0.545,1545000000,657000000,,0.0,,709000000,709000000,,,,
1999-12-31,,152000000,3819000000,709000000,797000000,92000000.0,2254000000,1311000000,4709000000,-2059000000,,590000000,-631000000.0,,640000000.0,-103000000.0,273000000,,255000000,445000000,294000000.0,6380000000,3215000000,5825000000,0.0,3165000000,452000000,332000000.0,,1116000000,-299000000.0,580000000,779000000,,2015000000,311000000.0,6296000000,17000000.0,1052000000,-338000000.0,,797000000,2601000000,,1.375,,,3348000000,,-735000000,1150000000,1415000000,9644000000,372000000.0,-445000000.0,606000000,2650000000,19000000,2700000000,346000000.0,1083000000,1805000000.0,3596000000,,921000000.0,1.35,1522000000,684000000,-184000000.0,0.0,-374000000.0,606000000,606000000,,,,
2000-12-31,,131000000,3651000000,606000000,740000000,-170000000.0,1036000000,1385000000,4978000000,-2171000000,,598000000,-648000000.0,,748000000.0,-27000000.0,208000000,,634000000,371000000,298000000.0,6896000000,3459000000,5082000000,0.0,3437000000,566000000,379000000.0,,1159000000,-58000000.0,584000000,738000000,,2169000000,160000000.0,6074000000,-114000000.0,946000000,-84000000.0,,740000000,1726000000,1542000000.0,1.265,,,2659000000,-2000000.0,-1053000000,1268000000,853000000,8733000000,405000000.0,-120000000.0,579000000,2807000000,-230000000,3372000000,233000000.0,1214000000,1990000000.0,2702000000,,1239000000.0,1.24,1673000000,816000000,-375000000.0,-60000000.0,-649000000.0,579000000,579000000,,,,
2001-12-31,,108000000,3977000000,579000000,612000000,116000000.0,1362000000,1469000000,5732000000,-2426000000,,609000000,-787000000.0,1724000000.0,661000000.0,3000000.0,300000000,,201000000,0,609000000.0,7663000000,4227000000,6366000000,0.0,3436000000,362000000,427000000.0,,1341000000,-526000000.0,590000000,664000000,,1943000000,218000000.0,6586000000,-178000000.0,964000000,-341000000.0,,612000000,2486000000,1493000000.0,1.04,,,3757000000,,-1592000000,1493000000,1093000000,10343000000,441000000.0,469000000.0,582000000,3306000000,-460000000,3294000000,692000000.0,1149000000,708000000.0,3292000000,,1698000000.0,1.0,1934000000,588000000,-288000000.0,0.0,-432000000.0,582000000,582000000,,,,
2002-12-31,,71000000,5160000000,582000000,778000000,72000000.0,1391000000,1562000000,6679000000,-2772000000,,618000000,-848000000.0,,588000000.0,587000000.0,364000000,,220000000,0,627000000.0,8110000000,4318000000,7318000000,0.0,3792000000,345000000,501000000.0,,1745000000,-548000000.0,600000000,1033000000,,2063000000,,9539000000,-269000000.0,1397000000,-349000000.0,,778000000,4398000000,1838000000.0,1.29,,,2939000000,,-1306000000,1729000000,1689000000,12478000000,439000000.0,670000000.0,1169000000,3907000000,-281000000,3851000000,594000000.0,1193000000,3043000000.0,5688000000,,2020000000.0,1.26,2168000000,1261000000,-1169000000.0,0.0,-1274000000.0,1169000000,1169000000,,,,
2003-12-31,,115000000,5437000000,1169000000,881000000,106000000.0,1498000000,1796000000,7781000000,-3196000000,,606000000,-789000000.0,,561000000.0,-242000000.0,228000000,,153000000,0,649000000.0,8916000000,4951000000,8342000000,0.0,3965000000,636000000,553000000.0,,2101000000,-486000000.0,599000000,922000000,,2349000000,,10456000000,-151000000.0,1150000000,-346000000.0,,881000000,4421000000,1979000000.0,1.47,,,3323000000,,-886000000,1616000000,2194000000,13779000000,545000000.0,-751000000.0,927000000,4585000000,-379000000,3819000000,749000000.0,1425000000,3105000000.0,6637000000,,2259000000.0,1.45,2161000000,2216000000,-714000000.0,0.0,-1430000000.0,927000000,927000000,,,,
2004-12-31,,99000000,6019000000,925000000,388000000,-119000000.0,1564000000,2249000000,7991000000,-3622000000,,618000000,-558000000.0,,394000000.0,184000000.0,47000000,,361000000,0,648000000.0,9509000000,5594000000,8128000000,0.0,3915000000,822000000,517000000.0,,2135000000,-466000000.0,614000000,383000000,,2766000000,,10442000000,28000000.0,430000000,-361000000.0,,388000000,3933000000,2091000000.0,0.63,,,3705000000,,-552000000,1149000000,2259000000,14147000000,601000000.0,-576000000.0,1109000000,4369000000,-620000000,4286000000,181000000.0,1380000000,3531000000.0,6156000000,,2195000000.0,0.63,1750000000,2223000000,-18000000.0,26000000.0,-1288000000.0,1109000000,1109000000,,,,
2005-12-31,,118000000,5116000000,1109000000,956000000,201000000.0,1421000000,2030000000,7878000000,-3734000000,,629000000,-444000000.0,,0.0,-268000000.0,486000000,,924000000,0,648000000.0,9849000000,5756000000,7611000000,0.0,4093000000,1106000000,533000000.0,,1925000000,-311000000.0,622000000,958000000,,2563000000,,8428000000,88000000.0,1444000000,-359000000.0,,956000000,2414000000,1766000000.0,1.54,1552000000.0,,4299000000,,-367000000,1530000000,2851000000,12727000000,580000000.0,-1447000000.0,841000000,4144000000,32000000,4165000000,176000000.0,1550000000,3241000000.0,4263000000,,494000000.0,1.52,2110000000,1849000000,,124000000.0,-1496000000.0,841000000,841000000,,,,
2006-12-31,,101000000,6970000000,841000000,1396000000,8000000.0,453000000,2282000000,8311000000,-4082000000,,656000000,-526000000.0,2498000000.0,0.0,1644000000.0,348000000,,234000000,0,683000000.0,10378000000,5641000000,7716000000,0.0,4737000000,1657000000,614000000.0,,2066000000,-1000000.0,651000000,1397000000,,2896000000,,8414000000,-35000000.0,1746000000,-364000000.0,,1396000000,2567000000,1838000000.0,2.15,1618000000.0,,6272000000,94000000.0,-342000000,1841000000,3271000000,14686000000,575000000.0,-123000000.0,2485000000,4229000000,-61000000,3610000000,1521000000.0,2183000000,878000000.0,4804000000,,480000000.0,2.13,2416000000,2237000000,-737000000.0,0.0,-1426000000.0,2485000000,2485000000,,,,
2007-12-31,,124000000,7555000000,2485000000,1707000000,126000000.0,418000000,2521000000,8824000000,-4337000000,,654000000,-692000000.0,2467000000.0,0.0,54000000.0,407000000,,425000000,0,683000000.0,11263000000,5744000000,7739000000,639000000.0,5519000000,1613000000,760000000.0,,2334000000,-427000000.0,644000000,1707000000,,3281000000,,8378000000,-211000000.0,2114000000,-704000000.0,,1707000000,2664000000,2026000000.0,2.65,1690000000.0,,6916000000,192000000.0,-305000000,2238000000,4379000000,15294000000,581000000.0,-1971000000.0,2539000000,4487000000,-102000000,3812000000,,2305000000,920000000.0,4566000000,,455000000.0,2.61,2819000000,1902000000,-1855000000.0,0.0,-940000000.0,2539000000,2539000000,,,,
2008-12-31,-98000000.0,148000000,7148000000,2539000000,2014000000,280000000.0,3648000000,2698000000,9021000000,-4412000000,-950000000.0,637000000,-954000000.0,1731000000.0,3241000000.0,-408000000.0,437000000,,394000000,676000000,683000000.0,12348000000,6218000000,8257000000,680000000.0,6130000000,1561000000,868000000.0,146000000.0,2361000000,-670000000.0,625000000,2014000000,-99000000.0,3566000000,,9176000000,-163000000.0,2451000000,-546000000.0,,2014000000,3362000000,1980000000.0,3.22,1654000000.0,255000000.0,6229000000,51000000.0,-993000000,2564000000,5795000000,15405000000,631000000.0,-1931000000.0,2131000000,4609000000,37000000,3635000000,0.0,2515000000,829000000.0,5541000000,,390000000.0,3.16,2564000000,2179000000,-1986000000.0,60000000.0,-1885000000.0,2131000000,2131000000,,,,
2009-12-31,-167000000.0,98000000,8271000000,2131000000,2205000000,267000000.0,376000000,2731000000,10060000000,-4901000000,-399000000.0,614000000,-1014000000.0,1915000000.0,0.0,655000000.0,519000000,,711000000,0,683000000.0,12562000000,6037000000,9083000000,1235000000.0,6525000000,2909000000,917000000.0,140000000.0,2557000000,-416000000.0,607000000,2215000000,-156000000.0,3648000000,,9934000000,-60000000.0,2734000000,-632000000.0,,2205000000,3440000000,2302000000.0,3.63,1825000000.0,375000000.0,7191000000,161000000.0,-1146000000,2877000000,7343000000,17354000000,638000000.0,-1012000000.0,2786000000,5159000000,45000000,4464000000,,2909000000,807000000.0,5470000000,,513000000.0,3.59,3470000000,342000000,-1216000000.0,24000000.0,-1777000000.0,2786000000,2786000000,,,,
2010-12-31,-122000000.0,87000000,7989000000,2786000000,1420000000,76000000.0,429000000,2907000000,10591000000,-5331000000,-567000000.0,594000000,-963000000.0,2111000000.0,0.0,-101000000.0,463000000,,24000000,0,683000000.0,12843000000,6885000000,9500000000,334000000.0,5958000000,3003000000,915000000.0,120000000.0,2371000000,-368000000.0,590000000,1427000000,-319000000.0,3822000000,,10693000000,20000000.0,1890000000,-688000000.0,,1420000000,4363000000,,2.41,2015000000.0,346000000.0,6567000000,404000000.0,-1264000000,2136000000,7925000000,17489000000,685000000.0,-1716000000.0,2685000000,5260000000,-159000000,4041000000,,3003000000,745000000.0,6652000000,,500000000.0,2.39,2662000000,765000000,-1453000000.0,18000000.0,-2139000000.0,2685000000,2685000000,,,,
2011-12-31,-229000000.0,54000000,8650000000,2685000000,2224000000,172000000.0,1755000000,3154000000,10973000000,-5448000000,-23000000.0,573000000,-960000000.0,267000000.0,1403000000.0,220000000.0,553000000,738000000.0,446000000,0,683000000.0,13893000000,6847000000,10423000000,422000000.0,7046000000,1857000000,946000000.0,119000000.0,2628000000,-785000000.0,569000000,2256000000,-590000000.0,4100000000,,12245000000,-315000000.0,2809000000,-709000000.0,,2224000000,4749000000,,3.91,2317000000.0,353000000.0,6585000000,32000000.0,-1427000000,2946000000,9429000000,19073000000,670000000.0,-1137000000.0,2905000000,5525000000,-83000000,4857000000,,2817000000,795000000.0,7388000000,,826000000.0,3.88,2863000000,2639000000,-1583000000.0,123000000.0,-2591000000.0,2905000000,2905000000,,,,
2012-12-31,-41000000.0,113000000,9260000000,2905000000,2326000000,-17000000.0,406000000,3324000000,11869000000,-5771000000,-22000000.0,556000000,-1161000000.0,1161000000.0,1058000000.0,365000000.0,563000000,878000000.0,350000000,0,683000000.0,14190000000,6889000000,11130000000,404000000.0,7301000000,3106000000,1156000000.0,130000000.0,2803000000,-297000000.0,551000000,2326000000,-515000000.0,4480000000,,13412000000,-129000000.0,2889000000,-804000000.0,,2326000000,5580000000,2425000000.0,4.22,2502000000.0,451000000.0,6938000000,691000000.0,-1569000000,2821000000,10888000000,20390000000,712000000.0,-1115000000.0,3270000000,6098000000,155000000,4759000000,,3106000000,766000000.0,8653000000,,814000000.0,4.18,3533000000,455000000,-1480000000.0,107000000.0,-2810000000.0,3270000000,3270000000,,,,
2013-12-31,,155000000,10004000000,3270000000,2012000000,-224000000.0,442000000,3681000000,13795000000,-5963000000,-540000000.0,549000000,-1525000000.0,1268000000.0,0.0,-537000000.0,537000000,760000000.0,1040000000,0,683000000.0,15259000000,7664000000,15865000000,485000000.0,7595000000,1673000000,1246000000.0,150000000.0,3499000000,-246000000.0,543000000,2012000000,-3851000000.0,4927000000,,17383000000,-311000000.0,2549000000,-1023000000.0,,2012000000,8126000000,2911000000.0,3.7,4205000000.0,302000000.0,8463000000,1294000000.0,-5362000000,2668000000,11852000000,25869000000,823000000.0,1645000000.0,2733000000,7832000000,9000000,5906000000,,3198000000,1103000000.0,11477000000,,2294000000.0,3.66,3491000000,1122000000,-913000000.0,14000000.0,-1976000000.0,2733000000,2733000000,,,,
2014-12-31,-125000000.0,167000000,10351000000,2733000000,2497000000,-78000000.0,515000000,4029000000,14808000000,-6110000000,-1029000000.0,547000000,-1898000000.0,1335000000.0,0.0,192000000.0,493000000,9000000.0,1699000000,0,683000000.0,16671000000,8514000000,15566000000,356000000.0,8157000000,1317000000,1421000000.0,159000000.0,3559000000,-664000000.0,542000000,1946000000,-409000000.0,5450000000,,17761000000,-439000000.0,2439000000,-1095000000.0,,2497000000,7606000000,2803000000.0,4.61,3874000000.0,336000000.0,8120000000,386000000.0,-1542000000,2707000000,13227000000,25917000000,1005000000.0,-1402000000.0,2925000000,8698000000,-123000000,6042000000,,3215000000,1264000000.0,11719000000,,2079000000.0,4.56,3712000000,1261000000,-550000000.0,765000000.0,-3650000000.0,2925000000,2925000000,,,,
2015-12-31,,146000000,11796000000,2925000000,968000000,-50000000.0,227000000,3094000000,8990000000,-4604000000,-3776000000.0,549000000,-911000000.0,826000000.0,46000000.0,-712000000.0,28000000,,2585000000,435000000,683000000.0,9968000000,5822000000,9179000000,-1964000000.0,4146000000,736000000,603000000.0,126000000.0,1604000000,-316000000.0,545000000,400000000,-34000000.0,3697000000,,12110000000,-118000000.0,428000000,-910000000.0,,968000000,3935000000,1731000000.0,1.78,2687000000.0,453000000.0,8846000000,-3000000.0,-1807000000,449000000,9683000000,20975000000,759000000.0,-357000000.0,2213000000,4386000000,105000000,5750000000,,1647000000,716000000.0,6360000000,5148000000.0,1349000000.0,1.76,449000000,147000000,0.0,84000000.0,224000000.0,2213000000,7361000000,,,,
