date,annualTaxProvision,annualCurrentDebt,annualEndCashPosition,annualCurrentDeferredRevenue,annualCostOfRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherCurrentAssets,annualChangeInAccountPayable,annualAccountsPayable,annualNetOtherFinancingCharges,annualOtherShortTermInvestments,annualTotalLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,annualAccumulatedDepreciation,annualFreeCashFlow,annualOtherNonCurrentAssets,annualOperatingExpense,annualChangeInWorkingCapital,annualGainsLossesNotAffectingRetainedEarnings,annualRepurchaseOfCapitalStock,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualNetIncomeContinuousOperations,annualNetIncome,annualTotalAssets,annualLongTermDebt,annualCashDividendsPaid,annualBasicEPS,annualCurrentAssets,annualBeginningCashPosition,annualAccountsReceivable,annualNetIncomeCommonStockholders,annualSaleOfInvestment,annualCommonStockIssuance,annualSellingGeneralAndAdministration,annualStockholdersEquity,annualOtherNonCashItems,annualCurrentAccruedExpenses,annualRetainedEarnings,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,annualInventory,annualStockBasedCompensation,annualCapitalStock,annualOperatingCashFlow,annualDilutedEPS,annualDilutedAverageShares,annualTotalNonCurrentAssets,annualGrossProfit,annualCurrentLiabilities,annualOtherIntangibleAssets,annualNonCurrentDeferredTaxesLiabilities,annualNetPPE,annualEbitda,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,annualChangeInInventory,annualCashCashEquivalentsAndMarketableSecurities,annualBasicAverageShares,annualGoodwill,annualInterestExpense,annualChangesInAccountReceivables,annualGrossPPE,annualPretaxIncome,annualDeferredIncomeTax,annualRepaymentOfDebt,annualOtherIncomeExpense,annualOperatingIncome,annualTotalRevenue,annualPurchaseOfInvestment,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,annualInvestingCashFlow,annualOtherCurrentLiabilities,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable
1994-12-31,44200000,148500000,21000000,,269800000,,84100000,,105200000,-2700000,,1494900000,,-925800000,80500000,100000,439600000,6400000,-1100000,-7700000,21000000,0,80300000,80300000,2203300000,752100000,-6400000,1.18,298100000,20500000,133200000,73900000,,,,708400000,104800000,71700000,-46000000,,-92800000,59800000,,285900000,201100000,1.18,62676995,1905200000,634900000,325500000,,148800000,1731200000,286000000,1097900000,,-3100000,21000000,62661000,,70800000,,2657000000,124500000,23100000,,-200000,195300000,904700000,-26700000,-120600000,500000,-107700000,100000,,,
1995-12-31,30200000,100000,4200000,,235100000,,103200000,,93700000,18300000,,1320100000,,-920600000,39700000,100000,429800000,4600000,-1600000,-64200000,4200000,0,75600000,75600000,2035700000,728800000,-5100000,1.146667,289900000,21000000,132400000,71900000,,,,715600000,109200000,71600000,25200000,,-241500000,50100000,,221700000,147100000,1.146667,62781109,1745800000,573400000,165400000,,145500000,1607800000,236700000,1087800000,,-26500000,4200000,62661000,,57900000,,2528400000,105800000,1600000,,20100000,143600000,808500000,-21500000,-107400000,-16800000,77600000,100000,,,
1996-12-31,39400000,115400000,11100000,,291900000,,15800000,,130700000,95300000,,1463200000,,-959400000,48100000,-100000,426100000,-35600000,-2100000,,11100000,-208400000,72600000,72600000,2230300000,713900000,-15600000,1.146667,286700000,4200000,215800000,72000000,86800000,,,767100000,98600000,48900000,77200000,,79400000,44000000,,221700000,151700000,1.146667,62820702,1943600000,591400000,300000000,,172600000,1807000000,256600000,1100900000,,5800000,11100000,62661000,,54700000,,2766400000,112000000,31400000,,1300000,165300000,883300000,,-103600000,6900000,-224200000,-200000,,,
1997-12-31,38300000,114500000,8700000,,527000000,,14000000,,154500000,-18800000,,1496500000,,-1026500000,77900000,0,445900000,17200000,-2700000,,8700000,-46800000,81000000,81000000,2313700000,714000000,-26900000,1.28,285800000,11100000,216300000,80400000,,,,817200000,108200000,50300000,129200000,,-33100000,46800000,,221700000,213100000,1.273333,63141361,2027900000,608300000,326500000,,179200000,1878100000,257300000,1112300000,,-2900000,8700000,62661000,,56200000,,2904600000,119300000,11100000,,13200000,162400000,1135300000,-400000,-135200000,-2400000,-182400000,114500000,,,
1998-12-31,41300000,26600000,2600000,,445800000,,63400000,,114000000,4200000,,1689000000,,-1021200000,78000000,0,469700000,2600000,1100000,,2600000,-208000000,95100000,82700000,2576800000,1008600000,-32800000,1.313333,307800000,8800000,206200000,82100000,,,,874400000,110800000,62600000,186200000,,173100000,35600000,,221700000,211000000,1.3,63153846,2269000000,646700000,203300000,,198700000,2117600000,275100000,1431200000,,11100000,2600000,62661000,,63200000,,3138800000,136400000,18300000,,22700000,177000000,1092500000,-49200000,-133000000,-6100000,-390200000,26600000,,,
1999-12-31,25000000,,120400000,,200000000,,28900000,,150600000,-600000,,1810600000,,-1099700000,119200000,483200000,812400000,5600000,2400000,-18800000,120400000,39400000,79600000,83100000,2723300000,988500000,-33400000,1.34,406000000,61300000,216700000,82500000,,,153700000,899900000,104000000,88400000,227800000,,-99500000,40000000,,216300000,214500000,1.34,61567164,2317300000,957600000,239000000,,204300000,1586700000,249100000,1417100000,,,120400000,61567164,,70700000,,2686400000,104600000,,,30200000,145200000,1157600000,,-95300000,59100000,-55900000,0,,,
2000-12-31,53964000,,107691000,,139894000,,59021000,,257991000,-559000,,1944595000,,-1174102000,92637000,497937000,1284942000,1472000,-27000,-29099000,107691000,-10622000,100946000,100946000,2894233000,953823000,-32265000,1.693333,510402000,120399000,307599000,100360000,,,147268000,937427000,,104647000,296843000,,-94723000,36091000,,208389000,239515000,1.686667,59501976,2383831000,1471380000,362638000,,214102000,1620972000,290267000,1447856000,,,107691000,59267717,,65442000,,2795074000,154910000,,,33914000,186438000,1611274000,,-146878000,-12708000,-157500000,0,,,
2001-12-31,88769000,35000000,14677000,,152455000,,77061000,,120918000,-2739000,,1898162000,,-1236209000,70102000,465057000,1888197000,42871000,-28996000,,14677000,25504000,150433000,150433000,2807638000,953884000,-158876000,2.553333,328166000,107691000,199945000,149847000,,,155392000,897824000,,173719000,288388000,,-126615000,36483000,,208389000,334946000,2.513333,59620822,2479472000,2199643000,329637000,,164867000,1782741000,418214000,1456758000,,,14677000,58686815,,64840000,,3018950000,239202000,,,-7404000,311446000,2352098000,-50438000,-264844000,-93014000,-301345000,35000000,,,
2002-12-31,33031000,150000000,3702000,,149528000,,136410000,,97968000,108000,,2028298000,,-1332126000,-142974000,482369000,896807000,-101525000,-94721000,-2412000,3702000,-36835000,64272000,64272000,3026907000,980092000,-34226000,1.086667,350393000,28408000,123972000,63686000,76633000,,146231000,986849000,,145208000,444651000,,78470000,37230000,,636919000,97251000,1.073333,59334783,2676514000,1019468000,393176000,,167178000,1868799000,238076000,1527383000,,,3702000,58606748,,61412000,,3200925000,97303000,47269000,,-8900000,122661000,1168996000,,-240225000,-24706000,-200427000,150000000,,,
2003-12-31,27889000,125918000,12694000,,943315000,,54271000,,86155000,-31115000,,2301325000,,-1081395000,51488000,85782000,365735000,-67804000,-73487000,-9639000,12694000,-4654000,58552000,95173000,3378629000,987210000,-36702000,1.593333,305963000,3702000,115300000,95173000,80291000,,158706000,1077304000,,133508000,503069000,,-118133000,40799000,,0,228692000,1.58,60236076,3072666000,512399000,345581000,,288560000,2640502000,291518000,1588098000,,,12694000,59732008,,66775000,,3721897000,86441000,90175000,,6552000,146664000,1455714000,,-177204000,8992000,-101567000,125918000,,,
2004-12-31,52697000,94700000,17195000,,1091339000,,55306000,,117645000,811000,,2388056000,,-1137283000,90045000,535864000,356292000,-20588000,-89813000,-17548000,17195000,1259000,91866000,91866000,3487635000,987823000,-38848000,1.45,363554000,12694000,144993000,91866000,,,165942000,1099579000,,144272000,550566000,,-86803000,41352000,,0,235755000,1.43,64241958,3124081000,512628000,356617000,,319888000,2326023000,287961000,1657131000,,,17195000,63355862,,54003000,,3463306000,144563000,39966000,,42230000,156336000,1603967000,,-145710000,4501000,-144451000,94700000,,,
2005-12-31,32861000,332200000,68199000,,1440227000,,195454000,,206648000,1686000,,3838250000,,-1374621000,-11363000,558135000,475388000,-61048000,-91589000,-234299000,68199000,72343000,65285000,64359000,5124709000,1746395000,-51128000,1.02,596297000,17195000,128834000,64359000,104623000,101231000,217983000,1286459000,,184648000,564623000,,-4804000,52037000,,0,210451000,1,64359000,4528412000,636583000,723496000,,485069000,2988306000,321786000,2667166000,,,68199000,63097059,,99413000,,4362927000,98146000,28318000,,-6465000,161195000,2076810000,-109795000,-221814000,51004000,-154643000,332200000,,,
2006-12-31,63970000,764345000,123419000,,1609959000,,219123000,,214229000,3007000,,4472328000,,-1646721000,-76694000,8853000,582005000,-10522000,28909000,-20243000,123419000,8242000,121586000,121586000,6165624000,1765907000,-59708000,1.75,690875000,68199000,168126000,121586000,96624000,240170000,276023000,1693296000,383000,332277000,623936000,,610371000,63329000,,0,244424000,1.73,70280925,5474749000,861710000,1310851000,,607679000,4196803000,431976000,2721542000,,,123419000,69477714,,146578000,,5843524000,185556000,47331000,,12747000,279705000,2471669000,-102265000,-321118000,55220000,-799575000,764345000,,,
2007-12-31,3226000,1115119000,17791000,,1323008000,,337581000,,148955000,-580000,,4179725000,,-1481590000,-233411000,1217722000,465979000,-50579000,11208000,-18267000,17763000,336057000,59358000,74874000,5872136000,1231859000,-70336000,0.98,605877000,123419000,134325000,74874000,163642000,15282000,214588000,1692411000,39575000,319995000,638229000,,-254630000,41312000,,0,222533000,0.96,77993750,5266259000,591021000,1584069000,,627012000,2942353000,269365000,2224930000,,-104000,17763000,76402041,,120683000,,4423943000,62584000,35423000,,15071000,125042000,1914029000,,-455944000,-105628000,-73531000,1115119000,,,
2008-12-31,-90816000,950361000,140644000,,1433753000,,289234000,,174068000,82637000,,4403070000,,-1545950000,-256854000,1149986000,725335000,-68999000,30948000,-1401000,140619000,27921000,-305272000,-270644000,6147982000,1379011000,-57498000,-3.24,752633000,17791000,192257000,-271172000,180296000,251042000,253311000,1646406000,269827000,303959000,327290000,,355471000,49397000,,0,88097000,-3.24,83468000,5395349000,525769000,1428388000,,596553000,3192025000,-49092000,2612144000,,-9921000,140619000,83468000,,132955000,,4737975000,-396088000,-46692000,,-80484000,-199566000,1959522000,,-344951000,122853000,-320715000,950361000,,,
2009-12-31,28818000,200125000,14641000,,966528000,2957572000,70552000,-70540000,111432000,6009000,50671000,3520845000,495737000,-1611496000,-200325000,0,489274000,-234363000,-46057000,-951000,14641000,4338000,65933000,124844000,5359921000,1565206000,-46229000,1.36,578205000,140644000,106593000,124316000,151481000,1245000,262282000,1749717000,30104000,45341000,405884000,173446000,-593435000,50631000,2188000,0,87706000,1.36,91408824,4781716000,681216000,563273000,26567000,551684000,3340372000,390402000,70963000,-11162000,-1083000,65312000,91408824,321310000,122205000,-79546000,4951868000,94751000,27727000,-898751000,26770000,191942000,1647744000,-129833000,-288031000,-126003000,379726000,206375000,,,
2010-12-31,-32255000,224252000,15404000,,960067000,2971511000,132402000,-15462000,95969000,15435000,0,3491635000,279584000,-1629000000,5864000,0,473998000,-101551000,-68666000,-2986000,15404000,2004000,-31124000,-44687000,5225083000,1563595000,-46254000,-0.49,543880000,14641000,97245000,-45215000,109704000,0,264556000,1648271000,55150000,47783000,314943000,186067000,-10683000,52479000,2894000,100000000,287352000,-0.49,91557000,4681203000,713450000,520124000,26425000,558195000,3451777000,248061000,147616000,0,-1848000,15404000,91557000,321310000,125373000,,5080777000,-63379000,35674000,-405970000,-196354000,239452000,1673517000,-106126000,-281488000,763000,-275906000,152120000,,,
2011-12-31,121535000,85087000,15091000,,943465000,3163408000,78390000,20969000,103139000,-22983000,0,3536676000,260107000,-1742051000,-34691000,0,499855000,-83647000,-66856000,-209262000,15091000,-10947000,190934000,176887000,5204613000,1671626000,-45656000,1.98,462819000,15404000,87794000,176359000,177560000,0,279176000,1585514000,35866000,53114000,447650000,195366000,-312331000,54231000,6556000,0,292240000,1.96,89757000,4741794000,757154000,373268000,,660870000,3631765000,632684000,-3190000,,-2200000,15091000,89201000,278297000,124849000,,5373816000,312469000,124424000,-110752000,164504000,257299000,1700619000,-149185000,-326931000,-313000,19778000,112759000,,,
2012-12-31,54910000,161230000,8985000,18176000,656392000,3237921000,70610000,14020000,99177000,-16552000,,3672024000,252435000,-1816998000,-27560000,0,412290000,-96141000,-81630000,-25168000,8985000,1353000,120125000,106075000,5372583000,1669760000,-45137000,1.32,442191000,15091000,87093000,105547000,190785000,,187740000,1619716000,-4115000,52003000,506998000,206499000,-1560000,59643000,3585000,11529000,281349000,1.31,80417000,4930392000,686011000,434103000,,715787000,3750974000,502379000,16579000,0,-5412000,8985000,79799000,278297000,120845000,-2547000,5567972000,175035000,56243000,-46387000,9087000,273721000,1342403000,-173158000,-308909000,-6106000,-285895000,91580000,,,
2013-12-31,59513000,224200000,2533000,13456000,678259000,3245412000,59006000,4484000,109666000,-36928000,,3738083000,260890000,-1886240000,38548000,0,410587000,-4255000,-58140000,-13807000,2533000,4096000,115556000,101035000,5500210000,1670420000,-51508000,1.26,401539000,8985000,90251000,100507000,294497000,,179210000,1685098000,10992000,49600000,553340000,208173000,-61593000,67223000,5320000,11529000,386587000,1.25,80431000,5098671000,709664000,492671000,,827263000,3938264000,504690000,30635000,,-7580000,2533000,79845000,278297000,121448000,-7562000,5824504000,175069000,60430000,-38968000,-12603000,299077000,1387923000,-282000000,-348039000,-6452000,-331446000,80885000,,,
2014-12-31,69738000,438666000,28274000,12555000,723765000,3318422000,106326000,-2311000,110029000,-20418000,,4022704000,261445000,-1984267000,-45782000,0,411329000,13175000,-61755000,-17319000,28274000,-167000,130909000,116782000,5829325000,1642024000,-59468000,1.46,432817000,2533000,87038000,116254000,138747000,,171111000,1733075000,-456000,53863000,609456000,209867000,96194000,63628000,5931000,11529000,414876000,1.45,80279445,5396508000,712088000,704282000,,891111000,4273412000,492908000,42153000,-36235000,5504000,28274000,79626027,278297000,119627000,-4975000,6257679000,200647000,72481000,-168600000,11032000,300759000,1435853000,-127016000,-460658000,25741000,-485329000,73106000,,,
2015-12-31,15075000,375579000,46051000,12216000,710558000,3630459000,83174000,-32269000,100419000,-23756000,,4271579000,259646000,-2103227000,-171715000,0,436703000,-38482000,-71432000,-17720000,46051000,2741000,31078000,16168000,6009328000,1966969000,-64251000,0.2,385570000,28274000,98699000,15640000,273868000,,179100000,1666342000,160975000,58306000,559780000,222861000,175431000,67386000,4863000,11529000,386874000,0.2,80139000,5623758000,728524000,641120000,,877393000,4538776000,383874000,40488000,0,-180000,46051000,79759000,278297000,114860000,-3298000,6642003000,46153000,16451000,-333066000,-137306000,291821000,1439082000,-262548000,-558589000,17777000,-544528000,76944000,,,
2016-12-31,63278000,560448000,4522000,11374000,593010000,3909571000,77299000,3159000,86705000,-14769000,,4714679000,273524000,-2378843000,-184622000,0,476945000,-23096000,-92451000,-15451000,4522000,-92064000,131896000,117377000,6471080000,2119364000,-70623000,1.47,378039000,46051000,87012000,116849000,531148000,,191514000,1687481000,13122000,61871000,604742000,242033000,242392000,73027000,5634000,11529000,415454000,1.46,80132000,6093041000,769941000,805108000,,940650000,4908119000,565840000,58599000,0,-4169000,4522000,79758000,278297000,128633000,2543000,7286962000,195174000,63805000,-453793000,8518000,292996000,1362951000,-538383000,-600076000,-41529000,-699375000,65262000,,,
2017-12-31,130340000,562295000,3974000,11028000,616505000,4037482000,50291000,14468000,121383000,-30095000,,4873126000,340537000,-2636216000,24001000,0,494977000,28564000,-95940000,-13929000,3974000,38752000,95419000,80402000,6646103000,2180750000,-77792000,1,294420000,4522000,90473000,79874000,637492000,,186345000,1706782000,19849000,62357000,633528000,268194000,-58847000,66502000,6194000,11529000,524462000,1,80141000,6351683000,828498000,835644000,,547210000,4983631000,621578000,80484000,-4077000,1473000,3974000,79891000,278297000,127625000,-1846000,7619847000,225759000,130528000,-274070000,3947000,333521000,1445003000,-650284000,-500461000,-548000,-466163000,57341000,,,
2018-12-31,7775000,235900000,2122000,10695000,625637000,4588975000,58259000,-20714000,112170000,-22711000,,5101428000,355103000,-2646688000,-72987000,,509331000,-39735000,-108684000,-12635000,2122000,56978000,101282000,86170000,6865551000,2670111000,-84961000,1.07,302524000,3974000,92800000,85642000,984533000,,188470000,1699911000,58723000,65156000,643953000,275641000,45646000,71834000,7120000,11529000,428226000,1.07,80039252,6563027000,810976000,512453000,,600719000,5238033000,477489000,,-9000000,-5331000,2122000,80039252,278297000,127244000,,7884721000,109057000,8019000,-869662000,-80884000,301645000,1436613000,-1007022000,-501213000,-1852000,-475724000,65301000,,,
2019-12-31,-25282000,675368000,3833000,10585000,625219000,4578014000,51845000,-272000,103118000,-12551000,,5545495000,454347000,-2755857000,-113110000,,537089000,14512000,-99377000,,3833000,-37000,92131000,77890000,7298774000,2517449000,-92926000,0.97,294010000,2122000,85889000,77362000,494528000,,189227000,1690227000,144012000,76815000,627523000,301068000,172446000,77929000,6414000,1162081000,503163000,0.97,79990000,7004764000,832384000,967481000,,626058000,5609680000,488933000,,-38250000,-6095000,,79931000,278297000,121016000,,8365537000,66849000,-25385000,-407302000,-121452000,295295000,1457603000,-513866000,-616273000,1711000,-673898000,47902000,,,
