date,annualInvestingCashFlow,annualOtherNonCashItems,annualStockholdersEquity,annualLongTermDebt,annualDepreciationAndAmortization,annualTotalAssets,annualNonCurrentDeferredTaxesLiabilities,annualRetainedEarnings,annualStockBasedCompensation,annualInventory,annualCurrentLiabilities,annualAccountsReceivable,annualCapitalStock,annualSaleOfInvestment,annualCommonStockIssuance,annualGoodwill,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOperatingIncome,annualChangeInAccountPayable,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIncomeExpense,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualRepaymentOfDebt,annualOperatingCashFlow,annualEbitda,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualNetOtherInvestingChanges,annualGrossPPE,annualCashAndCashEquivalents,annualOtherNonCurrentLiabilities,annualIncomeTaxPayable,annualPretaxIncome,annualInvestmentsAndAdvances,annualOperatingExpense,annualDilutedEPS,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualDeferredIncomeTax,annualRepurchaseOfCapitalStock,annualCapitalExpenditure,annualOtherNonCurrentAssets,annualBasicAverageShares,annualCurrentAssets,annualChangesInAccountReceivables,annualNetOtherFinancingCharges,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualBasicEPS,annualTotalRevenue,annualInterestExpense,annualGrossProfit,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualChangeInInventory,annualNetIncomeContinuousOperations,annualPurchaseOfBusiness,annualCashDividendsPaid,annualCostOfRevenue,annualBeginningCashPosition,annualCurrentDebt,annualNetIncome,annualDilutedAverageShares,annualFreeCashFlow,annualNonCurrentDeferredRevenue,annualResearchAndDevelopment,annualPurchaseOfInvestment,annualOtherShortTermInvestments,annualCurrentDeferredRevenue
2000-12-31,-248000000,,2109000000,5049000000,495000000,11159000000,354000000,994000000,,1288000000,2261000000,,780000000,,2000000,,3920000000,382000000,498000000,,1903000000,6594000000,-342000000,-1110000000,2969000000,,270000000,993000000,382000000,127000000,-3000000,5360000000,382000000,1191000000,,-232000000,,809000000,-1.4,-2391000000,314000000,11000000,-49000000,-262000000,1357000000,125700000,2913000000,,-88000000,,115000000,-176000000,58000000,-1.4,7289000000,393000000,1307000000,8246000000,-285000000,90000000,8855000000,-58000000,-26000000,-174000000,,-127000000,5982000000,267000000,300000000,-174000000,125700000,8000000,,,,,
2001-12-31,-163000000,,804000000,4475000000,499000000,9620000000,352000000,22000000,,862000000,2506000000,843000000,780000000,,,,3625000000,456000000,315000000,,836000000,6109000000,-322000000,-1447000000,2618000000,,310000000,814000000,456000000,-63000000,-23000000,5270000000,456000000,1282000000,,-448000000,,809000000,-7.74,-2652000000,310000000,482000000,,-168000000,955000000,125600000,2422000000,,9000000,707000000,74000000,-972000000,68000000,-7.74,7187000000,455000000,1124000000,7198000000,118000000,0,8615000000,528000000,377000000,-976000000,,,6063000000,382000000,845000000,-972000000,125600000,142000000,,,,,
2002-12-31,591000000,,-87000000,3388000000,375000000,7505000000,370000000,-1183000000,,779000000,2270000000,664000000,902000000,,3000000,,2269000000,363000000,481000000,,820000000,5126000000,-295000000,-1386000000,2212000000,,415000000,856000000,363000000,-1128000000,0,4773000000,363000000,1368000000,,-161000000,,692000000,-8.38,-2561000000,317000000,-31000000,,-115000000,1000000000,143794749,2024000000,,-30000000,89000000,-93000000,-1205000000,640000000,-8.38,6792000000,342000000,1173000000,5481000000,108000000,0,7396000000,30000000,20000000,-191000000,,,5619000000,456000000,666000000,-1205000000,143794749,300000000,,,,,
2003-12-31,-100000000,,140000000,3709000000,326000000,7773000000,317000000,-1215000000,,815000000,2036000000,692000000,929000000,,2000000,,2442000000,401000000,428000000,,955000000,5400000000,59000000,-1170000000,2112000000,,434000000,754000000,401000000,-328000000,0,5155000000,401000000,1374000000,,63000000,,663000000,-0.19,-3043000000,337000000,6000000,,-135000000,1097000000,168421053,2122000000,,-149000000,101000000,38000000,-32000000,728000000,-0.19,6630000000,379000000,1091000000,5651000000,200000000,0,7436000000,95000000,37000000,-32000000,,-24000000,5539000000,363000000,230000000,-32000000,168421053,299000000,,,,,
2004-12-31,-107000000,-25000000,277000000,3796000000,308000000,8125000000,342000000,-1164000000,,894000000,2080000000,790000000,929000000,,3000000,,2592000000,471000000,544000000,,1186000000,5567000000,-17000000,-1087000000,2002000000,,404000000,852000000,471000000,-246000000,-8000000,5316000000,471000000,1429000000,,133000000,,671000000,0.3,-3314000000,363000000,12000000,,-138000000,1188000000,164516129,2343000000,,-31000000,208000000,70000000,51000000,582000000,0.31,7199000000,361000000,1215000000,5782000000,42000000,0,7647000000,82000000,-37000000,51000000,,-41000000,5984000000,401000000,76000000,51000000,170000000,266000000,,,,,
2005-12-31,464000000,,-236000000,3192000000,282000000,6545000000,,-1526000000,,810000000,1943000000,686000000,929000000,,16000000,,2013000000,294000000,551000000,,1674000000,4592000000,-501000000,-1224000000,1607000000,,-122000000,833000000,294000000,-497000000,-11000000,4543000000,294000000,1400000000,,-314000000,,598000000,-2.18,-2936000000,349000000,-35000000,-38000000,-192000000,1080000000,166055046,1845000000,,-26000000,,-177000000,-362000000,58000000,-2.18,6908000000,361000000,1149000000,4700000000,65000000,0,6535000000,-2000000,-28000000,-351000000,,-45000000,5759000000,471000000,211000000,-362000000,166055046,-314000000,,,,,
2006-12-31,-111000000,-117000000,-545000000,3420000000,230000000,6358000000,106000000,-1217000000,,906000000,1956000000,689000000,929000000,,18000000,2185000000,,407000000,566000000,,1224000000,4668000000,43000000,-1731000000,1608000000,,355000000,796000000,407000000,-158000000,-8000000,4787000000,407000000,1142000000,,335000000,,326000000,1.82,-3179000000,326000000,-110000000,-135000000,-191000000,473000000,165240642,2062000000,,-49000000,162000000,113000000,309000000,429000000,1.87,6982000000,286000000,892000000,4296000000,-18000000,0,6624000000,-62000000,-66000000,342000000,,,6090000000,294000000,121000000,309000000,169780220,164000000,,,,,
2007-12-31,-94000000,124000000,15000000,3354000000,229000000,6979000000,81000000,-654000000,,1030000000,2083000000,673000000,929000000,,14000000,2199000000,,457000000,613000000,,1328000000,4558000000,-108000000,-1646000000,1604000000,,509000000,842000000,457000000,-396000000,-11000000,5098000000,457000000,1123000000,,201000000,,414000000,3.19,-3494000000,414000000,-486000000,-118000000,-156000000,523000000,161467890,2234000000,,-30000000,646000000,50000000,528000000,0,3.27,7727000000,318000000,1027000000,4745000000,118000000,0,6641000000,-400000000,-19000000,528000000,,-38000000,6700000000,407000000,83000000,528000000,165517241,353000000,,,,,
2008-12-31,-186000000,52000000,-317000000,3247000000,216000000,6749000000,98000000,-428000000,16000000,979000000,2072000000,615000000,929000000,,10000000,1956000000,,596000000,970000000,,1266000000,4994000000,-21000000,-2195000000,1473000000,-94000000,422000000,960000000,596000000,-77000000,-27000000,4860000000,596000000,1747000000,18000000,442000000,22000000,468000000,1.39,-3387000000,396000000,23000000,-35000000,-174000000,863000000,159589240,2457000000,-110000000,-77000000,34000000,139000000,226000000,1982000000,1.42,8305000000,302000000,1438000000,4292000000,-95000000,0,7066000000,112000000,-23000000,330000000,,-65000000,6867000000,457000000,90000000,226000000,162931236,248000000,,,,,
2009-12-31,-200000000,43000000,-6000000,2739000000,194000000,6532000000,,-94000000,18000000,960000000,1925000000,,929000000,,23000000,2050000000,,459000000,757000000,,1163000000,4224000000,-57000000,-2255000000,1509000000,-562000000,756000000,900000000,459000000,-701000000,-20000000,5110000000,459000000,1485000000,25000000,459000000,,630000000,2.06,-3601000000,381000000,-81000000,-4000000,-180000000,731000000,159139673,2242000000,,-52000000,149000000,-137000000,334000000,1866000000,2.1,7938000000,247000000,1387000000,4290000000,66000000,0,6149000000,7000000,50000000,450000000,-22000000,-87000000,6551000000,596000000,59000000,334000000,161947196,576000000,,,,,
2010-12-31,-281000000,42000000,-96000000,2649000000,172000000,6899000000,,230000000,20000000,1060000000,2377000000,,929000000,,13000000,1984000000,,463000000,878000000,,1300000000,4293000000,-70000000,-2333000000,1610000000,-734000000,590000000,817000000,463000000,-299000000,0,5185000000,463000000,1644000000,30000000,614000000,,372000000,2,-3575000000,360000000,52000000,-255000000,-320000000,656000000,159398667,2649000000,,-234000000,160000000,4000000,324000000,1978000000,2.03,7941000000,203000000,1250000000,4250000000,-163000000,0,6670000000,165000000,-119000000,452000000,0,-112000000,6691000000,459000000,399000000,324000000,162389003,270000000,,,,,
2011-12-31,-372000000,77000000,-473000000,3337000000,176000000,6868000000,,512000000,18000000,1148000000,2285000000,797000000,929000000,,11000000,1952000000,,342000000,925000000,,1393000000,4822000000,-117000000,-2590000000,1751000000,-1069000000,379000000,995000000,342000000,-129000000,3000000,5348000000,342000000,1485000000,13000000,587000000,,423000000,1.83,-3597000000,423000000,68000000,-514000000,-401000000,562000000,151705706,2603000000,,-124000000,409000000,-121000000,282000000,76000000,1.86,8644000000,232000000,1348000000,4265000000,-55000000,0,7107000000,-194000000,-119000000,396000000,,,7296000000,463000000,195000000,282000000,154273649,-22000000,,,,,
2012-12-31,-362000000,48000000,-162000000,3289000000,180000000,7490000000,23000000,1069000000,18000000,1166000000,2518000000,1057000000,929000000,48000000,15000000,1998000000,,350000000,860000000,-6000000,2142000000,4849000000,-5000000,-2614000000,1995000000,-66000000,621000000,1042000000,350000000,-254000000,-11000000,5824000000,350000000,1560000000,12000000,636000000,30000000,417000000,3.75,-3829000000,382000000,-138000000,-257000000,-324000000,747000000,146066394,2750000000,-113000000,-69000000,337000000,8000000,557000000,27000000,3.81,8470000000,226000000,1277000000,4740000000,-98000000,0,7367000000,-17000000,21000000,658000000,-78000000,,7193000000,342000000,376000000,557000000,148407801,297000000,,,,,
2013-12-31,-246000000,46000000,4000000,3469000000,134000000,8030000000,28000000,1395000000,21000000,1213000000,2920000000,884000000,929000000,8000000,21000000,2016000000,,689000000,885000000,246000000,1768000000,4821000000,-78000000,-2513000000,2152000000,-1022000000,885000000,946000000,689000000,-306000000,-2000000,6025000000,689000000,146000000,19000000,576000000,20000000,457000000,2.3,-3873000000,425000000,50000000,-300000000,-275000000,174000000,139500000,3180000000,-51000000,-106000000,390000000,339000000,324000000,58000000,2.32,8656000000,236000000,1342000000,4850000000,186000000,0,7741000000,148000000,-45000000,428000000,-16000000,,7314000000,350000000,373000000,324000000,140700000,610000000,,,,,
2014-12-31,-1021000000,129000000,119000000,5007000000,190000000,9708000000,29000000,1782000000,22000000,1324000000,2926000000,852000000,929000000,0,14000000,2671000000,255000000,965000000,939000000,219000000,1881000000,6395000000,-177000000,-2765000000,2437000000,-2071000000,912000000,959000000,965000000,445000000,2000000,6032000000,965000000,130000000,24000000,516000000,5000000,443000000,2.79,-3595000000,398000000,-83000000,-2000000,-328000000,151000000,137200000,3624000000,45000000,-238000000,413000000,276000000,387000000,68000000,2.82,9097000000,253000000,1382000000,6084000000,204000000,0,9321000000,41000000,-62000000,475000000,-733000000,,7715000000,689000000,252000000,387000000,138500000,584000000,,,,,
2015-12-31,-1548000000,66000000,144000000,5255000000,237000000,10020000000,223000000,2175000000,27000000,1213000000,2908000000,912000000,929000000,,6000000,3580000000,577000000,717000000,993000000,59000000,2645000000,6677000000,-95000000,-3154000000,2699000000,-907000000,956000000,1146000000,717000000,406000000,-27000000,6085000000,717000000,1422000000,40000000,639000000,5000000,416000000,2.82,-3386000000,390000000,43000000,-9000000,-354000000,692000000,137937938,3049000000,34000000,-122000000,421000000,-248000000,393000000,47000000,2.85,8762000000,270000000,1409000000,6971000000,153000000,0,9585000000,178000000,60000000,461000000,-1207000000,,7353000000,965000000,263000000,393000000,139135104,602000000,,,,,
2016-12-31,-442000000,44000000,366000000,4717000000,247000000,9599000000,203000000,2621000000,20000000,1245000000,2896000000,693000000,929000000,,10000000,6054000000,473000000,559000000,1065000000,163000000,1951000000,6035000000,-65000000,-3400000000,2820000000,-1946000000,930000000,1259000000,559000000,-616000000,21000000,6203000000,559000000,134000000,34000000,769000000,4000000,389000000,3.56,-3383000000,368000000,16000000,-8000000,-473000000,78000000,138530000,2841000000,29000000,-52000000,412000000,-158000000,496000000,36000000,3.58,8284000000,243000000,1454000000,10022000000,95000000,0,8931000000,186000000,-85000000,583000000,0,,6830000000,717000000,194000000,496000000,139310000,457000000,,,,,
2017-12-31,-509000000,48000000,601000000,5217000000,247000000,10663000000,202000000,3004000000,23000000,1385000000,3250000000,823000000,929000000,,9000000,3046000000,472000000,424000000,1125000000,253000000,2367000000,6490000000,-59000000,-3241000000,3239000000,-1137000000,760000000,1328000000,424000000,-400000000,-19000000,6918000000,424000000,152000000,23000000,829000000,9000000,374000000,2.38,-3679000000,371000000,247000000,-339000000,-498000000,111000000,135290000,3074000000,-132000000,-82000000,429000000,-135000000,323000000,23000000,2.39,8698000000,252000000,1499000000,7589000000,45000000,0,9740000000,401000000,-65000000,428000000,0,,7199000000,559000000,126000000,323000000,135610000,262000000,,,,,
2018-12-31,-3843000000,44000000,937000000,8517000000,425000000,15262000000,399000000,3449000000,27000000,1690000000,3913000000,1238000000,929000000,,1000000,4442000000,2193000000,607000000,1140000000,209000000,2732000000,10063000000,-37000000,-3374000000,3745000000,-333000000,571000000,1549000000,659000000,3533000000,495000000,7517000000,607000000,139000000,47000000,740000000,19000000,558000000,3.28,-3772000000,558000000,35000000,-4000000,-462000000,132000000,133600000,4079000000,-493000000,-144000000,573000000,224000000,439000000,52000000,3.28,11151000000,384000000,1698000000,11183000000,-513000000,,13976000000,216000000,-201000000,528000000,-3912000000,,9453000000,435000000,175000000,439000000,133900000,109000000,,,,,
2019-12-31,-374000000,-26000000,1713000000,7818000000,490000000,15505000000,405000000,3959000000,29000000,1626000000,3899000000,1100000000,929000000,,4000000,4430000000,2015000000,,1195000000,-87000000,2646000000,9514000000,-48000000,-3131000000,4091000000,-2870000000,1163000000,1654000000,663000000,-786000000,30000000,8016000000,607000000,127000000,67000000,786000000,20000000,1121000000,,-3925000000,631000000,-35000000,-7000000,-432000000,124000000,,4002000000,60000000,-129000000,610000000,4000000,510000000,44000000,,11665000000,378000000,2316000000,11503000000,12000000,,13413000000,166000000,61000000,625000000,-11000000,,9349000000,659000000,137000000,510000000,,731000000,,,,,
