date,annualCostOfRevenue,annualTotalRevenue,annualCurrentDeferredRevenue,annualOtherCurrentAssets,annualCurrentDebt,annualOperatingIncome,annualEndCashPosition,annualCommonStockIssuance,annualFreeCashFlow,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualTotalLiabilitiesNetMinorityInterest,annualCashAndCashEquivalents,annualCurrentAssets,annualAccountsReceivable,annualLongTermDebt,annualDilutedEPS,annualBeginningCashPosition,annualNetIncome,annualCashDividendsPaid,annualOtherNonCurrentAssets,annualSaleOfInvestment,annualNetIncomeCommonStockholders,annualSellingGeneralAndAdministration,annualBasicEPS,annualStockholdersEquity,annualOtherNonCashItems,annualRetainedEarnings,annualTotalAssets,annualTaxProvision,annualDepreciationAndAmortization,annualCurrentAccruedExpenses,annualCapitalStock,annualStockBasedCompensation,annualTotalNonCurrentAssets,annualOtherIntangibleAssets,annualNetPPE,annualOtherIncomeExpense,annualOperatingCashFlow,annualInventory,annualCurrentLiabilities,annualGrossProfit,annualEbitda,annualOtherNonCurrentLiabilities,annualChangeInInventory,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedAverageShares,annualPurchaseOfInvestment,annualPretaxIncome,annualInterestExpense,annualGoodwill,annualIncomeTaxPayable,annualGrossPPE,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualRepaymentOfDebt,annualBasicAverageShares,annualCashFlowFromContinuingFinancingActivities,annualOtherCurrentLiabilities,annualInvestingCashFlow,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,annualResearchAndDevelopment,annualChangesInAccountReceivables,annualPurchaseOfBusiness,annualNonCurrentDeferredRevenue
2001-01-31,4049852000,6151996000,,65130000,21568000.0,651315000,123621000,45879000.0,-108906000,48600000.0,-7109000,399939000,929218000,,-237506000.0,372148000,,,1450829000,,-25036000,1652515000,123621000,1921897000,,803081000,1.1,12608000,372148000,,192269000,,372148000,1317556000,1.13,2202639000,4624000.0,1287210000,3855154000,232966000,133273000,,3322000.0,,1933257000,14538000.0,1726450000,0.0,372075000,1003290000,723297000,2102144000,784588000,41881000,-208851000.0,84256000,172221000,333112720,-21100000.0,605114000,49332000,,,2111938000,427000.0,-385488000,,333112720,266055000,301790000.0,-527117000,-480981000,111013000,,,,
2002-01-31,4923527000,7488654000,,41400000,16418000.0,849975000,106722000,36128000.0,-120194000,229377000.0,0,478870000,1258209000,,-142902000.0,495676000,,,1715152000,,-28520000,2138180000,106722000,2464044000,835946000.0,1095420000,1.45,123621000,495676000,,256710000,,495676000,1557987000,1.48,2791406000,4783000.0,1782886000,4929586000,304188000,167049000,259598000.0,3351000.0,,2465542000,9338000.0,2199494000,0.0,541817000,1198307000,879971000,2565127000,1017024000,48561000,-195017000.0,114228000,336099000,335138497,-180777000.0,799864000,57351000,,,2689982000,17211000.0,-490488000,,335138497,312592000,125085000.0,-871308000,-662011000,-16899000,,,,
2003-01-31,5981219000,9120287000,,43519000,355464000.0,1090383000,90085000,31299000.0,-46384000,475991000.0,-3452000,694748000,1295594000,,-228910000.0,643381000,,,2048685000,,-32473000,2803586000,90085000,3284094000,990810000.0,1058784000,1.87,106722000,643381000,,102361000,,643381000,1857246000,1.91,3511917000,,2426267000,6315503000,390993000,201791000,315630000.0,3373000.0,,3031409000,189758000.0,2739290000,0.0,669584000,1626996000,1507992000,3139068000,1292174000,64859000,-428689000.0,171951000,566076000,346728000,-246614000.0,1034374000,59449000,,,3356284000,53322000.0,-616994000,,336676000,308834000,142150000.0,-995055000,-715968000,-16637000,,,,
2004-01-31,6887033000,10282094000,,70837000,12529000.0,1023304000,112748000,46257000.0,-77138000,34285000.0,-185000,532599000,1384754000,,-155799000.0,591152000,,,2371757000,,-25624000,2507111000,112748000,3024839000,1150157000.0,1075973000,1.72,90085000,591152000,,104539000,441706000.0,591152000,2134893000,1.74,4191339000,,3017419000,6698450000,359221000,247476000,441902000.0,3401000.0,,3673611000,244829000.0,3324243000,0.0,754461000,1606990000,1122357000,3395061000,1270780000,72069000,20006000.0,236712000,147033000,344907000,,950373000,75240000,,,4099712000,71632000.0,-775469000,,339199000,-316281000,135327000.0,-415517000,-831599000,22663000,,,,
2005-01-31,7586992000,11700619000,,47294000,3464000.0,1236702000,116717000,47094000.0,58060000,88767000.0,-79000,704655000,1556513000,,-149848000.0,730380000,,,2876925000,,-33411000,3012571000,116717000,3643437000,1389632000.0,1103441000,2.12,112748000,730380000,,338579000,,730380000,2588752000,2.14,4966728000,-4412000.0,3704969000,7979299000,443870000,289108000,570757000.0,3433000.0,,4335862000,9338000.0,3987945000,0.0,947658000,1946977000,1456058000,4113627000,1525810000,156521000,-339987000.0,296551000,205484000,344773000,-54482000.0,1174250000,64147000,,,4973151000,82430000.0,-985206000,,341724000,33802000,177182000.0,-977491000,-889598000,3969000,,,,
2006-01-31,8639278000,13402217000,,65826000,107941000.0,1416181000,126839000,22858000.0,82274000,160077000.0,14458000,829971000,1449245000,,-348371000.0,841960000,,,3346758000,,-33056000,3195700000,126839000,4266052000,1652065000.0,1046104000,2.43,116717000,841960000,,121436000,,841960000,3007842000,2.45,5957338000,,4370853000,9153038000,503830000,339826000,641635000.0,3450000.0,,4886986000,221718000.0,4543832000,0.0,881691000,2237568000,1746455000,4762939000,1756007000,185340000,-290591000.0,217801000,286916000,346772000,-71310000.0,1345790000,72086000,,,5785531000,18793000.0,-1241699000,,344172000,32214000,166908000.0,-903783000,-799417000,10122000,,,,
2007-01-31,9890513000,15544184000,,152351000,18841000.0,1814772000,189170000,94594000.0,1957131000,431230000.0,25707000,934376000,1519124000,,1573974000.0,1108681000,-1628416000.0,,3838899000,,-6856000,3437782000,189170000,3401040000,,1040057000,3.31,126839000,1108681000,,58539000,13238936000.0,1108681000,3451196000,3.34,5603395000,18992000.0,5479534000,9041177000,665764000,388515000,732178000.0,3485000.0,,5640137000,219286000.0,5352974000,0.0,3099378000,2588099000,1918658000,5653671000,2203287000,235537000,-350531000.0,243530000,620400000,334771000,-13509169000.0,1774445000,66743000,9338000.0,,7006709000,9216000.0,-1653735000,,332323000,-1617711000,233263000.0,-1419336000,-1142247000,62331000,,,,
2008-01-31,10459549000,16473734000,,133416000,12701000.0,1804477000,180543000,97412000.0,-307320000,483128000.0,-1136000,835985000,2687031000,,-371857000.0,1083851000,-747915000.0,,4209708000,,-4387000,4458479000,180543000,3723889000,,2051875000,3.39,189170000,1083851000,,107078000,7694333000.0,1083851000,3757563000,3.41,6101603000,81156000.0,6563385000,10560082000,658210000,453171000,798508000.0,3508000.0,,6836193000,209958000.0,6509819000,0.0,1234363000,2855733000,1771448000,6014185000,2257648000,372705000,-275025000.0,262451000,663671000,319720059,-7746231000.0,1742061000,82412000,9338000.0,,8539745000,-11958000.0,-2029926000,,317844868,324781000,124254000.0,-1567771000,-1541683000,-8627000,,,,
2009-01-31,10334000000,16389000000,,151000000,17000000.0,1536000000,167000000,5000000.0,687000000,509000000.0,0,881000000,2780000000,,87000000.0,885000000,-262000000.0,,4519000000,-46000000.0,10000000,4595000000,167000000,3700000000,,2053000000,2.89,181000000,885000000,,440000000,93000000.0,885000000,3978000000,2.89,6739000000,102000000.0,7448000000,11334000000,540000000,543000000,812000000.0,4000000.0,,7634000000,201000000.0,6984000000,0.0,1701000000,2799000000,1815000000,6055000000,2079000000,407000000,60000000.0,320000000,676000000,307000000,-532000000.0,1425000000,132000000,9000000.0,,9449000000,84000000.0,-2465000000,,306000000,-273000000,105000000.0,-1442000000,-1014000000,-14000000,,,,
2010-01-31,10680000000,17178000000,,222000000,,1712000000,2267000000,,1568000000,,-3000000,1188000000,2917000000,306000000.0,482000000.0,991000000,-1000000.0,321000000.0,4786000000,-36000000.0,-2000000,5307000000,2267000000,5485000000,,2052000000,3.23,643000000,991000000,,132000000,28000000.0,991000000,4196000000,3.25,7853000000,51000000.0,8439000000,13160000000,597000000,591000000,1002000000.0,4000000.0,64000000.0,7675000000,204000000.0,7018000000,-248000000.0,2234000000,2923000000,2390000000,6498000000,2303000000,488000000,-119000000.0,377000000,2267000000,306000000,0.0,1588000000,134000000,,184000000.0,9871000000,52000000.0,-2853000000,-17000000.0,305000000,30000000,0.0,-640000000,-666000000,1624000000,,,,
2011-01-31,11359000000,18391000000,,255000000,418000000.0,1914000000,2277000000,,915000000,,-3000000,1138000000,2752000000,-50000000.0,-267000000.0,1114000000,-1004000000.0,277000000.0,5118000000,-37000000.0,2000000,5462000000,2277000000,5645000000,,1678000000,3.65,2267000000,1114000000,,193000000,42000000.0,1114000000,4462000000,3.67,8102000000,66000000.0,9553000000,13564000000,668000000,656000000,1027000000.0,4000000.0,66000000.0,7919000000,193000000.0,7256000000,-264000000.0,1676000000,3036000000,2710000000,7032000000,2570000000,656000000,-107000000.0,418000000,2277000000,306000000,0.0,1782000000,141000000,,127000000.0,10604000000,38000000.0,-3348000000,-17000000.0,304000000,-949000000,0.0,-717000000,-761000000,10000000,,,,
2012-01-31,11625000000,18804000000,,299000000,0.0,2158000000,1205000000,,1216000000,,-135000000,1233000000,4996000000,96000000.0,-44000000.0,1167000000,-2311000000.0,153000000.0,5021000000,-53000000.0,-20000000,7586000000,1205000000,4775000000,,2141000000,4.3,2277000000,1167000000,-271000000.0,261000000,145000000.0,1167000000,4243000000,4.33,6508000000,1206000000.0,10195000000,14094000000,692000000,778000000,1130000000.0,4000000.0,57000000.0,9319000000,,8905000000,0.0,2143000000,3199000000,2590000000,7179000000,2936000000,460000000,-158000000.0,386000000,1205000000,271000000,,1859000000,299000000,,133000000.0,13462000000,144000000.0,-4557000000,-400000000.0,270000000,-2413000000,311000000.0,-802000000,-927000000,-1072000000,,,,
2013-01-31,12289000000,19279000000,,312000000,120000000.0,1890000000,537000000,,480000000,,1000000,1307000000,5322000000,74000000.0,-550000000.0,986000000,-1293000000.0,53000000.0,5100000000,-45000000.0,16000000,7857000000,537000000,4719000000,,2492000000,4.17,1205000000,986000000,-300000000.0,261000000,109000000.0,986000000,4267000000,4.19,6048000000,29000000.0,10878000000,13905000000,575000000,833000000,986000000.0,4000000.0,50000000.0,9186000000,,8872000000,0.0,1265000000,3748000000,2535000000,6990000000,2723000000,512000000,-523000000.0,362000000,537000000,237000000,,1561000000,329000000,,137000000.0,13980000000,-79000000.0,-5108000000,-111000000.0,235000000,-1273000000,275000000.0,-660000000,-785000000,-668000000,,,,
2014-01-31,12087000000,19031000000,,305000000,109000000.0,1742000000,971000000,,1241000000,,-14000000,1365000000,5664000000,58000000.0,18000000.0,889000000,-799000000.0,64000000.0,5202000000,-34000000.0,19000000,8400000000,971000000,5292000000,,2792000000,4.05,537000000,889000000,-302000000.0,277000000,1000000.0,889000000,4313000000,4.08,5978000000,43000000.0,11462000000,14378000000,515000000,889000000,1138000000.0,4000000.0,55000000.0,9086000000,,8745000000,0.0,1884000000,3874000000,2736000000,6944000000,2631000000,560000000,-116000000.0,382000000,971000000,220000000,,1404000000,338000000,,94000000.0,14124000000,-7000000.0,-5379000000,-115000000.0,218000000,-827000000,296000000.0,-623000000,-643000000,434000000,,,,
2015-01-31,12098000000,19023000000,307000000.0,361000000,106000000.0,1689000000,1407000000,,1342000000,,-16000000,1511000000,5581000000,146000000.0,149000000.0,867000000,-677000000.0,,5236000000,-20000000.0,7000000,8440000000,1407000000,5698000000,,2793000000,4.24,971000000,867000000,-317000000.0,218000000,82000000.0,867000000,4350000000,4.28,5991000000,31000000.0,12008000000,14431000000,482000000,886000000,1160000000.0,4000000.0,48000000.0,8733000000,,8515000000,-680000000.0,2024000000,3814000000,2859000000,6925000000,2575000000,562000000,68000000.0,368000000,1407000000,204000000,,1349000000,340000000,,78000000.0,14405000000,46000000.0,-5890000000,-114000000.0,203000000,-995000000,0.0,-593000000,-682000000,436000000,,,,
2016-01-31,12265000000,19204000000,323000000.0,331000000,88000000.0,1553000000,707000000,,784000000,,-27000000,1251000000,5401000000,-260000000.0,-326000000.0,673000000,-1001000000.0,,5386000000,-17000000.0,9000000,8115000000,707000000,5076000000,,2792000000,3.46,1407000000,673000000,-349000000.0,222000000,,673000000,4452000000,3.48,5491000000,24000000.0,12329000000,13606000000,384000000,934000000,1206000000.0,4000000.0,48000000.0,8530000000,,8308000000,-169000000.0,1474000000,4038000000,2714000000,6939000000,2487000000,563000000,-215000000.0,257000000,707000000,195000000,,1057000000,327000000,,130000000.0,14518000000,-38000000.0,-6210000000,-1362000000.0,193000000,-1493000000,0.0,-681000000,-690000000,-700000000,,,,
2017-01-31,11944000000,18686000000,329000000.0,378000000,67000000.0,1369000000,1074000000,,1380000000,,-12000000,1507000000,5423000000,256000000.0,518000000.0,556000000,-557000000.0,,5373000000,-14000000.0,12000000,8397000000,1074000000,5247000000,,2795000000,3.11,707000000,556000000,-358000000.0,224000000,0.0,556000000,4435000000,3.12,5177000000,30000000.0,12522000000,13574000000,319000000,938000000,1224000000.0,4000000.0,41000000.0,8327000000,,8103000000,-186000000.0,2148000000,3795000000,2974000000,6742000000,2307000000,671000000,249000000.0,272000000,1074000000,179000000,,875000000,308000000,,112000000.0,14891000000,13000000.0,-6788000000,-127000000.0,178000000,-1025000000,0.0,-756000000,-768000000,367000000,,,,
2018-01-31,12176000000,19095000000,330000000.0,481000000,125000000.0,1416000000,1308000000,,1019000000,,-14000000,1271000000,5263000000,-236000000.0,-155000000.0,859000000,-306000000.0,,5503000000,-11000000.0,23000000,7914000000,1308000000,5331000000,,2797000000,5.12,1074000000,859000000,-368000000.0,236000000,,859000000,4512000000,5.14,5426000000,2000000.0,13006000000,13340000000,258000000,991000000,1155000000.0,4000000.0,55000000.0,8009000000,,7773000000,,1691000000,3542000000,2651000000,6919000000,2407000000,662000000,264000000.0,213000000,1308000000,168000000,,1117000000,299000000,,99000000.0,15179000000,-61000000.0,-7406000000,-138000000.0,167000000,-808000000,0.0,-649000000,-672000000,234000000,,,,
2019-01-31,12199000000,20229000000,330000000.0,426000000,,1465000000,934000000,,1529000000,,-34000000,1187000000,4212000000,-84000000.0,133000000.0,801000000,-396000000.0,,6565000000,0.0,6000000,6942000000,934000000,4835000000,,1861000000,4.84,1308000000,801000000,-400000000.0,206000000,,801000000,5601000000,4.88,5527000000,18000000.0,13395000000,12469000000,241000000,964000000,1364000000.0,4000000.0,87000000.0,7634000000,,7428000000,-167000000.0,2107000000,3475000000,2730000000,8030000000,2429000000,644000000,79000000.0,184000000,934000000,165000000,,1042000000,256000000,,64000000.0,15390000000,-31000000.0,-7962000000,-1115000000.0,164000000,-1909000000,,-572000000,-578000000,-374000000,,,,
