date,annualGoodwill,annualPretaxIncome,annualTotalAssets,annualAccountsReceivable,annualCashDividendsPaid,annualNetIncome,annualLongTermDebt,annualSaleOfInvestment,annualOtherNonCashItems,annualCommonStockIssuance,annualStockholdersEquity,annualDepreciationAndAmortization,annualTotalRevenue,annualPurchaseOfInvestment,annualRetainedEarnings,annualInvestingCashFlow,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualOperatingIncome,annualAccountsPayable,annualOtherIncomeExpense,annualOperatingCashFlow,annualNetPPE,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualRepurchaseOfCapitalStock,annualIncomeTaxPayable,annualInvestmentsAndAdvances,annualEbitda,annualOtherNonCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,annualCashCashEquivalentsAndMarketableSecurities,annualCashAndCashEquivalents,annualBasicEPS,annualNetOtherInvestingChanges,annualInterestExpense,annualDilutedAverageShares,annualBeginningCashPosition,annualCurrentAssets,annualChangesInAccountReceivables,annualNetIncomeCommonStockholders,annualGrossPPE,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualDilutedEPS,annualRepaymentOfDebt,annualOtherCurrentLiabilities,annualCapitalExpenditure,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualCurrentDebt,annualTaxProvision,annualCapitalStock,annualCostOfRevenue,annualStockBasedCompensation,annualBasicAverageShares,annualTotalNonCurrentAssets,annualResearchAndDevelopment,annualOtherCurrentAssets,annualNetOtherFinancingCharges,annualGrossProfit,annualInventory,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualChangeInWorkingCapital,annualFreeCashFlow,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualOperatingExpense,annualChangeInInventory,annualCurrentDeferredRevenue,annualNonCurrentDeferredRevenue
1996-12-31,,166200000.0,993500000,,-4400000.0,104500000.0,89500000.0,3700000.0,23000000.0,4100000.0,530400000,34700000.0,910100000.0,,514300000.0,-74300000.0,0.0,-21400000.0,134200000.0,62400000.0,26200000.0,204300000.0,172300000.0,,45400000.0,251700000,125500000,,-15100000.0,,,168900000.0,36000000.0,,175700000.0,175700000.0,0.27,-51300000.0,,387894737.0,69000000.0,753500000,,104500000.0,290200000.0,22300000.0,326600000.0,-30700000.0,-117900000.0,0.27,,184900000.0,-26700000.0,,106600000.0,4400000.0,61700000.0,,357700000.0,,387352000.0,240000000,56900000.0,284300000.0,-2700000.0,552400000.0,127400000.0,377200000,,35600000.0,177600000.0,,104500000.0,418200000.0,3500000.0,,
1997-12-31,,195300000.0,985100000,,-9700000.0,125300000.0,4400000.0,,3100000.0,5400000.0,612800000,33300000.0,980100000.0,-5100000.0,612900000.0,-79700000.0,0.0,-30400000.0,183900000.0,55000000.0,10500000.0,91900000.0,163900000.0,,46100000.0,303000000,33600000,,-25600000.0,,,217200000.0,29200000.0,,154000000.0,154000000.0,0.325,-39400000.0,,391562500.0,175700000.0,756600000,,125300000.0,300500000.0,18500000.0,341500000.0,2000000.0,-136600000.0,0.32,,174400000.0,-35200000.0,,-21600000.0,73600000.0,70000000.0,,364500000.0,,385538462.0,228500000,56900000.0,290200000.0,6200000.0,615600000.0,136200000.0,336600000,,-73100000.0,56700000.0,,125300000.0,431700000.0,-18200000.0,,
1998-12-31,,60000000.0,2885900000,,-10600000.0,39600000.0,1488000000.0,179800000.0,-100000.0,6700000.0,652100000,37600000.0,1103200000.0,,640900000.0,-1566200000.0,0.0,1386800000.0,188800000.0,162400000.0,-128900000.0,154500000.0,429500000.0,,897900000.0,699500000,1517600000,,,,,226400000.0,29600000.0,,125000000.0,125000000.0,0.1025,-100000.0,,396000000.0,154000000.0,1311800000,,39600000.0,597200000.0,246700000.0,381200000.0,-44400000.0,-167700000.0,0.1,,522100000.0,-1745900000.0,,-29100000.0,15000000.0,20400000.0,,434500000.0,,386341463.0,1574100000,61100000.0,207200000.0,7400000.0,668700000.0,554000000.0,2217100000,,-15900000.0,-1591400000.0,,39600000.0,479900000.0,-30200000.0,,
1999-12-31,,29800000.0,2580500000,377700000.0,-11600000.0,19400000.0,1181100000.0,16400000.0,,7200000.0,671500000,162800000.0,2103700000.0,-5000000.0,668100000.0,-79400000.0,80000000.0,-230600000.0,364700000.0,110400000.0,-212300000.0,284000000.0,391500000.0,3500000.0,898900000.0,669600000,1239400000,,,,,527500000.0,58300000.0,-43100000.0,83500000.0,80000000.0,0.05,0.0,122600000.0,388000000.0,121300000.0,1110400000,,19400000.0,613100000.0,179700000.0,808400000.0,-48600000.0,-221600000.0,0.05,,138000000.0,-76200000.0,267800000.0,-41300000.0,106300000.0,10400000.0,9700000.0,723700000.0,,388000000.0,1470100000,105200000.0,0.0,-3800000.0,1380000000.0,386100000.0,1909000000,,-66000000.0,207800000.0,,19400000.0,1015300000.0,14700000.0,,
2000-12-31,,334900000.0,2430800000,343700000.0,-12700000.0,221000000.0,876500000.0,7100000.0,,14200000.0,854900000,168600000.0,2289400000.0,,873400000.0,-93300000.0,54000000.0,-258700000.0,431700000.0,94100000.0,-200000.0,331800000.0,378100000.0,,839300000.0,617400000,958500000,,,,,600300000.0,82000000.0,-102400000.0,54000000.0,54000000.0,0.565,0.0,96600000.0,401818182.0,80000000.0,997000000,,221000000.0,655900000.0,132400000.0,885600000.0,28700000.0,-277800000.0,0.55,,56800000.0,-80700000.0,296900000.0,-26000000.0,136000000.0,113900000.0,19600000.0,740500000.0,,391150442.0,1433800000,122200000.0,0.0,-6800000.0,1548900000.0,392100000.0,1575900000,,-93400000.0,251100000.0,,221000000.0,1117200000.0,-20200000.0,,
2001-12-31,,405700000.0,2423600000,332100000.0,-15700000.0,267000000.0,720900000.0,,,14700000.0,1056200000,172000000.0,2602300000.0,,1120700000.0,-195900000.0,50100000.0,-277600000.0,472600000.0,108500000.0,1000000.0,468300000.0,444000000.0,,802300000.0,533400000,834000000,,,,,644600000.0,113100000.0,-167400000.0,50100000.0,50100000.0,0.68,0.0,67900000.0,404545455.0,54000000.0,993100000,,267000000.0,756900000.0,123800000.0,985400000.0,29100000.0,-312900000.0,0.66,,213100000.0,-161900000.0,210100000.0,-3900000.0,1700000.0,133900000.0,19700000.0,963800000.0,,392647059.0,1430500000,142100000.0,0.0,-1000000.0,1638500000.0,399800000.0,1367400000,,-29900000.0,306400000.0,,271800000.0,1165900000.0,-10200000.0,,
2002-12-31,460000000.0,506700000.0,2815500000,406700000.0,-19700000.0,345600000.0,491000000.0,,,32000000.0,1498200000,186100000.0,3011600000.0,,1442600000.0,-311800000.0,37800000.0,-212600000.0,564700000.0,106000000.0,-17700000.0,503900000.0,519200000.0,,475100000.0,707500000,609800000,,,,,750800000.0,118800000.0,-84900000.0,37800000.0,37800000.0,0.875,0.0,40300000.0,406588235.0,50100000.0,1151300000,,345600000.0,924700000.0,148100000.0,1165400000.0,-1800000.0,-405500000.0,0.85,,158700000.0,-139000000.0,432100000.0,-12300000.0,10700000.0,161100000.0,19800000.0,1111200000.0,,394971429.0,1664200000,141400000.0,0.0,100000.0,1900400000.0,426500000.0,1317300000,,-56200000.0,364900000.0,,345600000.0,1335700000.0,7000000.0,,
2003-12-31,,652500000.0,3159100000,498600000.0,-23700000.0,453500000.0,18800000.0,,-90700000.0,26900000.0,2154800000,229700000.0,3625300000.0,,1868100000.0,-151600000.0,65900000.0,-476300000.0,671300000.0,137800000.0,3800000.0,648500000.0,604700000.0,,965500000.0,850500000,153800000,,,,,901000000.0,135000000.0,96600000.0,65900000.0,65900000.0,1.14,0.0,22600000.0,406726457.0,37800000.0,1397600000,,453500000.0,1080100000.0,165200000.0,1416000000.0,-32900000.0,-475400000.0,1.115,,146900000.0,-144500000.0,558500000.0,28100000.0,7300000.0,199000000.0,20000000.0,1312400000.0,,397807018.0,1761500000,180200000.0,0.0,600000.0,2312900000.0,467900000.0,1004300000,,43300000.0,504000000.0,,453500000.0,1641600000.0,-5800000.0,,
2004-12-31,,717000000.0,4083800000,751100000.0,-28000000.0,465700000.0,700000.0,,10200000.0,,2752000000,250900000.0,4262300000.0,,2297600000.0,-324000000.0,349400000.0,10600000.0,841200000.0,214500000.0,-117400000.0,593300000.0,700500000.0,,963200000.0,1113500000,218300000,,,,,1092100000.0,217600000.0,196000000.0,349400000.0,349400000.0,1.16,0.0,6800000.0,408508772.0,65900000.0,2142600000,,465700000.0,1224700000.0,238900000.0,1652200000.0,-65500000.0,-524200000.0,1.14,,187000000.0,-187800000.0,702700000.0,283500000.0,9300000.0,251300000.0,40300000.0,1510100000.0,,401465517.0,1941200000,211000000.0,0.0,56000000.0,2752200000.0,552500000.0,1331800000,,-243200000.0,405500000.0,,465700000.0,1911000000.0,-63000000.0,,
2005-12-31,,1003300000.0,4944100000,770300000.0,-36200000.0,675200000.0,184200000.0,968400000.0,,30400000.0,3251800000,289900000.0,4871500000.0,-1543400000.0,2928200000.0,-903000000.0,491200000.0,201900000.0,1014700000.0,206500000.0,-11400000.0,863800000.0,831000000.0,565300000.0,922900000.0,1248800000,443500000,,,,,1304600000.0,259300000.0,3600000.0,1056500000.0,491200000.0,1.67,0.0,,411707317.0,349400000.0,2870100000,,675200000.0,1402500000.0,277400000.0,1814300000.0,20400000.0,-571500000.0,1.64,,207300000.0,-271700000.0,787600000.0,141800000.0,47400000.0,328100000.0,40500000.0,1713900000.0,,404311377.0,2074000000,279800000.0,0.0,-13800000.0,3157600000.0,563500000.0,1692300000,,-189400000.0,592100000.0,,675200000.0,2142900000.0,-39700000.0,,
2006-12-31,531300000.0,1103800000.0,5873800000,907000000.0,-44600000.0,777700000.0,,8709700000.0,71800000.0,48600000.0,4191000000,331800000.0,5405600000.0,-9137800000.0,3490500000.0,-742300000.0,416600000.0,-203200000.0,1127000000.0,252200000.0,-23200000.0,867300000.0,951700000.0,998200000.0,405700000.0,1351500000,331300000,,,,,1458800000.0,,90600000.0,1414800000.0,416600000.0,1.91,0.0,,411481481.0,491200000.0,3534300000,,777700000.0,1651000000.0,332200000.0,2061700000.0,-27100000.0,-699300000.0,1.89,,297900000.0,-217500000.0,786600000.0,-74600000.0,14800000.0,326100000.0,40800000.0,1848700000.0,,407172775.0,2339500000,324600000.0,0.0,20000000.0,3556900000.0,677600000.0,1682800000,,-345600000.0,649800000.0,,777700000.0,2429900000.0,-86800000.0,,
2007-12-31,527400000.0,1370100000.0,7354000000,1030700000.0,-89700000.0,1017400000.0,,13772400000.0,98200000.0,69500000.0,5378500000,366600000.0,6000500000.0,-14851900000.0,4364700000.0,-1178200000.0,290500000.0,13600000.0,1307300000.0,265500000.0,43000000.0,1028300000.0,991600000.0,2120300000.0,398100000.0,1333000000,642500000,,,,,1673900000.0,,260800000.0,2410800000.0,290500000.0,2.48,0.0,,416967213.0,416600000.0,4904900000,,1017400000.0,1785900000.0,360200000.0,2391500000.0,-147100000.0,-794300000.0,2.44,,194300000.0,-187700000.0,856400000.0,-126100000.0,16800000.0,383400000.0,41100000.0,1865200000.0,,410241935.0,2449100000,375300000.0,0.0,33000000.0,4135300000.0,796200000.0,1975500000,,-274400000.0,840600000.0,,986700000.0,2828000000.0,-89900000.0,,
2008-12-31,567500000.0,1580200000.0,7603300000,1129500000.0,-135600000.0,1147800000.0,,17303200000.0,-359500000.0,,5406700000,387600000.0,6718200000.0,-16832300000.0,4389500000.0,310100000.0,701100000.0,-1046100000.0,1553900000.0,274300000.0,26300000.0,1175900000.0,963800000.0,1494500000.0,368000000.0,1462100000,734500000,10400000.0,-1000000000.0,30000000.0,275200000.0,1941500000.0,,164800000.0,2195600000.0,701100000.0,2.81,456700000.0,52600000.0,413600000.0,290500000.0,4979300000,-131200000.0,1147800000.0,1871000000.0,724700000.0,2625100000.0,-17600000.0,-907200000.0,2.78,-19300000.0,0.0,-155200000.0,978700000.0,410600000.0,20500000.0,432400000.0,39600000.0,2131400000.0,65500000.0,408100000.0,2624000000,367800000.0,701500000.0,89500000.0,4586800000.0,952700000.0,2196600000,,-428500000.0,1020700000.0,-14200000.0,1147800000.0,3032900000.0,-180200000.0,,
2009-12-31,956800000.0,1623900000.0,9071300000,1147100000.0,-198400000.0,1107400000.0,,3973700000.0,37900000.0,,6595100000,385300000.0,6723100000.0,-628400000.0,5397400000.0,-1328400000.0,658700000.0,-193300000.0,1661400000.0,200200000.0,-37500000.0,1460700000.0,947600000.0,2296100000.0,634700000.0,1441000000,1035200000,-80500000.0,0.0,134700000.0,285400000.0,2046700000.0,,258000000.0,2954800000.0,658700000.0,2.79,0.0,,399400000.0,701100000.0,5851200000,-9800000.0,1107400000.0,1963700000.0,681000000.0,2506300000.0,-72700000.0,-1016100000.0,2.77,-2700000.0,0.0,-131300000.0,1028400000.0,-42400000.0,18000000.0,516500000.0,39800000.0,2183700000.0,62300000.0,397400000.0,3220100000,336200000.0,806300000.0,7800000.0,4539400000.0,943000000.0,2476200000,,-99000000.0,1329400000.0,-570200000.0,1107400000.0,2878000000.0,33700000.0,,
2010-12-31,1072300000.0,1729600000.0,10895100000,1251900000.0,-238300000.0,1273400000.0,996500000.0,5210100000.0,49000000.0,,7173600000,410200000.0,7320000000.0,-408900000.0,6016900000.0,-795500000.0,1757600000.0,410100000.0,1874900000.0,291700000.0,-145300000.0,1547400000.0,827300000.0,2622500000.0,703000000.0,1605000000,2116500000,95900000.0,-425500000.0,47400000.0,290500000.0,2285100000.0,1120000000.0,153500000.0,4380100000.0,1757600000.0,3.21,0.0,,399500000.0,658700000.0,7596100000,-121400000.0,1273400000.0,1849900000.0,690100000.0,2707300000.0,-103800000.0,-1051600000.0,3.19,-80800000.0,0.0,-182100000.0,1170200000.0,1098900000.0,25300000.0,456200000.0,39100000.0,2285700000.0,68800000.0,396400000.0,3299000000,393900000.0,907300000.0,69000000.0,5034300000.0,1056800000.0,3721500000,,-259700000.0,1365300000.0,-265400000.0,1273400000.0,3159400000.0,-131200000.0,,
2011-12-31,2072000000.0,1686000000.0,12405000000,1417000000.0,-279000000.0,1345000000.0,1751000000.0,6869000000.0,1345000000.0,,7683000000,481000000.0,8307000000.0,-6779000000.0,6479000000.0,-2135000000.0,905000000.0,-161000000.0,1762000000.0,345000000.0,-76000000.0,1434000000.0,888000000.0,2513000000.0,1442000000.0,1841000000,2881000000,44000000.0,-622000000.0,116000000.0,318000000.0,2243000000.0,1130000000.0,144000000.0,3418000000.0,905000000.0,3.48,0.0,34000000.0,389500000.0,1758000000.0,7231000000,-152000000.0,1345000000.0,2055000000.0,792000000.0,3150000000.0,-164000000.0,-1167000000.0,3.45,-190000000.0,0.0,-226000000.0,825000000.0,-853000000.0,17000000.0,341000000.0,38000000.0,2811000000.0,75000000.0,386500000.0,5174000000,462000000.0,1113000000.0,4000000.0,5496000000.0,1283000000.0,4722000000,,-468000000.0,1208000000.0,-2066000000.0,1345000000.0,3734000000.0,-166000000.0,,
