date,annualPurchaseOfBusiness,annualStockholdersEquity,annualOtherNonCashItems,annualChangeInInventory,annualDilutedAverageShares,annualNonCurrentDeferredTaxesLiabilities,annualDilutedEPS,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,annualInvestingCashFlow,annualAccountsReceivable,annualPurchaseOfInvestment,annualCapitalStock,annualGrossProfit,annualOtherIntangibleAssets,annualStockBasedCompensation,annualNetPPE,annualGoodwill,annualSaleOfInvestment,annualOperatingCashFlow,annualCurrentLiabilities,annualBasicAverageShares,annualInventory,annualEbitda,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualCashCashEquivalentsAndMarketableSecurities,annualGainsLossesNotAffectingRetainedEarnings,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,annualPretaxIncome,annualEndCashPosition,annualOperatingIncome,annualOtherIncomeExpense,annualIncomeTaxPayable,annualAccountsPayable,annualGrossPPE,annualNetIncomeContinuousOperations,annualRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,annualOperatingExpense,annualTaxProvision,annualCashAndCashEquivalents,annualCapitalExpenditure,annualInterestExpense,annualCurrentAssets,annualTotalRevenue,annualChangesInAccountReceivables,annualNetOtherFinancingCharges,annualOtherNonCurrentAssets,annualCommonStockIssuance,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualChangeInWorkingCapital,annualBasicEPS,annualRetainedEarnings,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualBeginningCashPosition,annualLongTermDebt,annualCashDividendsPaid,annualOtherCurrentAssets,annualCurrentDeferredRevenue,annualNetIncome,annualCurrentDebt,annualCostOfRevenue,annualSellingGeneralAndAdministration,annualFreeCashFlow,annualTotalNonCurrentAssets,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,annualResearchAndDevelopment,annualOtherShortTermInvestments
1989-09-30,,3073400000,16000000.0,-32800000.0,890909091,,0.66,-512500000.0,230800000.0,-226700000,,-12000000.0,,2639400000,791900000.0,,1197700000,,16400000.0,751300000,1533200000,890909091,1286000000,1303800000,,382500000,14100000.0,112700000,,784800000.0,-61200000.0,954000000,0,1073000000,-40600000,,424600000.0,2335300000,588000000,-92200000.0,,1566400000,366000000,112700000,-285800000.0,78400000,2850500000,7071300000,,0.0,567900000,8300000.0,,801400000,-1137600000,588000000,,-83500000.0,0.66,3302100000,5408000000,2334600000,98600000,418900000,-250600000.0,211400000,,588000000,323800000,4431900000,1335600000,465500000,2557500000,,,,
1990-09-30,,2989900000,34300000.0,57600000.0,888695652,,0.69,153800000.0,269300000.0,-1008800000,,,,2840900000,1038000000.0,,1535800000,,,826500000,2335900000,888695652,1391600000,1412500000,,554400000,-14400000.0,98300000,,871900000.0,-806700000.0,989000000,0,1143200000,-37700000,,546000000.0,2793500000,613200000,,,1697700000,375800000,98300000,-309700000.0,116500000,3138700000,7573400000,,0.0,663900000,6200000.0,,1050600000,-1257700000,613200000,,-90300000.0,0.69,3109000000,6376400000,3386500000,112700000,496200000,-281200000.0,238800000,,613200000,918000000,4732500000,1428400000,516800000,3237700000,,,,
1991-09-30,,3256900000,32500000.0,5900000.0,890000000,,0.71,-447200000.0,294400000.0,-505800000,,,,2879900000,1053200000.0,,1583400000,,,966300000,2093800000,890000000,1348600000,1445800000,,563500000,4100000.0,102400000,,786700000.0,-202200000.0,1003100000,0,1151400000,-34900000,,542100000.0,2993800000,631900000,,,1728500000,371200000,102400000,-310900000.0,113400000,2988600000,7427000000,,0.0,739200000,11700000.0,,1013700000,-1410400000,631900000,,7500000.0,0.71,3445700000,6364400000,3107500000,98300000,450200000,-295200000.0,221100000,,631900000,765000000,4547100000,1434100000,655400000,3375800000,,,,
1992-09-30,,3729800000,-400000.0,45200000.0,895810811,,0.74,-704200000.0,295200000.0,-340500000,,,,2946600000,1108800000.0,,1694500000,,,1001200000,1811900000,895810811,1278200000,1486500000,,637300000,-22200000.0,80200000,,891000000.0,-14900000.0,1043900000,0,1191300000,-56400000,,487300000.0,3252200000,662900000,,,1755300000,381000000,80200000,-345500000.0,91000000,2977000000,7706000000,,0.0,846700000,200000.0,,1085300000,-1557700000,662900000,,43500000.0,0.74,3798600000,6627000000,2897200000,102400000,448000000,-309500000.0,253800000,,662900000,433600000,4759400000,1460100000,655700000,3650000000,,,,
1993-09-30,,3915100000,300000.0,53400000.0,896329114,,0.79,459800000.0,340700000.0,-1494100000,,,,3224700000,1834300000.0,,1880100000,,,1074800000,2692600000,896329114,1298300000,1618100000,,768800000,21700000.0,101900000,,1015900000.0,-1188500000.0,1112000000,0,1277400000,-46200000,,492800000.0,3586600000,708100000,-8200000.0,,1947300000,403900000,101900000,-305600000.0,119200000,3074300000,8173800000,,0.0,1025800000,,,1206800000,-1706500000,708100000,,25700000.0,0.79,4182500000,7814500000,3899400000,80200000,438000000,-324200000.0,282000000,,708100000,1183900000,4949100000,1606600000,769200000,4740200000,,,,
1994-09-30,,4341800000,27400000.0,-88500000.0,896928000,,0.88,-910000000.0,364500000.0,-185700000,1542600000.0,,238300000.0,3054200000,,,1947300000,1862900000.0,,1096800000,2617300000,896928000,1392200000,1739100000,,976000000,11400000.0,113300000,8700000.0,146200000.0,-1200000.0,1427800000,113300000,1374600000,141700000,,611400000.0,3840700000,904400000,-110800000.0,936400000.0,1679600000,523400000,113300000,-332300000.0,88500000,3338200000,8607200000,,0.0,1066600000,,,1255900000,-1893400000,788500000,,-82400000.0,0.88,4619100000,8215000000,3873200000,101900000,279900000,-349900000.0,290100000,,788500000,923300000,5553000000,1679600000,764500000,4876800000,,,,
1995-09-30,,4870800000,,-100200000.0,894285714,,1.015,-515600000.0,408900000.0,-627300000,1757600000.0,,238300000.0,3532500000,,,2134900000,2384900000.0,,1142400000,3280700000,894285714,1602600000,2008200000,,1038900000,4000000.0,117300000,17000000.0,173600000.0,20600000.0,1459900000,117300000,1599300000,-28800000,,740200000.0,4230500000,929000000,-51300000.0,979800000.0,1933200000,530900000,117300000,-420700000.0,110600000,3784100000,10012900000,,0.0,1095100000,,,1247500000,-2095600000,907700000,,-190900000.0,1.015,5128300000,9399000000,4528200000,113300000,208600000,-398500000.0,306600000,,907700000,1387100000,6480400000,1933200000,721700000,5614900000,,,,
1996-09-30,,5353400000,,-18000000.0,896284000,,1.1375,-750300000.0,464600000.0,-541000000,1979800000.0,,238300000.0,3984900000,,,2450800000,2779200000.0,,1317300000,3021100000,895384615,1743900000,2257500000,,1333900000,31700000.0,149000000,-29200000.0,199500000.0,272300000.0,1609000000,149000000,1792900000,-57000000,,791300000.0,4865600000,1018500000,-120300000.0,,2192000000,590500000,149000000,-513500000.0,126900000,4187200000,11149900000,,0.0,1063800000,,,2106500000,-2414800000,1018500000,,-131600000.0,1.1375,5707700000,10481000000,5127600000,117300000,772600000,-439100000.0,314500000,1063300000.0,1018500000,967000000,7165000000,2192000000,803800000,6293800000,,,,
1997-09-30,,5420700000,,-64400000.0,891514000,,1.26,-542800000.0,511600000.0,-860600000,2200200000.0,,238300000.0,4433000000,,,2735400000,3116000000.0,,1498600000,3842400000,890396825,1881600000,2493700000,,1629500000,72100000.0,221100000,-205900000.0,213300000.0,34000000.0,1783600000,221100000,1982100000,-77600000,,942100000.0,5433700000,1121900000,-376600000.0,1241900000.0,2450900000,661700000,221100000,-575400000.0,120900000,4716800000,12298600000,,0.0,895100000,,,2200200000,-2698300000,1121900000,,-42600000.0,1.26,6348900000,11463300000,6042600000,149000000,570700000,-480700000.0,413900000,,1121900000,1445100000,7865600000,2450900000,923200000,6746500000,,,,
1998-09-30,,5803300000,-58500000.0,-27700000.0,887075812,,1.385,-555500000.0,562500000.0,-1099300000,2416100000.0,,238300000.0,4851600000,,,3011600000,3702700000.0,,1651600000,4021700000,877571429,1996500000,2737400000,,1778200000,-11400000.0,209700000,-236200000.0,207900000.0,76200000.0,1923500000,209700000,2174900000,-99700000,,1036700000.0,6070700000,1228600000,-499400000.0,1252700000.0,2676700000,694900000,209700000,-602600000.0,151700000,5001300000,13447200000,,0.0,944200000,,,2834800000,-3059100000,1228600000,,-81000000.0,1.4,7056500000,12659800000,6856500000,221100000,1056600000,-521000000.0,379000000,,1228600000,1524400000,8595600000,2676700000,1049000000,7658500000,,,,
1999-09-30,,6180500000,,69000000.0,875733333,,1.5,-172700000.0,637500000.0,-1578100000,2516300000.0,,238300000.0,5075700000,4263000000.0,,3154400000,,,1810500000,4590400000,867062706,1921100000,2943000000,,1535500000,56400000.0,266100000,-271600000.0,263100000.0,215500000.0,2020900000,266100000,2305500000,-94900000,,1068800000.0,6377800000,1313600000,-323700000.0,1304800000.0,2770200000,707300000,266100000,-591600000.0,189700000,5124400000,14269500000,,0.0,1081700000,,,2852600000,-3223400000,1313600000,,35700000.0,1.515,7803700000,13623500000,7443000000,209700000,1317100000,-566400000.0,420900000,,1313600000,1953700000,9193800000,2770200000,1218900000,8499100000,,,,
2000-09-30,,6402800000,,-167000000.0,862060606,,1.65,704600000.0,678500000.0,-2495200000,2705600000.0,,238300000.0,5528800000,5320000000.0,,3243400000,,,1839800000,5218800000,854294294,2052700000,3219400000,,1295000000,14700000.0,280800000,-578600000.0,264900000.0,0.0,2178300000,280800000,2540900000,-75000000,,1210600000.0,6411600000,1422400000,-376200000.0,1390600000.0,2987900000,755900000,280800000,-692000000.0,287600000,5482700000,15544800000,,0.0,1118200000,,,3542700000,-3168200000,1422400000,,-104900000.0,1.665,8612900000,15164300000,8761500000,266100000,2247700000,-613200000.0,443600000,,1422400000,2352700000,10016000000,2987900000,1147800000,9681600000,,,,
2001-09-30,,6114000000,,99400000.0,859833333,,1.2,-1079800000.0,708500000.0,-547700000,2551200000.0,,238300000.0,5361100000,5182000000.0,,3288000000,,,1707700000,5379100000,849218107,1896800000,2297100000,,1297700000,74900000.0,355700000,-741300000.0,184700000.0,0.0,1588600000,355700000,1588600000,-386300000,,1127500000.0,6664200000,1031800000,-533700000.0,1619400000.0,3772500000,556800000,355700000,-554200000.0,304300000,5320100000,15479600000,,0.0,1256300000,,,3553300000,-3376200000,1031800000,,121200000.0,1.215,8990700000,15046400000,8932400000,280800000,2255600000,-654000000.0,516400000,,1031800000,2447500000,10118500000,3081900000,1153500000,9726300000,,,,
2002-09-30,,5741000000,,265000000.0,841379310,,0.145,-934000000.0,541000000.0,-881000000,2513000000.0,,238000000.0,4824000000,4910000000.0,,3116000000,,,1818000000,4400000000,841379310,1624000000,2415000000,,1414000000,25000000.0,381000000,-647000000.0,124000000.0,0.0,1565000000,381000000,1874000000,-76000000,,1268000000.0,6649000000,1060000000,-20000000.0,1448000000.0,2950000000,505000000,381000000,-384000000.0,233000000,4961000000,13824000000,,0.0,1558000000,,,4404000000,-3533000000,122000000,,432000000.0,0.145,8461000000,14545000000,8804000000,356000000,2990000000,-652000000.0,443000000,,122000000,1560000000,9000000000,2922000000,1434000000,9584000000,,,,
2003-09-30,,6460000000,,161000000.0,840926641,,1.295,-1153000000.0,534000000.0,-304000000,2650000000.0,,238000000.0,4898000000,4942000000.0,,2962000000,,,1731000000,3417000000,837692308,1558000000,2497000000,,1584000000,315000000.0,696000000,-386000000.0,116000000.0,0.0,1414000000,696000000,1963000000,-318000000,,1397000000.0,6864000000,1013000000,,1513000000.0,2935000000,401000000,696000000,-337000000.0,231000000,5500000000,13958000000,,0.0,1790000000,11000000.0,,5317000000,-3902000000,1089000000,,266000000.0,1.3,8889000000,15194000000,8734000000,381000000,3733000000,-661000000.0,596000000,,1089000000,391000000,9060000000,2935000000,1394000000,9694000000,,,,
2004-09-30,,7238000000,,-8000000.0,843624161,,1.49,-889000000.0,557000000.0,-717000000,2932000000.0,,238000000.0,5566000000,5259000000.0,,2937000000,,,2216000000,4339000000,838000000,1705000000,2821000000,,1648000000,650000000.0,1346000000,-88000000.0,113000000.0,0.0,1852000000,1346000000,2264000000,-202000000,,1629000000.0,7119000000,1257000000,-121000000.0,1695000000.0,3302000000,595000000,1346000000,-400000000.0,234000000,6416000000,15615000000,,0.0,1749000000,,,4784000000,-4182000000,1257000000,,322000000.0,1.5,9471000000,16361000000,9123000000,696000000,3136000000,-675000000.0,433000000,,1257000000,902000000,10049000000,3281000000,1816000000,9945000000,,,,
2005-09-30,,7400000000,93000000.0,8000000.0,836470588,,1.7,-1369000000.0,562000000.0,-928000000,3256000000.0,,238000000.0,6183000000,5479000000.0,,3003000000,,,2187000000,4931000000,829154519,1813000000,3122000000,,1768000000,-113000000.0,1233000000,-65000000.0,281000000.0,-44000000.0,2149000000,1233000000,2560000000,-202000000,,1841000000.0,7356000000,1422000000,-621000000.0,1839000000.0,3623000000,727000000,1233000000,-518000000.0,243000000,6837000000,17305000000,,0.0,1908000000,,,4896000000,-4353000000,1422000000,,110000000.0,1.715,10199000000,17227000000,9827000000,1346000000,3128000000,-694000000.0,535000000,,1422000000,970000000,11122000000,3595000000,1669000000,10390000000,,,,
2006-09-30,,8154000000,,-274000000.0,823660714,724000000.0,2.24,-1731000000.0,607000000.0,-1216000000,3716000000.0,,238000000.0,7168000000,633000000.0,,3220000000,6013000000.0,,2512000000,5374000000,816371681,2222000000,3629000000,,1116000000,-423000000.0,810000000,306000000.0,238000000.0,137000000.0,2684000000,810000000,3022000000,-131000000,,2305000000.0,7889000000,1845000000,-862000000.0,1933000000.0,4146000000,839000000,810000000,-601000000.0,225000000,7330000000,20133000000,,32000000.0,1476000000,,,4968000000,-4669000000,1845000000,,-152000000.0,2.26,11314000000,18672000000,10342000000,1233000000,3128000000,-730000000.0,582000000,,1845000000,898000000,12965000000,4099000000,1911000000,11342000000,,,,
2007-09-30,,8772000000,,96000000.0,803007519,519000000.0,2.66,-1994000000.0,656000000.0,-870000000,4260000000.0,,477000000.0,8111000000,,,3431000000,6412000000.0,,3016000000,5546000000,794052045,2227000000,4111000000,,1280000000,198000000.0,1008000000,382000000.0,304000000.0,106000000.0,3107000000,1008000000,3455000000,-120000000,,2501000000.0,8434000000,2136000000,-853000000.0,2337000000.0,4656000000,971000000,1008000000,-681000000.0,261000000,8065000000,22572000000,,5000000.0,1772000000,,,5171000000,-5003000000,2136000000,,137000000.0,2.69,12536000000,19680000000,10717000000,810000000,3372000000,-837000000.0,570000000,,2136000000,404000000,14461000000,4593000000,2335000000,11615000000,,,,
2008-09-30,,9113000000,,-90000000.0,789400000,533000000.0,3.06,-1454000000.0,707000000.0,-1072000000,4618000000.0,,477000000.0,9139000000,,,3507000000,6562000000.0,,3293000000,6573000000,780300000,2348000000,4708000000,,1336000000,769000000.0,1777000000,141000000.0,173000000.0,203000000.0,3591000000,1777000000,4001000000,-222000000,,2699000000.0,8691000000,2454000000,-1120000000.0,2480000000.0,5138000000,1137000000,1777000000,-714000000.0,244000000,9331000000,24807000000,,-54000000.0,1640000000,,,5166000000,-5184000000,2412000000,,-22000000.0,3.09,14002000000,21040000000,11739000000,1008000000,3297000000,-940000000.0,588000000,,2412000000,1221000000,15668000000,5057000000,2579000000,11709000000,,,,
2009-09-30,-776000000.0,8555000000,318000000.0,580000000.0,759471366,,2.27,-1948000000.0,727000000.0,-1309000000,,,477000000.0,7699000000,,,3500000000,7078000000.0,,3086000000,4956000000,755000000,1855000000,3388000000,-1362000000.0,2254000000,-217000000.0,1560000000,-496000000.0,0.0,-2000000.0,2417000000,1560000000,2637000000,220000000,52000000.0,1949000000.0,8894000000,1724000000,-718000000.0,2378000000.0,5062000000,693000000,1560000000,-531000000.0,244000000,7653000000,20915000000,,-116000000.0,1532000000,,-709000000.0,6252000000,-5394000000,1724000000,,620000000.0,2.292941,14714000000,19763000000,11208000000,1777000000,3998000000,-998000000.0,615000000,,1724000000,577000000,13216000000,4827000000,2555000000,12110000000,,,,
2010-09-30,-2843000000.0,9792000000,197000000.0,-160000000.0,789400000,,2.84,-726000000.0,816000000.0,-2517000000,,,477000000.0,8326000000,2150000000.0,,3287000000,8656000000.0,,3292000000,5849000000,780300000,2105000000,3975000000,-680000000.0,2456000000,32000000.0,1592000000,-426000000.0,0.0,4000000.0,2879000000,1592000000,3140000000,0,96000000.0,2409000000.0,8307000000,2031000000,-100000000.0,2864000000.0,5186000000,848000000,1592000000,-524000000.0,280000000,8363000000,21039000000,,67000000.0,387000000,,498000000.0,7042000000,-5020000000,2164000000,,309000000.0,2.87,15869000000,22843000000,12891000000,1560000000,4586000000,-1009000000.0,677000000,,2164000000,480000000,12713000000,4943000000,2768000000,14480000000,,,,
2011-09-30,-232000000.0,10399000000,279000000.0,12000000.0,753500000,,3.27,-1887000000.0,867000000.0,-848000000,4606000000.0,,477000000.0,9557000000,1969000000.0,,3437000000,8771000000.0,,3233000000,6465000000,748500000,2100000000,4721000000,-57000000.0,2521000000,460000000.0,2052000000,-562000000.0,0.0,-72000000.0,3631000000,2052000000,4229000000,-375000000,139000000.0,2677000000.0,8731000000,2504000000,-935000000.0,2772000000.0,5328000000,1127000000,2052000000,-647000000.0,223000000,9345000000,24222000000,,-42000000.0,339000000,,194000000.0,6845000000,-5294000000,2480000000,,-301000000.0,3.29,17310000000,23861000000,13310000000,1592000000,4324000000,-1039000000.0,691000000,,2480000000,877000000,14665000000,5328000000,2586000000,14516000000,,,,
2012-09-30,-187000000.0,10295000000,181000000.0,-49000000.0,734600000,337000000.0,2.67,-1899000000.0,823000000.0,-806000000,5087000000.0,,477000000.0,9768000000,1838000000.0,,3509000000,8026000000.0,,3053000000,7133000000,724113291,2125000000,4179000000,-262000000.0,709000000,315000000.0,2367000000,-731000000.0,0.0,-79000000.0,3115000000,2367000000,4332000000,-993000000,128000000.0,2767000000.0,8934000000,2024000000,-797000000.0,2732000000.0,5436000000,1091000000,2367000000,-665000000.0,241000000,10126000000,24412000000,,-21000000.0,319000000,,143000000.0,6243000000,-5425000000,1968000000,,-340000000.0,2.717807,18107000000,23818000000,13376000000,2052000000,3787000000,-1171000000.0,651000000,,1968000000,1506000000,14644000000,5436000000,2388000000,13692000000,,,,
2013-09-30,-19000000.0,10585000000,386000000.0,83000000.0,722900000,823000000.0,2.76,-1933000000.0,819000000.0,-789000000,4808000000.0,,477000000.0,9952000000,1672000000.0,,3605000000,7509000000.0,,3649000000,7625000000,706660259,1895000000,4249000000,-521000000.0,688000000,908000000.0,3275000000,-189000000.0,0.0,-95000000.0,3196000000,3275000000,4006000000,-592000000,129000000.0,2725000000.0,9092000000,2066000000,-1110000000.0,3184000000.0,5946000000,1130000000,3275000000,-678000000.0,234000000,10999000000,24669000000,-84000000.0,9000000.0,926000000,,14000000.0,6368000000,-5487000000,2004000000,,42000000.0,2.835875,18930000000,24711000000,13993000000,2367000000,4055000000,-1181000000.0,1021000000,402000000.0,2004000000,1587000000,14717000000,5648000000,2971000000,13712000000,,,,
2014-09-30,-610000000.0,10119000000,185000000.0,-132000000.0,704100000,572000000.0,3.03,-2559000000.0,831000000.0,-1159000000,5019000000.0,,477000000.0,10158000000,1689000000.0,,3802000000,7182000000.0,,3692000000,8454000000,696605222,2057000000,4397000000,-2839000000.0,628000000,-126000000.0,3149000000,-575000000.0,0.0,-145000000.0,3348000000,3149000000,4163000000,-621000000,162000000.0,2951000000.0,9411000000,2184000000,-1048000000.0,2876000000.0,5995000000,1164000000,3149000000,-767000000.0,218000000,10867000000,24537000000,-263000000.0,-595000000.0,637000000,,294000000.0,5556000000,-5609000000,2147000000,,114000000.0,3.08209,19867000000,24177000000,14010000000,3275000000,3559000000,-1210000000.0,642000000,,2147000000,2465000000,14379000000,5715000000,2925000000,13310000000,,,,
2015-09-30,-324000000.0,8081000000,211000000.0,-16000000.0,676500000,408000000.0,3.99,-2948000000.0,815000000.0,591000000,4319000000.0,,477000000.0,9048000000,1526000000.0,,3585000000,6653000000.0,,2529000000,7800000000,654608521,1847000000,5176000000,-3790000000.0,602000000,-95000000.0,3054000000,-1617000000.0,0.0,-212000000.0,4161000000,3054000000,3439000000,893000000,86000000.0,2358000000.0,8931000000,2733000000,-2501000000.0,2803000000.0,5609000000,1428000000,3054000000,-685000000.0,200000000,10049000000,22304000000,304000000.0,-19000000.0,275000000,,-287000000.0,6160000000,-5346000000,2710000000,-424000000.0,-142000000.0,4.139879,21308000000,22088000000,13960000000,3149000000,4289000000,-1269000000.0,829000000,,2710000000,2553000000,13256000000,5184000000,1844000000,12039000000,,,,
2016-09-30,-132000000.0,7568000000,285000000.0,58000000.0,646800000,210000000.0,2.52,-2045000000.0,568000000.0,-626000000,2701000000.0,,477000000.0,6262000000,902000000.0,,2931000000,3909000000.0,,2881000000,8008000000,642796490,1208000000,3099000000,-1462000000.0,482000000,128000000.0,3182000000,-1999000000.0,1601000000.0,30000000.0,2316000000,3182000000,2714000000,-210000000,180000000.0,1517000000.0,7327000000,1619000000,-601000000.0,2126000000.0,3548000000,697000000,3182000000,-447000000.0,215000000,9960000000,14522000000,162000000.0,-19000000.0,4041000000,,-22000000.0,6117000000,-4396000000,1635000000,0.0,93000000.0,2.543573,21716000000,21743000000,14125000000,3054000000,4062000000,-1227000000.0,669000000,,1635000000,2584000000,8260000000,3464000000,2434000000,11783000000,,,,
