date,annualPurchaseOfInvestment,annualAccountsReceivable,annualCashDividendsPaid,annualLongTermDebt,annualGoodwill,annualTotalAssets,annualPretaxIncome,annualOtherNonCashItems,annualStockholdersEquity,annualDepreciationAndAmortization,annualSaleOfInvestment,annualCommonStockIssuance,annualRetainedEarnings,annualStockBasedCompensation,annualInvestingCashFlow,annualTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualOperatingIncome,annualAccountsPayable,annualOtherIncomeExpense,annualCurrentLiabilities,annualOperatingCashFlow,annualNetPPE,annualEbitda,annualOtherNonCurrentLiabilities,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualIncomeTaxPayable,annualBasicEPS,annualInvestmentsAndAdvances,annualCashCashEquivalentsAndMarketableSecurities,annualGainsLossesNotAffectingRetainedEarnings,annualCurrentAssets,annualChangesInAccountReceivables,annualBeginningCashPosition,annualInterestExpense,annualSellingGeneralAndAdministration,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualRepurchaseOfCapitalStock,annualGrossPPE,annualOtherNonCurrentAssets,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualNetOtherFinancingCharges,annualDilutedEPS,annualCurrentAccruedExpenses,annualDilutedAverageShares,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualRepaymentOfDebt,annualOtherCurrentAssets,annualCapitalStock,annualCostOfRevenue,annualCurrentDebt,annualTaxProvision,annualGrossProfit,annualInventory,annualBasicAverageShares,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualPurchaseOfBusiness,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualFreeCashFlow,annualChangeInInventory,annualNetIncome,annualCurrentDeferredRevenue,annualNetIncomeContinuousOperations,annualOperatingExpense,annualNonCurrentDeferredRevenue,annualResearchAndDevelopment
2002-12-31,-53100000,221200000,-77800000,298700000,,1410300000,127000000,900000,744200000,49800000,97800000,11500000,553700000,,-237500000,1587800000,411400000,,40000000,64700000,15000000,416900000,138500000,86200000,1000000,254700000,179400000,320600000,188300000,112700000,40000000,7800000,,1.4,,55000000,-30700000,596300000,,33400000,17800000,265300000,300000,-391800000,,712400000,76500000,19500000,83200000,0,1.38,149000000,59700000,6600000,-21900000,,0,600000,1178700000,,18400000,409100000,258000000,59428571,814000000,27700000,,666100000,,157500000,68300000,83200000,,108600000,270600000,,
2003-12-31,-71300000,227100000,-78400000,298800000,,1499400000,155500000,11000000,829700000,52600000,82300000,26500000,590100000,,-5600000,1770700000,381300000,,220800000,-57200000,,414200000,171900000,103600000,-1500000,288400000,243600000,295800000,224500000,82500000,220800000,9600000,,1.93,,220800000,-10700000,709300000,,40000000,20600000,303900000,12400000,-422400000,-5300000,718200000,80100000,54800000,115100000,0,1.91,130000000,60100000,180800000,-27600000,,0,600000,1289200000,,40400000,481500000,207900000,59637306,790100000,58900000,,669700000,,216000000,52900000,115100000,,115100000,309600000,,
2004-12-31,-415000000,288500000,-79900000,199100000,,1642400000,197300000,5500000,944300000,48900000,329000000,30500000,664500000,,-108700000,1993000000,288800000,,125900000,-55600000,215600000,422500000,212600000,132100000,-10100000,409300000,185000000,261800000,261500000,89700000,125900000,5700000,,2.55,,341500000,-1500000,892400000,,104200000,20600000,333900000,17100000,-456000000,-6200000,717800000,65700000,20200000,154700000,0,2.51,157100000,61600000,21700000,-39100000,,0,600000,1431100000,99900000,42600000,561900000,216100000,60666667,750000000,-48000000,,698100000,,145900000,-9100000,154700000,,154700000,349300000,,
2005-12-31,-238600000,310400000,-80600000,199200000,,1667000000,215700000,-21000000,998100000,50400000,319700000,32800000,749100000,,-30400000,2104900000,308400000,,110600000,-182100000,121300000,500300000,226800000,159500000,-2100000,360500000,184100000,267800000,277200000,109200000,110600000,1600000,,2.71,,231900000,-18800000,820100000,,139900000,19300000,357900000,6400000,-453200000,-62700000,721000000,78800000,20200000,165100000,0,2.67,151200000,61800000,-29300000,-73400000,,0,600000,1509900000,29600000,50600000,595000000,237100000,61000000,846900000,-14000000,,668900000,,110700000,-13200000,165100000,,165100000,368200000,,
2006-12-31,-153600000,354300000,-80100000,199300000,436700000,1751500000,221500000,8900000,1015500000,55400000,317400000,38500000,827400000,,-66700000,2414300000,353700000,,45300000,-139600000,35900000,181600000,233900000,163900000,-9400000,382300000,139900000,318500000,289300000,132400000,45300000,1400000,,2.62,,81200000,-32400000,814400000,,110600000,15400000,415600000,11400000,-471200000,-95100000,789700000,300000,19900000,158100000,6000000,2.59,177600000,61100000,-65300000,-86800000,,0,600000,1757500000,20900000,63400000,656800000,338200000,60400000,937100000,-97400000,,736000000,22000000,53100000,-86300000,158100000,,158100000,422900000,,
2007-12-31,-41200000,332400000,-78400000,199400000,466600000,1863400000,284200000,5800000,1082600000,60200000,38600000,48000000,962700000,,-105700000,2533900000,361300000,,77500000,-200400000,,242500000,299400000,154000000,2400000,419500000,335200000,327100000,359600000,110000000,77500000,600000,,3.54,,77500000,26000000,788000000,,45300000,17600000,436400000,-3700000,-504100000,-193100000,831200000,39200000,19200000,208300000,7300000,3.5,186300000,59500000,32200000,-55900000,,0,600000,1798100000,36700000,75900000,735800000,322900000,58800000,1075400000,91000000,,780800000,51900000,279300000,24200000,208300000,23300000,208300000,436400000,,
2008-12-31,-16600000,357000000,-76900000,497400000,584600000,2115500000,317900000,2100000,1008100000,63100000,20800000,,1108000000,12500000,-306400000,2704400000,682400000,,178200000,93700000,,227600000,346000000,168300000,-3500000,425000000,319200000,349100000,342500000,185000000,178200000,6200000,,3.97,35100000,178200000,-116800000,919100000,-3700000,77500000,24600000,457400000,700000,-526800000,-96600000,875900000,0,0,222700000,800000,3.94,237000000,56500000,100700000,-49400000,-39400000,0,600000,1901000000,0,95200000,803400000,335200000,56000000,1196400000,29500000,-267400000,1107400000,,269800000,6900000,222700000,,222700000,457400000,,
2009-12-31,-5200000,310100000,-78900000,497200000,741200000,2465200000,261600000,-5200000,1298200000,70600000,9500000,122000000,1208000000,10300000,-373100000,2355600000,745300000,,258500000,49800000,,406000000,294700000,130800000,-2500000,417900000,397700000,372200000,362800000,248100000,258500000,2600000,,3.16,28100000,258500000,-68800000,917700000,85500000,178200000,30600000,431200000,37200000,-536700000,0,905500000,0,0,180100000,1000000,3.15,266200000,57200000,80300000,-29400000,0,0,600000,1629700000,,80300000,725900000,263500000,57000000,1547500000,126900000,-355800000,1163200000,,368300000,98700000,180100000,,181300000,431200000,,
2010-12-31,-10500000,341800000,-85600000,595900000,724000000,2705800000,320400000,2700000,1459200000,72500000,14900000,0,1338600000,11400000,-54700000,2541200000,797300000,,520700000,45500000,8800000,367200000,367800000,160800000,-16400000,445000000,266200000,358300000,423900000,201400000,520700000,3100000,,3.61,30200000,529500000,-81300000,1226100000,-26100000,258500000,31000000,460900000,25000000,-548400000,-23300000,906700000,0,0,217200000,5900000,3.59,260500000,60300000,262200000,-47300000,-200000000,0,600000,1712500000,1800000,101600000,828700000,298400000,59900000,1479700000,-38900000,0,1242300000,,218900000,-32600000,217200000,,218800000,460900000,,
2011-12-31,-14400000,394300000,-90100000,596300000,727300000,2846500000,389800000,277100000,1467800000,68200000,9400000,0,1515800000,15100000,-86500000,2871600000,880900000,,569600000,-198300000,12800000,269500000,423800000,215700000,-4400000,492100000,335000000,359600000,492000000,284600000,569600000,12900000,23300000,4.47,42000000,582400000,-150400000,1353500000,-51600000,520700000,30900000,499900000,18800000,-577900000,-137700000,937500000,94600000,133700000,267900000,6200000,4.42,46200000,60400000,48900000,-55400000,0,0,600000,1947900000,2900000,119600000,923700000,318300000,59700000,1493000000,-21500000,-29600000,1373000000,16000000,279600000,-16400000,267900000,18100000,270200000,499900000,,
2012-12-31,-9500000,405200000,-122300000,596700000,755500000,2947000000,441800000,-15400000,1661200000,66800000,19400000,,1715700000,15800000,-116100000,3044400000,831700000,,645000000,-161700000,8800000,288100000,471800000,213100000,-1000000,447400000,349100000,364700000,537600000,235000000,645000000,13800000,14100000,5.05,36700000,653800000,-119100000,1456200000,-1800000,569600000,29000000,540400000,27500000,-607700000,-75600000,972400000,45800000,0,298700000,14200000,5,234300000,59800000,75400000,-49100000,-3100000,0,600000,2032200000,0,139700000,1012200000,341700000,59100000,1490800000,-45300000,-90700000,1279100000,16900000,300000000,-11800000,299700000,16400000,302100000,540400000,,
2013-12-31,-11100000,440900000,-109500000,597200000,800400000,3187200000,473800000,12200000,1906400000,70600000,10500000,,1932600000,14300000,-151100000,3183900000,805400000,,740700000,-130900000,10100000,286600000,507600000,225900000,-4300000,467000000,381800000,377100000,573900000,208200000,740700000,4800000,11800000,5.51,35800000,750800000,-71000000,1632400000,-30900000,645000000,29500000,562900000,13300000,-627800000,-31000000,1004900000,54900000,0,327500000,6900000,5.47,240800000,59600000,95700000,-58800000,-100000,0,600000,2113400000,300000,144000000,1070500000,385700000,59100000,1554800000,-55100000,-96500000,1272400000,66700000,323000000,-25900000,326500000,15800000,329800000,562900000,,
2014-12-31,-17600000,469800000,-121200000,597600000,874700000,3322800000,485500000,-15000000,1927100000,79200000,12100000,,1944100000,16400000,-242600000,3359400000,887900000,,653900000,-215600000,7800000,322800000,517400000,244000000,-1800000,499200000,391500000,401200000,594800000,290300000,653900000,7000000,5800000,5.51,44100000,661700000,-164300000,1629400000,-17800000,740700000,30100000,591600000,30300000,-656200000,-105500000,1057400000,50600000,0,326200000,7400000,5.48,253800000,59200000,-86800000,-60300000,-800000,0,600000,2250400000,1400000,158300000,1109000000,441800000,58800000,1693400000,-44700000,-183800000,1387100000,74500000,331200000,-46900000,325300000,18200000,327200000,591600000,,
2015-12-31,-24500000,466600000,-133700000,595900000,928500000,3208700000,418600000,-11600000,1740600000,85200000,13800000,,1886100000,17000000,-249200000,3390400000,856600000,,343500000,-371100000,12200000,372200000,474600000,289500000,-25500000,603100000,331100000,419700000,534300000,260700000,343500000,2000000,2100000,4.79,49500000,355700000,-224200000,1387800000,1900000,653900000,30500000,617200000,-4500000,-681400000,-79100000,1101100000,51000000,0,276600000,-205100000,4.77,265400000,58000000,-310400000,-77100000,-2000000,0,600000,2298600000,48200000,136500000,1091800000,540000000,57700000,1820900000,-32300000,-163400000,1459700000,36100000,254000000,-80800000,277300000,15000000,282100000,617200000,,
2016-12-31,-20000000,530000000,-144000000,990500000,991000000,3525000000,430400000,-12000000,1592800000,92300000,13300000,,1879300000,22300000,-230000000,3505200000,1332200000,,437600000,-46800000,11200000,431500000,477800000,291600000,-4500000,589600000,398200000,439800000,565600000,341700000,437600000,17300000,8400000,5.26,56400000,448800000,-302500000,1551300000,-42300000,343500000,42900000,622900000,12700000,-693600000,-246800000,1133400000,55000000,0,292100000,-2700000,5.24,294800000,55700000,94100000,-67200000,-51500000,40100000,600000,2404500000,3200000,132600000,1100700000,532400000,55500000,1973700000,-10100000,-173400000,1921800000,41200000,331000000,18400000,293000000,11800000,297800000,622900000,,
2017-12-31,-20900000,540300000,-157600000,987100000,1089000000,3720600000,443100000,47000000,1634200000,99800000,17400000,,1892400000,22300000,-245600000,3668800000,1366600000,,375000000,-214300000,14500000,460400000,503700000,326500000,-16600000,706100000,379000000,458300000,586900000,379500000,375000000,21700000,27500000,4.42,57700000,389500000,-269800000,1604100000,3900000,437600000,44000000,648200000,-14300000,-703500000,-92500000,1161800000,51100000,0,242300000,-16500000,4.39,311500000,55100000,-62600000,-79700000,-12300000,39600000,600000,2516900000,68100000,193200000,1151900000,634700000,54800000,2116500000,-29000000,-184100000,2072700000,23700000,299300000,-90300000,243100000,10200000,249900000,648200000,,
2018-12-31,-16600000,725400000,-172300000,1737100000,1784400000,4872100000,467000000,-39100000,1780600000,148400000,20500000,,2064400000,24200000,-1201400000,4481700000,2233900000,21500000,189000000,506500000,9200000,819500000,556900000,393700000,-17600000,839300000,517100000,502100000,687700000,496800000,189000000,8900000,3400000,6.57,56300000,198200000,-285700000,1643700000,-75400000,375000000,72300000,743500000,49000000,-727100000,-40000000,1229200000,66100000,15300000,358900000,-22700000,6.54,389500000,54900000,-186000000,-96200000,0,69100000,600000,3181300000,56100000,100900000,1300400000,651000000,54600000,3228400000,-25600000,-1118000000,3073200000,120000000,420900000,34200000,360200000,27700000,366100000,743500000,,
2019-12-31,-14100000,696800000,-186600000,1506000000,1811800000,4903000000,520500000,1200000,1947100000,151000000,12500000,,2279400000,16400000,-128900000,4591000000,2097600000,-41200000,182000000,-471000000,14200000,781500000,596600000,347700000,-6700000,844900000,591600000,505200000,740900000,115000000,182000000,4000000,6000000,,55700000,,-332900000,1574200000,46200000,189000000,69400000,756100000,6100000,-749100000,-35000000,1254300000,174600000,,399400000,-24300000,,365200000,,-7000000,-93900000,-225800000,62000000,600000,3238300000,65400000,113100000,1352700000,633000000,,3328800000,23100000,-70800000,2942500000,126800000,497700000,12200000,400900000,31000000,407400000,756100000,,
