date,annualAccountsReceivable,annualPurchaseOfInvestment,annualLongTermDebt,annualPretaxIncome,annualNetIncome,annualCashDividendsPaid,annualGoodwill,annualSaleOfInvestment,annualStockholdersEquity,annualOtherNonCashItems,annualRetainedEarnings,annualDilutedAverageShares,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,annualInvestingCashFlow,annualOperatingIncome,annualEndCashPosition,annualCommonStockIssuance,annualOtherIntangibleAssets,annualOtherIncomeExpense,annualNetPPE,annualOtherShortTermInvestments,annualBasicAverageShares,annualOperatingCashFlow,annualAccountsPayable,annualCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualEbitda,annualOtherNonCurrentLiabilities,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualGainsLossesNotAffectingRetainedEarnings,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCurrentAssets,annualBeginningCashPosition,annualInterestExpense,annualChangesInAccountReceivables,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualGrossPPE,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualRepaymentOfDebt,annualTaxProvision,annualOtherCurrentLiabilities,annualCurrentAccruedExpenses,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,annualCapitalStock,annualCostOfRevenue,annualTotalRevenue,annualOtherCurrentAssets,annualDilutedEPS,annualCurrentDebt,annualFreeCashFlow,annualTotalNonCurrentAssets,annualNetOtherFinancingCharges,annualInventory,annualGrossProfit,annualChangeInWorkingCapital,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualBasicEPS,annualOperatingExpense,annualChangeInInventory,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,annualStockBasedCompensation,annualResearchAndDevelopment,annualCurrentDeferredRevenue
1990-12-31,,,404800000,69900000,50200000,-30300000,,,457500000,100000,429700000,353472000,1307600000,-19200000,53500000,-63800000,85500000,0,12100000,13100000,6600000,610100000,,353472000,102600000,141500000,323000000,513900000,,139000000,40700000,-10900000,,,30000000,-30100000,30000000,542200000,10400000,22200000,,106500000,142200000,1051900000,44400000,1800000,-441800000,,19700000,98200000,,-33700000,19600000,53600000,1111700000,1357200000,21800000,0.030469,83300000,68900000,765400000,300000,272500000,245500000,-5500000,,50200000,0.031719,160000000,-9300000,68400000,836900000,,,,,
1991-12-31,,,333900000,106400000,66200000,-37600000,,,607000000,-9000000,458900000,412288000,1558600000,49900000,108000000,-223500000,151000000,0,118200000,40800000,-800000,760500000,,412288000,164400000,153600000,441700000,480600000,,259000000,43200000,-100000,,,20800000,-127700000,20800000,634000000,30000000,41100000,,173000000,123300000,1325200000,55900000,-8700000,-564700000,,40200000,129200000,,-95800000,-9200000,55800000,1835400000,2267400000,30200000,0.035781,158900000,68600000,924600000,-6900000,336900000,432000000,4400000,,66200000,0.037813,281000000,-100000,103500000,922300000,,,,,
1992-12-31,,,451700000,99100000,69100000,-37600000,,,604000000,-16100000,482400000,422864000,1563900000,65100000,105500000,-178600000,139500000,0,21500000,45100000,600000,709900000,,422864000,117000000,140400000,359100000,583800000,,245000000,45600000,-50500000,,,14500000,-89300000,14500000,619200000,11000000,37200000,,157100000,189700000,1242200000,63700000,-1600000,-532300000,,36200000,128900000,,-110200000,3500000,8000000,1775700000,2177800000,28600000,0.036563,89800000,6800000,944700000,-1100000,375200000,402100000,-43100000,,62900000,0.038281,262600000,-65500000,86500000,942900000,,,,,
1993-12-31,,,513300000,-53700000,-65100000,-40800000,,,558700000,-14400000,332200000,459392000,1795600000,-47400000,116300000,-144300000,-5500000,0,20000000,101500000,1300000,822700000,,459392000,185400000,157300000,451200000,769800000,,110800000,191400000,-8600000,,,8200000,-3400000,8200000,692100000,14500000,45900000,,287800000,179300000,1449300000,-68300000,-41800000,-626600000,,-21200000,170000000,,-140900000,-6300000,10100000,2042300000,2440900000,83300000,-0.037188,123900000,44500000,1103500000,1200000,409300000,398600000,44700000,,-32500000,-0.037188,404100000,32400000,65100000,1221000000,,,,,
1994-12-31,,,377000000,117700000,73000000,-22900000,,,616700000,,378600000,507636364,1759800000,-149200000,127000000,-89300000,168900000,10400000,19800000,93800000,-4300000,779900000,,475234043,240700000,209200000,499700000,627300000,,295900000,193700000,-9900000,,,10400000,5200000,10400000,698100000,8200000,42300000,,114500000,188000000,1486000000,69800000,7700000,-706100000,,44700000,173800000,,-94500000,2200000,11900000,2184300000,2594700000,69200000,0.1375,116700000,146200000,1061700000,-1700000,414000000,410400000,49200000,,73000000,0.146875,241500000,-13000000,56600000,1127000000,,,,,
1995-12-31,,,320400000,-18700000,-18600000,-23000000,,,582700000,,336400000,482222222,1612500000,-41500000,113600000,-11700000,140200000,5100000,32500000,66100000,-116500000,628600000,,482222222,47900000,195300000,497500000,526300000,,253800000,177900000,-27500000,,,5100000,-137500000,5100000,592700000,10400000,37800000,,112100000,325100000,1146800000,-21700000,-14300000,-518200000,,-100000,147200000,,-206200000,-5300000,15200000,2225800000,2591700000,69100000,-0.045,155000000,-158300000,1019800000,-5800000,318500000,365900000,-122300000,,-18600000,-0.045,225700000,-85600000,28000000,1023800000,,,,,
1996-12-31,,,407700000,20300000,24200000,-22800000,,,604400000,-11100000,344500000,501176471,1700800000,98200000,93500000,-18400000,83900000,169200000,21400000,,-30500000,699000000,,486857143,84300000,214300000,511000000,578400000,,177400000,136000000,-10200000,,,169200000,177700000,169200000,766600000,5100000,33300000,,93200000,235200000,1269500000,21300000,12400000,-570500000,,7200000,121500000,,-196100000,164100000,17700000,1913800000,2184400000,49500000,0.0425,175200000,-111800000,934200000,-4100000,302000000,270600000,-57300000,,13100000,0.04375,186700000,3200000,34700000,1089400000,,,,,
1997-12-31,,,366100000,90300000,58300000,-22900000,,,634200000,,379500000,510344828,2090100000,-36300000,117500000,-250900000,130400000,25500000,21700000,,8300000,919500000,,482608696,143500000,258600000,837800000,566400000,,247900000,139800000,-32100000,,,25500000,-184300000,25500000,798100000,169200000,53500000,,136900000,372500000,1556100000,55500000,17100000,-636600000,,32000000,172200000,,-97700000,-143700000,22900000,2003700000,2388500000,57900000,0.10875,407000000,45800000,1292000000,-500000,413300000,384800000,-42600000,,58300000,0.115,254400000,-33400000,60500000,1404200000,,,,,
1998-12-31,,,1229800000,40800000,16600000,-22700000,,,622300000,,397900000,501818182,2854800000,536500000,154600000,-915100000,105900000,0,31500000,794800000,5600000,1174400000,,490666667,387100000,350300000,687600000,1520500000,,260500000,290700000,-34900000,,,34000000,7500000,34000000,885600000,25500000,78600000,,210400000,0,1882900000,13800000,,-708500000,,8800000,210500000,,-922600000,8500000,27700000,2425500000,2896400000,94300000,0.0275,126800000,-535500000,1969200000,-56700000,483800000,470900000,159500000,,32000000,0.028125,365000000,27700000,,2208100000,,,,,
1999-12-31,,,1092700000,169100000,104200000,-22500000,,,690900000,-800000,481200000,515555556,2732100000,-211500000,162900000,-92700000,278800000,35800000,36800000,715100000,-200000,1121200000,,483333333,306000000,345500000,670100000,1351400000,,441700000,258700000,-72300000,,-26700000,35800000,14300000,35800000,895800000,34000000,107600000,,154500000,0,1934600000,101500000,34300000,-813400000,,64900000,220600000,,-107000000,1800000,448700000,2988000000,3584200000,73900000,0.196875,104000000,199000000,1836300000,-2400000,565900000,596200000,-700000,,104200000,0.21,317400000,-49100000,,2021500000,,,,,
2000-12-31,,,1011600000,111000000,68200000,-21600000,,,682400000,,529300000,490467290,2649800000,-134200000,159100000,-52500000,299600000,25600000,30700000,676800000,-94400000,1003700000,,464424779,176500000,332100000,659100000,1293400000,,458700000,281800000,-91600000,,-29700000,25600000,46200000,25600000,969300000,35800000,95200000,,141900000,0,1901200000,65600000,9800000,-897500000,,42800000,201300000,,-98700000,-10200000,486700000,3064100000,3664700000,86000000,0.13375,125700000,77800000,1680500000,-3700000,627500000,600600000,-130100000,,68200000,0.14125,301000000,-73800000,,1952500000,,,,,
2001-12-31,172000000,,949100000,-113700000,-99200000,-20400000,,,504100000,,410000000,438592965,2313600000,-140400000,152500000,-122900000,-25400000,83100000,32100000,615700000,-267200000,904400000,,438592965,320800000,258500000,574700000,1225100000,,127100000,276000000,-85900000,,-43700000,83100000,23500000,83100000,793500000,25600000,88300000,,145600000,0,1904800000,-101200000,2500000,-1000400000,,-9700000,201200000,,-68500000,57500000,478900000,3142200000,3686100000,0,-0.115625,115000000,252300000,1520100000,-3900000,449300000,543900000,42900000,,-99200000,-0.115625,569300000,155800000,,1799800000,,,,,
2002-12-31,345900000,,1854000000,235400000,156100000,-20400000,1148100000,,492900000,,562000000,460811808,4132400000,741400000,149200000,-1021200000,311000000,259200000,35000000,,6900000,1445900000,,450830325,452300000,439600000,1068900000,2565000000,,460200000,646500000,-104100000,,-138300000,259200000,-5900000,259200000,1224500000,83100000,75600000,,165900000,313900000,2527300000,156100000,30700000,-1081400000,,83900000,301100000,147100000,-158400000,176100000,514500000,3230400000,3858900000,0,0.33875,127000000,293900000,2907900000,200000,552500000,628500000,152300000,,159300000,0.34625,317500000,12400000,64500000,3633900000,,,,,
2003-12-31,250100000,,1579300000,319700000,229900000,-26800000,,,807800000,,748800000,457096000,4069600000,-463900000,205500000,-123800000,460800000,36500000,35500000,1336900000,-200000,1471100000,,446840000,364000000,349700000,861100000,2394500000,,666300000,701700000,-63400000,,-1400000,36500000,41400000,36500000,923500000,259200000,125900000,,221600000,338100000,2736900000,229900000,17800000,-1265800000,,100100000,223200000,180600000,-137200000,-222700000,567300000,4092800000,4977000000,0,0.5025,107600000,226800000,3146100000,-15500000,546200000,884200000,-99100000,,229900000,0.515,423400000,38500000,113500000,3255600000,,,,,
2004-12-31,346800000,,1537700000,435200000,295600000,-38900000,,,1086600000,43700000,1007500000,455160000,4477700000,-168100000,215100000,-209600000,538900000,198700000,35300000,1699700000,15800000,1532400000,,443384000,535900000,453000000,996300000,2388400000,,754000000,734300000,-85300000,,33200000,198700000,3600000,198700000,1245600000,36500000,103700000,,267900000,0,2974500000,295600000,42800000,-1442100000,,139200000,198100000,222200000,-196000000,162200000,610800000,4433500000,5440200000,0,0.65,123000000,339900000,3232100000,-900000,629500000,1006700000,14500000,,295600000,0.6675,467800000,-49300000,116400000,3384700000,,,,,
2005-12-31,376600000,,1473300000,462500000,261500000,-42500000,,,835300000,,1227900000,438928000,4343400000,-410700000,213500000,-290000000,462500000,61000000,,1258600000,-25000000,1556600000,,431032000,558800000,552400000,1176000000,2327000000,,676000000,784200000,-358100000,,-100700000,61000000,1700000,61000000,1225800000,198700000,97100000,,231600000,302400000,3153400000,261500000,-58500000,-1596800000,,99300000,308800000,198400000,-291700000,-137700000,633600000,4822400000,5751200000,0,0.595,116400000,267100000,3117600000,-11600000,670300000,928800000,105600000,,261500000,0.6075,466300000,-54200000,69500000,3503000000,,,,,
2006-12-31,579500000,,2270400000,446900000,329600000,-41000000,1773700000,,1165400000,-54900000,1535300000,419804000,5840900000,680200000,252600000,-993400000,541300000,151500000,38400000,116200000,54700000,1876000000,,413352000,401400000,732400000,1454300000,3220200000,,793900000,847700000,-84100000,,-29500000,151500000,77300000,151500000,1761300000,61000000,134400000,,287200000,278800000,3686300000,329600000,38200000,-1810300000,,131600000,339500000,201100000,-279600000,90500000,0,5540400000,6621500000,0,0.785,181300000,121800000,4079600000,-500000,935400000,1081100000,-137300000,,329600000,0.7975,539800000,-132200000,102100000,4674500000,,,,,
2007-12-31,582700000,,2181800000,364500000,281300000,-40600000,1863100000,,1342500000,85600000,1765000000,411040000,6020600000,-412400000,281000000,-265800000,558500000,151600000,46500000,121900000,-31700000,1941200000,,404744000,673000000,763600000,1513100000,3163900000,,839500000,799000000,-257800000,,106900000,151600000,42700000,151600000,1842900000,151500000,149400000,,323700000,247200000,3981200000,281300000,-21000000,-2040000000,,95700000,334700000,238000000,-308500000,100000,0,6226500000,7389700000,0,0.685,176800000,364500000,4177700000,9500000,998100000,1163200000,34700000,,281300000,0.695,604700000,-41000000,183100000,4677000000,,,,,
2008-12-31,507900000,,2107100000,452800000,319500000,-37500000,1825500000,,1085800000,-13900000,2047100000,388076000,6368700000,-205500000,297400000,-418000000,635500000,127400000,27200000,511000000,-30500000,1866900000,,383428000,627600000,763700000,1862400000,3419000000,,932900000,981400000,-326800000,,-182500000,127400000,-117500000,127400000,2165300000,151600000,137700000,,288200000,0,4031600000,319500000,19600000,-2164700000,,147400000,563000000,232700000,-306900000,-24200000,0,6340400000,7561500000,0,0.8225,303000000,320700000,4203400000,112400000,974200000,1221100000,12100000,,319500000,0.8325,585600000,2400000,330500000,5281400000,,,,,
2009-12-31,453200000,,2283900000,654600000,387900000,-37400000,2114800000,0,1583000000,-23000000,2397100000,379956000,6488300000,100800000,285200000,-581400000,699100000,210600000,31900000,420600000,-30700000,1949000000,100100000,375144000,559700000,623100000,1428600000,3476700000,-163800000,1057000000,1192800000,-5100000,0,-63800000,210600000,180400000,210600000,1923300000,127400000,117200000,,328600000,501200000,4278500000,387900000,-24300000,-2329500000,-12200000,162800000,14200000,214700000,-187100000,83200000,830800000,6071500000,7345300000,0,1.02,312300000,372600000,4565000000,7600000,944200000,1273800000,-81600000,-574700000,388400000,1.035,574700000,95700000,131600000,4905300000,,,,,
2010-12-31,,,2701600000,764600000,473700000,-35800000,2105300000,0,1658100000,2000000,2829800000,367076000,6927700000,-459600000,265500000,-110200000,753600000,152000000,47500000,417600000,129000000,2048200000,102600000,361492000,515200000,700300000,1383300000,3886300000,-250000000,1188300000,1184700000,-506700000,0,-82100000,152000000,13500000,152000000,2305700000,210600000,158200000,,356800000,468500000,4127100000,473700000,-28700000,-2078900000,-2144900000,175800000,254800000,258200000,-250200000,-58600000,893400000,6254100000,7630000000,0,1.275,110700000,265000000,4622000000,-18900000,1083900000,1375900000,-197800000,-125800000,542900000,1.295,622300000,-153100000,218800000,5269600000,,,,,
2011-12-31,840600000,,2696700000,659800000,444000000,-45700000,2247100000,,1378000000,93700000,3228300000,337180000,7284600000,-216800000,301100000,-738000000,867200000,165800000,39300000,180600000,-30300000,2265400000,,330550000,948400000,847300000,1856100000,4050500000,111100000,1138000000,1353800000,-473900000,26400000,-335200000,165800000,1000000,165800000,2321900000,152000000,177100000,,381400000,450200000,4497300000,444000000,53200000,-2231900000,-815800000,201300000,313100000,248300000,-443800000,13800000,941700000,7081200000,8630900000,0,1.315,447400000,504600000,4962700000,-4000000,1072500000,1549700000,50200000,-295200000,468600000,1.345,682500000,27500000,210100000,5906600000,,,,,
2012-12-31,930100000,,3085300000,595600000,403500000,-61800000,2359400000,,1290000000,77500000,3580800000,316168000,7507100000,-486900000,282900000,-356000000,893300000,174100000,53100000,213300000,-102800000,2288600000,,309296000,853200000,1466000000,1685800000,4531300000,55900000,1058300000,1446000000,-547200000,32200000,-352400000,174100000,20200000,174100000,2339400000,165800000,179800000,600000,385500000,519700000,4665100000,403500000,14000000,-2376500000,-1071600000,165000000,240700000,278400000,-305000000,8300000,0,7174000000,8735700000,0,1.275,219800000,548200000,5167700000,-8800000,1044400000,1561700000,54600000,-71200000,429300000,1.305,668400000,29100000,207900000,6217100000,,,,,
2013-12-31,859400000,,3182500000,583600000,406800000,-75200000,2404300000,,1391300000,44700000,3913800000,298446000,7819800000,-204000000,299900000,-379100000,874200000,416000000,32900000,231100000,-78800000,2372300000,,291886000,839000000,1504800000,1927400000,4501100000,50900000,1067300000,1318600000,-431700000,33700000,-240700000,416000000,13400000,416000000,2465700000,174100000,183800000,80200000,418600000,577500000,4929200000,406800000,-1600000,-2556900000,-1294900000,149600000,264700000,241300000,-378300000,241900000,0,6875400000,8468100000,0,1.365,422600000,460700000,5354100000,-20600000,1028300000,1592700000,63700000,-14200000,434600000,1.395,718500000,21400000,285600000,6428500000,,,,,
2014-12-31,957100000,,2993800000,645600000,470000000,-72700000,2254500000,,1239600000,53800000,4346900000,284860000,7571000000,-845300000,280900000,-391400000,919100000,191400000,37200000,199700000,-80500000,2430700000,,277016000,1012500000,1831700000,2006800000,4324600000,355300000,1086400000,1330800000,-397300000,33200000,-522100000,191400000,-600000,191400000,2313500000,416000000,159900000,-152300000,466500000,572300000,5033200000,470000000,8900000,-2602500000,-897800000,149900000,221800000,269900000,-390800000,-224600000,0,6903500000,8570000000,0,1.65,175100000,621700000,5257500000,5200000,1016700000,1666500000,170900000,0,498000000,1.695,747400000,-23800000,152500000,6331400000,,,,,
2015-12-31,885400000,,5054200000,345500000,280900000,-71800000,2176500000,,1261300000,339900000,4557500000,281968000,9777000000,1737100000,285500000,-2720700000,799900000,224000000,36000000,195000000,-194700000,2685900000,,274600000,1006700000,2064300000,2141600000,6374100000,124600000,774200000,1319900000,-135500000,34300000,-639900000,224000000,-2163700000,224000000,2184000000,191400000,143200000,34800000,451300000,2730600000,5404900000,280900000,-61800000,-2719000000,-2429800000,47000000,334100000,229400000,-527900000,32600000,0,6460300000,7997000000,0,0.995,77300000,478800000,7593000000,-92800000,898400000,1536700000,140200000,-29100000,302900000,1.025,736800000,96900000,172700000,8515700000,,,,,
2016-12-31,1477000000,-252000000,7310000000,103000000,224000000,-83000000,5095000000,,3502000000,277000000,4739000000,322884000,16378000000,-387000000,453000000,672000000,800000000,597000000,48000000,1934000000,-359000000,4379000000,,316542000,194000000,2763000000,2985000000,9891000000,-55000000,785000000,2581000000,-107000000,204000000,-941000000,597000000,1971000000,597000000,3639000000,224000000,229000000,-53000000,512000000,1331000000,6632000000,224000000,-293000000,-2245000000,-4624000000,-109000000,399000000,315000000,-606000000,373000000,0,7351000000,9116000000,152000000,0.695,222000000,-412000000,12739000000,-14000000,1413000000,1765000000,-509000000,-3379000000,227000000,0.71,965000000,30000000,856000000,12876000000,,,,,
2017-12-31,1626000000,0,6518000000,514000000,399000000,-129000000,4933000000,,4071000000,-47000000,4987000000,356985000,17182000000,-1073000000,729000000,-545000000,1023000000,448000000,27000000,2462000000,-221000000,4610000000,,350269000,1478000000,3641000000,4094000000,9017000000,639000000,1528000000,2499000000,-103000000,274000000,-656000000,448000000,13000000,448000000,3759000000,597000000,285000000,-189000000,514000000,1418000000,7386000000,399000000,70000000,-2776000000,-1810000000,140000000,540000000,352000000,-556000000,-149000000,0,8717000000,10983000000,159000000,1.12,453000000,922000000,13423000000,-7000000,1526000000,2266000000,321000000,-2000000,405000000,1.14,1243000000,-66000000,695000000,13111000000,,,,,
2018-12-31,1802000000,0,6510000000,633000000,454000000,-137000000,4475000000,,3562000000,286000000,5341000000,352321000,16554000000,-1040000000,702000000,-206000000,1126000000,728000000,28000000,2188000000,-191000000,4542000000,,344796000,1566000000,3876000000,4095000000,8897000000,592000000,1636000000,2387000000,-739000000,302000000,-835000000,721000000,71000000,721000000,3940000000,459000000,301000000,-17000000,478000000,1409000000,7277000000,454000000,35000000,-2735000000,-1533000000,185000000,492000000,289000000,-816000000,269000000,0,9329000000,11635000000,146000000,1.29,219000000,750000000,12614000000,-14000000,1271000000,2306000000,90000000,0,453000000,1.32,1180000000,-248000000,645000000,12992000000,,,,,
2019-12-31,630000000,,6337000000,608000000,566000000,-182000000,4419000000,,2949000000,143000000,5803000000,,17360000000,-46000000,678000000,-422000000,1176000000,1806000000,19000000,2002000000,-244000000,4709000000,,,1548000000,3136000000,5577000000,8764000000,72000000,1603000000,199000000,-964000000,291000000,-910000000,,16000000,1798000000,4884000000,728000000,317000000,,417000000,377000000,7772000000,566000000,-45000000,-3063000000,-1524000000,71000000,618000000,285000000,-598000000,1078000000,1178000000,9203000000,11474000000,181000000,,1480000000,950000000,12476000000,-31000000,1274000000,2271000000,236000000,,536000000,,1095000000,-45000000,561000000,14341000000,,,,,
