date,annualBasicAverageShares,annualAccountsReceivable,annualPurchaseOfInvestment,annualLongTermDebt,annualDilutedEPS,annualStockholdersEquity,annualDepreciationAndAmortization,annualNonCurrentDeferredTaxesLiabilities,annualBasicEPS,annualTotalAssets,annualInvestingCashFlow,annualChangeInInventory,annualRetainedEarnings,annualCurrentLiabilities,annualGoodwill,annualStockBasedCompensation,annualChangeInWorkingCapital,annualSaleOfInvestment,annualInventory,annualOtherIntangibleAssets,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualDilutedAverageShares,annualAccountsPayable,annualOperatingCashFlow,annualOperatingIncome,annualCapitalStock,annualOtherIncomeExpense,annualTotalRevenue,annualRepaymentOfDebt,annualEndCashPosition,annualNetOtherInvestingChanges,annualCashFlowFromContinuingFinancingActivities,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualGrossPPE,annualOtherNonCurrentLiabilities,annualPretaxIncome,annualInvestmentsAndAdvances,annualIncomeTaxPayable,annualOtherNonCurrentAssets,annualOperatingExpense,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualCapitalExpenditure,annualRepurchaseOfCapitalStock,annualCurrentAssets,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,annualEbitda,annualInterestExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualGrossProfit,annualOtherShortTermInvestments,annualCommonStockIssuance,annualTotalNonCurrentAssets,annualFreeCashFlow,annualOtherCurrentAssets,annualCostOfRevenue,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualNetIncome,annualPurchaseOfBusiness,annualBeginningCashPosition,annualOtherNonCashItems,annualCashDividendsPaid,annualCurrentDebt,annualChangesInAccountReceivables,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualCurrentDeferredRevenue,annualChangeInAccountPayable
2005-12-31,61755432,75639000,-12299000.0,271099000,2.49,458153000,126816000.0,160475000,2.57,1111739000,-335434000,,168774000,113038000,19840000.0,,-32101000.0,,10279000.0,,,891357000,69395074,90422000,245116000,210606000,0,-19607000,529938000,,42777000,-32251000,95037000,22616000,42777000.0,1400619000,70214000.0,184405000,,,61294000.0,149339000,-509262000,27241000,-203848000.0,,139248000,158471000,42777000.0,-584000.0,-4343000,,337422000,6331000,501788000,158471000,-12050000,359945000,,25421000.0,972491000,41268000,1166000.0,169993000,614826000,12957000,158471000,,47120000,-948000.0,-125884000.0,,,,,,
2006-12-31,63977134,120573000,-12426000.0,358236000,2.22,536607000,162254000.0,224631000,2.3,1462839000,-309409000,,663437000,164091000,19840000.0,,-32252000.0,,4898000.0,,-478378000.0,1187316000,73059877,139672000,306033000,216388000,0,-12588000,618072000,,26950000,-9005000,-14302000,24419000,28574000.0,1851452000,127494000.0,188307000,,,88165000.0,202476000,-664136000,40222000,-163374000.0,,167518000,146923000,26950000.0,-1531000.0,-15827000,,378642000,15433000,710361000,146923000,-16349000,418864000,1624000.0,30356000.0,1295321000,142659000,0.0,199208000,874452000,26527000,146923000,,42777000,30600000.0,-130264000.0,,,,,,
2007-12-31,66122423,119645000,-32193000.0,452490000,2.39,627361000,211397000.0,205702000,2.48,1668123000,-333638000,,217209000,150620000,19840000.0,,-31965000.0,,11033000.0,,,1331460000,75782723,128858000,349890000,223265000,0,4872000,707334000,,47868000,-4512000,7495000,21762000,47905000.0,2196926000,163374000.0,206561000,,,130571000.0,244108000,-865466000,32711000,-296933000.0,,186252000,164286000,47868000.0,0.0,20918000,,434662000,22330000,821566000,164286000,-9325000,467373000,37000.0,43037000.0,1481871000,52957000,0.0,239961000,972186000,24708000,164286000,,26950000,1986000.0,-134595000.0,,,,,,
2008-12-31,69548183,123794000,-10118000.0,197651000,3.23,755010000,255473000.0,245799000,3.3,1798359000,-255741000,-1134000.0,280959000,250275000,19840000.0,,96369000.0,,12167000.0,,,1407629000,78018769,179312000,660135000,405296000,0,-49443000,1001905000,,67231000,-10557000,-395984000,70963000,76722000.0,2514100000,265101000.0,339071000,,,130717000.0,322243000,-1106471000,66770000,-233302000.0,-1213000.0,240173000,229189000,67231000.0,0.0,19363000,,660769000,16331000,708551000,229189000,4003000,727539000,9491000.0,22193000.0,1558186000,426833000,11638000.0,274366000,958826000,87807000,229189000,,47868000,53026000.0,-158128000.0,,,,,,
2009-12-31,72405606,117051000,-6404000.0,159723000,2.53,1039290000,,218764000,2.56,2084676000,-225758000,,297210000,217563000,19840000.0,18196000.0,-76782000.0,136479000.0,5235000.0,,,1606995000,80569607,212742000,230316000,137901000,0,-77308000,639751000,-37053000.0,99066000,-1631000,38509000,1772000,123178000.0,2941761000,237110000.0,124633000,73345000.0,2366000.0,0.0,245673000,-1334766000,49388000,-354202000.0,,256886000,203475000,99066000.0,0.0,31835000,,386627000,13268000,726999000,185498000,-30963000,383574000,24112000.0,240178000.0,1827790000,-123886000,0.0,256177000,944562000,-1534000,185498000,,67231000,-114359000.0,-164616000.0,,,,,,
2010-12-31,83155116,147329000,,302558000,1.32,1300566000,,246982000,1.34,2581716000,-359063000,,254636000,340934000,51589000.0,28170000.0,64656000.0,64889000.0,10707000.0,,,2031501000,84497279,253086000,421282000,130435000,0,19757000,727805000,,145623000,14885000,-4419000,12143000,160755000.0,3619671000,274560000.0,136822000,3108000.0,58795000.0,0.0,342568000,-1588170000,71012000,-438837000.0,,343099000,111263000,145623000.0,0.0,46557000,,421748000,13370000,940216000,111263000,-55383000,473003000,15132000.0,40824000.0,2238617000,-17555000,10249000.0,254802000,1281150000,17318000,111263000,,99066000,21529000.0,-187943000.0,,,,,,
2011-12-31,90878000,176820000,,373436000,1.55,1331601000,,227668000,1.57,2735187000,-547726000,,-3157000,491184000,0.0,38667000.0,-4173000.0,0.0,13885000.0,,-33387000.0,2123983000,92272000,297756000,447092000,447565000,0,-128782000,1031570000,-150001000.0,234507000,-417295000,175211000,11568000,234507000.0,2550297000,310531000.0,315705000,0.0,36407000.0,0.0,341847000,-426314000,83250000,-130431000.0,,435659000,142821000,220158000.0,0.0,73752000,127131000.0,577380000,24967000,912402000,142821000,-46210000,789412000,14349000.0,311085000.0,2299528000,316661000,0.0,242158000,1403586000,172884000,142821000,,160755000,-21072000.0,-206434000.0,,,,,,
2012-12-31,98016000,180064000,,642022000,1.92,1418646000,,288815000,1.94,3076257000,-739923000,,-99871000,355711000,,47104000.0,-47409000.0,,25719000.0,,-32409000.0,2562401000,99294000,300682000,496580000,418604000,0,-37774000,1031019000,,102125000,16588000,114250000,8484000,102125000.0,3421205000,371063000.0,353244000,,27709000.0,0.0,316472000,-858804000,114990000,-558722000.0,,320502000,190622000,102125000.0,0.0,-132382000,,676773000,27586000,1301900000,190622000,-19291000,735076000,23729000.0,36339000.0,2755755000,-62142000,0.0,295943000,1657611000,162622000,190622000,-197789000.0,234507000,-34788000.0,-187484000.0,,,,,,
2013-12-31,100969000,167618000,,990024000,3.2,1716375000,,328714000,3.24,3708719000,-617730000,,-24637000,347444000,,60845000.0,49421000.0,,17143000.0,,47142000.0,2936104000,102467000,267832000,705025000,524226000,0,95134000,1205899000,,389559000,-41691000,178565000,3572000,389559000.0,4132093000,326162000.0,581177000,,55615000.0,0.0,359287000,-1195989000,139679000,-560542000.0,,587783000,327641000,389559000.0,0.0,287434000,,941746000,38183000,1644900000,327641000,35177000,883513000,9623000.0,0.0,3120936000,144483000,2285000.0,322386000,1992344000,253536000,327641000,-24124000.0,102125000,14094000.0,-168719000.0,,,,,,
2014-12-31,105448000,171820000,,1238080000,2.51,2021346000,,410183000,2.55,4386091000,-1072264000,,-35585000,365729000,,67802000.0,3077000.0,,9510000.0,,5722000.0,3891713000,107187000,298196000,791986000,457824000,0,44903000,1311628000,,120405000,12365000,5730000,0,120405000.0,5568259000,350753000.0,453072000,0.0,44463000.0,0.0,428110000,-1676546000,171890000,-908450000.0,,338159000,269326000,120405000.0,0.0,-269154000,,928421000,49655000,1999016000,269326000,26410000,885934000,3762000.0,,4047932000,-116464000,23391000.0,425694000,2364745000,183746000,269326000,-176179000.0,389559000,9449000.0,-190657000.0,,,,,,
2015-12-31,109642000,160499000,,1162998000,-1.98,1858659000,,354654000,-1.98,4209220000,-541738000,,-544023000,503731000,,75232000.0,-60390000.0,,13079000.0,,113647000.0,3775561000,109642000,248747000,444408000,-5417000,0,-148646000,873666000,-2246000.0,41676000,-25980000,8560000,0,41676000.0,6045380000,305613000.0,-213915000,0.0,6006000.0,0.0,420325000,-2269819000,170476000,-515758000.0,,284778000,-217302000,41676000.0,-2246000.0,-78729000,,304695000,59852000,1846830000,-217302000,-47728000,414908000,10501000.0,,3924442000,-71350000,55214000.0,458758000,2350561000,3387000,-217302000,0.0,120405000,13550000.0,-127535000.0,224901000.0,,,,,
2016-12-31,115695000,131719000,,1362192000,-1.38,1578463000,,283533000,-1.38,4087184000,-353230000,,-1006386000,290862000,,69235000.0,8366000.0,,14528000.0,,30339000.0,3708075000,115695000,181557000,509540000,-108038000,0,-58233000,828507000,-229270000.0,62775000,-12298000,-131376000,47660000,62775000.0,6590320000,525022000.0,-223228000,0.0,36219000.0,0.0,408543000,-2882245000,161575000,-340932000.0,,225906000,-160051000,62775000.0,-4270000.0,21099000,,361731000,56957000,2217859000,-160051000,-82855000,300505000,161000.0,,3861278000,168608000,4336000.0,528002000,2508721000,-63177000,-160051000,,41676000,-6704000.0,-104723000.0,0.0,,,,,
2017-12-31,120582000,165760000,,1270330000,0.51,1542886000,,253108000,0.52,3974965000,-347679000,,-1264003000,363306000,,61579000.0,665000.0,,17105000.0,,71829000.0,3630243000,122408000,219084000,593896000,104041000,0,77754000,1024362000,-4874000.0,46561000,407000,-263688000,78905000,46561000.0,6893667000,517180000.0,124482000,0.0,39061000.0,0.0,428638000,-3263424000,159400000,-348086000.0,,261846000,62258000,46561000.0,,-16214000,,673478000,57313000,2068773000,62258000,30117000,532679000,332000.0,,3713119000,245810000,17988000.0,491683000,2432079000,62224000,62258000,,62775000,18274000.0,-200074000.0,,,,,,
2018-12-31,140619000,260322000,,1796207000,1.91,2817251000,,318134000,1.93,6270671000,-739031000,,-1388237000,563199000,,60746000.0,-6876000.0,,27751000.0,,118182000.0,5620168000,142335000,449651000,816011000,364099000,0,63358000,1525950000,-18884000.0,26809000,55491000,-97923000,41016000,26809000.0,9573619000,,354698000,,37410000.0,,552795000,-3953451000,164562000,-794522000.0,,429877000,271650000,26809000.0,,-19752000,,1036513000,72759000,2890221000,271650000,39471000,916894000,,,5840794000,21489000,,609056000,3453420000,83048000,271650000,,46561000,-111953000.0,-330194000.0,,,,,,
