date,annualCashCashEquivalentsAndMarketableSecurities,annualOtherNonCurrentLiabilities,annualCapitalStock,annualRepaymentOfDebt,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,annualOtherNonCashItems,annualTotalNonCurrentAssets,annualGrossPPE,annualSellingGeneralAndAdministration,annualNonCurrentDeferredTaxesLiabilities,annualOperatingExpense,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualDilutedAverageShares,annualPurchaseOfInvestment,annualInvestingCashFlow,annualCapitalExpenditure,annualInventory,annualChangeInInventory,annualNetOtherFinancingCharges,annualInterestExpense,annualResearchAndDevelopment,annualDilutedEPS,annualChangeInWorkingCapital,annualGrossProfit,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualCommonStockIssuance,annualOtherShortTermInvestments,annualOperatingIncome,annualCostOfRevenue,annualTotalRevenue,annualRetainedEarnings,annualNetOtherInvestingChanges,annualEndCashPosition,annualTaxProvision,annualTotalAssets,annualPretaxIncome,annualCashDividendsPaid,annualCurrentDebt,annualNonCurrentDeferredRevenue,annualLongTermDebt,annualNetIncome,annualAccountsPayable,annualOtherCurrentAssets,annualBasicEPS,annualSaleOfInvestment,annualStockholdersEquity,annualCashAndCashEquivalents,annualAccountsReceivable,annualDepreciationAndAmortization,annualBasicAverageShares,annualOperatingCashFlow,annualCurrentAssets,annualEbitda,annualNetPPE,annualCurrentLiabilities,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,annualNetIncomeCommonStockholders,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentAccruedExpenses,annualAccumulatedDepreciation,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualOtherIncomeExpense,annualGoodwill,annualRepurchaseOfCapitalStock,annualChangesInAccountReceivables,annualIncomeTaxPayable,annualCurrentDeferredRevenue,annualInvestmentsAndAdvances,annualCashFlowFromContinuingFinancingActivities,annualDeferredIncomeTax,annualStockBasedCompensation
2000-12-31,1619002577.0,267890050.0,6455300000.0,-2251990694.0,653320416.0,458515475.0,1600514875.0,175808589.0,11790304266.0,10868685874.0,465924269.0,,529901762,,176031047,,-251330539.0,-329707257.0,-557980730.0,2019327342.0,78239157.0,-206272129.0,203494052.0,,0.021838,268642025.0,1253432734,4969284682.0,909592636.0,,0.0,723530972,6929955883.0,8183388617,187891056.0,440027773.0,2059030350.0,21056682,16857269538.0,197087729,,1398110315.0,,875162867.0,176031047,698846377.0,-359258958.0,0.021838,39576239.0,11887984856.0,1619002577.0,792766746.0,754297444.0,,1467573366.0,5066965272.0,1154879225,10868685874.0,3826231765.0,24218870.0,780409605.0,176031047,1143052917.0,,,,,,,,,,,,,,
2001-12-31,1433969185.0,182067859.0,6455300000.0,-2064417234.0,246733508.0,-257456447.0,1529142436.0,127657313.0,11271370621.0,10363000682.0,580577003.0,,655307336,,208396492,,-108596000.0,-718008102.0,-693267640.0,1775084709.0,244242633.0,426920000.0,150762519.0,,0.025853,-288396345.0,1373456771,4945905762.0,465624842.0,,111796803.0,718149435,8191351342.0,9564808113,36121774.0,39373748.0,1271685989.0,88734774,16723012874.0,297131266,-269461924.0,985930885.0,,837333288.0,208396492,806247188.0,1600000.0,0.025853,33051813.0,10403476199.0,1322172382.0,319069657.0,830207777.0,,1158892482.0,5451642253.0,1278101562,10363000682.0,3440664615.0,21558870.0,880394034.0,208396492,1505241147.0,,,,,,,,,,,,,,
2002-12-31,1085409178.0,158047270.0,6455300000.0,-1612676204.0,215544450.0,-271159576.0,1271685989.0,80124140.0,12896781876.0,12008876975.0,634355883.0,,720552284,,384440901,,-100100000.0,-2474741783.0,-2597465042.0,1641088387.0,61550708.0,3050511.0,101902205.0,,0.047692,769561248.0,1762989544,5275677829.0,-7809712.0,,11304862.0,1042437260,9224360959.0,10987350503,39803181.0,-22955796.0,1000526413.0,95261563,17138510598.0,479702464,-225270125.0,918977295.0,,769130264.0,384440901,1051715048.0,0.0,0.047692,227586288.0,11862832769.0,1074104316.0,176866554.0,862513443.0,,2589655330.0,4241728722.0,1444118112,12008876975.0,3822660295.0,21558870.0,859828996.0,384440901,1453017534.0,,,,,,,,,,,,,,
2003-12-31,2431862490.0,126702670.0,6455300000.0,-1536331591.0,85278689.0,1371102556.0,1000526413.0,142291605.0,18021191390.0,16977750192.0,823605567.0,,953683749,,2794144419,,-156976000.0,-5718654202.0,-5623975201.0,2377500358.0,-743169495.0,16184124.0,105027304.0,,0.346484,-443199827.0,4109231569,11359464974.0,-2055287830.0,32755594.0,13568593.0,3155547820,11694166553.0,15803398122,2268184065.0,25787990.0,2371628969.0,193769165,26355229313.0,2987913584,-315195264.0,1919932705.0,,3969176113.0,2792971074,2319681215.0,0.0,0.346484,20948014.0,14960344619.0,2418293897.0,211692345.0,1067207004.0,,3568687371.0,8334037923.0,4160147892,16977750192.0,6986606191.0,16238870.0,863809293.0,2792971074,4372858783.0,,,,,,,,,,,,,,
2004-12-31,2195064772.0,114757600.0,6455300000.0,-2165880184.0,80841669.0,-198753228.0,2371628969.0,398232149.0,21220868457.0,20181433775.0,1379426234.0,,1581410723,,3588378558,,-4400000.0,-4291362267.0,-4380466097.0,4754183701.0,-2384790928.0,-14912441.0,225284228.0,,0.443599,317449154.0,6009902744,13949302292.0,1721810617.0,20479162.0,13568593.0,4428492021,20799145940.0,26809048684,3758605642.0,32981988.0,2172875741.0,441258757,31461194530.0,4029637315,-1615599272.0,1580921650.0,,4134143501.0,3575806813,3272160560.0,0.0,0.443599,28000561.0,17435577710.0,2181496179.0,276552306.0,1810489994.0,,6102276714.0,10240326073.0,6065411537,20181433775.0,9680601191.0,13578870.0,859020589.0,3575806813,4268701101.0,,,,,,,,,,,,,,
2005-12-31,3268584270.0,503984331.0,6455300000.0,-11917331618.0,78988309.0,936393511.0,2172875741.0,185623276.0,27638053091.0,26138111456.0,1138635451.0,,1357742466,,2888491827,,-338831800.0,-8932784515.0,-8374192126.0,5199473669.0,-368513624.0,23267121.0,362470045.0,,0.353263,933693646.0,4904804169,19858472355.0,-2203250610.0,23267121.0,13568593.0,3547061703,27294506637.0,32199310806,4595922817.0,-275235690.0,3109269252.0,433775030,38878376862.0,3322266857,-1448410583.0,2112372660.0,,8570815511.0,2847619960,3863128493.0,0.0,0.353263,30299112.0,18881715908.0,3255015677.0,283482921.0,2086745956.0,,6170941516.0,11240323771.0,5771482858,26138111456.0,10780472513.0,10918870.0,970146049.0,2847619960,9077999842.0,,,,,,,,,,,,,,
2006-12-31,4160704714.0,496543959.0,6455300000.0,-8538526131.0,409752537.0,520298802.0,3109269252.0,317839164.0,42109117923.0,40003824917.0,1193292374.0,,1433685416,,2334486535,,-58417194.0,-14426132099.0,-14230379016.0,6540131949.0,-1198771501.0,317982830.0,296225738.0,,0.352669,393788065.0,4441039908,34410262572.0,-8947575143.0,317982830.0,0.0,3007354492,29930271138.0,34371311046,5576101635.0,-272733477.0,3629568054.0,422239437,54842866671.0,2756725972,-1432295804.0,399018506.0,,21226190944.0,2276585903,5997722343.0,0.0,0.352669,73397407.0,20122106930.0,4160704714.0,582420964.0,2357765900.0,,5282803873.0,12733748748.0,5410717610,40003824917.0,12570961146.0,8258870.0,1516702696.0,2276585903,21839301426.0,,,,,,,,,,,,,,
2007-12-31,6293420278.0,12485032.0,6758551716.0,-10358331162.0,2226920566.0,1894308229.0,3629568054.0,1044943516.0,48025383079.0,45336855553.0,1324926654.0,168275911.0,1953172873,,2576113290,7068481522.0,-97102520.0,-7156200776.0,-7061527038.0,9626168900.0,-3103932558.0,1065332199.0,1156198703.0,,0.3502,-3063283157.0,5738374432,47627656043.0,-3436575986.0,1065332199.0,1462770.0,3785201559,44907020169.0,50645394601,7282533393.0,-159157305.0,5523876283.0,220591429,71083141216.0,2796704719,-1764529047.0,3264495217.0,590425767.0,21406713193.0,2475382229,9472551064.0,0.0,0.3818,110838479.0,23008970484.0,6291957508.0,1015376154.0,3299857971.0,6483452669.0,3624951052.0,23057758137.0,7252761393,45336855553.0,25449756140.0,0.0,1636977393.0,2475382229,22177899903.0,,,,,,,,,,,,,,
2008-12-31,5951900463.0,7485033.0,7700681186.0,-24754928770.0,223579337.0,-88088720.0,5525455966.0,1551838025.0,46903920545.0,43524086633.0,1460107175.0,6678903.0,2238159641,,731229456,6965204543.0,-16579330.0,-3322815478.0,-3809043196.0,9848058341.0,-2014008215.0,3157179396.0,1840303678.0,,0.104,314150553.0,6105338046,39617453220.0,4578751632.0,3157179396.0,813250.0,3867178405,65154401331.0,71259739377,7007195285.0,293116158.0,5437367246.0,74644736,66144555642.0,805874192,-2793347422.0,1154000000.0,563549396.0,20659271662.0,710234350,8574266313.0,2938870.0,0.104,190996981.0,26006983163.0,5951087213.0,626727102.0,4610023579.0,6829176442.0,8387794828.0,19240635097.0,7256201449,43524086633.0,18380468226.0,0.0,1850539277.0,710234350,21236984994.0,,,,,,,,,,,,,,
2009-12-31,8701354968.0,579926538.0,7700681186.0,-26931562894.0,816000000.0,65580589.0,5437367246.0,924731739.0,43933583331.0,40294091733.0,1367572217.0,,1586975267,,533866145,,-292942800.0,-4004046307.0,-1636438980.0,8988794051.0,801453430.0,68672446.0,1004154657.0,,0.051,754144771.0,2753311134,40799243906.0,5032261539.0,68672446.0,1037360.0,1166335867,49106658380.0,51859969514,7350273452.0,-2310181806.0,5502947835.0,29009600,67984106505.0,562875745,-1231756505.0,1173245805.0,,18769369845.0,392475316,11715391835.0,0.0,0.051,201984300.0,26464653635.0,8700317608.0,822930091.0,4866348012.0,7695594431.0,6668700519.0,24050523174.0,6433378414,40294091733.0,21449947523.0,0.0,1855779750.0,392475316,19349296383.0,,,,,,,,,,,,,,
2010-12-31,6383517655.0,573288652.0,7700681186.0,-14559651522.0,7857611313.0,-117882222.0,5502947835.0,707333267.0,39589474191.0,36190990104.0,1446030749.0,,1711983270,,1191609313,,-39900000.0,336557449.0,-2091321539.0,12451795018.0,-3476907429.0,997500000.0,913552574.0,,0.143,-6366846585.0,3808025168,42106161947.0,-1691314168.0,,826640.0,2096041898,61173087326.0,64981112494,8008142354.0,2241843111.0,5385065613.0,519502407,70104925186.0,1711111720,-502570290.0,977093278.0,573288652.0,12366564300.0,1101838516,10819579017.0,0.0,0.143,198621207.0,27294087521.0,6382691015.0,1097779220.0,4857790114.0,7705164448.0,400007371.0,30515450995.0,7482454408,36190990104.0,29166308995.0,0.0,1863353636.0,1101838516,12939852952.0,,,,,,,,,,,,,,
2011-12-31,10303533868.0,552778524.0,7700681186.0,-34050665899.0,2681045000.0,3608474382.0,5385065613.0,954803845.0,41596862649.0,37352664996.0,1577315629.0,44328987.0,1804261456,,189496923,,-540100000.0,-4309999489.0,-4210598401.0,14132127677.0,-1618445002.0,8411154000.0,1471633860.0,,0.009,-4896586872.0,3478651354,52180279202.0,-3227918851.0,171266000.0,607980.0,1674389898,83363550895.0,86842202249,7456020890.0,-249751191.0,8993539995.0,111602445,81113028919.0,301099368,-1961256367.0,6202785816.0,,22150494051.0,69578129,12572969980.0,0.0,0.009,302364186.0,26954410503.0,10302925888.0,1883404218.0,4386136249.0,7730903222.0,982679550.0,39516166270.0,6158869477,37352664996.0,29432677640.0,0.0,2002437828.0,69578129,22747601562.0,,,,,,,,,,,,,,
2012-12-31,9783011235.0,618997012.0,7700681186.0,-38908876560.0,2395464380.0,-2560225137.0,9190021229.0,1575889162.0,42730588589.0,38850200032.0,1727780914.0,40614884.0,1887919241,-429290736.0,-3800523426,7695682361.0,-113500000.0,-6056635413.0,-4946800801.0,11250937262.0,1430298828.0,396000000.0,1586090972.0,,-0.502,2305285410.0,1564089463,50499107467.0,645786317.0,396000000.0,587120.0,-323829778,72840274575.0,74404364038,3245037973.0,-789830821.0,6629796092.0,54205870,76011164039.0,-3746317556,-1582025712.0,9777449423.0,618997012.0,18176172704.0,-3863232545,12125628912.0,215562806.0,-0.502,200041452.0,23126644187.0,9782424115.0,1411927109.0,3568559849.0,7695682361.0,5592587118.0,33280575450.0,1408333265,38850200032.0,31663322867.0,0.0,1963421181.0,-3863232545,18835784600.0,,,,,,,,,,,,,,
2013-12-31,5107227399.0,609637532.0,7700681186.0,-21986537135.0,9691200313.0,-4815277967.0,6629796092.0,1107268864.0,43224828124.0,39428024044.0,1757066180.0,36900781.0,1983497826,,207935078,7706872451.0,-88480000.0,-4542698610.0,-5520646569.0,10049721134.0,-571119921.0,281000000.0,1273862443.0,,0.0204,-96589557.0,3454920766,45618176283.0,-429288014.0,281000000.0,509330.0,1471422940,70393962617.0,73848883383,3272406740.0,-134378796.0,1814518125.0,114210366,71317211721.0,322145444,-1281885894.0,8553509860.0,609637532.0,8387710377.0,157220198,12066796264.0,486511748.0,0.0204,507271043.0,23131445621.0,5106718069.0,800946475.0,3859253534.0,7706872451.0,5091358555.0,28092383597.0,5455261421,39428024044.0,36583927593.0,0.0,1900179245.0,157220198,9034248690.0,,,,,,,,,,,,,,
2014-12-31,4655625009.0,1212236595.0,7700681186.0,-22500139926.0,3945402835.0,895318174.0,1814518125.0,1187230471.0,43625971824.0,39872407042.0,1823345370.0,33191420.0,2058645368,-108774997.0,264047515,7713847028.0,-105244733.0,1326246882.0,-2599448741.0,8684293285.0,779710556.0,30000000.0,1315522227.0,,0.0286,-2623251059.0,3980715674,42621776823.0,313405088.0,30000000.0,1073490.0,1922070306,55840222612.0,59820938286,3451299829.0,2263956397.0,2709836299.0,248068879,68511174810.0,512116394,-1326432606.0,12058394894.0,1186358849.0,8671798752.0,220616025,11482194521.0,1298677715.0,0.0286,247240780.0,23295565989.0,4654551519.0,856559860.0,3656536345.0,7713847028.0,2912853829.0,24885202986.0,5484174966,39872407042.0,32704550056.0,0.0,1826460576.0,220616025,9917226767.0,,,,,,,,,,,,,,
2015-12-31,6147982536.0,1314021688.0,7700681186.0,-18176630777.0,7008482616.0,836574059.0,2709836299.0,778177012.0,42294084169.0,38851173964.0,2174469731.0,32704732.0,2375697777,-73191528.0,-5104484381,7748870442.0,-5405067580.0,-3621073001.0,-2772760636.0,6018495505.0,1084654072.0,4950000.0,1057622097.0,,-0.62,4998686871.0,-379513813,41712863095.0,3092571417.0,4950000.0,1005271054.0,-2755211590,45488440552.0,45108926739,-1368605137.0,62681224.0,3546410358.0,377912379,62454465955.0,-4726572002,-1069670905.0,6791359472.0,1285164299.0,10634838251.0,-4804299674,11488570679.0,1681432127.0,-0.62,4544754872.0,18455838015.0,5142711482.0,796986661.0,3465413949.0,7748870442.0,5865332053.0,20160381786.0,-203535956,38851173964.0,29731298424.0,0.0,1891358160.0,-4804299674,11981564671.0,,,,,,,,,,,,,,
2016-12-31,5867423302.0,1428669741.0,7700681186.0,-18554976223.0,9818485830.0,777721329.0,3546410358.0,662543109.0,41827215832.0,37780793113.0,2475064214.0,35065411.0,2907160622,,1256695306,7699827112.0,-531910709.0,-1937596411.0,-2130913649.0,10548061832.0,-5520020172.0,0.0,888911040.0,,0.1596,-1618865777.0,5717612635,44165024589.0,2488947365.0,,555322261.0,2810452013,42557487675.0,48275100310,-190568622.0,103844476.0,4324131687.0,111880234,66245531030.0,1368575540,-962867349.0,6942952420.0,1269496538.0,9150835627.0,1228892407,10253036285.0,2477730789.0,0.1596,600139902.0,19764171955.0,5312101041.0,859929107.0,3441367515.0,7699827112.0,4619861014.0,24418315198.0,5698854095,37780793113.0,33550453810.0,0.0,1821768927.0,1228892407,10614570779.0,,,,,,,,,,,,,,
2017-12-31,6524491497.0,1623387119.0,7700681186.0,-17371993271.0,11504062614.0,-1383629672.0,4324131687.0,942073572.0,40093051200.0,34936455471.0,2284531858.0,26841665.0,2786857917,,5072238129,7700372736.0,-2750126487.0,-3414422532.0,-1484519774.0,11445747808.0,-897685976.0,302940000.0,918992554.0,,0.5362,-5180135605.0,9671771175,44954325666.0,3005396629.0,92940000.0,1546139404.0,6884913258,63556258449.0,73228029624,3643443763.0,78425650.0,2940502015.0,736728434,72191589979.0,5808966563,-928472133.0,4630303694.0,1462490533.0,6975958634.0,4128939861,11778382830.0,3677183960.0,0.5362,723839948.0,23895739812.0,4978352093.0,966447592.0,3607963803.0,7700372736.0,4489916403.0,32098538779.0,10335922920,34936455471.0,36118138248.0,0.0,1883604173.0,4128939861,8836187418.0,,,,,,,,,,,,,,
2018-12-31,11847258793.0,-1133772377.0,7700681186.0,-20778250231.0,8576844931.0,3993673761.0,2940502015.0,910542165.0,38466731476.0,33207848912.0,2339710153.0,24066311.0,3765922407,,7057988694,7700552714.0,-57685087518.0,-4011703200.0,-2572133839.0,11053918748.0,391829060.0,5625000.0,879897330.0,801240784.0,0.7718,2501948998.0,12156831369,44879647973.0,11298296267.0,5625000.0,2084414075.0,8390908962,69794982119.0,81951813488,7405577274.0,-63059753.0,6934175776.0,1180935234,76871999293.0,8238923928,-2572752316.0,11817659292.0,1364795555.0,3596387552.0,5943286585,10342007979.0,8551901371.0,0.7718,56005464980.0,28173623272.0,9762844718.0,1121768976.0,3912544585.0,7700552714.0,13870430106.0,38405267817.0,13031365843,33207848912.0,39737027081.0,-2432279109.0,1855265330.0,5943286585,5142620892.0,,,,,,,,,,,,,,
